"yday","ChlA"
311,0.09
311,0.07
311,0.1
346,0.12
346,0.15
11,1.4
11,1.37
43,0.68
43,0.96
43,0.7
72,3.21
72,2.8
72,2.73
106,2.6
106,4.21
129,6.44
129,5.8
163,0.3
163,0.35
191,0.21
191,0.2
218,0.16
218,0.15
253,0.17
253,0.18
282,0.19
282,0.2
282,0.2
314,0.3
314,0.27
345,0.21
345,0.19
6,4.99
6,5.65
43,1.19
43,1.01
71,2
71,1.83
104,2.86
104,3.05
129,1.5
129,1.74
167,0.3
167,0.27
188,0.32
188,0.42
228,0.2
228,0.2
259,0.11
259,0.1
259,0.14
286,0.11
286,0.12
286,0.15
316,0.17
316,0.17
350,0.9
350,0.75
13,0.63
13,0.67
13,0.74
41,0.37
41,0.39
70,6.42
70,5.85
110,0.29
110,0.3
110,0.32
159,0.21
159,0.18
189,0.24
189,0.29
189,0.32
216,0.17
216,0.18
216,0.16
243,0.15
243,0.14
286,0.16
286,0.16
286,0.17
313,0.14
313,0.13
349,0.16
349,0.15
11,1.38
11,1.35
11,1.67
40,3.84
40,2.89
40,3.37
62,0.58
62,0.44
96,0.13
96,0.18
125,0.19
125,0.19
158,0.13
158,0.12
195,0.35
195,0.29
222,0.17
222,0.15
256,0.08
256,0.11
256,0.07
277,0.06
277,0.06
307,0.12
307,0.21
340,0.13
340,0.12
10,1.1
10,0.9
38,1.11
38,1.08
68,0.21
68,0.18
101,0.74
101,0.86
131,0.44
131,0.35
157,0.12
157,0.12
188,1.05
188,1.06
221,0.16
221,0.16
221,0.16
255,0.29
255,0.3
255,0.31
283,0.11
283,0.12
283,0.15
307,0.16
307,0.16
307,0.16
339,1.41
339,1.37
339,1.35
10,3.26
10,2.95
46,3.84
46,4.05
46,4.51
72,7.3
72,6.75
93,0.78
93,0.85
124,0.19
124,0.29
162,0.3
162,0.26
190,0.22
190,0.22
218,0.1
218,0.12
254,0.19
254,0.19
254,0.22
281,0.34
281,0.33
309,0.11
309,0.11
344,0.13
344,0.13
9,1.13
9,1.19
9,1.07
44,2.7
44,2.61
70,2.04
70,1.82
91,0.91
91,0.8
126,0.19
126,0.17
126,0.18
162,0.13
162,0.13
162,0.12
189,1.92
189,2.22
217,0.18
217,0.19
275,0.14
275,0.14
310,0.12
310,0.12
338,0.96
338,0.94
13,2.43
13,2.78
41,3.8
41,3.92
41,3.89
69,3.01
69,3.09
69,3.03
97,0.18
97,0.18
97,0.18
132,0.48
132,0.44
132,0.58
160,0.16
160,0.17
160,0.19
188,0.23
188,0.23
188,0.22
215,0.11
215,0.13
251,0.16
251,0.15
314,0.15
314,0.14
314,0.15
342,0.12
342,0.1
12,1.02
12,1.06
38,2.54
38,2.53
67,2.108
67,2.191
96,0.216
96,0.236
96,0.213
159,0.195
159,0.188
188,0.205
188,0.245
188,0.335
222,0.301
222,0.283
250,0.276
250,0.275
250,0.248
278,0.112
278,0.136
313,0.127
313,0.166
313,0.141
341,0.59
341,0.5
341,0.58
10,0.52
10,0.56
40,0.19
40,0.2
40,0.2
66,0.19
66,0.23
66,0.2
94,1.34
94,1.31
129,0.09
129,0.11
164,0.1
164,0.13
192,0.17
192,0.15
221,0.14
221,0.16
277,0.15
277,0.18
277,0.14
348,1.03
348,1.19
11,0.87
11,0.9
37,2.51
37,2.51
74,0.3
74,0.33
93,0.55
93,0.56
129,0.17
129,0.15
129,0.17
156,0.19
156,0.14
184,0.26
184,0.26
214,0.21
214,0.23
254,0.13
254,0.13
254,0.15
282,0.14
282,0.21
282,0.22
305,0.1
305,0.07
338,0.13
338,0.11
338,0.13
36,3.8
36,3.87
36,3.85
64,1.14
64,1.11
64,0.99
99,0.47
99,0.49
127,0.2
127,0.21
155,0.11
155,0.1
183,0.24
183,0.23
218,0.14
218,0.15
218,0.14
246,0.11
246,0.12
246,0.14
281,0.09
281,0.09
281,0.07
344,0.13
344,0.13
344,0.14
9,0.22
9,0.33
9,0.17
42,0.91
42,0.92
42,0.91
70,1.24
70,1.34
70,1.44
98,0.39
98,0.41
98,0.37
126,0.2
126,0.2
155,0.12
155,0.11
189,0.2
189,0.18
217,0.23
217,0.26
253,0.14
253,0.14
283,0.1
283,0.1
322,0.12
322,0.13
322,0.13
344,0.12
344,0.12
344,0.12
12,1.68
12,1.57
12,1.74
40,0.31
40,0.33
