"yday","NO3NO2"
259,0.05
259,0
259,0
316,0.15
316,0.02
41,0
41,0
70,0.06
70,1.05
110,0.57
110,0.51
110,0.35
159,0.1
159,0.1
189,0.07
189,0.07
189,0.08
216,0.01
216,0.07
216,0
243,0
243,0
286,0.1
286,0.08
286,0
313,0
313,0
349,0
349,0
11,0
11,0.05
11,0.15
40,1.67
40,1.91
40,2.64
62,0.1
62,0.1
96,0.1
96,0.13
125,0.03
125,0.01
158,0.02
158,0.01
195,0
195,0.01
222,0.03
222,0.03
256,0.03
256,0.02
256,0
277,0
277,0
307,0
340,0.16
340,0.17
10,0.4
10,0.9
38,1.66
38,1.8
68,0.24
68,0.26
101,0.32
101,0.31
131,0.27
131,0.26
157,0
157,0.01
188,0
188,0.01
221,0.01
221,0
255,0
255,0
255,0.01
283,0.01
283,0.03
283,0.02
307,0.05
307,0.03
307,0.01
339,0
339,0
339,0
10,0.03
10,0.03
46,0.36
46,0.7
46,2.66
72,0.23
72,0.18
93,0.01
93,0.03
124,0.01
124,0.02
162,0.01
162,0
190,0.02
190,0.03
218,0
218,0
254,0.01
254,0.01
254,0
281,0.01
281,0.02
344,0.07
344,0.06
9,0
9,0
9,0
44,0
44,0.06
70,0.11
70,0.12
91,0.03
91,0.04
126,0.16
126,0.37
126,0.22
162,0.05
162,0.06
162,0.07
189,0.01
189,4.53
217,0.07
217,0.06
275,0.06
275,0.05
310,0
310,0.01
338,0
338,0.01
13,0.05
13,0.06
41,0.01
41,0.03
41,0.1
69,0.11
69,0.17
69,0.24
97,0.12
97,0.12
97,0.12
132,0.08
132,0.1
132,0.07
160,0.08
160,0.03
160,0.04
188,0
188,0
188,0
215,0.01
215,0
251,0
251,0
314,0.08
314,0.06
314,0.08
342,0.07
342,0.07
12,0.01
12,0
38,0.03
38,0.03
67,0.1
67,0.11
96,0.05
96,0.05
96,0.04
133,0
133,0.01
133,0.02
159,0.06
159,0.06
188,0
188,0
188,0.01
222,0
222,0
250,0
250,0
250,0
278,0
278,0
313,0.02
313,0.01
313,0.03
341,0
341,0
341,0
10,0.01
10,0
40,0.04
40,0.06
40,0.04
66,0.02
66,0.01
66,0.03
94,0.6
94,0.81
129,0
129,0
164,0
164,0
192,0
192,0
221,0
221,0
277,0
277,0
277,0
348,0
348,0
11,0.11
11,0.12
37,0
37,0.01
74,0.02
74,0.21
93,0
93,0
129,0.02
129,0
129,0
156,0.05
156,0.04
184,0
184,0
214,0.13
214,0.09
254,0.1
254,0.1
254,0.1
282,0.69
282,0
282,0
305,0.21
305,0
338,0
338,0
338,0
36,0.33
36,0.12
36,0.64
64,0.01
64,0.12
64,5.79
99,0.25
99,0.19
127,0
127,0
155,0
155,0
183,0
183,0
218,0
218,0
218,0
246,0
246,0.63
246,0
281,0.08
281,0.05
281,0.02
344,0.03
344,0.79
344,2.69
9,0.98
9,0.03
9,2.18
42,0.04
42,0.05
42,0.03
70,0.06
70,0.02
70,0.03
98,0.04
98,0.05
98,0.01
126,0.15
126,5.23
155,0.12
155,0.01
189,0.04
189,0.05
217,0.04
217,0.07
253,0.11
253,0.05
283,0.06
283,0.05
322,0.72
322,0.05
322,0.02
344,0.04
344,0.08
344,0.01
12,0.13
12,0.16
12,0.19
40,0.25
61,0.06
61,0.05
61,0
96,0
96,0.01
96,2.22
127,0.25
127,0.31
127,0.8
152,0.08
152,0.11
194,0.02
194,0.03
194,0.01
222,0.01
222,1.3
222,0.01
257,0.33
257,8.3
278,0.01
278,0
313,0.53
313,0.06
313,0.01
341,0.01
341,0.02
341,0.02
11,0.32
11,0.02
11,0.01
41,13.91
41,0.14
41,0.16
67,0.01
67,0.01
96,0.69
96,0.03
96,0.07
130,0.02
130,0.01
130,0.01
158,0.15
158,1.19
215,0.01
215,0
215,0.03
257,0.06
257,0.02
276,0.08
276,0.13
312,0.06
312,0.03
312,0.03
341,0.03
341,6.81
341,0.34
10,0
10,0
10,0
38,0
38,0
73,0.01
73,0.01
73,0
101,0
101,0
101,0
129,0
129,0
159,0
159,0
159,0
187,0
187,0
187,0
220,0.02
220,0.02
248,0.03
248,0.02
276,0.07
276,0.04
321,0
321,0
9,0
9,0
37,0.07
37,0.04
37,0.07
75,0.04
75,0.54
100,0
100,0
100,1.27
135,0
135,0
207,0
207,0
226,0.33
226,0
253,0
253,0
283,0
283,0
312,0
312,0
338,0
338,0
63,0
63,0
63,0.03
98,0
98,0
128,0
128,0
161,0
161,0
161,0
191,0
191,0
224,0
224,0
224,0
253,0
253,0
280,0
280,0
280,0
316,0
316,0
316,0
337,0
337,0
337,0
13,0.28
13,0.33
13,1.99
34,0.14
34,0.18
34,2.37
90,0
90,0
90,0
125,0
125,0
125,0
163,0
163,0
163,0
245,0
245,0
245,0
315,0
315,0.08
315,0.05
337,0
337,0
337,0
45,0
45,0
45,0.21
68,0.24
68,0.17
68,0.23
113,0.03
113,0.02
209,0.05
209,0.03
209,0.02
229,0.32
229,0.31
229,0.55
252,0.02
252,0.02
252,0
319,0.01
319,0.01
342,0.79
342,0.64
342,0.82
11,0.07
11,0.04
34,0.02
34,0
34,0
131,0.2
131,0.22
158,0.03
158,0.01
158,0
263,0
263,0
263,0
355,0.21
355,0.22
355,0.19
11,0.3
11,0.23
