"yday","SiOH"
311,2.4
311,2.8
311,2.2
346,2.26
346,2.47
11,1.08
11,2.75
43,1.8
43,2.11
43,2.11
72,2.62
72,2.86
72,3.09
106,1.86
106,2.05
129,1.68
129,1.88
163,2.39
163,1.69
191,2.57
191,1.57
218,1.58
218,2.36
253,2.78
253,2.66
282,1.82
282,1.42
282,1.19
314,1.48
314,1.27
345,1.47
345,1.68
6,2
6,2.34
43,1
43,1.34
71,0.5
71,0.67
104,1
104,1.17
129,2.35
129,1.51
167,2.52
167,3.19
188,0.94
188,0.94
228,2.86
228,2.39
259,2.25
259,2.7
259,2.85
286,2.25
286,2.7
286,2.85
316,4.18
316,6.35
350,2.88
350,2.88
44,1.15
44,1.5
70,1.82
70,1.82
91,2.61
91,2.06
162,2.11
162,1.6
162,2.78
189,2.11
189,3.71
217,1.64
217,1.49
275,1.82
275,1.46
310,0.28
310,0.2
338,4.91
338,3.64
13,1.25
13,1
69,1.18
69,1
69,1.27
132,0.2
132,0.26
132,0.11
160,0.61
160,0.63
160,0.5
188,0.98
188,0.98
188,0.6
215,0.3
215,0.56
251,1.29
251,1.23
