"yday","SiOH"
259,1.21
259,1.16
259,1.25
316,2.16
316,1.86
41,0
41,0
70,0
70,0
110,0.79
110,0.72
110,0.58
159,0
159,0
189,0
189,0
189,0
216,0
216,0.13
216,0
243,0.35
243,0.21
286,0.75
286,0.68
286,0.34
313,0.94
313,0.59
349,0.88
349,0.93
11,0
11,0
11,0.19
40,0.44
40,0.79
40,0.91
62,0.93
62,0.46
96,0
96,0
125,0.17
125,0
158,1.24
158,1.06
195,1.78
195,0.87
222,1.87
222,1.75
256,2.51
256,1.93
256,1.38
277,3.03
277,1.38
307,2.07
340,2.95
340,2.75
10,2.07
10,3.13
38,2.12
38,2.26
68,1.24
68,1.07
101,1.18
101,0.86
131,1.31
131,1.36
157,1.01
157,2.81
188,0
188,0
221,1.2
221,0.05
255,1.08
255,1.09
255,0
283,0.71
283,0.77
283,0.77
307,0.6
307,0.34
307,0.12
339,0
339,0
339,0
10,0
10,0.15
46,0
46,0
46,0.14
72,0
72,0.15
93,0
93,0
124,0.55
124,0.59
162,0.21
162,0.12
190,0.92
190,0
218,0
218,0
254,0
254,0.02
254,0
281,0
281,0
344,1.74
344,2.08
9,0.99
9,0.99
9,0.88
44,1.01
44,1.32
70,0.35
70,0.36
91,0.84
91,0.81
126,1.78
126,1.55
126,1.57
162,0.59
162,0.54
162,0.51
189,0.83
189,2.38
217,0.48
217,0.43
275,1.65
275,1.52
310,0.23
310,0.16
338,0.7
338,0.7
13,0.27
13,0.34
41,0.23
41,0.48
41,0.32
69,0.44
69,0.36
69,0.39
97,0.7
97,0.61
97,0.58
132,0.66
132,0.33
132,0.06
160,0.58
160,0.54
160,0.42
188,1.16
188,1.08
188,0.51
215,0.13
215,0.43
251,1.34
251,1.19
314,1.26
314,1.23
314,1.32
342,1.14
342,0.84
12,0.15
12,0
38,0.15
38,0.56
67,0.09
67,0.04
96,0.15
96,0.16
96,0.22
133,0
133,0
133,0
159,0.01
159,0.24
188,0
188,0.17
188,0.65
222,0.76
222,0.58
250,2.1
250,0.8
250,0.99
278,1.51
278,1.42
313,1.23
313,0.85
313,1.12
341,0.06
341,0
341,0
10,0
10,0
40,0.32
40,0.28
40,0.24
66,0
66,0
66,0
94,2
94,2.7
129,0.11
129,1.98
164,2.07
164,1.72
192,0.6
192,0.83
221,0
221,0
277,0
277,0.08
277,0.59
348,0.15
348,0.13
11,8.62
11,1.06
37,0.29
37,0.89
74,0.25
74,0.43
93,0.25
93,0
129,1.4
129,0.91
129,0.84
156,0
156,0
184,0.59
184,0.45
214,8.89
214,0.71
254,0.54
254,0.58
254,1.14
282,2.96
282,0.84
282,0.44
305,0.97
305,0.85
338,1.1
338,1.77
338,1.34
36,1.87
36,0.37
36,0.33
64,1.2
64,1.2
64,2.45
99,0.95
99,1.18
127,0.93
127,1.2
155,0.6
155,0.43
183,0
183,0
218,0
218,0
218,0
246,1.38
246,1.35
246,1.33
281,1.33
281,1.42
281,1.65
344,1.9
344,1.75
344,1.34
9,0.55
9,0.34
9,0.61
42,4.14
42,1.4
42,2.95
70,0.6
70,0.52
70,0.34
98,0.4
98,0.46
98,0.35
126,0.92
126,1.03
155,0.78
155,0.92
189,1.83
189,0.76
217,1.47
217,1.53
253,2.28
253,2.37
283,2.73
283,4.09
322,3.69
