"yday","ZooBM"
281,15.9
309,2.3
344,0.7
9,15.1
70,16.07
91,17.01
126,5.81
162,15.14
189,2.28
217,3.08
275,13.9
310,8.13
338,7.4
13,16.74
41,20.54
69,33.28
97,20.42
132,17.33
160,22.4
188,12.75
251,13.42
314,7.37
342,13.01
12,13.53
38,8.91
67,10.96
96,28.89
133,16.61
159,24.72
188,26.11
222,24.66
250,14.64
278,8.21
313,6.39
341,7.75
10,8.96
40,16.89
66,19.67
94,18.38
129,16.3
164,12.24
192,11.27
221,7.63
348,15.16
11,25
37,29.75
74,24.82
93,24.93
129,21.97
156,12.53
184,5.3
214,24.1
254,23.2
282,17.96
305,9.55
338,10.69
36,27.2
64,17.95
127,23.71
155,15.41
183,26.74
218,26.39
281,6.56
344,10.86
9,30.26
42,30.39
70,32.53
98,49.41
126,22.54
155,28.94
189,14.75
217,15.64
253,14.17
283,15.85
322,9.55
344,7.09
12,35.91
40,42.88
61,26
96,18.52
127,34.57
152,25.47
194,16.8
222,28.01
257,24.9
278,12.2
313,13.85
341,16.31
11,26.28
41,11.1
67,20.57
96,26.47
130,12.98
158,14.5
215,14.94
257,10.47
276,9.38
312,8.72
341,8.24
10,11.69
38,32.05
73,22.77
101,20.03
129,19.62
159,14.54
187,30.23
220,27.91
248,18.65
276,14.02
321,10.01
9,37.26
37,42.51
75,37.47
100,62.78
207,10.91
226,12.21
283,13.93
312,11.34
338,13.06
98,27.86
128,29.69
161,22.73
224,11.7
253,16.18
280,7.16
316,14.22
337,6.72
13,20.31
34,7.62
90,16.86
125,21.38
163,47.92
245,37.54
279,10.64
315,8.09
337,16.19
68,24.6
113,12.8
209,17.91
229,29.01
252,18.57
319,11.02
342,8.89
11,11.06
34,18.76
131,8.45
158,4.04
263,17.11
355,5.37
11,4.07
