,Cruise,Leg,Day,Month,Year,Date,Depth_target,Depth_real,O2_(ml/L),O2_(?mol/kg),NO3_UDO,PO4_UDO,Si(OH)4_UDO,NH4_USF,NO2_USF,NO3+NO2_USF,PO4_USF,Si(OH)4_USF,pH,Alkalinity_(mol/kg),Alkalinity_(?mol/kg),TCO2,fCO2,pH_corrected,TCO2_corrected,fCO2_corrected,Salinity_bottles,Salinity_CTD,Temperature,Sigma-t,TPP,PIP,POC_(?g/kg),PN_(?g/kg),POC_(?g/L),PN_(?g/L),C/N_particulate,DON,DOP,DOC,TOC,PrimaryProductivity,Chlorophyll,Phaeopigments,Total Prokaryotes ,Bact_Biomass_(mgC/m3),Bact_Biomass_(?MC),,
,,,,,,,target,real,,,UDO,UDO,UDO,USF,USF,USF,USF,USF,"at 25°C, no-corrected for impurities",,,,,"at 25°C, corrected for impurities",recalculated,recalculated,bottles,CTD,CTD,CTD,,,,,,,,USF,USF,,,,,,Decay Corrected,,,,
,nnn,n,dd,mm,yyyy,yyyy/mm/dd,m,m,ml/L,?mol/kg,?M,?M,?M,?M,?M,?M,?M,?M,,mol/kg,?mol/kg,?mol/kg,?atm,,?mol/kg,?atm,PSU,PSU,degC (°C),Kg/m3,nM,nM,?g/kg,?g/kg,?g/L,?g/L,mol/mol,?M,?M,?M,?M,mgC/m3/hr,mg/m3,mg/m3,(x10^8/L),mgC/m3,?MC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,001,2,08,11,1995,1995/11/08,1,1.5,4.85,211.61,0.18,0.00,2.40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,36.576,-9999,27.490,23.7200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,134.80,-9999,-9999,0.09,0.09,Samples collected on different date by Stony Brook University group.,,,,
2,001,2,08,11,1995,1995/11/08,7,6.5,4.41,192.39,0.17,0.00,2.80,-9999,-9999,-9999,-9999,-9999,-9999,0.002409,2409,-9999,-9999,-9999,-9999,-9999,36.577,-9999,27.500,23.7200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,88.30,-9999,-9999,0.07,0.06,Data reported in the master file of those cruises (Master: Biochemistry & Microbiology),,,,
3,001,2,08,11,1995,1995/11/08,15,15.0,4.38,191.08,0.16,0.00,2.20,-9999,-9999,-9999,-9999,-9999,-9999,0.002411,2411,-9999,-9999,-9999,-9999,-9999,36.590,-9999,27.490,23.7600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,80.70,-9999,-9999,0.10,0.08,,,,,
4,001,2,08,11,1995,1995/11/08,25,25.0,4.37,190.57,0.17,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.002410,2410,-9999,-9999,-9999,-9999,-9999,36.612,-9999,26.300,24.1560,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78.30,-9999,-9999,0.12,0.14,,,,,
5,001,2,08,11,1995,1995/11/08,35,35.0,4.27,186.13,0.85,0.01,1.90,-9999,-9999,-9999,-9999,-9999,-9999,0.002416,2416,-9999,-9999,-9999,-9999,-9999,36.744,-9999,25.320,24.5630,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78.20,-9999,-9999,0.13,0.20,,,,,
6,001,2,08,11,1995,1995/11/08,55,54.5,3.95,172.14,0.63,0.06,1.70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,36.829,-9999,24.750,24.8000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77.70,-9999,-9999,0.42,0.60,,,,,
7,001,2,08,11,1995,1995/11/08,75,74.0,3.87,168.64,1.08,0.08,2.20,-9999,-9999,-9999,-9999,-9999,-9999,0.002398,2398,-9999,-9999,-9999,-9999,-9999,36.847,-9999,24.480,24.9000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,73.00,-9999,-9999,0.16,0.31,,,,,
8,001,2,08,11,1995,1995/11/08,100,97.0,3.63,158.18,2.52,0.20,2.40,-9999,-9999,-9999,-9999,-9999,-9999,0.002403,2403,-9999,-9999,-9999,-9999,-9999,36.898,-9999,23.970,24.9370,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,74.00,-9999,-9999,0.07,0.16,,,,,
9,001,2,08,11,1995,1995/11/08,150,151.5,1.81,78.77,10.69,0.96,10.70,-9999,-9999,-9999,-9999,-9999,-9999,0.002363,2363,-9999,-9999,-9999,-9999,-9999,36.580,-9999,19.270,26.1700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,71.10,-9999,-9999,-9999,-9999,,,,,
10,001,2,08,11,1995,1995/11/08,200,200.0,0.45,19.58,10.57,1.50,22.10,-9999,-9999,-9999,-9999,-9999,-9999,0.002370,2370,-9999,-9999,-9999,-9999,-9999,36.448,-9999,18.230,26.3250,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,99.70,-9999,-9999,-9999,-9999,,,,,
11,001,2,08,11,1995,1995/11/08,250,251.5,0.00,0.00,9.29,2.42,37.00,-9999,-9999,-9999,-9999,-9999,-9999,0.002398,2398,-9999,-9999,-9999,-9999,-9999,36.392,-9999,17.890,26.3900,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,69.80,-9999,-9999,-9999,-9999,,,,,
12,001,2,08,11,1995,1995/11/08,300,302.5,0.00,0.00,0.29,2.56,42.20,-9999,-9999,-9999,-9999,-9999,-9999,0.002398,2398,-9999,-9999,-9999,-9999,-9999,36.363,-9999,17.660,26.4000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,66.30,-9999,-9999,-9999,-9999,,,,,
13,001,2,08,11,1995,1995/11/08,350,353.0,0.00,0.00,0.29,2.64,44.30,-9999,-9999,-9999,-9999,-9999,-9999,0.002415,2415,-9999,-9999,-9999,-9999,-9999,36.341,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,71.60,-9999,-9999,-9999,-9999,,,,,
14,001,2,08,11,1995,1995/11/08,400,409.5,0.00,0.00,0.19,2.81,55.40,-9999,-9999,-9999,-9999,-9999,-9999,0.002433,2433,-9999,-9999,-9999,-9999,-9999,36.319,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,,
15,001,2,08,11,1995,1995/11/08,450,451.0,0.00,0.00,0.20,2.99,59.50,-9999,-9999,-9999,-9999,-9999,-9999,0.002430,2430,-9999,-9999,-9999,-9999,-9999,36.296,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,59.40,-9999,-9999,-9999,-9999,,,,,
16,001,2,08,11,1995,1995/11/08,500,502.5,0.00,0.00,0.20,3.11,74.70,-9999,-9999,-9999,-9999,-9999,-9999,0.002449,2449,-9999,-9999,-9999,-9999,-9999,36.271,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,61.70,-9999,-9999,-9999,-9999,,,,,
