"","Value","month","yday","reg"
"1",0.466085,"01",12,1
"2",0.345345,"02",44,1
"3",0.26333,"03",72,1
"4",1.36048,"04",107,1
"5",0.53207,"05",130,1
"6",0.11037,"06",164,1
"7",2.697385,"07",192,1
"8",1.417175,"08",219,1
"9",2.91168,"09",254,1
"10",3.16082,"10",282,1
"11",1.756675,"11",315,1
"12",1.982685,"12",344,1
"13",1.681975,"01",7,1
"14",0.417805,"02",44,1
"15",0.36067,"02",53,1
"16",0,"03",71,1
"17",1.26521,"04",105,1
"18",0.15648,"05",129,1
"19",0.90694,"06",167,1
"20",0.04884,"07",188,1
"21",0.12466,"07",196,1
"22",1.97903,"08",228,1
"23",1.73223,"09",259,1
"24",0,"10",286,1
"25",0,"11",316,1
"26",0.00144,"12",350,1
"27",1.2448,"01",13,1
"28",0.279815,"02",41,1
"29",0,"03",70,1
"30",1.36347,"04",110,1
"31",4.64961,"06",159,1
"32",2.50265,"07",189,1
"33",4.151505,"08",216,1
"34",3.214555,"09",243,1
"35",2.796395,"12",349,1
"36",4.09682,"01",11,1
"37",0.018,"03",62,1
"38",1.23914,"04",96,1
"39",0.00198,"05",125,1
"40",1.70148,"06",158,1
"41",1.36168,"07",195,1
"42",0.75178,"08",222,1
"43",1.748785,"09",256,1
"44",2.59637,"10",277,1
"45",2.55796,"11",307,1
"46",3.19003,"12",340,1
"47",1.76888,"01",10,1
"48",1.036935,"02",38,1
"49",0.92179,"03",68,1
"50",1.00584,"04",101,1
"51",1.9442,"05",131,1
"52",1.28998,"06",157,1
"53",0.589,"07",188,1
"54",3.63,"08",221,1
"55",3.68307,"09",255,1
"56",3.9259,"10",283,1
