"","Value","month","yday","reg"
"58",9.00719245515394,"07",184,2
"59",10.1136983303271,"08",214,2
"60",8.33347647021675,"09",254,2
"61",9.31296827100321,"10",282,2
"62",7.95819073918175,"11",305,2
"63",7.58533145999365,"12",338,2
"64",9.73226540223623,"02",36,2
"65",10.2039255034491,"03",64,2
"66",11.0915892933379,"04",99,2
"67",10.2028161009145,"05",127,2
"68",8.17944481038372,"06",155,2
"69",36.276612939982,"07",183,2
"70",9.09603380916254,"08",218,2
"71",9.36625214485936,"09",246,2
"72",9.59638288081872,"10",281,2
"73",9.64648382801265,"12",344,2
"74",11.2256030023367,"01",9,2
"75",10.6359522203546,"02",42,2
"76",11.0321543541205,"03",70,2
"77",10.4179091327772,"04",98,2
"78",10.5227216872485,"05",126,2
"79",10.3143499379632,"06",155,2
"80",11.4359401303174,"07",189,2
"81",8.22102104240555,"08",217,2
"82",7.57226626227147,"09",253,2
"83",6.54382922837176,"10",283,2
"84",8.50725497529169,"11",322,2
"85",8.14675860036938,"12",344,2
"86",11.9701126819672,"01",12,2
"87",6.40668662674651,"02",40,2
"88",10.1948895126067,"03",61,2
"89",11.2485236496956,"04",96,2
"90",11.2443125388814,"05",127,2
"91",9.55343282896832,"06",152,2
"92",8.55595313524741,"07",194,2
"93",8.96133209194699,"08",222,2
"94",8.13301802237259,"09",257,2
"95",8.99458936539082,"10",278,2
"96",8.1316493502027,"11",313,2
"97",7.46828354640881,"12",341,2
"98",9.17302634235923,"01",11,2
"99",10.4226467730706,"02",41,2
"100",9.3888589620086,"03",67,2
"101",9.38186338340871,"04",96,2
"102",8.85020668488267,"05",130,2
"103",9.63987645319489,"06",158,2
"104",8.91618820346674,"08",215,2
"105",9.7770010884205,"09",257,2
"106",7.92656095919953,"10",276,2
"107",7.02849783243317,"11",312,2
"108",9.97658106625425,"12",341,2
