"","Value","month","yday","reg"
"1",NA,"01",11,1
"2",NA,"02",43,1
"3",NA,"03",72,1
"4",NA,"04",106,1
"5",NA,"05",129,1
"6",NA,"06",163,1
"7",NA,"07",191,1
"8",NA,"08",218,1
"9",NA,"09",253,1
"10",NA,"10",282,1
"11",NA,"11",314,1
"12",NA,"12",345,1
"13",NA,"01",6,1
"14",NA,"02",43,1
"15",NA,"03",71,1
"16",NA,"04",104,1
"17",0.751767576430616,"05",129,1
"18",NA,"06",167,1
"19",NA,"07",188,1
"20",NA,"08",228,1
"21",0.595618594837225,"09",259,1
"22",NA,"10",286,1
"23",1.18599205913515,"11",316,1
"24",NA,"12",350,1
"25",NA,"01",13,1
"26",0.596247263006632,"02",41,1
"27",0.868586640809005,"03",70,1
"28",0.635725270471777,"04",110,1
"29",0.627405903620116,"06",159,1
"30",0.776725032324149,"07",189,1
"31",0.720872157980882,"08",216,1
"32",0.775876544021853,"09",243,1
"33",0.617329274437947,"10",286,1
"34",0.536288704094261,"11",313,1
"35",0.674422345866272,"12",349,1
"36",0.789967391907309,"01",11,1
"37",1.29631872873186,"02",40,1
"38",0.597433123259923,"03",62,1
"39",0.583001333573582,"04",96,1
"40",0.691889985733217,"05",125,1
"41",0.928433147275449,"06",158,1
"42",1.03287846709149,"07",195,1
"43",0.762403439539775,"08",222,1
"44",0.6158378387047,"09",256,1
"45",0.504037054080512,"10",277,1
"46",0.739944238527417,"11",307,1
"47",0.639191404910981,"12",340,1
"48",0.755685877374039,"01",10,1
"49",0.736345149742275,"02",38,1
"50",0.75286722911462,"03",68,1
"51",0.750343344219883,"04",101,1
"52",0.702444216371744,"05",131,1
"53",0.644920731078017,"06",157,1
"54",0.657969416579025,"07",188,1
"55",0.532287406906733,"08",221,1
"56",0.547605883924017,"09",255,1
"57",0.549971494794547,"10",283,1
