"","Value","month","yday","reg"
"1",NA,"01",11,1
"2",NA,"02",43,1
"3",NA,"03",72,1
"4",NA,"04",106,1
"5",NA,"05",129,1
"6",NA,"06",163,1
"7",NA,"07",191,1
"8",NA,"08",218,1
"9",NA,"09",253,1
"10",NA,"10",282,1
"11",NA,"11",314,1
"12",NA,"12",345,1
"13",NA,"01",6,1
"14",NA,"02",43,1
"15",NA,"03",71,1
"16",NA,"04",104,1
"17",7.58690176058478,"05",129,1
"18",NA,"06",167,1
"19",NA,"07",188,1
"20",NA,"08",228,1
"21",4.54483412022373,"09",259,1
"22",NA,"10",286,1
"23",13.4097278279493,"11",316,1
"24",NA,"12",350,1
"25",NA,"01",13,1
"26",3.97290680652024,"02",41,1
"27",7.15571761661713,"03",70,1
"28",4.02231391613,"04",110,1
"29",4.77049176341086,"06",159,1
"30",6.04970091741057,"07",189,1
"31",5.2610828066044,"08",216,1
"32",5.37087318113586,"09",243,1
"33",4.40127312566748,"10",286,1
"34",3.90332806921464,"11",313,1
"35",5.07977992364837,"12",349,1
"36",6.19070048035006,"01",11,1
"37",15.3840155191308,"02",40,1
"38",4.15285297861351,"03",62,1
"39",4.5753757732483,"04",96,1
"40",5.75028898818364,"05",125,1
"41",9.41564737582656,"06",158,1
"42",11.0903487857814,"07",195,1
"43",6.58751245287023,"08",222,1
"44",6.92612613166402,"09",256,1
"45",4.29569315970906,"10",277,1
"46",7.69272609372978,"11",307,1
"47",6.66641858798342,"12",340,1
"48",6.9545688195952,"01",10,1
"49",6.0525738398556,"02",38,1
"50",6.29088928138777,"03",68,1
"51",5.93606014602398,"04",101,1
"52",6.17921017646981,"05",131,1
"53",5.35045671591774,"06",157,1
"54",5.5425250879089,"07",188,1
"55",3.40394158060393,"08",221,1
"56",3.36709016705898,"09",255,1
"57",4.23371452830949,"10",283,1
