"","Value","month","yday","reg"
"57",2.39395,"07",184,2
"58",4.54762,"08",214,2
"59",4.881705,"09",254,2
"60",4.292025,"10",282,2
"61",4.277475,"11",305,2
"62",6.60511,"12",338,2
"63",7.29329,"02",36,2
"64",7.502455,"03",64,2
"65",8.96043,"04",99,2
"66",7.73538,"05",127,2
"67",3.89649,"06",155,2
"68",3.967275,"07",183,2
"69",4.81376,"08",218,2
"70",4.205995,"09",246,2
"71",7.44743,"10",291,2
"72",6.257745,"12",344,2
"73",4.134845,"01",9,2
"74",10.80711,"02",42,2
"75",8.018715,"03",70,2
"76",6.702535,"04",98,2
"77",6.7704,"05",124,2
"78",6.715165,"06",154,2
"79",6.52831,"07",189,2
"80",8.812745,"08",217,2
"81",5.001745,"09",253,2
"82",5.630465,"10",283,2
"83",7.721975,"11",322,2
"84",5.40194,"12",344,2
"85",7.689365,"01",12,2
"86",7.679745,"02",40,2
"87",5.51003,"03",61,2
"88",8.484205,"04",96,2
"89",9.31563,"05",127,2
"90",7.771325,"06",152,2
"91",4.089715,"07",194,2
"92",9.01528,"08",222,2
"93",6.431515,"09",257,2
"94",5.615195,"10",279,2
"95",5.319395,"11",313,2
"96",3.771055,"12",341,2
"97",7.32913,"01",6,2
"98",8.079225,"02",41,2
"99",5.28431,"03",67,2
"100",4.367435,"04",96,2
"101",8.34813,"05",130,2
"102",5.35993,"06",158,2
"103",5.46066,"08",215,2
"104",6.644455,"09",257,2
"105",4.39444,"10",277,2
"106",3.962215,"11",312,2
"107",5.17946,"12",341,2
