"","Value","month","yday","reg"
"58",2.07906981199459,"07",184,2
"59",12.6941086358813,"08",214,2
"60",2.59078612688523,"09",254,2
"61",2.07595369945553,"10",282,2
"62",1.24090545390672,"11",305,2
"63",1.40114640544632,"12",338,2
"64",3.44065297398145,"02",36,2
"65",3.50320512632643,"03",64,2
"66",3.08643409096774,"04",99,2
"67",2.35107336389734,"05",127,2
"68",1.52363753813666,"06",155,2
"69",2.27161980696063,"07",183,2
"70",1.22086638931832,"08",218,2
"71",2.70879092764992,"09",246,2
"72",1.72404594261414,"10",281,2
"73",2.29092657103699,"12",344,2
"74",2.58551616086153,"01",9,2
"75",4.21005792575011,"02",42,2
"76",3.26325659046769,"03",70,2
"77",2.90421518740183,"04",98,2
"78",2.50063699306536,"05",126,2
"79",1.81100676549284,"06",155,2
"80",2.88709457113159,"07",189,2
"81",2.58042060465643,"08",217,2
"82",2.11187016197053,"09",253,2
"83",3.25568387736047,"10",283,2
"84",3.81181930906728,"11",322,2
"85",1.98187180353852,"12",344,2
"86",3.35963234625694,"01",12,2
"87",6.17961077844311,"02",40,2
"88",4.39301704055311,"03",61,2
"89",2.68579942757346,"04",96,2
"90",3.45299642670694,"05",127,2
"91",1.54832314172313,"06",152,2
"92",2.53664247233927,"07",194,2
"93",1.78205276656408,"08",222,2
"94",1.39823749845548,"09",257,2
"95",2.29861196303262,"10",278,2
"96",3.05164358714184,"11",313,2
"97",11.8887702117649,"12",341,2
"98",3.92127465477074,"01",11,2
"99",3.67680800468684,"02",41,2
"100",3.37369500786866,"03",67,2
"101",2.05475895508751,"04",96,2
"102",1.7815040130162,"05",130,2
"103",2.08540792506441,"06",158,2
"104",2.4889630195839,"08",215,2
"105",NA,"09",257,2
"106",2.64896590942482,"10",276,2
"107",2.7941114922475,"11",312,2
"108",3.95491509359519,"12",341,2
