"","Date","val","spec","reg"
"2",1996-01-13,44.21,"Tchla","1"
"3",1996-02-14,28.77,"Tchla","1"
"4",1996-03-13,21.26,"Tchla","1"
"5",1996-04-17,171.92,"Tchla","1"
"6",1996-05-10,44.24,"Tchla","1"
"7",1996-06-13,27.77,"Tchla","1"
"8",1996-07-11,23.39,"Tchla","1"
"9",1996-08-07,22.42,"Tchla","1"
"10",1996-09-11,32.23,"Tchla","1"
"11",1996-10-09,31.46,"Tchla","1"
"12",1996-11-11,43.29,"Tchla","1"
"13",1996-12-10,19.31,"Tchla","1"
"14",1997-01-08,102.33,"Tchla","1"
"15",1997-02-14,25.77,"Tchla","1"
"16",1997-02-23,40.53,"Tchla","1"
"17",1997-03-13,51.59,"Tchla","1"
"18",1997-04-16,62.59,"Tchla","1"
"19",1997-05-10,27.28,"Tchla","1"
"20",1997-06-17,21.57,"Tchla","1"
"21",1997-07-08,12.58,"Tchla","1"
"22",1997-07-16,28.78,"Tchla","1"
"23",1997-08-17,24.93,"Tchla","1"
"24",1997-09-17,16.09,"Tchla","1"
"25",1997-10-14,18.2,"Tchla","1"
"26",1997-11-13,17.29,"Tchla","1"
"27",1997-12-17,30.47,"Tchla","1"
"28",1998-01-14,30.63,"Tchla","1"
"29",1998-02-11,23.2,"Tchla","1"
"30",1998-03-12,76.93,"Tchla","1"
"31",1998-04-21,26.95,"Tchla","1"
"32",1998-06-09,48.64,"Tchla","1"
"33",1998-07-09,30,"Tchla","1"
"34",1998-08-05,33.98,"Tchla","1"
"35",1998-09-01,16.46,"Tchla","1"
"36",1998-12-16,39.84,"Tchla","1"
"37",1999-01-12,81.64,"Tchla","1"
"38",1999-03-04,1.49,"Tchla","1"
"39",1999-04-07,18.2,"Tchla","1"
"40",1999-07-15,29.81,"Tchla","1"
"41",1999-08-11,28.87,"Tchla","1"
"42",1999-09-14,23.39,"Tchla","1"
"43",1999-10-05,13.55,"Tchla","1"
"44",1999-11-04,7.84,"Tchla","1"
"45",1999-12-07,8.67,"Tchla","1"
"46",2000-01-11,29.77,"Tchla","1"
"47",2000-02-08,33.12,"Tchla","1"
"48",2000-03-09,10.05,"Tchla","1"
"49",2000-04-11,23.86,"Tchla","1"
"50",2000-05-11,30.1,"Tchla","1"
"51",2000-06-06,14.84,"Tchla","1"
"52",2000-07-07,7.11,"Tchla","1"
"53",2000-08-09,15.63,"Tchla","1"
"54",2000-09-12,28.55,"Tchla","1"
"55",2000-10-10,15.19,"Tchla","1"
"164",1996-01-13,1.43,"Prasino3","1"
"165",1996-02-14,1.64,"Prasino3","1"
"166",1996-03-13,0.49,"Prasino3","1"
"167",1996-04-17,1.11,"Prasino3","1"
"168",1996-05-10,1.11,"Prasino3","1"
"169",1996-06-13,4.43,"Prasino3","1"
"170",1996-07-11,0.89,"Prasino3","1"
"171",1996-08-07,4.19,"Prasino3","1"
"172",1996-09-11,0.82,"Prasino3","1"
"173",1996-10-09,0.52,"Prasino3","1"
"174",1996-11-11,1.94,"Prasino3","1"
"175",1996-12-10,3.99,"Prasino3","1"
"176",1997-01-08,1.57,"Prasino3","1"
"177",1997-02-14,4.29,"Prasino3","1"
"178",1997-02-23,0.38,"Prasino3","1"
"179",1997-03-13,6.84,"Prasino3","1"
"180",1997-04-16,3,"Prasino3","1"
"181",1997-05-10,1.57,"Prasino3","1"
"182",1997-06-17,9.49,"Prasino3","1"
"183",1997-07-08,1.73,"Prasino3","1"
"184",1997-07-16,2.02,"Prasino3","1"
"185",1997-08-17,5.83,"Prasino3","1"
"186",1997-09-17,3.93,"Prasino3","1"
"187",1997-10-14,5.84,"Prasino3","1"
"188",1997-11-13,4.14,"Prasino3","1"
"189",1997-12-17,4.85,"Prasino3","1"
"190",1998-01-14,2.01,"Prasino3","1"
"191",1998-02-11,2.25,"Prasino3","1"
"192",1998-03-12,2.83,"Prasino3","1"
"193",1998-04-21,2.64,"Prasino3","1"
"194",1998-06-09,3.62,"Prasino3","1"
"195",1998-07-09,3.3,"Prasino3","1"
"196",1998-08-05,2.13,"Prasino3","1"
"197",1998-09-01,0.5,"Prasino3","1"
"198",1998-12-16,1.97,"Prasino3","1"
"199",1999-01-12,0.04,"Prasino3","1"
"200",1999-03-04,0,"Prasino3","1"
"201",1999-04-07,0.46,"Prasino3","1"
"202",1999-07-15,0.17,"Prasino3","1"
"203",1999-08-11,0,"Prasino3","1"
"204",1999-09-14,0.6,"Prasino3","1"
"205",1999-10-05,2.58,"Prasino3","1"
"206",1999-11-04,0.95,"Prasino3","1"
"207",1999-12-07,0.69,"Prasino3","1"
"208",2000-01-11,1.77,"Prasino3","1"
"209",2000-02-08,1.92,"Prasino3","1"
"210",2000-03-09,0.81,"Prasino3","1"
"211",2000-04-11,1.33,"Prasino3","1"
"212",2000-05-11,1.76,"Prasino3","1"
"213",2000-06-06,2.17,"Prasino3","1"
"214",2000-07-07,0.19,"Prasino3","1"
"215",2000-08-09,1.51,"Prasino3","1"
"216",2000-09-12,1.53,"Prasino3","1"
"217",2000-10-10,2.49,"Prasino3","1"
"326",1996-01-13,1.08,"Crypto1","1"
"327",1996-02-14,1.93,"Crypto1","1"
"328",1996-03-13,0.92,"Crypto1","1"
"329",1996-04-17,2.76,"Crypto1","1"
"330",1996-05-10,0.22,"Crypto1","1"
"331",1996-06-13,3.81,"Crypto1","1"
"332",1996-07-11,0.19,"Crypto1","1"
"333",1996-08-07,0.14,"Crypto1","1"
"334",1996-09-11,0.64,"Crypto1","1"
"335",1996-10-09,0.64,"Crypto1","1"
"336",1996-11-11,1.39,"Crypto1","1"
"337",1996-12-10,1.17,"Crypto1","1"
"338",1997-01-08,1.26,"Crypto1","1"
"339",1997-02-14,0.27,"Crypto1","1"
"340",1997-02-23,0.03,"Crypto1","1"
"341",1997-03-13,0,"Crypto1","1"
"342",1997-04-16,0.02,"Crypto1","1"
"343",1997-05-10,0.29,"Crypto1","1"
"344",1997-06-17,0.06,"Crypto1","1"
"345",1997-07-08,0.02,"Crypto1","1"
"346",1997-07-16,0.52,"Crypto1","1"
"347",1997-08-17,0.1,"Crypto1","1"
"348",1997-09-17,0.98,"Crypto1","1"
"349",1997-10-14,1,"Crypto1","1"
"350",1997-11-13,0.49,"Crypto1","1"
"351",1997-12-17,1.01,"Crypto1","1"
"352",1998-01-14,1.61,"Crypto1","1"
"353",1998-02-11,0.5,"Crypto1","1"
"354",1998-03-12,0.29,"Crypto1","1"
"355",1998-04-21,1.11,"Crypto1","1"
"356",1998-06-09,4.38,"Crypto1","1"
"357",1998-07-09,0.21,"Crypto1","1"
"358",1998-08-05,0.6,"Crypto1","1"
"359",1998-09-01,1.42,"Crypto1","1"
"360",1998-12-16,1.19,"Crypto1","1"
"361",1999-01-12,5.37,"Crypto1","1"
"362",1999-03-04,0.11,"Crypto1","1"
"363",1999-04-07,0.06,"Crypto1","1"
"364",1999-07-15,0.94,"Crypto1","1"
"365",1999-08-11,0.01,"Crypto1","1"
"366",1999-09-14,0.35,"Crypto1","1"
"367",1999-10-05,0.91,"Crypto1","1"
"368",1999-11-04,0.01,"Crypto1","1"
"369",1999-12-07,0.07,"Crypto1","1"
"370",2000-01-11,2.13,"Crypto1","1"
"371",2000-02-08,1.67,"Crypto1","1"
"372",2000-03-09,0.24,"Crypto1","1"
"373",2000-04-11,0.92,"Crypto1","1"
"374",2000-05-11,1.73,"Crypto1","1"
"375",2000-06-06,0.2,"Crypto1","1"
"376",2000-07-07,0.02,"Crypto1","1"
"377",2000-08-09,0.59,"Crypto1","1"
"378",2000-09-12,0.21,"Crypto1","1"
"379",2000-10-10,0.49,"Crypto1","1"
"488",1996-01-13,3.03,"Hapto6","1"
"489",1996-02-14,2.18,"Hapto6","1"
"490",1996-03-13,2.05,"Hapto6","1"
"491",1996-04-17,50.81,"Hapto6","1"
"492",1996-05-10,9.76,"Hapto6","1"
"493",1996-06-13,3.76,"Hapto6","1"
"494",1996-07-11,7.14,"Hapto6","1"
"495",1996-08-07,7.13,"Hapto6","1"
"496",1996-09-11,12.59,"Hapto6","1"
"497",1996-10-09,8.69,"Hapto6","1"
"498",1996-11-11,8.71,"Hapto6","1"
"499",1996-12-10,4.01,"Hapto6","1"
"500",1997-01-08,5.52,"Hapto6","1"
"501",1997-02-14,1.15,"Hapto6","1"
"502",1997-02-23,1.02,"Hapto6","1"
"503",1997-03-13,0,"Hapto6","1"
"504",1997-04-16,6.31,"Hapto6","1"
"505",1997-05-10,1.22,"Hapto6","1"
"506",1997-06-17,4.2,"Hapto6","1"
"507",1997-07-08,1.38,"Hapto6","1"
"508",1997-07-16,2.42,"Hapto6","1"
"509",1997-08-17,7.85,"Hapto6","1"
"510",1997-09-17,3.17,"Hapto6","1"
"511",1997-10-14,3.74,"Hapto6","1"
"512",1997-11-13,6.71,"Hapto6","1"
"513",1997-12-17,7.07,"Hapto6","1"
"514",1998-01-14,5.66,"Hapto6","1"
"515",1998-02-11,2.71,"Hapto6","1"
"516",1998-03-12,2.16,"Hapto6","1"
"517",1998-04-21,6.17,"Hapto6","1"
"518",1998-06-09,21.14,"Hapto6","1"
"519",1998-07-09,15.59,"Hapto6","1"
"520",1998-08-05,14.78,"Hapto6","1"
"521",1998-09-01,4.24,"Hapto6","1"
"522",1998-12-16,11.18,"Hapto6","1"
"523",1999-01-12,28.38,"Hapto6","1"
"524",1999-03-04,1.06,"Hapto6","1"
"525",1999-04-07,6.94,"Hapto6","1"
"526",1999-07-15,10.56,"Hapto6","1"
"527",1999-08-11,4.98,"Hapto6","1"
"528",1999-09-14,6.37,"Hapto6","1"
"529",1999-10-05,3.59,"Hapto6","1"
"530",1999-11-04,1.6,"Hapto6","1"
"531",1999-12-07,1.78,"Hapto6","1"
"532",2000-01-11,4.02,"Hapto6","1"
"533",2000-02-08,6.13,"Hapto6","1"
"534",2000-03-09,2.58,"Hapto6","1"
"535",2000-04-11,2.05,"Hapto6","1"
"536",2000-05-11,4.66,"Hapto6","1"
"537",2000-06-06,4.35,"Hapto6","1"
"538",2000-07-07,1.38,"Hapto6","1"
"539",2000-08-09,3.5,"Hapto6","1"
"540",2000-09-12,4.55,"Hapto6","1"
"541",2000-10-10,3.28,"Hapto6","1"
"650",1996-01-13,0.59,"Chloro1","1"
"651",1996-02-14,0,"Chloro1","1"
"652",1996-03-13,0.09,"Chloro1","1"
"653",1996-04-17,11.84,"Chloro1","1"
"654",1996-05-10,1.04,"Chloro1","1"
"655",1996-06-13,0.21,"Chloro1","1"
"656",1996-07-11,0.42,"Chloro1","1"
"657",1996-08-07,0.6,"Chloro1","1"
"658",1996-09-11,1.16,"Chloro1","1"
"659",1996-10-09,1.19,"Chloro1","1"
"660",1996-11-11,2.14,"Chloro1","1"
"661",1996-12-10,0.5,"Chloro1","1"
"662",1997-01-08,1.42,"Chloro1","1"
"663",1997-02-14,0,"Chloro1","1"
"664",1997-02-23,0.02,"Chloro1","1"
"665",1997-03-13,0,"Chloro1","1"
"666",1997-04-16,0,"Chloro1","1"
"667",1997-05-10,0,"Chloro1","1"
"668",1997-06-17,0,"Chloro1","1"
"669",1997-07-08,0.02,"Chloro1","1"
"670",1997-07-16,0,"Chloro1","1"
"671",1997-08-17,0,"Chloro1","1"
"672",1997-09-17,0.1,"Chloro1","1"
"673",1997-10-14,0,"Chloro1","1"
"674",1997-11-13,0,"Chloro1","1"
"675",1997-12-17,0,"Chloro1","1"
"676",1998-01-14,0,"Chloro1","1"
"677",1998-02-11,0,"Chloro1","1"
"678",1998-03-12,0,"Chloro1","1"
"679",1998-04-21,0,"Chloro1","1"
"680",1998-06-09,1.47,"Chloro1","1"
"681",1998-07-09,0,"Chloro1","1"
"682",1998-08-05,1.56,"Chloro1","1"
"683",1998-09-01,0.67,"Chloro1","1"
"684",1998-12-16,1.72,"Chloro1","1"
"685",1999-01-12,1.24,"Chloro1","1"
"686",1999-03-04,0,"Chloro1","1"
"687",1999-04-07,0.05,"Chloro1","1"
"688",1999-07-15,0,"Chloro1","1"
"689",1999-08-11,0,"Chloro1","1"
"690",1999-09-14,0.15,"Chloro1","1"
"691",1999-10-05,0,"Chloro1","1"
"692",1999-11-04,0,"Chloro1","1"
"693",1999-12-07,0.04,"Chloro1","1"
"694",2000-01-11,0.01,"Chloro1","1"
"695",2000-02-08,0.03,"Chloro1","1"
"696",2000-03-09,0.22,"Chloro1","1"
"697",2000-04-11,0,"Chloro1","1"
"698",2000-05-11,0,"Chloro1","1"
"699",2000-06-06,0.12,"Chloro1","1"
"700",2000-07-07,0.02,"Chloro1","1"
"701",2000-08-09,0.12,"Chloro1","1"
"702",2000-09-12,0,"Chloro1","1"
"703",2000-10-10,0,"Chloro1","1"
"812",1996-01-13,0.46,"Cyano4","1"
"813",1996-02-14,0.34,"Cyano4","1"
"814",1996-03-13,0.27,"Cyano4","1"
"815",1996-04-17,1.36,"Cyano4","1"
"816",1996-05-10,0.54,"Cyano4","1"
"817",1996-06-13,0.11,"Cyano4","1"
"818",1996-07-11,2.7,"Cyano4","1"
