"","NO2NO3","month","yday","reg"
"1",NA,"01",11,1
"2",NA,"02",43,1
"3",NA,"03",72,1
"4",NA,"04",106,1
"5",NA,"05",129,1
"6",NA,"06",163,1
"7",NA,"07",191,1
"8",NA,"08",218,1
"9",NA,"09",253,1
"10",NA,"10",282,1
"11",NA,"11",314,1
"12",NA,"12",345,1
"13",NA,"01",6,1
"14",NA,"02",43,1
"15",NA,"03",71,1
"16",NA,"04",104,1
"17",10.4975620086486,"05",129,1
"18",NA,"06",167,1
"19",NA,"07",188,1
"20",NA,"08",228,1
"21",8.99416820193549,"09",259,1
"22",NA,"10",286,1
"23",11.4265015348634,"11",316,1
"24",NA,"12",350,1
"25",NA,"01",13,1
"26",8.17885976451949,"02",41,1
"27",10.4307856849847,"03",70,1
"28",8.78489870382179,"04",110,1
"29",8.44838471100466,"06",159,1
"30",9.88907232259495,"07",189,1
"31",9.78770903593033,"08",216,1
"32",9.45087655814727,"09",243,1
"33",9.21288331086899,"10",286,1
"34",8.38824225811246,"11",313,1
"35",8.80063639054116,"12",349,1
"36",8.96344601810222,"01",11,1
"37",10.4586459139437,"02",40,1
"38",9.19259433434463,"03",62,1
"39",9.56450295513718,"04",96,1
"40",9.14170661900052,"05",125,1
"41",10.6955810890609,"06",158,1
"42",10.4522761978444,"07",195,1
"43",9.89429622588442,"08",222,1
"44",8.61322080636153,"09",256,1
"45",7.4799908405583,"10",277,1
"46",8.90213870083632,"11",307,1
"47",7.17578327273631,"12",340,1
"48",9.08663293228379,"01",10,1
"49",9.03567610650475,"02",38,1
"50",9.33470614968184,"03",68,1
"51",9.42799265492329,"04",101,1
"52",8.87475396062593,"05",131,1
"53",9.6588584909927,"06",157,1
"54",10.07780027827,"07",188,1
"55",8.26109603536572,"08",221,1
"56",8.49739463432818,"09",255,1
"57",8.87146437510395,"10",283,1
