"","SiOH","month","yday","reg"
"58",4.68666220554298,"07",184,2
"59",6.25933775361669,"08",214,2
"60",4.88685332433692,"09",254,2
"61",5.22339120014895,"10",282,2
"62",3.45549228101375,"11",305,2
"63",3.80637841525451,"12",338,2
"64",6.17720224160754,"02",36,2
"65",6.92386894879196,"03",64,2
"66",9.43860333678531,"04",99,2
"67",5.89094587842589,"05",127,2
"68",7.49913445318435,"06",155,2
"69",4.90674227546974,"07",183,2
"70",4.32197239733331,"08",218,2
"71",5.26453609647273,"09",246,2
"72",6.36919843396155,"10",281,2
"73",6.09563412967019,"12",344,2
"74",7.77187454442325,"01",9,2
"75",7.19835022077706,"02",42,2
"76",7.62023011746256,"03",70,2
"77",5.215488922845,"04",98,2
"78",5.8985130344738,"05",126,2
"79",5.74421291462855,"06",155,2
"80",50.1425744374211,"07",189,2
"81",3.46769228929771,"08",217,2
"82",5.46773081704397,"09",253,2
"83",5.33658672270604,"10",283,2
"84",7.86323324040844,"11",322,2
"85",5.24754482404759,"12",344,2
"86",13.1261613041517,"01",12,2
"87",15.2402395209581,"02",40,2
"88",6.54725064817894,"03",61,2
"89",6.02279352978032,"04",96,2
"90",7.27281286969683,"05",127,2
"91",3.15829246748115,"06",152,2
"92",7.11043797385856,"07",194,2
"93",3.83597543017352,"08",222,2
"94",3.15115340170482,"09",257,2
"95",7.18673221141412,"10",278,2
"96",13.9643556280844,"11",313,2
"97",28.7856526030074,"12",341,2
"98",5.56938018944562,"01",11,2
"99",5.18626234952014,"02",41,2
"100",6.39706012611591,"03",67,2
"101",5.10207388409542,"04",96,2
"102",5.40010855883559,"05",130,2
"103",6.62856735076727,"06",158,2
"104",5.91436033247731,"08",215,2
"105",NA,"09",257,2
"106",5.73790781044618,"10",276,2
"107",4.00080469820322,"11",312,2
"108",14.4012383907777,"12",341,2
