"","SiOH","month","yday"
"1",0.568687432557225,"07",184
"2",-0.0225536788553188,"08",214
"3",0.988711043772134,"09",254
"4",0.412656131641357,"10",282
"5",1.02113965090875,"11",305
"6",1.31304250870161,"12",338
"7",2.39361143122234,"02",36
"8",1.8769394308783,"03",64
"9",1.19714305751329,"04",99
"10",1.0908756929728,"05",127
"11",0.379137329321639,"06",155
"12",0,"07",183
"13",0.578792717516722,"08",218
"14",1.56755742238182,"09",246
"15",1.56038898677869,"10",281
"16",1.29233424672805,"12",344
"17",0.659520309662356,"01",9
"18",2.38533229585465,"02",42
"19",2.14584779411942,"03",70
"20",0.8249578503424,"04",98
"21",1.03758475982342,"06",155
"22",1.31611682191051,"07",189
"23",1.33333627914326,"08",217
"24",2.25839041892636,"09",253
"25",3.05814978650701,"10",283
"26",3.10864934558289,"11",322
"27",1.26965764390367,"12",344
"28",2.5783767483961,"01",12
"29",3.40101796407186,"02",40
"30",1.33847885242007,"03",61
"31",0.383120113012012,"04",96
"32",2.63030056564078,"05",127
"33",0.363444690858686,"06",152
"34",0.931057090074226,"07",194
"35",0.32455526931036,"08",222
"36",0.31438477434925,"09",257
"37",3.37170175698603,"10",278
"38",2.43594163245616,"11",313
"39",3.08454785495966,"12",341
"40",2.27610482089325,"01",11
"41",1.25113561499717,"02",41
"42",2.27075169761236,"03",67
"43",0.8,"04",96
"44",0.24308771949345,"05",130
"45",1.48515353463149,"06",158
"46",1.81100840336134,"08",215
"47",NA,"09",257
"48",2.33648099931884,"10",276
"49",2.2737284698843,"11",312
"50",2.39489123376879,"12",341
