"","abundance","month","yday"
"1",9.91235907212424,"07",184
"2",0.0540293888726198,"08",214
"3",0.110955206158909,"09",254
"4",54.1023939143705,"10",282
"5",0.034588720236099,"11",305
"6",0.325427029918906,"12",338
"7",133.940348081034,"02",36
"8",84.2158489471896,"03",64
"9",0.278044476035521,"04",99
"10",0.0349997276319661,"05",127
"11",0.203770747508775,"06",155
"12",11.1783016783474,"07",183
"13",0.268914052689496,"08",218
"14",0.0955050375681672,"09",246
"15",0.0109441024679968,"10",281
"16",0.0580355695000718,"12",344
"17",0.373098186768592,"01",9
"18",0.0741303874056875,"02",42
"19",11.5284015612013,"03",70
"20",1.71389548494346,"04",98
"21",0.0110526315789474,"05",124
"22",0.0539275162778971,"06",155
"23",0.368904940872819,"07",189
"24",0.326462220214535,"08",217
"25",0.0365839827405747,"09",253
"26",0.0769510075096612,"10",283
"27",0.0692496569233423,"11",322
"28",0.0382248424712435,"12",344
"29",14.2263376817272,"01",12
"30",0.716326121629685,"02",40
"31",0.71011607030437,"03",61
"32",0.0284036650976999,"04",96
"33",0.687157161084263,"05",127
"34",0.0372527069771238,"06",152
"35",110.274651139024,"07",194
"36",0.00500602790332102,"08",222
"37",0.0301950556760927,"09",257
"38",0.853563073519056,"10",278
"39",0.00583751298026999,"11",313
"40",11.2850704246798,"12",341
"41",0.137935740506303,"01",11
"42",194.458909744018,"02",41
"43",0.0210725981867644,"03",67
"44",0.378132589209689,"04",96
"45",9.87651399598072,"05",130
"46",0.0526074653422775,"06",158
"47",1.04623821258416,"08",215
"48",0.159915992036121,"09",257
"49",0.448811434762137,"10",276
"50",0.192099767029145,"11",312
"51",0.502276863736103,"12",341
