"","abundance","month","yday"
"1",123.759749037421,"07",184
"2",163.09206752459,"08",214
"3",124.339466282559,"09",254
"4",263.76098208245,"10",282
"5",136.941526521372,"11",305
"6",162.271982642824,"12",338
"7",237.289358635435,"02",36
"8",460.327439203714,"03",64
"9",312.170945361769,"04",99
"10",164.660171143105,"05",127
"11",235.824264156665,"06",155
"12",201.341583949048,"07",183
"13",146.725024539206,"08",218
"14",141.880434529929,"09",246
"15",115.29641935512,"10",281
"16",0,"12",344
"17",163.348629994083,"01",9
"18",206.247025355642,"02",42
"19",87.3402639741382,"03",70
"20",97.2951698382884,"04",98
"21",98.7120319814765,"05",124
"22",87.925881583864,"06",155
"23",96.8282914611926,"07",189
"24",90.2247755779129,"08",217
"25",151.66947241016,"12",344
"26",143.412768292373,"01",12
"27",154.0544678113,"02",40
"28",91.6681311378731,"03",61
"29",100.313364771233,"04",96
"30",97.4558446697952,"05",127
"31",94.7013720157913,"06",152
"32",139.138492769212,"07",194
"33",158.555469930013,"08",222
"34",54.9783297290526,"09",257
"35",129.279888045845,"10",278
"36",99.6700641521318,"11",313
"37",109.285295989057,"12",341
"38",80.313013256107,"01",11
"39",246.889279960549,"02",41
"40",50.681160755666,"03",67
"41",88.3157309092767,"04",96
"42",373.327840457631,"05",130
"43",255.183220434476,"06",158
"44",189.366666666667,"08",215
"45",103.919252739119,"09",257
"46",91.2005417138046,"10",276
"47",92.864607799506,"11",312
"48",98.2745976639364,"12",341
