"","NO2NO3","month","yday"
"1",0,"07",184
"2",0.106310207545277,"08",214
"3",0.1,"09",254
"4",0.151134289439374,"10",282
"5",0.0382941176470588,"11",305
"6",0,"12",338
"7",0.767543666815028,"02",36
"8",0.217219017643521,"03",64
"9",0.244772450968052,"04",99
"10",0.00248688709248634,"05",127
"11",0,"06",155
"12",0,"07",183
"13",0,"08",218
"14",0.28191470049958,"09",246
"15",0.0565743827278946,"10",281
"16",1.15929495200976,"12",344
"17",0.975258587588511,"01",9
"18",0.14947028293308,"02",42
"19",1.30150397824289,"03",70
"20",0.0309644070374223,"04",98
"21",0.0297268209127099,"06",155
"22",0.0463394638839913,"07",189
"23",0.0546829636673245,"08",217
"24",0.0506035982365308,"09",253
"25",0.0517119295438902,"10",283
"26",0.120270972608544,"11",322
"27",0.0289001768229702,"12",344
"28",0.795055769768508,"01",12
"29",0.845808383233533,"02",40
"30",0.0373622636208809,"03",61
"31",0.915451013400761,"04",96
"32",0.609998340706934,"05",127
"33",0.89278513933506,"06",152
"34",0.0198420770121931,"07",194
"35",0.781496837622277,"08",222
"36",3.06130165732769,"09",257
"37",0.00192901234567901,"10",278
"38",0.092207184899328,"11",313
"39",0.030926562806819,"12",341
"40",0.0872096150066818,"01",11
"41",1.39324894842947,"02",41
"42",0.130794185515698,"03",67
"43",0.159789848987589,"04",96
"44",0.0127291529414125,"05",130
"45",0.6648749017243,"06",158
"46",0.00771114798002686,"08",215
"47",0.0257015201800216,"09",257
"48",0.168517750238997,"10",276
"49",0.0494747650051785,"11",312
"50",2.03993116928554,"12",341
