"","SiOH","month","yday"
"1",NA,"01",11
"2",NA,"02",43
"3",NA,"03",72
"4",NA,"04",106
"5",NA,"05",129
"6",NA,"06",163
"7",NA,"07",191
"8",NA,"08",218
"9",NA,"09",253
"10",NA,"10",282
"11",NA,"11",314
"12",NA,"12",345
"13",NA,"01",6
"14",NA,"02",43
"15",NA,"03",71
"16",NA,"04",104
"17",NA,"05",129
"18",NA,"06",167
"19",NA,"07",188
"20",NA,"08",228
"21",1.21160937272665,"09",259
"22",NA,"10",286
"23",1.78069396350187,"11",316
"24",NA,"12",350
"25",NA,"01",13
"26",0.079142155834158,"02",41
"27",5.90917648385303,"03",70
"28",0.662602901985872,"04",110
"29",0,"06",159
"30",0,"07",189
"31",0.0542692676919042,"08",216
"32",0.230706990878692,"09",243
"33",0.641373466864972,"10",286
"34",0.56351928452655,"11",313
"35",0.673572151657944,"12",349
"36",0.133745107656562,"01",11
"37",7.2638711235031,"02",40
"38",0.63047417151266,"03",62
"39",0,"04",96
"40",0.236552547186273,"05",125
"41",1.3245300156266,"06",158
"42",1.13672131745163,"07",195
"43",1.74614378071388,"08",222
"44",1.7645071311372,"09",256
"45",1.69015971245865,"10",277
"46",NA,"11",307
"47",2.03463919582712,"12",340
"48",NA,"01",10
"49",NA,"02",38
"50",4.46513915647993,"03",68
"51",0.747462542065061,"04",101
"52",1.31372648734799,"05",131
"53",0.97730077162255,"06",157
"54",0,"07",188
"55",NA,"08",221
"56",0.973207018935473,"09",255
"57",0.763162949152565,"10",283
