"","CruiseID","Date","MLD2015","MLD2019","x0.1","x1","x10"
"1","93HG_001",1995-11-08,NA,24.138,NA,NA,NA
"2","93HG_002",1995-12-13,NA,18.103,NA,NA,NA
"3","93HG_003",1996-01-12,36,10.057,NA,NA,NA
"4","93HG_004",1996-02-13,28,8.046,NA,NA,NA
"5","93HG_005",1996-03-13,28,10.057,NA,NA,NA
"6","93HG_006",1996-04-16,32,7.04,NA,NA,NA
"7","93HG_007",1996-05-09,12,8.046,NA,NA,NA
"8","93HG_008",1996-06-12,21,4.023,NA,NA,NA
"9","93HG_009",1996-07-10,14,4.023,NA,NA,NA
"10","93HG_010",1996-08-06,22,4.023,NA,NA,NA
"11","93HG_011",1996-09-10,9,9.01,NA,NA,NA
"12","93HG_012",1996-10-09,18,6.008,NA,NA,NA
"13","93HG_013",1996-11-10,14,3.002,NA,NA,NA
"14","93HG_014",1996-12-11,27,26.093,NA,NA,NA
"15","93HG_015",1997-01-07,62,11.11,NA,NA,NA
"16","93HG_016",1997-02-13,34,11.022,NA,NA,NA
"17","93HG_017",1997-03-13,31,6.086,NA,NA,NA
"18","93HG_018",1997-04-15,27,7.935,NA,NA,NA
"19","93HG_019",1997-05-10,14,6.986,NA,NA,NA
"20","93HG_020",1997-06-17,13,13.204,NA,NA,NA
"21","93HG_021",1997-07-08,9,7.039,NA,NA,NA
"22","93HG_022",1997-08-17,17,1.112,NA,NA,NA
"23","93HG_023",1997-09-17,19,3.996,NA,NA,NA
"24","93HG_024",1997-10-14,11,3.007,NA,NA,NA
"25","93HG_025",1997-11-13,17,15.064,59,48.5,23
"26","93HG_026",1997-12-17,13,5.12,59,34,13.5
"27","93HG_027",1998-01-14,22,7.12,46.5,33,14
"28","93HG_028",1998-02-11,35,22.123,NA,NA,21
"29","93HG_029",1998-03-12,43,4.993,25.5,14.5,6.5
"30","93HG_030",1998-04-21,26,9.037,74,45,21
"32","93HG_031",1998-06-09,17,5.034,71,45,23.5
"33","93HG_032",1998-07-09,14,14.107,60,41.5,17.5
"34","93HG_033",1998-08-05,17,4.002,71.5,48,29
"35","93HG_034",1998-09-01,12,3.043,74,57.5,27
"36","93HG_035",1998-10-14,12,4.122,80,52.5,27.5
"37","93HG_036",1998-11-10,21,8.111,90,57,31
"38","93HG_037",1998-12-16,26,23.124,91.5,56.5,29.5
"39","93HG_038",1999-01-12,22,1.119,57,28.5,12.5
"40","93HG_039",1999-02-10,52,24.123,NA,NA,NA
"41","93HG_040",1999-03-04,14,9.088,69,49.2,23.5
"42","93HG_041",1999-04-07,19,19.197,50,48.5,27
"43","93HG_042",1999-05-06,19,4.055,67.6,45.2,25.5
