"","X","CruiseID","Date","month","days","press","lat","lon","sigma_t","sigma_0","potemp","sal","temp","beam_att","beam_cp","fluor_chla","belowmld"
"1",12,"93HG_001",1995-11-08,11,311,24.138,10.5,-64.67,23.982,23.984,26.711,36.663,26.717,NA,NA,NA,TRUE
"2",638,"93HG_002",1995-12-13,12,346,18.103,10.5,-64.67,24.712,24.684,25.33,36.906,25.334,NA,NA,NA,TRUE
"3",1240,"93HG_003",1996-01-12,1,11,28.162,10.5,-64.67,25.174,25.175,23.727,36.913,23.733,NA,NA,NA,TRUE
"4",1813,"93HG_004",1996-02-13,2,43,24.138,10.5,-64.67,25.348,25.35,23.206,36.943,23.211,NA,NA,NA,TRUE
"5",2437,"93HG_005",1996-03-13,3,72,14.08,10.5,-64.67,25.609,25.61,22.113,36.873,22.116,NA,NA,NA,TRUE
"6",3741,"93HG_006",1996-04-16,4,106,10.057,10.5,-64.67,25.578,25.579,22.343,36.893,22.345,NA,NA,NA,TRUE
"7",5047,"93HG_007",1996-05-09,5,129,10.057,10.5,-64.67,25.651,25.652,21.535,36.714,21.537,NA,NA,NA,TRUE
"8",5713,"93HG_008",1996-06-12,6,163,15.086,10.5,-64.67,25.01,25.011,24.336,36.938,24.339,NA,NA,NA,TRUE
"9",7022,"93HG_009",1996-07-10,7,191,14.08,10.5,-64.67,24.469,24.47,25.637,36.75,25.64,NA,NA,NA,TRUE
"10",8365,"93HG_010",1996-08-06,8,218,10.057,10.5,-64.67,24.98,24.981,24.434,36.938,24.436,NA,NA,NA,TRUE
"11",9026,"93HG_011",1996-09-10,9,253,10.038,10.5,-64.67,23.309,23.31,28.672,36.509,28.674,0.52,NA,0.122,TRUE
"12",10381,"93HG_012",1996-10-09,10,282,10.047,10.5,-64.67,24.162,24.163,26.394,36.658,26.396,0.563,NA,0.19,TRUE
"13",11701,"93HG_013",1996-11-10,11,314,13.027,10.5,-64.67,24.558,24.559,25.248,36.709,25.251,0.555,NA,0.347,TRUE
"14",13038,"93HG_014",1996-12-11,12,345,27.277,10.5,-64.67,24.43,24.432,25.718,36.733,25.724,0.514,NA,0.498,TRUE
"15",14342,"93HG_015",1997-01-07,1,6,16.094,10.5,-64.67,25.192,25.193,23.567,36.876,23.57,1.14,NA,3.051,TRUE
"16",15655,"93HG_016",1997-02-13,2,43,18.136,10.5,-64.67,25.33,25.331,23.203,36.917,23.206,0.609,NA,1.159,TRUE
"17",16968,"93HG_017",1997-03-13,3,71,18.996,10.5,-64.67,25.834,25.835,20.932,36.735,20.936,0.906,NA,1.533,TRUE
"18",18279,"93HG_018",1997-04-15,4,104,20.119,10.5,-64.67,25.611,25.612,22.148,36.887,22.152,0.708,NA,1.428,TRUE
"19",19581,"93HG_019",1997-05-10,5,129,11.072,10.5,-64.67,25.247,25.248,23.292,36.842,23.295,0.763,NA,1.438,TRUE
"20",20895,"93HG_020",1997-06-17,6,167,13.204,10.5,-64.67,24.877,24.878,24.8,36.949,24.803,0.531,NA,0.268,TRUE
"21",22203,"93HG_021",1997-07-08,7,188,10.083,10.5,-64.67,25.417,25.418,23.191,37.027,23.193,0.821,NA,0.683,TRUE
"22",23572,"93HG_022",1997-08-17,8,228,9.062,10.5,-64.67,25.479,25.479,22.637,36.896,22.639,0.475,NA,0.165,TRUE
"23",24931,"93HG_023",1997-09-17,9,259,17.112,10.5,-64.67,23.782,23.784,26.987,36.406,26.991,0.467,NA,0.081,TRUE
"24",26250,"93HG_024",1997-10-14,10,286,11.016,10.5,-64.67,23.774,23.775,27.334,36.543,27.337,0.434,NA,0.182,TRUE
"25",27597,"93HG_025",1997-11-13,11,316,17.137,10.5,-64.67,24.3,24.301,25.904,36.637,25.908,0.465,NA,0.162,TRUE
"26",28915,"93HG_026",1997-12-17,12,350,14.059,10.5,-64.67,25.175,25.175,23.487,36.824,23.49,0.87,NA,1.149,TRUE
"27",30270,"93HG_027",1998-01-14,1,13,17.14,10.5,-64.67,25.038,25.039,24.186,36.919,24.19,0.668,NA,0.681,TRUE
"28",31585,"93HG_028",1998-02-11,2,41,22.123,10.5,-64.67,24.7,24.702,25.308,36.922,25.313,0.492,NA,1.091,TRUE
"29",32162,"93HG_029",1998-03-12,3,70,33.123,10.5,-64.67,25.79,25.792,21.485,36.879,21.491,NA,NA,0.14,TRUE
"30",33453,"93HG_030",1998-04-21,4,110,12.121,10.5,-64.67,24.664,24.665,25.373,36.903,25.376,NA,NA,0.222,TRUE
"31",34770,"93HG_031",1998-06-09,6,159,16.085,10.5,-64.67,24.701,24.701,25.195,36.876,25.199,0.521,NA,0.382,TRUE
"32",36081,"93HG_032",1998-07-09,7,189,14.107,10.5,-64.67,25.064,25.065,24.038,36.892,24.041,0.543,NA,0.233,TRUE
"33",37395,"93HG_033",1998-08-05,8,216,17.106,10.5,-64.67,23.939,23.941,27.133,36.677,27.137,0.442,NA,0.151,TRUE
"34",38704,"93HG_034",1998-09-01,9,243,12.081,10.5,-64.67,23.614,23.615,27.712,36.496,27.715,0.459,NA,0.143,TRUE
"35",40014,"93HG_035",1998-10-14,10,286,12.075,10.5,-64.67,24.305,24.306,26.072,36.726,26.075,0.486,NA,0.158,TRUE
"36",41336,"93HG_036",1998-11-10,11,313,21.106,10.5,-64.67,24.059,24.06,26.678,36.642,26.683,0.464,NA,0.099,TRUE
"37",42652,"93HG_037",1998-12-16,12,349,25.109,10.5,-64.67,24.227,24.229,26.39,36.745,26.396,0.525,NA,0.115,TRUE
"38",43960,"93HG_038",1999-01-12,1,11,20.963,10.5,-64.67,25.154,25.155,23.691,36.877,23.695,0.624,NA,1.267,TRUE
"39",45344,"93HG_039",1999-02-10,2,40,52.317,10.5,-64.67,25.714,25.716,21.635,36.834,21.645,0.577,NA,0.325,TRUE
"40",46615,"93HG_040",1999-03-04,3,62,13.105,10.5,-64.67,25.164,25.165,23.74,36.909,23.742,0.651,NA,0.43,TRUE
"41",47933,"93HG_041",1999-04-07,4,96,20.115,10.5,-64.67,24.771,24.773,25.13,36.943,25.134,0.546,NA,0.236,TRUE
"42",49243,"93HG_042",1999-05-06,5,125,19.147,10.5,-64.67,24.794,24.795,24.932,36.893,24.936,0.6,NA,0.161,TRUE
"43",50549,"93HG_043",1999-06-08,6,158,14.074,10.5,-64.67,24.799,24.8,25.048,36.948,25.051,0.535,NA,0.173,TRUE
"44",51862,"93HG_044",1999-07-15,7,195,13.135,10.5,-64.67,24.551,24.552,25.595,36.844,25.598,0.558,NA,0.188,TRUE
"45",53173,"93HG_045",1999-08-11,8,222,13.04,10.5,-64.67,24.12,24.121,26.6,36.693,26.603,0.542,NA,0.115,TRUE
"46",54499,"93HG_046",1999-09-14,9,256,13.083,10.5,-64.67,23.436,23.437,28.288,36.509,28.291,0.49,NA,0.1,TRUE
"47",55806,"93HG_047",1999-10-05,10,277,17.103,10.5,-64.67,23.55,23.551,27.708,36.41,27.712,0.501,NA,0.063,TRUE
"48",57058,"93HG_048",1999-11-04,11,307,18.064,10.5,-64.67,23.425,23.426,28.038,36.385,28.042,0.5,NA,0.224,TRUE
"49",58329,"93HG_049",1999-12-07,12,340,37.243,10.5,-64.67,23.171,23.174,28.245,36.144,28.254,0.45,NA,0.176,TRUE
"50",59542,"93HG_050",2000-01-11,1,10,13.945,10.5,-64.67,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,0.873,NA,0.812,TRUE
"51",60644,"93HG_051",2000-02-08,2,38,15.042,10.5,-64.67,25.319,25.32,22.97,36.813,22.973,0.686,NA,0.994,TRUE
"52",61808,"93HG_052",2000-03-09,3,68,15.076,10.5,-64.67,25.172,25.173,23.506,36.826,23.509,0.578,NA,0.128,TRUE
"53",63120,"93HG_053",2000-04-11,4,101,25.123,10.5,-64.67,25.136,25.138,23.955,36.955,23.96,0.691,NA,0.744,TRUE
