"","Cruise","Leg","Day","Month","Year","Depth_target","Depth_real","O2_ml_L","O2_umol_kg","SiOH4_Cumana","  PO4_Cumana","NO3_Cumana","NH4 ","NO2 ","NO3NO2 ","PO4","SiOH4","pH","Alkalinity","TCO2","fCO2","Salinity_bott","Salinity_bottcorr","Salinity_ctd","Temp_ctd","Sigma-t_ctd","TPP","PIP","POC","PN","C/N part.","POC","PN","DON_USF","DOP_USF","DOC","TOC","PriPro","Chl","Phaeo","Date","DateString","yday"
"1",1,2,8,11,1995,1,1.5,4.85,211.61,2.4,0,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.576,NA,NA,27.49,23.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,0.09,0.09,1995-11-08,"1995-11-8",311
"2",1,2,8,11,1995,7,6.5,4.41,192.39,2.8,0,0.17,NA,NA,NA,NA,NA,NA,0.002409,NA,NA,36.577,NA,NA,27.5,23.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,0.07,0.06,1995-11-08,"1995-11-8",311
"3",1,2,8,11,1995,15,15,4.38,191.08,2.2,0,0.16,NA,NA,NA,NA,NA,NA,0.002411,NA,NA,36.59,NA,NA,27.49,23.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,0.1,0.08,1995-11-08,"1995-11-8",311
"4",1,2,8,11,1995,25,25,4.37,190.57,NA,0,0.17,NA,NA,NA,NA,NA,NA,0.00241,NA,NA,36.612,NA,NA,26.3,24.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,0.12,0.14,1995-11-08,"1995-11-8",311
"5",1,2,8,11,1995,35,35,4.27,186.13,1.9,0.01,0.85,NA,NA,NA,NA,NA,NA,0.002416,NA,NA,36.744,NA,NA,25.32,24.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,0.13,0.2,1995-11-08,"1995-11-8",311
"6",1,2,8,11,1995,55,54.5,3.95,172.14,1.7,0.06,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.829,NA,NA,24.75,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,0.42,0.6,1995-11-08,"1995-11-8",311
"7",1,2,8,11,1995,75,74,3.87,168.64,2.2,0.08,1.08,NA,NA,NA,NA,NA,NA,0.002398,NA,NA,36.847,NA,NA,24.48,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,0.16,0.31,1995-11-08,"1995-11-8",311
"8",1,2,8,11,1995,100,97,3.63,158.18,2.4,0.2,2.52,NA,NA,NA,NA,NA,NA,0.002403,NA,NA,36.898,NA,NA,23.97,24.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,0.07,0.16,1995-11-08,"1995-11-8",311
"9",1,2,8,11,1995,150,151.5,1.81,78.77,10.7,0.96,10.69,NA,NA,NA,NA,NA,NA,0.002363,NA,NA,36.58,NA,NA,19.27,26.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,1995-11-08,"1995-11-8",311
"10",1,2,8,11,1995,200,200,0.45,19.58,22.1,1.5,10.57,NA,NA,NA,NA,NA,NA,0.00237,NA,NA,36.448,NA,NA,18.23,26.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,1995-11-08,"1995-11-8",311
"11",1,2,8,11,1995,250,251.5,0,0,37,2.42,9.29,NA,NA,NA,NA,NA,NA,0.002398,NA,NA,36.392,NA,NA,17.89,26.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,1995-11-08,"1995-11-8",311
"12",1,2,8,11,1995,300,302.5,0,0,42.2,2.56,0.29,NA,NA,NA,NA,NA,NA,0.002398,NA,NA,36.363,NA,NA,17.66,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,1995-11-08,"1995-11-8",311
"13",1,2,8,11,1995,350,353,0,0,44.3,2.64,0.29,NA,NA,NA,NA,NA,NA,0.002415,NA,NA,36.341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,1995-11-08,"1995-11-8",311
"14",1,2,8,11,1995,400,409.5,0,0,55.4,2.81,0.19,NA,NA,NA,NA,NA,NA,0.002433,NA,NA,36.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-11-08,"1995-11-8",311
"15",1,2,8,11,1995,450,451,0,0,59.5,2.99,0.2,NA,NA,NA,NA,NA,NA,0.00243,NA,NA,36.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,1995-11-08,"1995-11-8",311
"16",1,2,8,11,1995,500,502.5,0,0,74.7,3.11,0.2,NA,NA,NA,NA,NA,NA,0.002449,NA,NA,36.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,1995-11-08,"1995-11-8",311
"17",1,2,8,11,1995,750,752.5,0,0,81.7,3.32,0.2,NA,NA,NA,NA,NA,NA,0.002429,NA,NA,36.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,1995-11-08,"1995-11-8",311
"18",1,2,8,11,1995,1000,1005,0,0,80.3,3.45,0.07,NA,NA,NA,NA,NA,NA,0.002464,NA,NA,36.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,1995-11-08,"1995-11-8",311
