"","date","value_int","reg","spec","value_int.x","reg.x","spec.x","value_int.y","reg.y","spec.y"
"1",1995-12-14,5.866175,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"2",1996-01-13,29.02089,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"3",1996-02-14,20.237395,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"4",1996-03-13,14.92514,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"5",1996-04-17,101.29711,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"6",1996-05-10,31.409455,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"7",1996-06-13,15.995075,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"8",1996-07-11,11.01977,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"9",1996-08-07,8.370465,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"10",1996-09-11,13.05641,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"11",1996-10-09,15.686575,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"12",1996-11-11,24.581915,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"13",1996-12-10,7.13724,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"14",1997-01-08,87.488705,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"15",1997-02-14,17.466675,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"16",1997-02-23,38.102235,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"17",1997-03-13,44.402065,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"18",1997-04-16,49.011215,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"19",1997-05-10,21.319745,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"20",1997-06-17,5.777955,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"21",1997-07-08,8.565365,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"22",1997-07-16,20.236755,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
"23",1997-08-17,8.11141,"1","Diatoms_Hapto1",NA,NA,NA,NA,NA,NA
