"","Date","X.x","Cruise_ID","Leg","lon.x","lat.x","Day","days.x","Month","Year","Depth_target","Depth_real","O2_ml_L","O2_ml_L_Q","O2_umol_kg","O2_umol_kg_Q","SiOH4_Cumana","SiOH4_Cumana_Q","PO4_Cumana","PO4_Cumana_Q","NO3_Cumana","NO3_Cumana_Q","NH4","NH4_Q","NO2","NO2_Q","NO3_NO2","NO3_NO2_Q","PO4","PO4_Q","SiOH4","SiOH4_Q","pH","pH_Q","Alkalinity","Alkalinity_Q","TCO2","TCO2_Q","fCO2","fCO2_Q","sal_bot","sal_bot_Q","sal_bot_corr","sal_bot_corr_Q","sal_ctd","sal_ctd_Q","Temp","Temp_Q","Sigma_t","Sigma_t_Q","TPP","TPP_Q","PIP","PIP_Q","POC_ug_L","POC_ug_L_Q","PON_ug_L","PON_ug_L_Q","CtoN_part","CtoN_part_Q","POC_ug_kg","POC_ug_kg_Q","PON_ug_kg","PON_ug_kg_Q","DON_USF_uM","DON_USF_uM_Q","DOP_USF_uM","DOP_USF_uM_Q","DOC","DOC_Q","TOC","TOC_Q","PriPro","PriPro_Q","Chl","Chl_Q","Phaeo","Phaeo_Q","X.1","X.y","CruiseID","month","days.y","press","lat.y","lon.y","sigma_t","sigma_0","potemp","sal","temp","beam_att","beam_cp","fluor_chla","belowmld","depthdiff"
"1",1999-02-10,756,"93HG_039",1,-64.67,10.5,10,40,2,1999,1,1.585,NA,0,NA,0,NA,9,9.96920996838687e+36,9,NA,9,0.33,0,0.14,0,1.67,0,0.21,0,0.44,0,NA,0,0.002415,0,NA,0,NA,0,36.852,0,NA,9,NA,0,22.561,0,25.459,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,104,8,NA,9,NA,0,3.84,0,1.54,0,39,45344,"93HG_039",2,40,52.317,10.5,-64.67,25.714,25.716,21.635,36.834,21.645,0.577,NA,0.325,TRUE,50.732
"2",1999-02-10,757,"93HG_039",1,-64.67,10.5,10,40,2,1999,7,6.717,NA,0,NA,0,NA,9,9.96920996838687e+36,9,NA,9,0.32,0,0.15,0,1.91,0,0.23,0,0.79,0,NA,0,0.002397,0,NA,0,NA,0,36.843,0,NA,9,NA,0,22.224,0,25.562,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,196,8,NA,9,NA,0,2.89,0,2.61,0,39,45344,"93HG_039",2,40,52.317,10.5,-64.67,25.714,25.716,21.635,36.834,21.645,0.577,NA,0.325,TRUE,45.6
"3",2002-02-14,1442,"93HG_075",1,-64.67,10.5,14,44,2,2002,1,1.746,NA,0,NA,0,1.15,1,0.56,1,0.68,1,0.08,0,0.04,0,0,0,0.05,0,1.01,0,NA,9,NA,9,NA,9,NA,9,36.854,0,NA,9,NA,0,23.408,0,25.225,0,NA,9,NA,9,NA,0,NA,0,10.5,0,NA,0,NA,0,NA,9,NA,9,NA,9,NA,9,NA,0,2.7,0,2.25,0,75,91710,"93HG_075",2,44,46.268,10.5,-64.67,25.578,25.581,22.177,36.859,22.186,NA,NA,NA,TRUE,44.522
"4",2001-02-16,1213,"93HG_063",1,-64.67,10.5,16,46,2,2001,1,1.782,NA,0,NA,0,NA,9,9.96920996838687e+36,9,NA,9,0.21,0,0.09,0,0.36,0,0.07,0,0,0,NA,0,0.002425,8,NA,8,NA,8,36.808,0,NA,9,NA,0,22.057,0,25.576,0,NA,9,NA,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,9,NA,9,193,8,NA,9,15.07,0,3.84,0,2.04,0,63,76268,"93HG_063",2,46,45.262,10.5,-64.67,25.834,25.836,21.069,36.785,21.078,0.575,NA,1.595,TRUE,43.48
"5",2012-02-07,3562,"93HG_188",1,-64.67,10.5,7,37,2,2012,1,1.17,NA,0,NA,0,NA,9,9.96920996838687e+36,9,NA,9,1.12,8,0,0,0.07,0,0.09,0,1.12,0,NA,0,0.002407,0,NA,0,NA,0,36.794,0,NA,9,NA,0,23.021,0,25.279,0,NA,0,NA,0,174.8,0,NA,0,NA,0,170.59,0,NA,0,NA,9,NA,9,57.77,0,NA,9,NA,0,0.6,0,0.5,0,188,236055,"93HG_188",2,37,40,10.5,-64.67,25.652,25.654,21.724,36.787,21.732,0.109,0.473,0.24,TRUE,38.83
"6",2002-02-14,1443,"93HG_075",1,-64.67,10.5,14,44,2,2002,7,7.627,NA,0,NA,0,1.5,1,0.23,1,0.88,1,0.05,0,0.03,0,0.06,0,0.05,0,1.32,0,NA,9,NA,9,NA,9,NA,9,36.845,0,NA,9,NA,0,22.677,0,25.431,0,NA,9,NA,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,9,NA,9,NA,9,NA,9,NA,0,2.61,0,2.33,0,75,91710,"93HG_075",2,44,46.268,10.5,-64.67,25.578,25.581,22.177,36.859,22.186,NA,NA,NA,TRUE,38.641
"7",1999-02-10,758,"93HG_039",1,-64.67,10.5,10,40,2,1999,15,13.907,NA,0,188.1,0,NA,9,9.96920996838687e+36,9,NA,9,0.47,0,0.14,0,NA,0,0.26,0,0.91,0,NA,0,0.002418,0,NA,0,NA,0,36.841,0,NA,9,NA,0,22.13,0,25.582,0,NA,9,NA,9,199.18,1,NA,1,NA,1,194.38,1,NA,1,NA,9,NA,9,95,8,NA,9,10.03,0,3.37,0,1.55,0,39,45344,"93HG_039",2,40,52.317,10.5,-64.67,25.714,25.716,21.635,36.834,21.645,0.577,NA,0.325,TRUE,38.41
"8",2001-02-16,1214,"93HG_063",1,-64.67,10.5,16,46,2,2001,7,7.62,NA,0,NA,0,NA,9,9.96920996838687e+36,9,NA,9,0.51,0,0.1,0,0.7,0,0.08,0,0,0,NA,0,0.002423,8,NA,8,NA,8,36.807,0,NA,9,NA,0,21.629,0,25.697,0,NA,9,NA,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,9,NA,9,419,8,NA,9,18.01,0,4.05,0,2.13,0,63,76268,"93HG_063",2,46,45.262,10.5,-64.67,25.834,25.836,21.069,36.785,21.078,0.575,NA,1.595,TRUE,37.642
"9",1999-12-07,950,"93HG_049",1,-64.67,10.5,7,340,12,1999,1,2.621,NA,0,190.3,0,NA,9,9.96920996838687e+36,9,NA,9,0.15,0,0.01,0,0.16,0,0.38,0,NA,0,NA,0,0.002398,0,NA,0,NA,0,36.079,0,NA,9,NA,0,28.577,0,23.0114,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,478,8,NA,9,0.66,0,0.13,0,0.1,0,49,58329,"93HG_049",12,340,37.243,10.5,-64.67,23.171,23.174,28.245,36.144,28.254,0.45,NA,0.176,TRUE,34.622
"10",2002-01-10,1423,"93HG_074",1,-64.67,10.5,10,9,1,2002,1,1.892,NA,0,NA,0,NA,9,9.96920996838687e+36,9,NA,9,0.09,0,0,0,0,0,0.02,0,0.99,0,NA,9,NA,9,NA,9,NA,9,36.853,0,NA,9,NA,0,25.08,0,24.721,0,NA,9,NA,9,NA,0,NA,0,10.36,0,199.23,0,NA,0,NA,9,NA,9,NA,9,NA,9,NA,0,1.13,0,1.14,0,74,90363,"93HG_074",1,9,36.208,10.5,-64.67,25.062,25.064,24.055,36.898,24.063,0.532,NA,0.86,TRUE,34.316
"11",2012-02-07,3563,"93HG_188",1,-64.67,10.5,7,37,2,2012,7,6.25,NA,0,NA,0,NA,9,9.96920996838687e+36,9,NA,9,0.14,0,0,0,0.04,0,0.07,0,NA,0,NA,0,0.0024,0,NA,0,NA,0,36.784,0,NA,9,NA,0,22.729,0,25.365,0,NA,0,17.8,0,180.63,0,NA,0,NA,0,176.28,0,NA,0,NA,9,NA,9,NA,9,NA,9,NA,9,0.53,0,0.49,0,188,236055,"93HG_188",2,37,40,10.5,-64.67,25.652,25.654,21.724,36.787,21.732,0.109,0.473,0.24,TRUE,33.75
"12",2012-05-15,3619,"93HG_191",2,-64.67,10.5,15,135,5,2012,1,0.74,NA,0,NA,0,NA,9,9.96920996838687e+36,9,NA,9,0.19,0,0,0,0,0,0.05,0,1.55,0,NA,0,0.002444,0,NA,0,NA,0,36.412,0,NA,9,NA,0,27.182,0,23.88,0,NA,9,NA,9,106.49,0,12.05,0,10.31,0,103.93,0,11.76,0,NA,9,NA,9,72.77,0,NA,9,1.71,0,0.16,0,0.17,0,191,239959,"93HG_191",5,135,33,10.5,-64.67,24.112,24.115,26.298,36.557,26.305,0.089,0.453,0.184,TRUE,32.26
"13",2004-01-13,1843,"93HG_096",1,-64.67,10.5,13,12,1,2004,1,2.08,NA,0,NA,0,NA,9,9.96920996838687e+36,9,NA,9,0.04,0,0.04,0,0.01,0,0.02,0,0.15,0,NA,0,0.002412,0,NA,0,NA,0,36.835,0,NA,9,NA,0,25.308,0,24.697,0,NA,9,NA,9,NA,0,NA,0,14.26,0,NA,0,NA,0,NA,9,NA,9,NA,9,NA,9,NA,0,1.02,0,0.76,0,96,118813,"93HG_096",1,12,34,10.5,-64.67,24.957,24.959,24.448,36.918,24.455,0.498,0.134,0.447,TRUE,31.92
"14",1998-03-12,554,"93HG_029",2,-64.67,10.5,12,70,3,1998,1,1.906,NA,0,NA,0,NA,9,9.96920996838687e+36,9,NA,9,0.28,0,0.07,0,0.06,0,0.09,0,0,0,NA,0,0.002413,0,NA,0,NA,0,36.849,0,NA,9,NA,0,22.727,0,25.3893,0,NA,9,NA,9,NA,1,NA,1,14.62,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,NA,0,6.42,0,3.15,0,29,32162,"93HG_029",3,70,33.123,10.5,-64.67,25.79,25.792,21.485,36.879,21.491,NA,NA,0.14,TRUE,31.217
"15",2005-04-05,2129,"93HG_111",1,-64.67,10.5,5,94,4,2005,1,1.896,NA,0,NA,0,NA,9,9.96920996838687e+36,9,NA,9,0,0,0.13,0,0.6,4,0.07,0,NA,0,NA,0,0.002468,0,NA,0,NA,0,36.892,0,NA,9,NA,0,23.78,0,25.133,0,NA,9,NA,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0.35,8,65.69,0,NA,9,12.98,0,1.34,0,0.93,0,111,138652,"93HG_111",4,94,33,10.5,-64.67,25.53,25.532,22.431,36.89,22.438,0.45,0.086,0.282,TRUE,31.104
"16",2011-02-08,3353,"93HG_177",1,-64.67,10.5,8,38,2,2011,1,2.25,NA,0,NA,0,NA,9,9.96920996838687e+36,9,NA,9,0.39,0,0.04,0,0,0,0.02,0,NA,4,NA,0,0.002414,0,NA,0,NA,0,36.793,0,NA,9,NA,0,24.742,0,24.777,0,101.6,0,15.98,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,64.17,0,NA,9,11.4,0,2.76,0,1.28,0,177,221708,"93HG_177",2,38,33,10.5,-64.67,25.209,25.211,23.375,36.827,23.382,0.138,0.502,0.265,TRUE,30.75
"17",2001-04-04,1251,"93HG_065",1,-64.67,10.5,4,93,4,2001,1,1.609,NA,0,NA,0,NA,9,9.96920996838687e+36,9,NA,9,0.06,0,0.01,0,0.01,0,0.05,0,0,0,NA,0,0.002472,8,NA,8,NA,8,NA,9,NA,9,NA,0,25.112,0,24.7578,0,NA,9,NA,9,NA,0,NA,0,11.45,0,NA,0,NA,0,NA,9,NA,9,NA,9,NA,9,NA,0,0.78,0,0.59,0,65,78877,"93HG_065",4,93,32.185,10.5,-64.67,25.286,25.288,23.463,36.964,23.47,0.497,NA,1.158,TRUE,30.576
"18",2001-02-16,1215,"93HG_063",1,-64.67,10.5,16,46,2,2001,15,15.008,NA,0,187.4,0,NA,9,9.96920996838687e+36,9,NA,9,0.62,0,0.15,0,NA,0,0.14,0,0.14,0,NA,0,0.002309,8,NA,8,NA,8,36.796,0,NA,9,NA,0,21.495,0,25.727,0,NA,9,NA,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,9,NA,9,92,8,NA,9,NA,0,4.51,0,2.2,0,63,76268,"93HG_063",2,46,45.262,10.5,-64.67,25.834,25.836,21.069,36.785,21.078,0.575,NA,1.595,TRUE,30.254
"19",2002-02-14,1444,"93HG_075",1,-64.67,10.5,14,44,2,2002,15,16.032,NA,8,182.38,8,2.19,1,0.56,1,2.44,1,0.56,0,0.15,0,1.71,0,0.15,0,1.65,0,NA,9,NA,9,NA,9,NA,9,36.841,0,NA,9,NA,0,22.459,0,25.489,0,NA,9,NA,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,9,NA,9,NA,9,NA,9,NA,0,2.75,0,2.66,0,75,91710,"93HG_075",2,44,46.268,10.5,-64.67,25.578,25.581,22.177,36.859,22.186,NA,NA,NA,TRUE,30.236
"20",2002-01-10,1424,"93HG_074",1,-64.67,10.5,10,9,1,2002,7,6.302,NA,0,NA,0,NA,9,9.96920996838687e+36,9,NA,9,0.35,0,0,0,0,0,0.02,0,0.99,0,NA,9,NA,9,NA,9,NA,9,36.846,0,NA,9,NA,0,24.596,0,24.866,0,NA,9,NA,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,9,NA,9,NA,9,NA,9,NA,0,1.19,0,1.19,0,74,90363,"93HG_074",1,9,36.208,10.5,-64.67,25.062,25.064,24.055,36.898,24.063,0.532,NA,0.86,TRUE,29.906
"21",1999-12-07,951,"93HG_049",1,-64.67,10.5,7,340,12,1999,7,7.521,NA,0,190.5,0,NA,9,9.96920996838687e+36,9,NA,9,0.7,0,0,0,0.17,0,0.32,0,NA,0,NA,0,0.002387,0,NA,0,NA,0,36.082,0,NA,9,NA,0,28.553,0,23.0184,0,NA,9,NA,9,NA,1,NA,1,10.12,1,NA,1,NA,1,NA,9,NA,9,89,1,NA,9,0.89,0,0.12,0,0.09,0,49,58329,"93HG_049",12,340,37.243,10.5,-64.67,23.171,23.174,28.245,36.144,28.254,0.45,NA,0.176,TRUE,29.722
"22",2009-12-08,3109,"93HG_164",1,-64.67,10.5,8,341,12,2009,1,1.76,NA,0,NA,0,NA,9,9.96920996838687e+36,9,NA,9,0.14,0,0.01,0,0.01,0,0.01,0,0.76,0,NA,0,0.002425,0,NA,0,NA,0,36.854,9,NA,9,NA,0,25.767,0,24.513,0,NA,0,NA,0,113.41,0,11.26,0,11.75,0,110.68,0,10.99,0,NA,9,NA,9,67.21,0,NA,9,1.12,0,0.23,0,0.13,0,164,205634,"93HG_164",12,341,31,10.5,-64.67,24.762,24.765,24.961,36.867,24.968,0.236,0.6,0.447,TRUE,29.24
