"","Date","X.x","Cruise_ID","Leg","lon.x","lat.x","Day","days.x","Month","Year","Depth_target","Depth_real","O2_ml_L","O2_ml_L_Q","O2_umol_kg","O2_umol_kg_Q","SiOH4_Cumana","SiOH4_Cumana_Q","PO4_Cumana","PO4_Cumana_Q","NO3_Cumana","NO3_Cumana_Q","NH4","NH4_Q","NO2","NO2_Q","NO3_NO2","NO3_NO2_Q","PO4","PO4_Q","SiOH4","SiOH4_Q","pH","pH_Q","Alkalinity","Alkalinity_Q","TCO2","TCO2_Q","fCO2","fCO2_Q","sal_bot","sal_bot_Q","sal_bot_corr","sal_bot_corr_Q","sal_ctd","sal_ctd_Q","Temp","Temp_Q","Sigma_t","Sigma_t_Q","TPP","TPP_Q","PIP","PIP_Q","POC_ug_L","POC_ug_L_Q","PON_ug_L","PON_ug_L_Q","CtoN_part","CtoN_part_Q","POC_ug_kg","POC_ug_kg_Q","PON_ug_kg","PON_ug_kg_Q","DON_USF_uM","DON_USF_uM_Q","DOP_USF_uM","DOP_USF_uM_Q","DOC","DOC_Q","TOC","TOC_Q","PriPro","PriPro_Q","Chl","Chl_Q","Phaeo","Phaeo_Q","X.1","X.y","CruiseID","month","days.y","press","lat.y","lon.y","sigma_t","sigma_0","potemp","sal","temp","beam_att","beam_cp","fluor_chla","belowmld","depthdiff"
"1",1995-11-08,4,"93HG_001",2,-64.67,10.5,8,311,11,1995,25,25,NA,0,190.6,0,NA,9,0,1,0.17,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,0.00241,0,NA,9,NA,9,36.612,0,NA,9,NA,9,26.3,0,24.156,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,78,1,NA,9,NA,9,0.12,0,0.14,0,1,12,"93HG_001",11,311,24.138,10.5,-64.67,23.982,23.984,26.711,36.663,26.717,NA,NA,NA,TRUE,-0.861999999999998
"2",1995-12-13,23,"93HG_002",1,-64.67,10.5,13,346,12,1995,25,26,NA,0,152.4,0,3.66,1,0.08,1,2.02,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.002416,0,NA,0,NA,0,NA,9,NA,9,NA,0,24.68,0,24.82,0,NA,9,NA,9,NA,1,16.21,1,NA,1,NA,1,15.81,1,NA,9,NA,9,NA,9,NA,9,1.76,0,0.38,0,0.42,0,2,638,"93HG_002",12,346,18.103,10.5,-64.67,24.712,24.684,25.33,36.906,25.334,NA,NA,NA,TRUE,-7.897
"3",1996-01-12,43,"93HG_003",1,-64.67,10.5,12,11,1,1996,35,36,NA,0,128.8,0,5.42,1,0.23,1,3.26,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.002409,0,NA,0,NA,0,36.893,0,NA,9,NA,9,23.42,0,25.25,0,NA,9,NA,9,NA,1,15.78,1,NA,1,NA,1,15.4,1,NA,9,NA,9,75,1,NA,9,0.07,0,0.5,0,0.46,0,3,1240,"93HG_003",1,11,28.162,10.5,-64.67,25.174,25.175,23.727,36.913,23.733,NA,NA,NA,TRUE,-7.838
"4",1996-02-13,61,"93HG_004",1,-64.67,10.5,13,43,2,1996,25,25.5,NA,0,153.7,0,3.96,1,0.15,1,2.94,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,NA,9,NA,9,NA,9,36.91,0,NA,9,NA,9,23,0,25.383,0,NA,9,NA,9,177.99,1,NA,1,NA,1,173.7,1,NA,1,NA,9,NA,9,73,1,NA,9,0.51,0,1.17,0,0.82,0,4,1813,"93HG_004",2,43,24.138,10.5,-64.67,25.348,25.35,23.206,36.943,23.211,NA,NA,NA,TRUE,-1.362
"5",1996-03-13,79,"93HG_005",1,-64.67,10.5,13,72,3,1996,15,15,NA,0,196.2,0,3.09,1,0.05,1,0.73,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,0.002438,0,NA,9,NA,9,36.87,8,NA,0,NA,0,22.095,0,25.6101,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,1.15,0,2.73,0,1.38,0,5,2437,"93HG_005",3,72,14.08,10.5,-64.67,25.609,25.61,22.113,36.873,22.116,NA,NA,NA,TRUE,-0.92
"6",1996-04-16,98,"93HG_006",1,-64.67,10.5,16,106,4,1996,15,15.5,NA,0,180.7,0,2.14,1,0.11,1,1.52,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.002417,0,NA,0,NA,0,36.842,8,NA,0,NA,0,22.2,0,25.5761,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,132,8,NA,9,NA,0,8.02,0,4.18,0,6,3741,"93HG_006",4,106,10.057,10.5,-64.67,25.578,25.579,22.343,36.893,22.345,NA,NA,NA,TRUE,-5.443
"7",1996-05-09,117,"93HG_007",2,-64.67,10.5,9,129,5,1996,15,15.5,NA,0,113.4,0,5.11,1,0.44,1,8.76,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.00241,0,NA,0,NA,0,36.8,9,NA,0,NA,0,21.176,0,25.8407,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,NA,0,1.94,0,1.09,0,7,5047,"93HG_007",5,129,10.057,10.5,-64.67,25.651,25.652,21.535,36.714,21.537,NA,NA,NA,TRUE,-5.443
"8",1996-06-12,136,"93HG_008",1,-64.67,10.5,12,163,6,1996,15,16.5,NA,0,NA,0,2.28,1,0.08,1,0.89,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.002433,0,NA,0,NA,0,36.922,0,NA,9,NA,9,24.26,0,25.02,0,NA,9,NA,9,154.25,1,NA,1,NA,1,150.53,1,NA,1,NA,9,NA,9,80,1,NA,9,NA,0,1.05,0,0.47,0,8,5713,"93HG_008",6,163,15.086,10.5,-64.67,25.01,25.011,24.336,36.938,24.339,NA,NA,NA,TRUE,-1.414
"9",1996-07-10,155,"93HG_009",2,-64.67,10.5,10,191,7,1996,15,16.5,NA,0,176.6,0,2.57,1,0.24,1,1.17,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.002424,0,NA,0,NA,0,36.863,0,NA,9,NA,9,24.87,0,24.79,0,NA,9,NA,9,NA,1,13.09,1,NA,1,NA,1,12.77,1,NA,9,NA,9,76,1,NA,9,1.19,0,0.16,0,0.14,0,9,7022,"93HG_009",7,191,14.08,10.5,-64.67,24.469,24.47,25.637,36.75,25.64,NA,NA,NA,TRUE,-2.42
"10",1996-08-06,175,"93HG_010",1,-64.67,10.5,6,218,8,1996,15,16,NA,0,176.9,0,3.01,1,0.03,1,0.36,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.002411,0,NA,0,NA,0,36.984,0,NA,9,NA,9,23.98,0,25.15,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,1.14,0,0.14,0,0.13,0,10,8365,"93HG_010",8,218,10.057,10.5,-64.67,24.98,24.981,24.434,36.938,24.436,NA,NA,NA,TRUE,-5.943
