"","Cruise_ID","Leg","lon","lat","Date","Day","days","Month","Year","Depth_target","Depth_real","O2_ml_L","O2_ml_L_Q","O2_umol_kg","O2_umol_kg_Q","SiOH4_Cumana","SiOH4_Cumana_Q","PO4_Cumana","PO4_Cumana_Q","NO3_Cumana","NO3_Cumana_Q","NH4","NH4_Q","NO2","NO2_Q","NO3_NO2","NO3_NO2_Q","PO4","PO4_Q","SiOH4","SiOH4_Q","pH","pH_Q","Alkalinity","Alkalinity_Q","TCO2","TCO2_Q","fCO2","fCO2_Q","sal_bot","sal_bot_Q","sal_bot_corr","sal_bot_corr_Q","sal_ctd","sal_ctd_Q","Temp","Temp_Q","Sigma_t","Sigma_t_Q","TPP","TPP_Q","PIP","PIP_Q","POC_ug_L","POC_ug_L_Q","PON_ug_L","PON_ug_L_Q","CtoN_part","CtoN_part_Q","POC_ug_kg","POC_ug_kg_Q","PON_ug_kg","PON_ug_kg_Q","DON_USF_uM","DON_USF_uM_Q","DOP_USF_uM","DOP_USF_uM_Q","DOC","DOC_Q","TOC","TOC_Q","PriPro","PriPro_Q","Chl","Chl_Q","Phaeo","Phaeo_Q"
"1","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,1,1.5,NA,9,NA,9,2.4,1,0,1,0.18,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,36.576,0,NA,9,NA,9,27.49,0,23.72,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,135,8,NA,9,NA,9,0.09,0,0.09,0
"2","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,7,6.5,NA,0,"192.4",0,2.8,1,0,1,0.17,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,"0.002409",0,NA,9,NA,9,36.577,0,NA,9,NA,9,27.5,0,23.72,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,88,1,NA,9,NA,9,0.07,0,0.06,0
"3","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,15,15,NA,0,"191.1",0,2.2,1,0,1,0.16,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,"0.002411",0,NA,9,NA,9,36.59,0,NA,9,NA,9,27.49,0,23.76,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,81,1,NA,9,NA,9,0.1,0,0.08,0
"4","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,25,25,NA,0,"190.6",0,NA,9,0,1,0.17,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,"0.002410",0,NA,9,NA,9,36.612,0,NA,9,NA,9,26.3,0,24.156,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,78,1,NA,9,NA,9,0.12,0,0.14,0
"5","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,35,35,NA,0,"186.2",0,1.9,1,0.01,1,0.85,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,"0.002416",0,NA,9,NA,9,36.744,0,NA,9,NA,9,25.32,0,24.563,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,78,1,NA,9,NA,9,0.13,0,0.2,0
"6","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,55,54.5,NA,0,"172.2",0,1.7,1,0.06,1,0.63,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,36.829,0,NA,9,NA,9,24.75,0,24.8,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,78,1,NA,9,NA,9,0.42,0,0.6,0
"7","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,75,74,NA,0,"168.7",0,2.2,1,0.08,1,1.08,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,"0.002398",0,NA,9,NA,9,36.847,0,NA,9,NA,9,24.48,0,24.9,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,73,1,NA,9,NA,9,0.16,0,0.31,0
"8","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,100,97,NA,0,"158.2",0,2.4,1,0.2,1,2.52,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,"0.002403",0,NA,9,NA,9,36.898,0,NA,9,NA,9,23.97,0,24.937,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,74,1,NA,9,NA,9,0.07,0,0.16,0
"9","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,150,151.5,"1.81",0,NA,0,10.7,1,0.96,1,10.69,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,"0.002363",0,NA,9,NA,9,36.58,0,NA,9,NA,9,19.27,0,26.17,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,71,1,NA,9,NA,9,0.01,0,NA,9
"10","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,200,200,"0.45",0,"19.6",0,22.1,1,1.5,1,10.57,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,"0.002370",0,NA,9,NA,9,36.448,0,NA,9,NA,9,18.23,0,26.325,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,100,8,NA,9,NA,9,0.01,0,NA,9
