"","CruiseID","Date","month","days","zoop_DW_200","zoop_ash_200","zoop_DW_500","zoop_ash_500"
"1","93HG_071",2001-10-09,10,281,26.83,6.84,15.95,3.31
"2","93HG_072",2001-11-06,11,309,7.43,0.64,2.34,0.07
"3","93HG_073",2001-12-11,12,344,5.6,0.14,0.71,0.18
"4","93HG_074",2002-01-10,1,9,10.24,0.51,4.93,0.18
"5","93HG_075",2002-02-14,2,44,12.92,2.56,NA,NA
"6","93HG_076",2002-03-12,3,70,10.55,1.78,5.47,0.77
"7","93HG_077",2002-04-02,4,91,8.71,1.82,8.31,2.15
"8","93HG_078",2002-05-07,5,126,4.5,0.43,1.31,0.09
"9","93HG_079",2002-06-12,6,162,10.63,1.07,4.54,0.35
"10","93HG_080",2002-07-09,7,189,2.86,0.45,0.88,0.13
"11","93HG_081",2002-08-06,8,217,1.79,0.36,1.28,0.31
"12","93HG_082",2002-10-03,10,275,12.35,5.69,1.5,0.36
"13","93HG_083",2002-11-07,11,310,4.76,1.09,3.33,1.06
"14","93HG_084",2002-12-05,12,338,5.52,1.57,1.9,0.51
"15","93HG_085",2003-01-14,1,13,11.99,2.62,4.74,1.11
"16","93HG_086",2003-02-11,2,41,11.8,4.43,8.74,3.3
"17","93HG_087",2003-03-11,3,69,21.85,4.85,11.38,4.24
"18","93HG_088",2003-04-08,4,97,11.97,3.18,8.42,2.3
"19","93HG_089",2003-05-13,5,132,11.26,2.09,6.03,0.98
"20","93HG_090",2003-06-10,6,160,13.57,4.19,8.8,3
"21","93HG_091",2003-07-08,7,188,7.5,1.73,5.25,1.98
"22","93HG_093",2003-09-09,9,251,8.57,1.93,4.82,1.84
"23","93HG_094",2003-11-11,11,314,4.33,1.71,3.07,0.83
"24","93HG_095",2003-12-09,12,342,9.08,2.78,3.91,2.14
"25","93HG_096",2004-01-13,1,12,10.66,2.57,2.83,0.6
"26","93HG_097",2004-02-08,2,38,5.6,1.26,3.31,1.14
"27","93HG_098",2004-03-08,3,67,6.17,1.78,4.76,2.13
"28","93HG_099",2004-04-06,4,96,18.31,5.07,10.59,4.36
"29","93HG_100",2004-05-13,5,133,11.47,4.07,5.11,2.82
"30","93HG_101",2004-06-08,6,159,14.01,3.86,10.72,4.29
"31","93HG_102",2004-07-07,7,188,18.15,5.62,7.91,2.33
"32","93HG_103",2004-08-10,8,222,15.8,3.88,8.86,2.95
"33","93HG_104",2004-09-07,9,250,11.44,2.44,3.24,1.05
"34","93HG_105",2004-10-05,10,278,5.4,1.07,2.81,1.11
