Cruise,Leg,Day,Month,Year,Depth_target,Depth_real,O2_ml_L,O2_umol_kg,SiOH4_Cumana,  PO4_Cumana,NO3_Cumana,NH4 ,NO2 ,NO3NO2 ,PO4,SiOH4,pH,Alkalinity,TCO2,fCO2,Salinity_bott,Salinity_bottcorr,Salinity_ctd,Temp_ctd,Sigma-t_ctd,TPP,PIP,POC,PN,C/N part.,POC,PN,DON_USF,DOP_USF,DOC,TOC,PriPro,Chl,Phaeo,,
001,2,08,11,1995,1,1.5,4.85,211.61,2.40,0.00,0.18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,36.576,-9999,-9999,27.490,23.7200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,135,-9999,-9999,0.09,0.09,,
001,2,08,11,1995,7,6.5,4.41,192.39,2.80,0.00,0.17,-9999,-9999,-9999,-9999,-9999,-9999,0.002409,-9999,-9999,36.577,-9999,-9999,27.500,23.7200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,88,-9999,-9999,0.07,0.06,,
001,2,08,11,1995,15,15.0,4.38,191.08,2.20,0.00,0.16,-9999,-9999,-9999,-9999,-9999,-9999,0.002411,-9999,-9999,36.590,-9999,-9999,27.490,23.7600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,81,-9999,-9999,0.10,0.08,,
001,2,08,11,1995,25,25.0,4.37,190.57,-9999,0.00,0.17,-9999,-9999,-9999,-9999,-9999,-9999,0.002410,-9999,-9999,36.612,-9999,-9999,26.300,24.1560,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78,-9999,-9999,0.12,0.14,,
001,2,08,11,1995,35,35.0,4.27,186.13,1.90,0.01,0.85,-9999,-9999,-9999,-9999,-9999,-9999,0.002416,-9999,-9999,36.744,-9999,-9999,25.320,24.5630,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78,-9999,-9999,0.13,0.20,,
001,2,08,11,1995,55,54.5,3.95,172.14,1.70,0.06,0.63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,36.829,-9999,-9999,24.750,24.8000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78,-9999,-9999,0.42,0.60,,
001,2,08,11,1995,75,74.0,3.87,168.64,2.20,0.08,1.08,-9999,-9999,-9999,-9999,-9999,-9999,0.002398,-9999,-9999,36.847,-9999,-9999,24.480,24.9000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,73,-9999,-9999,0.16,0.31,,
001,2,08,11,1995,100,97.0,3.63,158.18,2.40,0.20,2.52,-9999,-9999,-9999,-9999,-9999,-9999,0.002403,-9999,-9999,36.898,-9999,-9999,23.970,24.9370,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,74,-9999,-9999,0.07,0.16,,
001,2,08,11,1995,150,151.5,1.81,78.77,10.70,0.96,10.69,-9999,-9999,-9999,-9999,-9999,-9999,0.002363,-9999,-9999,36.580,-9999,-9999,19.270,26.1700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,71,-9999,-9999,-9999,-9999,,
001,2,08,11,1995,200,200.0,0.45,19.58,22.10,1.50,10.57,-9999,-9999,-9999,-9999,-9999,-9999,0.002370,-9999,-9999,36.448,-9999,-9999,18.230,26.3250,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,100,-9999,-9999,-9999,-9999,,
001,2,08,11,1995,250,251.5,0.00,0.00,37.00,2.42,9.29,-9999,-9999,-9999,-9999,-9999,-9999,0.002398,-9999,-9999,36.392,-9999,-9999,17.890,26.3900,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,70,-9999,-9999,-9999,-9999,,
001,2,08,11,1995,300,302.5,0.00,0.00,42.20,2.56,0.29,-9999,-9999,-9999,-9999,-9999,-9999,0.002398,-9999,-9999,36.363,-9999,-9999,17.660,26.4000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,66,-9999,-9999,-9999,-9999,,
001,2,08,11,1995,350,353.0,0.00,0.00,44.30,2.64,0.29,-9999,-9999,-9999,-9999,-9999,-9999,0.002415,-9999,-9999,36.341,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,72,-9999,-9999,-9999,-9999,,
001,2,08,11,1995,400,409.5,0.00,0.00,55.40,2.81,0.19,-9999,-9999,-9999,-9999,-9999,-9999,0.002433,-9999,-9999,36.319,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
001,2,08,11,1995,450,451.0,0.00,0.00,59.50,2.99,0.20,-9999,-9999,-9999,-9999,-9999,-9999,0.002430,-9999,-9999,36.296,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,59,-9999,-9999,-9999,-9999,,
001,2,08,11,1995,500,502.5,0.00,0.00,74.70,3.11,0.20,-9999,-9999,-9999,-9999,-9999,-9999,0.002449,-9999,-9999,36.271,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,62,-9999,-9999,-9999,-9999,,
001,2,08,11,1995,750,752.5,0.00,0.00,81.70,3.32,0.20,-9999,-9999,-9999,-9999,-9999,-9999,0.002429,-9999,-9999,36.229,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,61,-9999,-9999,-9999,-9999,,
001,2,08,11,1995,1000,1005.0,0.00,0.00,80.30,3.45,0.07,-9999,-9999,-9999,-9999,-9999,-9999,0.002464,-9999,-9999,36.221,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63,-9999,-9999,-9999,-9999,,
001,2,08,11,1995,1200,1210.0,0.00,0.00,94.10,3.57,0.08,-9999,-9999,-9999,-9999,-9999,-9999,0.002464,-9999,-9999,36.223,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,67,-9999,-9999,-9999,-9999,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002,1,13,12,1995,1,2.0,4.07,177.42,2.26,0.03,0.26,-9999,-9999,-9999,-9999,-9999,8.0597,0.002413,2079.5,399.4,-9999,-9999,36.810,25.390,24.5900,-9999,-9999,59.74,12.01,5.80,58.30,11.72,-9999,-9999,-9999,-9999,1.66,0.12,0.08,,
