n.d=no determined,,CRUISE,YEAR,MONTH,Analyst,Mesh Size,TOTAL DENSITY,BIOMASS,ASH,COPEPODOS,CALANOIDS,CYCLOPOIDA,HAPARCTICOIDA,POECILOSTOMATOIDA,,L.FISH,H.FISH,CHAETOGNATHA,CLADOCEROS,OSTRACODA,FORAMINIFERA,AMPHIPODS,ISOPODS,EUPHAUSIIDS,MISYDACEA,SERGESTID,L.CRUSTACEA,N.COPEPOD,COPEPODITE,N.CIRRIPEDIA,L.CYPRIS,L.DECAPODA,L.STOMATOPODA,L.EUPHAUSIID,L.SERGESTID,,POLICHAETES,L.CYPHONAUTES,MEDUSA,SIPHONOPHORES,CTENOPHORES,L.ECHINODERMS,PTEROPODS,HETEROPODS,GASTROPODS,L.CEPHALOPODA,L.BIVALVE,L.GASTROPOD,PROTOZOAN,RADIOLARIAN,FORAMINIFERA,,,APPENDICULARIANS,SALPS,DOLIOLIDS,BIVALVES,H.CRUSTACEA,L.ANFIOXUS,LUCIFER,JUV. GASTROPOD,,,,,,,,
,,CRUISE,YEAR,MONTH,Analyst,(µm),(ind/m3),(mg/m3) Dry Weight,(mg/m3) inorganic carbon,(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),,(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),,(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),,,(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),(ind/m3),,,,,,,,
,,71,2001,10,Javier Gutierrez,200,1113,26.8,6.8,741.8,n.d.,n.d.,n.d.,n.d.,,4,20.0,21.4,98.4,32.8,2.9,1.4,n.d.,1.4,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,15.7,,,,7.1,,n.d.,,,n.d.,39.9,,2.9,,,91.29349432,8.558765092,,,,n.d.,2.85,n.d.,,,,,,,,
,,72,2001,11,Javier Gutierrez,200,282,7.4,0.6,197.3,n.d.,n.d.,n.d.,n.d.,,,12.2,7.5,,4.2,0.5,,n.d.,0.5,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,0.9,n.d.,2.3,,1.4,0.5,0.5,,n.d.,,,n.d.,34.8,,0.5,,,18.78890775,,,,,n.d.,,n.d.,,,,,,,,
,,73,2001,12,Javier Gutierrez,200,573,5.6,0.1,440.2,n.d.,n.d.,n.d.,n.d.,,8,25.5,18.1,0.8,32.9,,,n.d.,,,n.d.,6.58,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,4.1,n.d.,,,3.3,,,,n.d.,,,n.d.,,,3.3,,,24.68305304,4.936610608,,,,n.d.,,n.d.,,,,,,,,
,,74,2002,1,Javier Gutierrez,200,499,10.2,0.5,329.1,n.d.,n.d.,n.d.,n.d.,,0,29.2,3.2,81.1,1.6,1.6,,n.d.,,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,1.6,,3.2,,1.6,,n.d.,,,n.d.,3.2,,1.6,,,3.2,37.3,,1.6,1.6,n.d.,,n.d.,,,,,,,,
,,75,2002,2,Javier Gutierrez,200,612,12.9,2.6,508.4,n.d.,n.d.,n.d.,n.d.,,,18.2,14.9,8.3,18.2,26.4,,n.d.,,,n.d.,3.30,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,1.7,n.d.,,,1.7,,1.7,,n.d.,,,n.d.,,,26.4,,,5.0,1.7,,,3.3,n.d.,,n.d.,,,,,,,,
,,76,2002,3,Javier Gutierrez,200,379,10.6,1.8,321.6,n.d.,n.d.,n.d.,n.d.,,,2.3,6.8,1.1,1.1,,1.1,n.d.,,,n.d.,11.32,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,2.3,n.d.,13.6,1.1,2.3,,2.3,,n.d.,,,n.d.,,,,,,5.7,5.7,,,,n.d.,1.1,n.d.,,,,,,,,
,,77,2002,4,Javier Gutierrez,200,572,8.7,1.8,466.1,n.d.,n.d.,n.d.,n.d.,,,12.3,4.1,35.9,3.1,18.4,1.0,n.d.,,,n.d.,6.15,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,4.1,1.0,,,2.1,,n.d.,,,n.d.,,,18.4,,,13.3,3.1,,1.0,,n.d.,,n.d.,,,,,,,,
,,78,2002,5,Javier Gutierrez,200,247,4.5,0.4,219.7,n.d.,n.d.,n.d.,n.d.,,,4.0,0.3,3.3,3.0,1.7,0.3,n.d.,,,n.d.,0.33,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,2.3,0.7,1.0,,,0.7,n.d.,,,n.d.,1.0,,1.7,,,7.0,1.3,,,,n.d.,,n.d.,,,,,,,,
,,79,2002,6,Javier Gutierrez,200,313,10.6,1.1,285.1,n.d.,n.d.,n.d.,n.d.,,1.1,4.9,4.2,0.8,4.6,3.8,1.1,n.d.,,,n.d.,1.14,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,,,,,n.d.,,,n.d.,2.3,,3.8,,,3.4,0.4,,,,n.d.,,n.d.,,,,,,,,
,,80,2002,7,Javier Gutierrez,200,97,1.4,0.5,78.0,n.d.,n.d.,n.d.,n.d.,,,0.1,0.1,14.0,2.6,0.4,,n.d.,,,n.d.,1.24,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,0.1,,,0.3,,n.d.,,,n.d.,,,0.4,,,0.1,,,0.1,,n.d.,,n.d.,,,,,,,,
,,81,2002,8,Javier Gutierrez,200,1075,1.8,0.4,921.7,n.d.,n.d.,n.d.,n.d.,,1.6,35.3,3.2,,8.0,12.0,0.8,n.d.,,7.2,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,0.8,n.d.,24.9,2.4,4.0,,13.6,,n.d.,,,n.d.,2.4,,12.0,,,35.3,1.6,,,,n.d.,,n.d.,,,,,,,,
,,82,2002,10,Javier Gutierrez,200,2269,12.4,5.7,2051.5,n.d.,n.d.,n.d.,n.d.,,,52.0,23.6,9.5,,56.7,,n.d.,,,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,,,,18.9,,n.d.,,,n.d.,,,56.7,,,28.4,4.7,,,,n.d.,,n.d.,,,,,,,,
