,Date,Cruise_ID,depth,chl.c1.c2,chl.c3,peridinin,but.fuco,fucoxanthin,hex.fuco,prasinoxanthin,lutein,alloxanthin,zeaxanthin,chl.b,chl.a,date
1,19951214,93HG_002,1,0.004,0,0.005,0.002,0.008,0.008,0.003,0,0,0.004,0.018,0.107,12/14/95
2,19951214,93HG_002,7,0.002,0,0.006,0.002,0.009,0.01,0.004,0,0.001,0.008,0.025,0.139,12/14/95
3,19951214,93HG_002,15,0.004,0,0.01,0.003,0.008,0.011,0.003,0,0.001,0.008,0.032,0.163,12/14/95
4,19951214,93HG_002,25,0.021,0.014,0.008,0.021,0.065,0.086,0.015,0,0.006,0.024,0.141,0.408,12/14/95
5,19951214,93HG_002,35,0.011,0.006,0.009,0.01,0.034,0.042,0.002,0,0.002,0.012,0.107,0.241,12/14/95
6,19951214,93HG_002,55,0.002,0.001,0,0.003,0.009,0.011,0,0,0,0.005,0.053,0.088,12/14/95
7,19951214,93HG_002,75,0.001,0,0.002,0.004,0.007,0.013,0,0,0,0.004,0.032,0.051,12/14/95
8,19951214,93HG_002,100,0,0,0,0,0.002,0.003,0,0,0,0.001,0.005,0.014,12/14/95
9,19960113,93HG_003,1,0.211,0.073,0.08,0.002,0.694,0.034,0.011,0,0.004,0.008,0.087,1.145,1/13/96
10,19960113,93HG_003,7,0.201,0.066,0.164,0.016,0.599,0.032,0.009,0,0.005,0.008,0.084,0.997,1/13/96
11,19960113,93HG_003,15,0.248,0.065,0.15,0.012,0.765,0.036,0.007,0,0.005,0.01,0.078,0.838,1/13/96
12,19960113,93HG_003,25,0.203,0.073,0.096,0.01,0.872,0.035,0.009,0,0.005,0.009,0.101,1.699,1/13/96
13,19960113,93HG_003,35,0.035,0.012,0.035,0.014,0.161,0.026,0.003,0,0.003,0.006,0.063,0.392,1/13/96
14,19960113,93HG_003,55,0.006,0.004,0.002,0.007,0.03,0.02,0,0,0,0.004,0.066,0.111,1/13/96
15,19960113,93HG_003,75,0.002,0,0.001,0.002,0.013,0.007,0,0,0,0.001,0.014,0.043,1/13/96
16,19960113,93HG_003,100,0,0,0,0,0.007,0.003,0,0,0,0,0.006,0.015,1/13/96
17,19960214,93HG_004,1,0.084,0.021,0.036,0.004,0.495,0.059,0,0,0.003,0.014,0.041,0.317,2/14/96
18,19960214,93HG_004,7,0.106,0.028,0.032,0,0.515,0.058,0.007,0,0.003,0.011,0.036,0.278,2/14/96
19,19960214,93HG_004,15,0.101,0.02,0.039,0.007,0.657,0.049,0.003,0,0.003,0.013,0.042,0.633,2/14/96
20,19960214,93HG_004,25,0.088,0.015,0.019,0.006,0.651,0.046,0.008,0,0.013,0.005,0.05,1.032,2/14/96
21,19960214,93HG_004,35,0.023,0.009,0.003,0.007,0.157,0.023,0,0,0.008,0.003,0.067,0.351,2/14/96
22,19960214,93HG_004,55,0.006,0.002,0,0.003,0.041,0.009,0,0,0.002,0.005,0.045,0.126,2/14/96
23,19960214,93HG_004,75,0.007,0.002,0.001,0.002,0.016,0.009,0,0,0,0.002,0.033,0.076,2/14/96
24,19960214,93HG_004,100,0.001,0.001,0,0.001,0.009,0.004,0,0,0,0,0.009,0.029,2/14/96
25,19960313,93HG_005,2,0.151,0.021,0.046,0,1.528,0.069,0,0,0.01,0.013,0.029,1.784,3/13/96
26,19960313,93HG_005,7,0.172,0.031,0.068,0,0.938,0.068,0,0,0.006,0,0.061,0.499,3/13/96
27,19960313,93HG_005,15,0.274,0.062,0.085,0.004,1.436,0.074,0.012,0,0.01,0.018,0.133,0.989,3/13/96
28,19960313,93HG_005,25,0.013,0,0.014,0,0.233,0.014,0,0,0.009,0.005,0.01,0.472,3/13/96
29,19960313,93HG_005,35,0.002,0,0.001,0.002,0.029,0.007,0,0,0.001,0.002,0.022,0.085,3/13/96
30,19960313,93HG_005,55,0,0,0,0.001,0.014,0.005,0,0,0,0.001,0.009,0.032,3/13/96
31,19960313,93HG_005,75,0,0,0,0.001,0.011,0.004,0,0,0,0,0.005,0.022,3/13/96
32,19960313,93HG_005,100,0,0,0,0.001,0.01,0.002,0,0,0,0,0.003,0.019,3/13/96
33,19960417,93HG_006,1,0.061,0.011,0.021,0,1.012,0.18,0,0,0,0.009,0.046,1.937,4/17/96
34,19960417,93HG_006,7,0.081,0.016,0.052,0,1.531,0.286,0,0,0,0.017,0.053,2.634,4/17/96
35,19960417,93HG_006,15,0.145,0.026,0.023,0.065,2.323,0.394,0,0,0,0.008,0.119,4.003,4/17/96
36,19960417,93HG_006,25,0.117,0.025,0.043,0.079,2.032,0.398,0.015,0,0,0.018,0.115,3.442,4/17/96
37,19960417,93HG_006,35,0.139,0.038,0.029,0.049,2.48,0.377,0,0,0,0.027,0.135,4.748,4/17/96
38,19960417,93HG_006,55,0.006,0.006,0,0.004,0.103,0.02,0,0,0,0,0.058,0.186,4/17/96
39,19960417,93HG_006,75,0.002,0.002,0,0.002,0.035,0.014,0,0,0,0,0,0.065,4/17/96
40,19960417,93HG_006,100,0,0,0,0,0,0,0,0,0,0,0,0,4/17/96
41,19960510,93HG_007,1,0.141,0.029,0,0,1.502,0.246,0,0,0,0.028,0.147,2.974,5/10/96
42,19960510,93HG_007,7,0.206,0.025,0,0,1.623,0.259,0,0,0,0.019,0.122,2.375,5/10/96
43,19960510,93HG_007,15,0.032,0.007,0,0,0.738,0.105,0,0,0,0.015,0.099,1.532,5/10/96
44,19960510,93HG_007,25,0.006,0.002,0,0.004,0.043,0.018,0,0,0,0.001,0.031,0.113,5/10/96
45,19960510,93HG_007,35,0.003,0.001,0,0.001,0.034,0.012,0,0,0,0.001,0.013,0.074,5/10/96
46,19960510,93HG_007,55,0.004,0.002,0,0.005,0.039,0.015,0,0,0,0,0.022,0.08,5/10/96
47,19960510,93HG_007,75,0,0,0,0,0.017,0.004,0,0,0,0,0.007,0.033,5/10/96
48,19960510,93HG_007,100,0,0,0,0,0.012,0.007,0,0,0,0,0.002,0.025,5/10/96
49,19960613,93HG_008,1,0.018,0.002,0.006,0.001,0.072,0.018,0,0,0.003,0,0,0.367,6/13/96
50,19960613,93HG_008,7,0.02,0.002,0.005,0.001,0.079,0.018,0,0.002,0.008,0,0.16,0.357,6/13/96
51,19960613,93HG_008,15,0.059,0.002,0.005,0.004,0.292,0.059,0,0.004,0.013,0.011,0.268,0.84,6/13/96
52,19960613,93HG_008,25,0.045,0.005,0.013,0.015,0.186,0.072,0,0.001,0.015,0.001,0.207,0.588,6/13/96
53,19960613,93HG_008,55,0.007,0.004,0,0.008,0.025,0.019,0,0.001,0.003,0,0.045,0.097,6/13/96
54,19960613,93HG_008,75,0.004,0.003,0,0.011,0.021,0.022,0,0.001,0.003,0.001,0.045,0.086,6/13/96
55,19960613,93HG_008,100,0.001,0.002,0,0.004,0.01,0.011,0,0,0.001,0,0.031,0.039,6/13/96
56,19960711,93HG_009,1,0.005,0,0.003,0.004,0.013,0.031,0.003,0,0,0.003,0.007,0.177,7/11/96
57,19960711,93HG_009,7,0.004,0,0.002,0.004,0.013,0.032,0.005,0,0,0.003,0.009,0.177,7/11/96
58,19960711,93HG_009,15,0.003,0,0.001,0.004,0.004,0.016,0,0,0,0.003,0.008,0.148,7/11/96
59,19960711,93HG_009,25,0.01,0.001,0.004,0.017,0.02,0.072,0.028,0,0,0.034,0.016,0.392,7/11/96
60,19960711,93HG_009,35,0.024,0.004,0.019,0.02,0.025,0.1,0.046,0.001,0,0.066,0.016,0.53,7/11/96
61,19960711,93HG_009,55,0.008,0.002,0.005,0.006,0.029,0.023,0.01,0,0,0.013,0.015,0.17,7/11/96
62,19960711,93HG_009,75,0.01,0.003,0.002,0.012,0.038,0.033,0.009,0,0,0.016,0.01,0.179,7/11/96
63,19960711,93HG_009,100,0.003,0.001,0.001,0.004,0.014,0.011,0.005,0,0,0.008,0.013,0.079,7/11/96
64,19960807,93HG_010,1,0.004,0.001,0.002,0.003,0.009,0.014,0,0.001,0.001,0.037,0,0.148,8/7/96
65,19960807,93HG_010,7,0.002,0.001,0.002,0.002,0.004,0.006,0,0.002,0,0.029,0,0.129,8/7/96
66,19960807,93HG_010,15,0.005,0.002,0.004,0.005,0.006,0.021,0,0.001,0.001,0.039,0,0.153,8/7/96
67,19960807,93HG_010,15,0.005,0.001,0.004,0.003,0.004,0.013,0,0.003,0,0.033,0,0.14,8/7/96
68,19960807,93HG_010,25,0.023,0.013,0.007,0.02,0.027,0.109,0.031,0.002,0,0.018,0.254,0.464,8/7/96
69,19960807,93HG_010,35,0.016,0.008,0.003,0.012,0.029,0.052,0.012,0.002,0,0.01,0.177,0.335,8/7/96
70,19960807,93HG_010,55,0.015,0.009,0.003,0.013,0.027,0.043,0,0.001,0,0.007,0.107,0.204,8/7/96
71,19960807,93HG_010,75,0.013,0.008,0.001,0.018,0.023,0.048,0,0.001,0,0.006,0.113,0.172,8/7/96
72,19960911,93HG_011,1,0.004,0,0,0.001,0.006,0.011,0.002,0,0,0.003,0.011,0.208,9/11/96
73,19960911,93HG_011,7,0.003,0,0,0.001,0.005,0.009,0.001,0,0,0.003,0.011,0.186,9/11/96
74,19960911,93HG_011,15,0.005,0,0.004,0.004,0.007,0.022,0.002,0,0,0.004,0.015,0.202,9/11/96
75,19960911,93HG_011,25,0.009,0.002,0.003,0.01,0.009,0.049,0.005,0,0,0.006,0.011,0.259,9/11/96
76,19960911,93HG_011,35,0.008,0,0.005,0.009,0.007,0.05,0.005,0,0,0.013,0.012,0.31,9/11/96
77,19960911,93HG_011,55,0.033,0.018,0.01,0.081,0.065,0.217,0.061,0.002,0.001,0.069,0.018,0.742,9/11/96
78,19960911,93HG_011,75,0.011,0.001,0.005,0.006,0.051,0.018,0.004,0,0,0.006,0.012,0.182,9/11/96
79,19960911,93HG_011,100,0.012,0.007,0.002,0.019,0.044,0.046,0.01,0,0.002,0.02,0.012,0.185,9/11/96
80,19961009,93HG_012,1,0.011,0,0.007,0.004,0.033,0.013,0.001,0,0,0.003,0.011,0.257,10/9/96
81,19961009,93HG_012,7,0.007,0,0.008,0.003,0.026,0.011,0,0,0,0.003,0.005,0.187,10/9/96
82,19961009,93HG_012,15,0.007,0,0.007,0.005,0.01,0.021,0.001,0,0,0.007,0.011,0.22,10/9/96
83,19961009,93HG_012,25,0.013,0.001,0.026,0.009,0.02,0.042,0.007,0,0,0.015,0.012,0.309,10/9/96
84,19961009,93HG_012,35,0.047,0.016,0.017,0.037,0.207,0.16,0.05,0,0,0.086,0.015,1.018,10/9/96
85,19961009,93HG_012,55,0.015,0.006,0.002,0.019,0.066,0.04,0.006,0.002,0.003,0.035,0.012,0.348,10/9/96
86,19961009,93HG_012,75,0.002,0,0.001,0.003,0.01,0.007,0.001,0,0,0.007,0.005,0.075,10/9/96
87,19961009,93HG_012,100,0,0,0,0.003,0.005,0.005,0,0,0,0.003,0.005,0.031,10/9/96
88,19961111,93HG_013,1,0.011,0.002,0.006,0.007,0.018,0.033,0.004,0,0,0.005,0.034,0.235,11/11/96
89,19961111,93HG_013,7,0.024,0.007,0.01,0.024,0.102,0.083,0.016,0,0.005,0.041,0.042,0.461,11/11/96
90,19961111,93HG_013,15,0.012,0.002,0.01,0.007,0.026,0.046,0.01,0,0,0.015,0.039,0.265,11/11/96
91,19961111,93HG_013,25,0.089,0.053,0.021,0.026,1.138,0.115,0.17,0,0,0.02,0.034,2.537,11/11/96
92,19961111,93HG_013,35,0.013,0.002,0.009,0.007,0.025,0.035,0.004,0,0,0.008,0.04,0.248,11/11/96
93,19961111,93HG_013,55,0.01,0.003,0.001,0.011,0.023,0.036,0.004,0.002,0.003,0.025,0.03,0.163,11/11/96
94,19961111,93HG_013,75,0.004,0.001,0,0.006,0.01,0.023,0.001,0,0,0.011,0.03,0.078,11/11/96
95,19961111,93HG_013,100,0.002,0,0,0.004,0.007,0.013,0,0,0,0.003,0.03,0.036,11/11/96
96,19961210,93HG_014,1,0.005,0,0.003,0.003,0.009,0.014,0.003,0,0,0.007,0.05,0.171,12/10/96
97,19961210,93HG_014,7,0.005,0.001,0.003,0.003,0.009,0.013,0.002,0,0,0.005,0.054,0.166,12/10/96
98,19961210,93HG_014,15,0.005,0,0.005,0.004,0.011,0.017,0.003,0,0,0.006,0.054,0.188,12/10/96
99,19961210,93HG_014,25,0.022,0.007,0.007,0.02,0.026,0.087,0.028,0,0.003,0.048,0.053,0.477,12/10/96
100,19961210,93HG_014,35,0.022,0.003,0.004,0.022,0.034,0.099,0.018,0.004,0.005,0.048,0.072,0.46,12/10/96
101,19961210,93HG_014,55,0.002,0.001,0,0.004,0.009,0.01,0.003,0,0.001,0.006,0.129,0.067,12/10/96
102,19961210,93HG_014,75,0.003,0.001,0,0.009,0.01,0.023,0.003,0.001,0.003,0.02,0.141,0.114,12/10/96
103,19961210,93HG_014,100,0.003,0,0,0.003,0.004,0.007,0,0,0.001,0.004,0.059,0.029,12/10/96
104,19970108,93HG_015,1,0.507,0.022,0.042,0.009,1.5,0.034,0.141,0,0,0.016,0.091,3.484,1/8/97
105,19970108,93HG_015,7,0.622,0.034,0.037,0.013,1.827,0.049,0.157,0,0,0.022,0.103,3.892,1/8/97
106,19970108,93HG_015,15,0.596,0.031,0.041,0.012,1.611,0.038,0.13,0,0,0.023,0.105,3.633,1/8/97
107,19970108,93HG_015,25,0.353,0.019,0.083,0.011,1.084,0.041,0.092,0,0,0.022,0.081,2.599,1/8/97
108,19970108,93HG_015,35,0.025,0.002,0.004,0.006,0.025,0.027,0.002,0,0.003,0.033,0.053,0.182,1/8/97
109,19970108,93HG_015,55,0.019,0.001,0.001,0.006,0.014,0.018,0.001,0,0.002,0.019,0.034,0.104,1/8/97
110,19970108,93HG_015,75,0.005,0,0,0.003,0.008,0.01,0,0,0,0.003,0.03,0.038,1/8/97
111,19970108,93HG_015,100,0.002,0,0,0.001,0.006,0.005,0,0,0,0.002,0.038,0.023,1/8/97
112,19970214,93HG_16_1,1,0.126,0.011,0.024,0.004,0.431,0.032,0.026,0,0,0.014,0.145,0.9,2/14/97
113,19970214,93HG_16_1,7,0.132,0.009,0.027,0.003,0.386,0.031,0.018,0,0,0.013,0.138,0.812,2/14/97
114,19970214,93HG_16_1,15,0.113,0.007,0.021,0.006,0.368,0.022,0.02,0,0,0.012,0.124,0.788,2/14/97
115,19970214,93HG_16_1,25,0.108,0.005,0.019,0.002,0.242,0.019,0.014,0,0,0.009,0.124,0.549,2/14/97
116,19970214,93HG_16_1,35,0.02,0.001,0.007,0.005,0.037,0.013,0.002,0,0.002,0.015,0.141,0.144,2/14/97
117,19970214,93HG_16_1,55,0.006,0.001,0.002,0.005,0.018,0.017,0.001,0,0.001,0.005,0.132,0.061,2/14/97
118,19970214,93HG_16_1,75,0.01,0,0.001,0.003,0.015,0.008,0.001,0,0.001,0.004,0.121,0.047,2/14/97
119,19970214,93HG_16_1,100,0.003,0,0.001,0.002,0.012,0.006,0.001,0,0.001,0.002,0.114,0.029,2/14/97
120,19970223,93HG_16_2,1,0.372,0.019,0.045,0.009,0.607,0.032,0.085,0,0,0.011,0.015,1.383,2/23/97
121,19970223,93HG_16_2,7,0.338,0.022,0.007,0.006,0.592,0.027,0.06,0,0,0.012,0.022,1.366,2/23/97
122,19970223,93HG_16_2,15,0.392,0.039,0.023,0.007,0.705,0.029,0.072,0,0,0.01,0.011,1.312,2/23/97
123,19970223,93HG_16_2,25,0.134,0.004,0.01,0.003,0.265,0.013,0.022,0,0,0.005,0.009,0.464,2/23/97
124,19970223,93HG_16_2,35,0,0,0,0,0,0,0,0,0,0,0,0,2/23/97
125,19970223,93HG_16_2,55,0,0.005,0,0.003,0.093,0.008,0.012,0,0,0.006,0,0.171,2/23/97
126,19970223,93HG_16_2,75,0.008,0,0,0.001,0.022,0.002,0.001,0,0,0,0.005,0.047,2/23/97
127,19970223,93HG_16_2,100,0.009,0,0.003,0,0.023,0.001,0.002,0,0,0,0.004,0.032,2/23/97
128,19970313,93HG_017,2,0.814,0.01,0,0,1.221,0.014,0.065,0,0,0,0.758,2.07,3/13/97
129,19970313,93HG_017,7,0.543,0.013,0,0,0.863,0.009,0.034,0,0,0,0.846,1.443,3/13/97
130,19970313,93HG_017,15,0.942,0.018,0.02,0,1.299,0.019,0.071,0,0,0,0.891,2.144,3/13/97
131,19970313,93HG_017,25,0.17,0,0,0,0.497,0,0.022,0,0,0,0.739,0.879,3/13/97
132,19970313,93HG_017,35,0.051,0,0,0,0.125,0,0.006,0,0,0,0.993,0.188,3/13/97
133,19970313,93HG_017,55,0.021,0,0,0,0.064,0,0.008,0,0,0,0.97,0.101,3/13/97
134,19970313,93HG_017,75,0,0,0,0,0.058,0,0.008,0,0,0,0.945,0.084,3/13/97
135,19970313,93HG_017,100,0,0,0,0,0.029,0,0.005,0,0,0,0.919,0.037,3/13/97
136,19970416,93HG_018,1,0.568,0.034,0.05,0.005,0.92,0.089,0.052,0,0,0.027,0.066,1.903,4/16/97
137,19970416,93HG_018,7,0.527,0.028,0.045,0.001,0.934,0.087,0.032,0,0,0.031,0.076,1.872,4/16/97
138,19970416,93HG_018,15,0.585,0.036,0.051,0.005,0.958,0.111,0.05,0,0,0.03,0.075,2.17,4/16/97
139,19970416,93HG_018,25,0.34,0.018,0.068,0.012,0.458,0.087,0.026,0,0,0.051,0.07,1.35,4/16/97
140,19970416,93HG_018,35,0.073,0.009,0.008,0.016,0.087,0.037,0.002,0,0,0.014,0.131,0.352,4/16/97
141,19970416,93HG_018,55,0.021,0,0,0.006,0.036,0.024,0,0,0,0,0.119,0.117,4/16/97
142,19970416,93HG_018,75,0.021,0.001,0,0.004,0.038,0.021,0,0,0,0,0.101,0.117,4/16/97
143,19970416,93HG_018,100,0,0,0,0,0.019,0,0,0,0,0,0.055,0.04,4/16/97
144,19970510,93HG_019,1,0.552,0.033,0.037,0.005,0.683,0.025,0.056,0,0,0.004,0.031,1.212,5/10/97
145,19970510,93HG_019,7,0.459,0.029,0.016,0.003,0.593,0.021,0.035,0,0,0.02,0.053,1.095,5/10/97
146,19970510,93HG_019,15,0.175,0.011,0.019,0.002,0.288,0.019,0.009,0,0,0.023,0.02,0.556,5/10/97
147,19970510,93HG_019,25,0.135,0.024,0.013,0.008,0.115,0.027,0.005,0,0.001,0.007,0.082,0.365,5/10/97
148,19970510,93HG_019,35,0.058,0.005,0.007,0.01,0.039,0.034,0.004,0,0.002,0.004,0.092,0.233,5/10/97
149,19970510,93HG_019,55,0.026,0.003,0.001,0.007,0.026,0.017,0.001,0,0,0.003,0.051,0.099,5/10/97
150,19970510,93HG_019,75,0.018,0.002,0,0.002,0.021,0.004,0.001,0,0,0,0.031,0.056,5/10/97
151,19970510,93HG_019,100,0.011,0,0,0.002,0.022,0.004,0,0,0,0,0.027,0.047,5/10/97
152,19970617,93HG_020,1,0.018,0,0.003,0.005,0.035,0.031,0.004,0,0,0.009,0.269,0.233,6/17/97
153,19970617,93HG_020,7,0.044,0.006,0.001,0.004,0.041,0.036,0.006,0,0,0.005,0.292,0.265,6/17/97
154,19970617,93HG_020,15,0.049,0.006,0.006,0.006,0.058,0.042,0.006,0,0,0.017,0.24,0.279,6/17/97
155,19970617,93HG_020,25,0.057,0.01,0.015,0.007,0.013,0.064,0.014,0,0,0.017,0.24,0.254,6/17/97
156,19970617,93HG_020,55,0.049,0.012,0.004,0.021,0.046,0.074,0.009,0,0,0.008,0.292,0.376,6/17/97
157,19970617,93HG_020,75,0.043,0.005,0.003,0.016,0.028,0.045,0.004,0,0,0.008,0.263,0.198,6/17/97
158,19970617,93HG_020,100,0,0,0,0.007,0.015,0.021,0,0,0,0.015,0.186,0.126,6/17/97
159,19970617,93HG_020,1,0,0,0,0.009,0.013,0.025,0,0,0,0.016,0.197,0.122,6/17/97
160,19970708,93HG_21_1,7,0.095,0.011,0.003,0.002,0.11,0.027,0,0,0,0.009,0.004,0.263,7/8/97
161,19970708,93HG_21_1,15,0.105,0.005,0.006,0.002,0.13,0.026,0.004,0,0,0.01,0.011,0.317,7/8/97
