"","Date","Cruise_ID","depth","chl.c1.c2","chl.c3","peridinin","but.fuco","fucoxanthin","hex.fuco","prasinoxanthin","lutein","alloxanthin","zeaxanthin","chl.b","chl.a","date"
"1","20060704","93HG_124","1","","0.0184","0.0082","0.0054","0.0555","0.0205","bd","bd","bd","0.0392","","0.2500",2006-07-04
"2","20060704","93HG_124","7","","0.0179","0.0074","0.0048","0.0574","0.0190","bd","bd","bd","0.0392","","0.2667",2006-07-04
"3","20060704","93HG_124","15","","0.0154","0.0087","0.0040","0.0482","0.0170","bd","bd","bd","0.0345","","0.2438",2006-07-04
"4","20060704","93HG_124","25","","0.0119","0.0084","0.0060","0.0103","0.0216","bd","bd","0.0012","0.0474","","0.1967",2006-07-04
"5","20060704","93HG_124","35","","0.0109","0.0080","0.0047","0.0030","0.0226","0.0053","bd","0.0008","0.0237","","0.1972",2006-07-04
"6","20060704","93HG_124","55","","0.0123","bd","0.0078","0.0129","0.0192","0.0013","bd","bd","0.0015","","0.0724",2006-07-04
"7","20060704","93HG_124","75","","0.0138","bd","0.0085","0.0075","0.0176","0.0013","bd","bd","0.0041","","0.1036",2006-07-04
"8","20060704","93HG_124","100","","0.0054","bd","0.0033","0.0047","0.0059","bd","bd","bd","0.0012","","0.0336",2006-07-04
"9","20060803","93HG_125","1","","0.0028","0.0024","0.0027","0.0053","0.0062","bd","bd","bd","0.1054","","0.2001",2006-08-03
"10","20060803","93HG_125","7","","0.0036","bd","0.0042","0.0067","0.0085","bd","bd","bd","0.1238","","0.2263",2006-08-03
"11","20060803","93HG_125","15","","0.0172","0.0279","0.0129","0.0294","0.0254","bd","bd","0.0045","0.2079","","0.5633",2006-08-03
"12","20060803","93HG_125","25","","0.0679","0.0147","0.0164","0.0407","0.0782","0.0422","bd","0.0063","0.0033","","0.4911",2006-08-03
"13","20060803","93HG_125","35","","0.0744","0.0083","0.0246","0.0739","0.0771","0.0318","bd","0.0075","0.0039","","0.4246",2006-08-03
"14","20060803","93HG_125","55","","0.0363","0.0044","0.0094","0.0305","0.0453","bd","bd","0.0033","0.0027","","0.1966",2006-08-03
"15","20060803","93HG_125","75","","0.0088","bd","0.0032","0.0143","0.0102","bd","bd","bd","0.0013","","0.0546",2006-08-03
"16","20060803","93HG_125","100","","0.0023","bd","0.0017","0.0072","0.0026","bd","bd","bd","0.0008","","0.0212",2006-08-03
"17","20060912","93HG_126","1","","0.0073","0.0061","0.0048","0.0091","0.0160","bd","bd","bd","0.0634","","0.1665",2006-09-12
"18","20060912","93HG_126","7","","0.0050","0.0038","0.0026","0.0049","0.0132","bd","bd","bd","0.0593","","0.1506",2006-09-12
"19","20060912","93HG_126","15","","0.0089","0.0093","0.0052","0.0073","0.0235","bd","bd","bd","0.0511","","0.1805",2006-09-12
"20","20060912","93HG_126","25","","0.0124","0.0049","0.0062","0.0137","0.0285","bd","bd","bd","0.0521","","0.2378",2006-09-12
"21","20060912","93HG_126","25","","0.0122","0.0048","0.0063","0.0139","0.0279","bd","bd","0.0013","0.0524","","0.2367",2006-09-12
"22","20060912","93HG_126","35","","0.0507","0.0069","0.0218","0.0423","0.0783","0.0136","bd","0.0066","0.0211","","0.3563",2006-09-12
"23","20060912","93HG_126","55","","0.0518","0.0073","0.0223","0.0524","0.0793","bd","bd","0.0062","0.0088","","0.3552",2006-09-12
"24","20060912","93HG_126","75","","0.0526","0.0063","0.0180","0.0868","0.0436","bd","bd","0.0022","0.0058","","0.2824",2006-09-12
"25","20060912","93HG_126","100","","0.0101","bd","0.0043","0.0151","0.0103","bd","bd","bd","0.0018","","0.0559",2006-09-12
"26","20061010","93HG_127","1","","0.0079","0.0029","0.0045","0.0132","0.0139","bd","bd","bd","0.0422","","0.1387",2006-10-10
"27","20061010","93HG_127","7","","0.0169","0.0040","0.0043","0.0427","0.0165","bd","bd","bd","0.0391","","0.1938",2006-10-10
"28","20061010","93HG_127","15","","0.0173","0.0072","0.0088","0.0277","0.0329","0.0072","bd","0.0009","0.0561","","0.2350",2006-10-10
"29","20061010","93HG_127","25","","0.0322","0.0119","0.0152","0.0542","0.0533","bd","bd","0.0022","0.0281","","0.2962",2006-10-10
"30","20061010","93HG_127","35","","0.1977","0.0489","0.0500","0.4289","0.1236","bd","bd","0.0068","0.0152","","1.0366",2006-10-10
"31","20061010","93HG_127","55","","0.2453","bd","0.0355","0.5327","0.0558","bd","bd","0.0046","0.0095","","1.1777",2006-10-10
"32","20061010","93HG_127","75","","0.0130","bd","0.0060","0.0237","0.0102","bd","bd","bd","0.0019","","0.0745",2006-10-10
"33","20061010","93HG_127","100","","0.0065","bd","0.0030","0.0120","0.0051","bd","bd","bd","0.0008","","0.0336",2006-10-10
"34","20061102","93HG_128","1","","0.0046","0.0029","0.0026","0.0038","0.0117","bd","bd","bd","0.0580","","0.1250",2006-11-02
"35","20061102","93HG_128","7","","0.0057","0.0033","0.0037","0.0046","0.0151","bd","bd","bd","0.0629","","0.1287",2006-11-02
"36","20061102","93HG_128","15","","0.0035","0.0076","0.0017","0.0023","0.0082","bd","bd","bd","0.0487","","0.1379",2006-11-02
"37","20061102","93HG_128","25","","0.0052","0.0036","0.0030","0.0036","0.0122","bd","bd","bd","0.0550","","0.1276",2006-11-02
"38","20061102","93HG_128","35","","0.0226","0.0077","0.0177","0.0081","0.0513","bd","bd","0.0014","0.0592","","0.2786",2006-11-02
"39","20061102","93HG_128","55","","0.0429","0.0047","0.0259","0.0229","0.0863","bd","bd","0.0051","0.0102","","0.3954",2006-11-02
"40","20061102","93HG_128","75","","0.0345","0.0031","0.0255","0.0237","0.0526","bd","bd","0.0033","0.0107","","0.2274",2006-11-02
"41","20061102","93HG_128","100","","0.0062","bd","0.0037","0.0086","0.0087","bd","bd","bd","0.0012","","0.0403",2006-11-02
"42","20061205","93HG_129","1","","0.0069","0.0032","0.0035","0.0089","0.0131","bd","bd","bd","0.0365","","0.1388",2006-12-05
"43","20061205","93HG_129","7","","0.0019","0.0025","0.0018","0.0056","0.0066","bd","bd","bd","0.0195","","0.1109",2006-12-05
"44","20061205","93HG_129","15","","0.0040","0.0031","0.0025","0.0073","0.0105","bd","bd","bd","0.0324","","0.1292",2006-12-05
"45","20061205","93HG_129","25","","0.0115","0.0069","0.0050","0.0108","0.0252","bd","bd","0.0008","0.0338","","0.1984",2006-12-05
"46","20061205","93HG_129","35","","0.0662","0.0097","0.0381","0.2178","0.1009","bd","bd","0.0060","0.0216","","0.8353",2006-12-05
"47","20061205","93HG_129","55","","0.0383","0.0081","0.0233","0.0215","0.0650","0.0022","bd","0.0040","0.0155","","0.3295",2006-12-05
"48","20061205","93HG_129","75","","0.0177","0.0018","0.0139","0.0137","0.0318","bd","bd","0.0015","0.0090","","0.2002",2006-12-05
"49","20061205","93HG_129","100","","0.0322","0.0018","0.0193","0.0156","0.0538","bd","bd","0.0010","0.0074","","0.1822",2006-12-05
"50","20070206","93HG_130","1","","0.2955","0.0332","0.0215","1.9487","0.0557","bd","bd","0.0087","0.0038","","4.0319",2007-02-06
"51","20070206","93HG_130","7","","0.3017","0.0380","0.0213","1.9499","0.0554","bd","bd","0.0085","0.0037","","3.8485",2007-02-06
"52","20070206","93HG_130","15","","0.3153","0.0369","0.0221","1.9327","0.0560","bd","bd","0.0090","0.0034","","3.7688",2007-02-06
