"","Date","Cruise_ID","depth","chl.c1.c2","chl.c3","peridinin","but.fuco","fucoxanthin","hex.fuco","prasinoxanthin","lutein","alloxanthin","zeaxanthin","chl.b","chl.a","date"
"1",19980608,"93HG_031",2,0,0,"*ND",0,6,9,0,0,0,49,0,164,1998-06-08
"2",19980608,"93HG_031",7,0,0,"ND",0,10,16,0,0,0,60,12,198,1998-06-08
"3",19980608,"93HG_031",15,0,0,"ND",5,11,20,0,0,0,62,27,242,1998-06-08
"4",19980608,"93HG_031",25,0,0,"ND",0,19,41,0,0,0,62,35,366,1998-06-08
"5",19980608,"93HG_031",35,73,70,"ND",48,155,196,12,0,14,55,305,1085,1998-06-08
"6",19980608,"93HG_031",55,0,65,"ND",54,123,207,7,0,14,34,243,865,1998-06-08
"7",19980608,"93HG_031",75,0,27,"ND",23,49,72,0,0,3,16,161,308,1998-06-08
"8",19980608,"93HG_031",101,0,0,"ND",7,7,13,0,0,0,2,58,61,1998-06-08
"9",19980709,"93HG_032",1,27,13,"0",0,66,31,0,0,0,86,7,230,1998-07-09
"10",19980709,"93HG_032",8,20,11,"0",0,63,31,0,0,0,72,14,177,1998-07-09
"11",19980709,"93HG_032",15,29,14,"0",10,53,50,0,0,0,87,23,307,1998-07-09
"12",19980709,"93HG_032",25,134,155,"0",64,186,328,9,0,6,29,178,735,1998-07-09
"13",19980709,"93HG_032",35,58,81,"0",32,93,181,2,0,0,13,90,366,1998-07-09
"14",19980709,"93HG_032",55,20,39,"0",17,38,87,0,0,0,5,91,220,1998-07-09
"15",19980709,"93HG_032",76,0,0,"0",0,0,0,0,0,0,0,0,0,1998-07-09
"16",19980709,"93HG_032",101,0,0,"0",0,0,0,0,0,0,0,0,0,1998-07-09
"17",19989895,"93HG_033",2,0,0,"0",0,15,25,0,0,0,56,0,148,NA
"18",19989895,"93HG_033",7,0,0,"0",0,18,31,0,0,0,77,0,210,NA
"19",19989895,"93HG_033",15,0,0,"0",0,14,24,0,0,0,62,0,188,NA
"20",19989895,"93HG_033",25,0,0,"0",5,0,30,0,0,0,54,45,183,NA
"21",19989895,"93HG_033",35,0,0,"0",0,0,48,0,0,0,49,70,272,NA
"22",19989895,"93HG_033",55,0,0,"0",49,184,123,0,0,0,17,232,564,NA
"23",19989895,"93HG_033",76,0,0,"0",13,36,41,0,0,0,6,92,165,NA
"24",19989895,"93HG_033",101,0,0,"0",0,9,7,0,0,0,0,0,25,NA
"25",19980901,"93HG_034",2,0,0,"0",3,9,15,0,0,8,66,0,159,1998-09-01
"26",19980901,"93HG_034",7,0,0,"0",0,7,15,0,0,7,72,0,170,1998-09-01
"27",19980901,"93HG_034",15,0,0,"0",0,13,32,0,0,7,65,0,368,1998-09-01
"28",19980901,"93HG_034",25,10,0,"0",6,0,46,0,0,3,41,0,240,1998-09-01
"29",19980901,"93HG_034",35,0,0,"0",13,0,77,0,0,3,50,52,360,1998-09-01
"30",19980901,"93HG_034",55,0,33,"0",27,69,63,0,0,0,7,0,25,1998-09-01
"31",19980901,"93HG_034",75,0,0,"0",12,39,37,0,0,0,6,0,145,1998-09-01
"32",19980901,"93HG_034",100,0,0,"0",2,5,7,0,0,0,0,0,25,1998-09-01
"33",19981014,"93HG_035",2,13,0,"6",0,10,25,0,0,0,56,0,180,1998-10-14
"34",19981014,"93HG_035",6,13,0,"0",5,10,27,0,0,0,45,0,122,1998-10-14
"35",19981014,"93HG_035",14,17,0,"8",0,12,30,0,0,0,64,0,219,1998-10-14
"36",19981014,"93HG_035",24,25,0,"21",9,10,58,0,0,0,71,0,312,1998-10-14
"37",19981014,"93HG_035",34,225,280,"0",129,142,590,19,0,21,63,344,1098,1998-10-14
"38",19981014,"93HG_035",54,85,8,"0",39,63,107,0,0,0,22,237,400,1998-10-14
"39",19981014,"93HG_035",74,5,0,"0",4,6,12,0,0,0,0,0,3,1998-10-14
"40",19981014,"93HG_035",99,0,0,"0",3,7,4,0,0,0,0,0,15,1998-10-14
"41",19981110,"93HG_036",2,0,0,"0",0,4,11,0,0,0,50,0,169,1998-11-10
"42",19981110,"93HG_036",6,3,0,"0",0,4,11,0,0,6,60,0,184,1998-11-10
"43",19981110,"93HG_036",14,0,0,"0",2,4,11,0,0,0,52,0,137,1998-11-10
"44",19981110,"93HG_036",24,5,0,"0",0,3,19,0,0,7,63,0,193,1998-11-10
"45",19981110,"93HG_036",34,20,0,"0",12,10,52,4,0,4,69,0,357,1998-11-10
"46",19981110,"93HG_036",54,56,72,"0",73,54,168,4,0,7,42,334,670,1998-11-10
"47",19981110,"93HG_036",74,12,9,"0",16,20,44,0,0,0,10,0,189,1998-11-10
"48",19981110,"93HG_036",99,5,5,"0",10,13,25,0,0,0,4,0,104,1998-11-10
"49",19981216,"93HG_037",1,0,0,"0",4,4,19,0,0,0,76,0,160,1998-12-16
"50",19981216,"93HG_037",7,0,0,"0",0,0,7,0,0,0,22,0,0,1998-12-16
"51",19981216,"93HG_037",15,0,0,"0",0,2,10,0,0,0,47,0,53,1998-12-16
"52",19981216,"93HG_037",25,0,0,"0",0,0,10,0,0,0,48,0,111,1998-12-16
"53",19981216,"93HG_037",35,63,50,"0",20,33,155,12,0,0,31,189,349,1998-12-16
"54",19981216,"93HG_037",55,72,64,"0",40,22,121,2,0,0,27,155,194,1998-12-16
"55",19981216,"93HG_037",75,18,20,"0",14,11,36,0,0,0,6,72,83,1998-12-16
"56",19981216,"93HG_037",101,7,20,"0",16,12,41,0,0,0,6,138,152,1998-12-16
"57",19990112,"93HG_038",2,527,392,"0",73,970,353,24,0,22,120,0,2630,1999-01-12
"58",19990112,"93HG_038",7,453,372,"0",84,1086,368,23,0,26,103,0,2023,1999-01-12
"59",19990112,"93HG_038",15,482,394,"0",88,1170,391,22,0,29,113,0,3140,1999-01-12
"60",19990112,"93HG_038",25,124,133,"0",52,218,235,10,0,22,42,0,1362,1999-01-12
"61",19990112,"93HG_038",35,108,119,"0",50,181,220,0,0,10,56,0,1034,1999-01-12
"62",19990112,"93HG_038",55,0,17,"0",10,25,40,0,0,0,0,0,143,1999-01-12
"63",19990112,"93HG_038",75,0,0,"0",0,8,11,0,0,0,0,0,33,1999-01-12
"64",19990112,"93HG_038",101,0,0,"0",0,0,0,0,0,0,0,0,0,1999-01-12
