"","Date","Cruise_ID","depth","chl.c1.c2","chl.c3","peridinin","but.fuco","fucoxanthin","hex.fuco","prasinoxanthin","lutein","alloxanthin","zeaxanthin","chl.b","chl.a","date"
"1","19990210","93HG_039","2","0.4307","0.1705","-9999","-9999","0.7472","0.0979",-9999,"-9999","-9999","-9999","-9999","2.4333",1999-02-10
"2","19990210","93HG_039","7","0.8283","0.3753","-9999","-9999","1.2577","0.1111",-9999,"-9999","-9999","-9999","-9999","",1999-02-10
"3","19990210","93HG_039","16","0.7439","0.3305","-9999","-9999","0.5679","-9999",-9999,"-9999","-9999","-9999","-9999","",1999-02-10
"4","19990210","93HG_039","25","0.8701","0.3181","-9999","-9999","0.7764","0.0372",-9999,"-9999","-9999","-9999","-9999","",1999-02-10
"5","19990210","93HG_039","35","1.347","0.5773","-9999","-9999","2.1701","0.1741",-9999,"-9999","-9999","-9999","-9999","",1999-02-10
"6","19990210","93HG_039","55","0.0505","-9999","-9999","-9999","0.1162","0.0056",-9999,"-9999","-9999","-9999","-9999","",1999-02-10
"7","19990210","93HG_039","75","0.0285","-9999","-9999","-9999","0.0438","-9999",-9999,"-9999","-9999","-9999","-9999","",1999-02-10
"8","19990210","93HG_039","100","0.0115","-9999","-9999","-9999","0.0148","-9999",-9999,"-9999","-9999","-9999","-9999","",1999-02-10
"9","19990304","93HG_040","2","-9999","-9999","-9999","-9999","-9999","-9999",-9999,"-9999","-9999","-9999","-9999","0",1999-03-04
"10","19990304","93HG_040","7","0.0661","0.0264","-9999","-9999","-9999","0.0438",-9999,"-9999","0.0167","-9999","-9999","0.0163",1999-03-04
"11","19990304","93HG_040","16","0.0424","0.0284","-9999","-9999","0.0203","0.0596",-9999,"-9999","-9999","0.0182","-9999","0.0244",1999-03-04
"12","19990304","93HG_040","25","0.0538","0.0361","-9999","-9999","-9999","0.056",-9999,"-9999","-9999","-9999","-9999","0.0437",1999-03-04
