"","Num","Year","Cruise_ID","Leg","Cast","lon","lat","Mon","Day","Date","Time","sample","depth","fluor_vol_filt","chl_a_tot","chl_b_tot","chl_c1_c2","chl_c3","chlide_a","carotene_a","carotene_b","fucox_but","fucox_hex","fucox","diadinox","allox","diatox","lutein","peridinin","prasinox","zeax","chl_a_fluor","chl_a_pheo_fluor"
"1",1,"1995","93HG_002","1","2","-64.67","10.5","12","14","19951214","0425","1","1","2000","0.107","0.018","0.004","0","0","0","0.001","0.002","0.008","0.008","0.003","0","0","0","0.005",0.003,0.004,0.119,0.086
"2",2,"1995","93HG_002","1","2","-64.67","10.5","12","14","19951214","0425","3","7","2000","0.139","0.025","0.002","0","0","0.001","0.002","0.002","0.01","0.009","0.003","0.001","0","0","0.006",0.004,0.008,0.148,0.103
"3",3,"1995","93HG_002","1","2","-64.67","10.5","12","14","19951214","0425","5","15","2000","0.163","0.032","0.004","0","0","0.001","0.002","0.003","0.011","0.008","0.003","0.001","0","0","0.01",0.003,0.008,0.168,0.119
"4",4,"1995","93HG_002","1","2","-64.67","10.5","12","14","19951214","0425","7","25","2000","0.408","0.141","0.021","0.014","0","0.014","0.003","0.021","0.086","0.065","0.006","0.006","0","0","0.008",0.015,0.024,0.377,0.343
"5",5,"1995","93HG_002","1","2","-64.67","10.5","12","14","19951214","0425","9","35","2000","0.241","0.107","0.011","0.006","0","0.019","0.003","0.01","0.042","0.034","0.004","0.002","0","0","0.009",0.002,0.012,0.198,0.223
"6",6,"1995","93HG_002","1","2","-64.67","10.5","12","14","19951214","0425","10","55","2000","0.088","0.053","0.002","0.001","0","0.009","0","0.003","0.011","0.009","0.001","0","0","0","0",0,0.005,0.059,0.129
"7",7,"1995","93HG_002","1","2","-64.67","10.5","12","14","19951214","0425","11","75","2000","0.051","0.032","0.001","0","0","0.004","0","0.004","0.013","0.007","0.001","0","0","0","0.002",0,0.004,0.055,0.064
"8",8,"1995","93HG_002","1","2","-64.67","10.5","12","14","19951214","0425","12","100","2000","0.014","0.005","0","0","0","0.001","0","0","0.003","0.002","0","0","0","0","0",0,0.001,0.018,0.022
"9",9,"1996","93HG_003","1","3","-64.67","10.5","1","13","19960113","0441","1","1","2000","1.145","0.087","0.211","0.073","0","0.011","0.016","0.002","0.034","0.694","0.032","0.004","0","0","0.08",0.011,0.008,1.472,1.456
"10",10,"1996","93HG_003","1","3","-64.67","10.5","1","13","19960113","0441","3","7","2000","0.997","0.084","0.201","0.066","0","0.016","0.017","0.016","0.032","0.599","0.033","0.005","0","0","0.164",0.009,0.008,1.398,1.5
"11",11,"1996","93HG_003","1","3","-64.67","10.5","1","13","19960113","0441","5","15","1250","0.838","0.078","0.248","0.065","0","0.022","0.016","0.012","0.036","0.765","0.037","0.005","0","0","0.15",0.007,0.01,1.178,2.102
"12",12,"1996","93HG_003","1","3","-64.67","10.5","1","13","19960113","0441","7","25","1250","1.699","0.101","0.203","0.073","0","0.007","0.021","0.01","0.035","0.872","0.041","0.005","0","0","0.096",0.009,0.009,2.237,0.902
"13",13,"1996","93HG_003","1","3","-64.67","10.5","1","13","19960113","0441","9","35","2000","0.392","0.063","0.035","0.012","0","0.01","0.01","0.014","0.026","0.161","0.013","0.003","0","0","0.035",0.003,0.006,0.477,0.412
"14",14,"1996","93HG_003","1","3","-64.67","10.5","1","13","19960113","0441","10","55","2000","0.111","0.066","0.006","0.004","0","0.007","0.002","0.007","0.02","0.03","0.002","0","0","0","0.002",0,0.004,0.109,0.174
"15",15,"1996","93HG_003","1","3","-64.67","10.5","1","13","19960113","0441","11","75","2000","0.043","0.014","0.002","0","0","0.002","0","0.002","0.007","0.013","0.001","0","0","0","0.001",0,0.001,0.062,0.08
"16",16,"1996","93HG_003","1","3","-64.67","10.5","1","13","19960113","0441","12","100","2000","0.015","0.006","0","0","0","0","0","0","0.003","0.007","0","0","0","0","0",0,0,0.027,0.044
"17",17,"1996","93HG_004","1","4","-64.67","10.5","2","14","19960214","0424","1","1","2000","0.317","0.041","0.084","0.021","0","0.001","0.006","0.004","0.059","0.495","0.01","0.003","0","0","0.036",0,0.014,0.738,1.862
"18",18,"1996","93HG_004","1","4","-64.67","10.5","2","14","19960214","0424","3","7","2000","0.278","0.036","0.106","0.028","0","0.009","0.005","0","0.058","0.515","0.013","0.003","0","0","0.032",0.007,0.011,0.781,1.853
"19",19,"1996","93HG_004","1","4","-64.67","10.5","2","14","19960214","0424","5","15","2000","0.633","0.042","0.101","0.02","0","0.006","0.011","0.007","0.049","0.657","0.024","0.003","0.007","0","0.039",0.003,0.013,1.276,1.73
"20",20,"1996","93HG_004","1","4","-64.67","10.5","2","14","19960214","0424","7","25","2000","1.032","0.05","0.088","0.015","0","0.004","0.023","0.006","0.046","0.651","0.023","0.013","0.007","0","0.019",0.008,0.005,1.659,1.908
"21",21,"1996","93HG_004","1","4","-64.67","10.5","2","14","19960214","0424","9","35","2000","0.351","0.067","0.023","0.009","0","0.012","0.005","0.007","0.023","0.157","0.006","0.008","0.001","0","0.003",0,0.003,0.477,0.441
"22",22,"1996","93HG_004","1","4","-64.67","10.5","2","14","19960214","0424","10","55","2000","0.126","0.045","0.006","0.002","0","0.007","0.003","0.003","0.009","0.041","0.003","0.002","0","0","0",0,0.005,0.166,0.258
"23",23,"1996","93HG_004","1","4","-64.67","10.5","2","14","19960214","0424","11","75","2000","0.076","0.033","0.007","0.002","0","0.007","0","0.002","0.009","0.016","0.001","0","0","0","0.001",0,0.002,0.071,0.164
"24",24,"1996","93HG_004","1","4","-64.67","10.5","2","14","19960214","0424","12","100","2000","0.029","0.009","0.001","0.001","0","0.002","0","0.001","0.004","0.009","0","0","0","0","0",0,0,0.043,0.08
"25",25,"1996","93HG_005","2","3","-64.67","10.5","3","13","19960313","","2","2","2000","1.784","0.029","0.151","0.021","0","0.017","0.045","0","0.069","1.528","0.044","0.01","0","0","0.046",0,0.013,3.904,5.726
"26",26,"1996","93HG_005","2","3","-64.67","10.5","3","13","19960313","","3","7","2000","0.499","0.061","0.172","0.031","0","0.01","0.023","0","0.068","0.938","0.011","0.006","0","0","0.068",0,0,2.756,5.407
"27",27,"1996","93HG_005","2","3","-64.67","10.5","3","13","19960313","","5","15","2000","0.989","0.133","0.274","0.062","0","0.026","0.032","0.004","0.074","1.436","0.026","0.01","0","0","0.085",0.012,0.018,2.96,5.364
"28",28,"1996","93HG_005","2","3","-64.67","10.5","3","13","19960313","","7","25","2000","0.472","0.01","0.013","0","0","0","0.007","0","0.014","0.233","0.006","0.009","0","0","0.014",0,0.005,1.468,0.413
"29",29,"1996","93HG_005","2","3","-64.67","10.5","3","13","19960313","","9","35","2000","0.085","0.022","0.002","0","0","0.004","0.003","0.002","0.007","0.029","0.002","0.001","0","0","0.001",0,0.002,0.143,0.295
"30",30,"1996","93HG_005","2","3","-64.67","10.5","3","13","19960313","","10","55","2000","0.032","0.009","0","0","0","0.001","0.001","0.001","0.005","0.014","0.001","0","0","0","0",0,0.001,0.08,0.133
"31",31,"1996","93HG_005","2","3","-64.67","10.5","3","13","19960313","","11","75","2000","0.022","0.005","0","0","0","0","0","0.001","0.004","0.011","0.001","0","0","0","0",0,0,0.054,0.096
"32",32,"1996","93HG_005","2","3","-64.67","10.5","3","13","19960313","","12","100","2000","0.019","0.003","0","0","0","0.001","0","0.001","0.002","0.01","0","0","0","0","0",0,0,0.039,0.073
"33",33,"1996","93HG_006","1","4","-64.67","10.5","4","17","19960417","0516","1","1","2000","1.937","0.046","0.061","0.011","0","0.034","0","0","0.18","1.012","0","0","0","0","0.021",0,0.009,3.2,0.76
"34",34,"1996","93HG_006","1","4","-64.67","10.5","4","17","19960417","0516","3","7","2000","2.634","0.053","0.081","0.016","0","0.049","0","0","0.286","1.531","0","0","0","0","0.052",0,0.017,3.67,1.28
"35",35,"1996","93HG_006","1","4","-64.67","10.5","4","17","19960417","0516","5","15","2000","4.003","0.119","0.145","0.026","0","0.081","0","0.065","0.394","2.323","0.009","0","0","0","0.023",0,0.008,5.74,2.15
"36",36,"1996","93HG_006","1","4","-64.67","10.5","4","17","19960417","0516","7","25","2000","3.442","0.115","0.117","0.025","0","0.092","0.038","0.079","0.398","2.032","0.042","0","0","0","0.043",0.015,0.018,5.28,2.61
"37",37,"1996","93HG_006","1","4","-64.67","10.5","4","17","19960417","0516","9","35","2000","4.748","0.135","0.139","0.038","0","0.09","0.012","0.049","0.377","2.48","0.01","0","0","0","0.029",0,0.027,6.89,1.82
"38",38,"1996","93HG_006","1","4","-64.67","10.5","4","17","19960417","0516","10","55","2000","0.186","0.058","0.006","0.006","0","0.01","0","0.004","0.02","0.103","0.002","0","0","0","0",0,0,0.39,0.44
"39",39,"1996","93HG_006","1","4","-64.67","10.5","4","17","19960417","0516","11","75","2000","0.065","0","0.002","0.002","0","0.003","0","0.002","0.014","0.035","0","0","0","0","0",0,0,0.14,0.19
