,Num,Year,Cruise_ID,Leg,Cast,lon,lat,Mon,Day,Date,Time,sample,depth,fluor_vol_filt,chlide_a,chl_c3,chl_c1_c2,tot_chl_c1,peridinin,fucox_but,fucox,fucox_hex,prasinox,diatox,allox,diatox,lutein,zeax,chl_b_tot,chl_a_tot,carotene_a,carotene_b,turner_chl_a,turner_pheo,neoxanthin,violaxanthin
1,01,1998,93HG_031,2,,-64.67,10.5,06,09,19980608,,,2,1,0,0,0,0,*ND,0,6,9,0,0,0,0,0,49,0,164,3,0,NM,NM,0,0
02,01,1998,93HG_031,2,,-64.67,10.5,06,09,19980608,,,7,1,0,0,0,0,ND,0,10,16,0,0,0,0,0,60,12,198,2,5,NM,NM,0,0
3,01,1998,93HG_031,2,,-64.67,10.5,06,09,19980608,,,15,1,0,0,0,0,ND,5,11,20,0,0,0,0,0,62,27,242,2,4,NM,NM,0,0
04,01,1998,93HG_031,2,,-64.67,10.5,06,09,19980608,,,25,1,0,0,0,0,ND,0,19,41,0,0,0,0,0,62,35,366,5,8,NM,NM,0,0
5,01,1998,93HG_031,2,,-64.67,10.5,06,09,19980608,,,35,2,10,70,73,144,ND,48,155,196,12,16,14,0,0,55,305,1085,11,10,NM,NM,13,0
06,01,1998,93HG_031,2,,-64.67,10.5,06,09,19980608,,,55,2,13,65,0,65,ND,54,123,207,7,12,14,0,0,34,243,865,16,7,NM,NM,8,5
7,01,1998,93HG_031,2,,-64.67,10.5,06,09,19980608,,,75,2,0,27,0,27,ND,23,49,72,0,5,3,0,0,16,161,308,9,2,NM,NM,0,0
08,01,1998,93HG_031,2,,-64.67,10.5,06,09,19980608,,,101,2,0,0,0,0,ND,7,7,13,0,0,0,0,0,2,58,61,2,1,NM,NM,0,0
9,02,1998,93HG_032,2,,-64.67,10.5,07,09,19980709,,,1,1,0,13,27,39,0,0,66,31,0,11,0,0,0,86,7,230,0,0,NM,NM,0,0
10,02,1998,93HG_032,2,,-64.67,10.5,07,09,19980709,,,8,1,0,11,20,31,0,0,63,31,0,12,0,0,0,72,14,177,0,0,NM,NM,0,0
11,02,1998,93HG_032,2,,-64.67,10.5,07,09,19980709,,,15,1,0,14,29,43,0,10,53,50,0,10,0,0,0,87,23,307,0,0,NM,NM,0,0
12,02,1998,93HG_032,2,,-64.67,10.5,07,09,19980709,,,25,1,0,155,134,288,0,64,186,328,9,18,6,0,0,29,178,735,0,0,NM,NM,12,0
13,02,1998,93HG_032,2,,-64.67,10.5,07,09,19980709,,,35,2,0,81,58,139,0,32,93,181,2,9,0,0,0,13,90,366,0,0,NM,NM,4,0
14,02,1998,93HG_032,2,,-64.67,10.5,07,09,19980709,,,55,2,0,39,20,59,0,17,38,87,0,4,0,0,0,5,91,220,0,0,NM,NM,0,0
15,02,1998,93HG_032,2,,-64.67,10.5,07,09,19980709,,,76,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,NM,0,0
16,02,1998,93HG_032,2,,-64.67,10.5,07,09,19980709,,,101,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,NM,0,0
17,02,1998,93HG_033,1,,-64.67,10.5,08,05,19989895,,,2,1,0,0,0,0,0,0,15,25,0,8,0,0,0,56,0,148,4,0,NM,NM,0,0
18,02,1998,93HG_033,1,,-64.67,10.5,08,05,19989895,,,7,1,0,0,0,0,0,0,18,31,0,8,0,0,0,77,0,210,7,0,NM,NM,0,0
19,02,1998,93HG_033,1,,-64.67,10.5,08,05,19989895,,,15,1,0,0,0,0,0,0,14,24,0,10,0,0,0,62,0,188,4,3,NM,NM,0,0
20,03,1998,93HG_033,1,,-64.67,10.5,08,05,19989895,,,25,1,0,0,0,0,0,5,0,30,0,0,0,0,0,54,45,183,3,0,NM,NM,0,0
21,03,1998,93HG_033,1,,-64.67,10.5,08,05,19989895,,,35,2,0,0,0,0,0,0,0,48,0,0,0,0,0,49,70,272,5,4,NM,NM,0,0
22,03,1998,93HG_033,1,,-64.67,10.5,08,05,19989895,,,55,2,64,0,0,0,0,49,184,123,0,13,0,0,0,17,232,564,13,7,NM,NM,0,0
23,03,1998,93HG_033,1,,-64.67,10.5,08,05,19989895,,,76,2,0,0,0,0,0,13,36,41,0,0,0,0,0,6,92,165,4,0,NM,NM,0,0
24,03,1998,93HG_033,1,,-64.67,10.5,08,05,19989895,,,101,2,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,25,0,0,NM,NM,0,0
25,03,1998,93HG_034,1,,-64.67,10.5,09,01,19980901,,,2,2,0,0,0,0,0,3,9,15,0,0,8,0,0,66,0,159,3,2,NM,NM,0,0
26,03,1998,93HG_034,1,,-64.67,10.5,09,01,19980901,,,7,2,0,0,0,0,0,0,7,15,0,0,7,0,0,72,0,170,4,2,NM,NM,0,0
27,03,1998,93HG_034,1,,-64.67,10.5,09,01,19980901,,,15,2,0,0,0,0,0,0,13,32,0,2,7,0,0,65,0,368,10,4,NM,NM,0,0
28,03,1998,93HG_034,1,,-64.67,10.5,09,01,19980901,,,25,2,0,0,10,10,0,6,0,46,0,3,3,0,0,41,0,240,6,2,NM,NM,0,0
29,03,1998,93HG_034,1,,-64.67,10.5,09,01,19980901,,,35,2,0,0,0,0,0,13,0,77,0,5,3,0,0,50,52,360,11,3,NM,NM,0,0
30,04,1998,93HG_034,1,,-64.67,10.5,09,01,19980901,,,55,2,0,33,0,33,0,27,69,63,0,4,0,0,0,7,0,25,0,0,NM,NM,0,0
31,04,1998,93HG_034,1,,-64.67,10.5,09,01,19980901,,,75,2,0,0,0,0,0,12,39,37,0,2,0,0,0,6,0,145,4,1,NM,NM,0,0
32,04,1998,93HG_034,1,,-64.67,10.5,09,01,19980901,,,100,2,0,0,0,0,0,2,5,7,0,0,0,0,0,0,0,25,0,0,NM,NM,0,0
33,04,1998,93HG_035,1,,-64.67,10.5,10,14,19981014,,,2,2,0,0,13,13,6,0,10,25,0,0,0,0,0,56,0,180,2,5,NM,NM,0,0
34,04,1998,93HG_035,1,,-64.67,10.5,10,14,19981014,,,6,2,0,0,13,13,0,5,10,27,0,0,0,0,0,45,0,122,4,0,NM,NM,0,0
35,04,1998,93HG_035,1,,-64.67,10.5,10,14,19981014,,,14,2,0,0,17,17,8,0,12,30,0,4,0,0,0,64,0,219,3,6,NM,NM,0,4
36,04,1998,93HG_035,1,,-64.67,10.5,10,14,19981014,,,24,2,0,0,25,25,21,9,10,58,0,5,0,0,0,71,0,312,10,5,NM,NM,0,0
37,04,1998,93HG_035,1,,-64.67,10.5,10,14,19981014,,,34,2,0,280,225,504,0,129,142,590,19,37,21,0,0,63,344,1098,13,0,NM,NM,17,11
38,04,1998,93HG_035,1,,-64.67,10.5,10,14,19981014,,,54,2,0,8,85,93,0,39,63,107,0,9,0,0,0,22,237,400,15,3,NM,NM,0,0
39,04,1998,93HG_035,1,,-64.67,10.5,10,14,19981014,,,74,2,0,0,5,5,0,4,6,12,0,0,0,0,0,0,0,3,0,0,NM,NM,0,0
40,04,1998,93HG_035,1,,-64.67,10.5,10,14,19981014,,,99,2,0,0,0,0,0,3,7,4,0,0,0,0,0,0,0,15,0,0,NM,NM,0,0
41,05,1998,93HG_036,3,,-64.67,10.5,11,10,19981110,,,2,2,0,0,0,0,0,0,4,11,0,0,0,0,0,50,0,169,3,2,NM,NM,0,0
42,05,1998,93HG_036,3,,-64.67,10.5,11,10,19981110,,,6,2,0,0,3,3,0,0,4,11,0,0,6,0,0,60,0,184,4,3,NM,NM,0,0
43,05,1998,93HG_036,3,,-64.67,10.5,11,10,19981110,,,14,2,0,0,0,0,0,2,4,11,0,0,0,0,0,52,0,137,3,2,NM,NM,0,0
44,05,1998,93HG_036,3,,-64.67,10.5,11,10,19981110,,,24,2,0,0,5,5,0,0,3,19,0,0,7,0,0,63,0,193,5,2,NM,NM,0,0
45,05,1998,93HG_036,3,,-64.67,10.5,11,10,19981110,,,34,2,0,0,20,20,0,12,10,52,4,5,4,0,0,69,0,357,13,5,NM,NM,2,0
46,05,1998,93HG_036,3,,-64.67,10.5,11,10,19981110,,,54,2,0,72,56,127,0,73,54,168,4,12,7,0,0,42,334,670,20,5,NM,NM,4,0
47,05,1998,93HG_036,3,,-64.67,10.5,11,10,19981110,,,74,2,0,9,12,21,0,16,20,44,0,0,0,0,0,10,0,189,9,2,NM,NM,0,0
48,05,1998,93HG_036,3,,-64.67,10.5,11,10,19981110,,,99,2,0,5,5,10,0,10,13,25,0,2,0,0,0,4,0,104,5,0,NM,NM,0,0
49,05,1998,93HG_037,1,,-64.67,10.5,12,16,19981216,,,1,2,0,0,0,0,0,4,4,19,0,0,0,0,0,76,0,160,0,0,NM,NM,0,0
