"","Num","Year","Cruise_ID","Leg","Cast","lon","lat","Mon","Day","Date","Time","sample","depth","fluor_vol_filt","chl_a_tot","chl_b_tot","chl_c3","chl_c1_c2","chl_c1","chl_c2","chlc_tot","chlide_a","chl_a1","chl_a2","carotene_a","carotene_b","fucox_but","fucox_hex","allox","diadinox","fucox","diatox","peridinin","zeax","lutein","neox","antherax","violax","p_phytin_a","prasinox","gyrox","chl_a_allo","chl_a_prime","chl_a_fluor","chl_a_pheo_fluor"
"1",1,"1999","93HG_039","1","4","-64.67","10.5","2","10","19990210","0547","1","2","1000","2.4333","-9999","0.1705","0.4307","","","0.6012","-9999","","","-9999","0.0362","-9999","0.0979","-9999","0.0407","0.7472","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"2",2,"1999","93HG_039","1","4","-64.67","10.5","2","10","19990210","0547","3","7","1000","","-9999","0.3753","0.8283","","","1.2036","-9999","","","-9999","-9999","-9999","0.1111","-9999","0.0153","1.2577","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"3",3,"1999","93HG_039","1","4","-64.67","10.5","2","10","19990210","0547","5","16","1000","","-9999","0.3305","0.7439","","","1.0744","-9999","","","-9999","-9999","-9999","-9999","-9999","-9999","0.5679","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"4",4,"1999","93HG_039","1","4","-64.67","10.5","2","10","19990210","0547","7","25","1000","","-9999","0.3181","0.8701","","","1.1882","-9999","","","-9999","-9999","-9999","0.0372","-9999","-9999","0.7764","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"5",5,"1999","93HG_039","1","4","-64.67","10.5","2","10","19990210","0547","9","35","1000","","-9999","0.5773","1.347","","","1.9243","-9999","","","-9999","-9999","-9999","0.1741","-9999","0.0325","2.1701","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"6",6,"1999","93HG_039","1","4","-64.67","10.5","2","10","19990210","0547","10","55","2000","","-9999","-9999","0.0505","","","0.0505","-9999","","","-9999","-9999","-9999","0.0056","-9999","-9999","0.1162","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"7",7,"1999","93HG_039","1","4","-64.67","10.5","2","10","19990210","0547","11","75","2000","","-9999","-9999","0.0285","","","0.0285","0.0245","","","-9999","-9999","-9999","-9999","-9999","-9999","0.0438","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"8",8,"1999","93HG_039","1","4","-64.67","10.5","2","10","19990210","0547","12","100","2000","","-9999","-9999","0.0115","","","0.0115","-9999","","","-9999","-9999","-9999","-9999","-9999","-9999","0.0148","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"9",9,"1999","93HG_040","1","4","-64.67","10.5","3","4","19990304","0543","1","2","1000","-9999","-9999","-9999","-9999","","","-9999","-9999","","","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"10",10,"1999","93HG_040","1","4","-64.67","10.5","3","4","19990304","0543","3","7","1000","0.0163","-9999","0.0264","0.0661","","","0.0925","-9999","","","-9999","-9999","-9999","0.0438","0.0167","-9999","-9999","-9999","-9999","-9999","-9999","0.0028","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"11",11,"1999","93HG_040","1","4","-64.67","10.5","3","4","19990304","0543","5","16","1000","0.0244","-9999","0.0284","0.0424","","","0.0708","-9999","","","-9999","-9999","-9999","0.0596","-9999","0.0049","0.0203","-9999","-9999","0.0182","-9999","0.0024","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"12",12,"1999","93HG_040","1","4","-64.67","10.5","3","4","19990304","0543","7","25","1000","0.0437","-9999","0.0361","0.0538","","","0.0899","-9999","","","-9999","-9999","-9999","0.056","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"13",13,"1999","93HG_040","1","4","-64.67","10.5","3","4","19990304","0543","9","35","2000","0.0096","-9999","0.098","0.0307","","","0.1287","-9999","","","-9999","-9999","0.0933","0.1076","-9999","-9999","-9999","-9999","-9999","-9999","-9999","0.0063","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"14",14,"1999","93HG_040","1","4","-64.67","10.5","3","4","19990304","0543","10","55","2000","-9999","-9999","0.0614","0.0204","","","0.0817","-9999","","","-9999","-9999","0.0421","0.0479","-9999","-9999","0.0302","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"15",15,"1999","93HG_040","1","4","-64.67","10.5","3","4","19990304","0543","11","75","2000","-9999","-9999","0.0204","0.0053","","","0.0257","-9999","","","-9999","-9999","0.011","0.0285","-9999","-9999","0.017","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"16",16,"1999","93HG_040","1","4","-64.67","10.5","3","4","19990304","0543","12","100","1700","-9999","-9999","0.0058","0.0015","","","0.0073","-9999","","","-9999","-9999","0.0032","0.0062","-9999","-9999","0.0063","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"17",17,"1999","93HG_041","1","4","-64.67","10.5","4","7","19990407","0546","1","2","2000","0.1023","-9999","0.0108","0.0207","","","0.0315","-9999","","","-9999","-9999","-9999","0.0137","-9999","-9999","0.0105","-9999","-9999","0.0449","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"18",18,"1999","93HG_041","1","4","-64.67","10.5","4","7","19990407","0546","3","7","2000","0.146","-9999","0.0119","0.0216","","","0.0336","-9999","","","-9999","0.0049","0.0038","0.0159","-9999","-9999","0.0121","-9999","-9999","0.0524","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"19",19,"1999","93HG_041","1","4","-64.67","10.5","4","7","19990407","0546","5","16","2000","0.1002","-9999","0.0099","0.0199","","","0.0298","-9999","","","-9999","-9999","-9999","0.0126","-9999","-9999","0.0112","-9999","-9999","0.0465","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"20",20,"1999","93HG_041","1","4","-64.67","10.5","4","7","19990407","0546","7","25","2000","0.2642","0.0339","0.0564","0.0662","","","0.1226","-9999","","","-9999","-9999","0.0134","0.0795","-9999","-9999","0.0325","-9999","-9999","0.0219","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"21",21,"1999","93HG_041","1","4","-64.67","10.5","4","7","19990407","0546","9","35","2000","0.2752","0.024","0.1572","0.1463","","","0.3035","-9999","","","-9999","-9999","0.0542","0.1898","-9999","0.031","0.1606","-9999","-9999","-9999","-9999","0.0054","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"22",22,"1999","93HG_041","1","4","-64.67","10.5","4","7","19990407","0546","10","55","2000","0.2625","0.0221","0.3151","0.2188","","","0.534","-9999","","","-9999","0.0061","0.0506","0.106","-9999","-9999","0.2193","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"23",23,"1999","93HG_041","1","4","-64.67","10.5","4","7","19990407","0546","11","75","2000","0.1505","0.0303","0.0688","0.0747","","","0.1434","-9999","","","-9999","-9999","0.0125","0.0364","-9999","-9999","0.0556","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"24",24,"1999","93HG_041","1","4","-64.67","10.5","4","7","19990407","0546","12","100","2000","0.0345","-9999","0.0152","0.013","","","0.0282","-9999","","","-9999","-9999","0.0044","0.0128","-9999","-9999","0.013","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"25",25,"1999","93HG_042","2","4","-64.67","10.5","5","6","19990506","0522","1","2","2000","0.0207","-9999","0.007","0.005","","","0.012","0","","","-9999","-9999","0.0031","0.0068","-9999","-9999","0.0157","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"26",26,"1999","93HG_042","2","4","-64.67","10.5","5","6","19990506","0522","3","7","2000","-9999","-9999","-9999","-9999","","","-9999","0","","","-9999","-9999","-9999","-9999","-9999","-9999","0","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"27",27,"1999","93HG_042","2","4","-64.67","10.5","5","6","19990506","0522","5","16","2000","0.0024","-9999","-9999","-9999","","","-9999","0","","","-9999","-9999","-9999","-9999","-9999","-9999","0.0024","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"28",28,"1999","93HG_042","2","4","-64.67","10.5","5","6","19990506","0522","7","25","2000","-9999","-9999","-9999","-9999","","","-9999","0","","","-9999","-9999","-9999","-9999","-9999","-9999","0","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"29",29,"1999","93HG_042","2","4","-64.67","10.5","5","6","19990506","0522","9","35","2000","-9999","-9999","-9999","-9999","","","-9999","0","","","-9999","-9999","-9999","-9999","-9999","-9999","0","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"30",30,"1999","93HG_042","2","4","-64.67","10.5","5","6","19990506","0522","10","55","2000","-9999","-9999","-9999","-9999","","","-9999","0","","","-9999","-9999","-9999","-9999","-9999","-9999","0","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"31",31,"1999","93HG_043","1","4","-64.67","10.5","6","8","19990608","0542","1","2","2000","0.0586","-9999","0.0146","0.0243","","","0.0389","-9999","","","-9999","-9999","0.0032","0.0169","-9999","-9999","0.0128","-9999","-9999","0.0273","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"32",32,"1999","93HG_043","1","4","-64.67","10.5","6","8","19990608","0542","1B","7","2000","0.053","-9999","0.016","0.0258","","","0.0417","-9999","","","-9999","-9999","0.0053","0.018","-9999","-9999","0.0138","-9999","-9999","0.0236","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"33",33,"1999","93HG_043","1","4","-64.67","10.5","6","8","19990608","0542","3","16","2000","0.1061","-9999","0.0126","0.0122","","","0.0248","-9999","","","-9999","0.005","-9999","0.0138","-9999","-9999","0.0104","-9999","-9999","0.0378","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"34",34,"1999","93HG_043","1","4","-64.67","10.5","6","8","19990608","0542","5","25","2000","0.1653","-9999","0.022","0.0285","","","0.0506","-9999","","","-9999","0.0049","0.004","0.0254","-9999","0.0037","0.0153","-9999","-9999","0.0406","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"35",35,"1999","93HG_043","1","4","-64.67","10.5","6","8","19990608","0542","7","35","2000","1.9638","-9999","-9999","0.2257","","","0.2257","0.9118","","","0.0101","0.0229","0.0577","0.1872","0.0068","0.0535","0.2999","-9999","-9999","0.0206","-9999","0.0081","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"36",36,"1999","93HG_043","1","4","-64.67","10.5","6","8","19990608","0542","9","55","2000","0.1536","0.0286","0.0916","0.0545","","","0.1461","-9999","","","-9999","0.0034","0.0135","0.0821","0.0036","0.0109","0.0684","-9999","-9999","0.0057","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"37",37,"1999","93HG_043","1","4","-64.67","10.5","6","8","19990608","0542","11","75","2000","0.0905","0.0532","0.0389","0.0235","","","0.0624","-9999","","","-9999","0.0037","0.0178","0.0452","-9999","-9999","0.0253","-9999","-9999","0.0066","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"38",38,"1999","93HG_043","1","4","-64.67","10.5","6","8","19990608","0542","11B","75","2000","0.3138","0.0806","-9999","0.0715","","","0.0589","-9999","","","-9999","0.0099","-9999","0.0553","0.0072","-9999","0.0179","0.0037","0.1304","0.0098","-9999","-9999","","-9999","",0.0912,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"39",39,"1999","93HG_043","1","4","-64.67","10.5","6","8","19990608","0542","12","100","2000","0.0086","-9999","0.0079","0.0041","","","0.0119","-9999","","","-9999","-9999","0.0022","0.0049","-9999","-9999","0.0072","-9999","-9999","0.0031","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
