Time 1,Depth 1,Chla 1,Time 2,Depth 2,Chla 2
12/14/95,1,107,07/04/06,1,250
12/14/95,7,139,07/04/06,7,266.7
12/14/95,15,163,07/04/06,15,243.8
12/14/95,25,408,07/04/06,25,196.7
12/14/95,35,241,07/04/06,35,197.2
12/14/95,55,88,07/04/06,55,72.4
12/14/95,75,51,07/04/06,75,103.6
12/14/95,100,14,07/04/06,100,33.6
01/13/96,1,1145,08/03/06,1,200.1
01/13/96,7,997,08/03/06,7,226.3
01/13/96,15,838,08/03/06,15,563.3
01/13/96,25,1699,08/03/06,25,491.1
01/13/96,35,392,08/03/06,35,424.6
01/13/96,55,111,08/03/06,55,196.6
01/13/96,75,43,08/03/06,75,54.6
01/13/96,100,15,08/03/06,100,21.2
02/14/96,1,317,09/12/06,1,166.5
02/14/96,7,278,09/12/06,7,150.6
02/14/96,15,633,09/12/06,15,180.5
02/14/96,25,1032,09/12/06,25,237.8
02/14/96,35,351,09/12/06,25,236.7
02/14/96,55,126,09/12/06,35,356.3
02/14/96,75,76,09/12/06,55,355.2
02/14/96,100,29,09/12/06,75,282.4
03/13/96,2,1784,09/12/06,100,55.9
03/13/96,7,499,10/10/06,1,138.7
03/13/96,15,989,10/10/06,7,193.8
03/13/96,25,472,10/10/06,15,235
03/13/96,35,85,10/10/06,25,296.2
03/13/96,55,32,10/10/06,35,1036.6
03/13/96,75,22,10/10/06,55,1177.7
03/13/96,100,19,10/10/06,75,74.5
04/17/96,1,1937,10/10/06,100,33.6
04/17/96,7,2634,11/02/06,1,125
04/17/96,15,4003,11/02/06,7,128.7
04/17/96,25,3442,11/02/06,15,137.9
04/17/96,35,4748,11/02/06,25,127.6
04/17/96,55,186,11/02/06,35,278.6
04/17/96,75,65,11/02/06,55,395.4
05/10/96,1,2974,11/02/06,75,227.4
05/10/96,7,2375,11/02/06,100,40.3
05/10/96,15,1532,12/05/06,1,138.8
05/10/96,25,113,12/05/06,7,110.9
05/10/96,35,74,12/05/06,15,129.2
05/10/96,55,80,12/05/06,25,198.4
05/10/96,75,33,12/05/06,35,835.3
05/10/96,100,25,12/05/06,55,329.5
06/13/96,1,367,12/05/06,75,200.2
06/13/96,7,357,12/05/06,100,182.2
06/13/96,15,840,02/06/07,1,4031.9
06/13/96,25,588,02/06/07,7,3848.5
06/13/96,55,97,02/06/07,15,3768.8
06/13/96,75,86,02/06/07,25,1659.2
06/13/96,100,39,02/06/07,35,476.5
07/11/96,1,177,02/06/07,55,147.3
07/11/96,7,177,02/06/07,75,101.9
07/11/96,15,148,02/06/07,100,42.3
