date,MLD
01/15/96,36.00
02/15/96,28.00
03/15/96,28.00
04/15/96,32.00
05/15/96,12.00
06/15/96,21.00
07/15/96,14.00
08/15/96,22.00
09/15/96,9.00
10/15/96,18.00
11/15/96,14.00
12/15/96,27.00
01/15/97,62.00
02/15/97,34.00
03/15/97,31.00
04/15/97,27.00
05/15/97,14.00
06/15/97,13.00
07/15/97,9.00
08/15/97,17.00
09/15/97,19.00
10/15/97,11.00
11/15/97,17.00
12/15/97,13.00
01/15/98,22.00
02/15/98,35.00
03/15/98,43.00
04/15/98,26.00
06/15/98,17.00
07/15/98,14.00
08/15/98,17.00
09/15/98,12.00
10/15/98,12.00
11/15/98,21.00
12/15/98,26.00
01/15/99,22.00
02/15/99,52.00
03/15/99,14.00
04/15/99,19.00
05/15/99,19.00
06/15/99,16.00
07/15/99,13.00
08/15/99,12.00
09/15/99,12.00
10/15/99,17.00
11/15/99,25.00
12/15/99,57.00
01/15/00,42.00
02/15/00,35.00
03/15/00,23.00
04/15/00,26.00
05/15/00,12.00
06/15/00,25.00
07/15/00,8.00
08/15/00,6.00
09/15/00,11.00
10/15/00,13.00
11/15/00,18.00
12/15/00,27.00
01/15/01,30.00
02/15/01,49.00
03/15/01,26.00
04/15/01,32.00
05/15/01,23.00
06/15/01,31.00
07/15/01,12.00
08/15/01,21.00
09/15/01,19.00
10/15/01,15.00
11/15/01,22.00
12/15/01,21.00
01/15/02,38.00
02/15/02,56.00
03/15/02,23.00
04/15/02,32.00
05/15/02,28.00
06/15/02,16.00
07/15/02,7.00
08/15/02,20.00
10/15/02,14.00
11/15/02,21.00
12/15/02,19.00
01/15/03,30.00
02/15/03,24.00
03/15/03,25.00
04/15/03,27.00
05/15/03,33.00
06/15/03,12.00
07/15/03,17.00
08/15/03,10.00
09/15/03,18.00
11/15/03,25.00
01/15/04,62.00
02/15/04,31.00
03/15/04,34.00
04/15/04,20.00
05/15/04,22.00
06/15/04,15.00
07/15/04,16.00
08/15/04,13.00
09/15/04,20.00
10/15/04,15.00
11/15/04,15.00
12/15/04,33.00
01/15/05,28.00
02/15/05,22.00
03/15/05,18.00
04/15/05,37.00
05/15/05,16.00
06/15/05,14.00
07/15/05,23.00
08/15/05,11.00
10/15/05,26.00
12/15/05,40.00
01/15/06,23.00
02/15/06,29.00
03/15/06,34.00
04/15/06,16.00
05/15/06,17.00
06/15/06,16.00
07/15/06,16.00
08/15/06,9.00
09/15/06,11.00
10/15/06,15.00
11/15/06,19.00
12/15/06,26.00
02/15/07,21.00
03/15/07,10.00
04/15/07,18.00
05/15/07,20.00
06/15/07,19.00
07/15/07,12.00
08/15/07,19.00
09/15/07,16.00
10/15/07,11.00
11/15/07,11.00
12/15/07,15.00
01/01/08,16.00
02/01/08,28.00
03/01/08,26.00
04/01/08,24.00
05/01/08,20.00
06/01/08,22.00
07/01/08,11.00
08/01/08,16.00
09/01/08,15.00
10/01/08,13.00
11/01/08,19.00
12/01/08,26.00
01/01/09,33.00
02/01/09,26.00
03/01/09,15.00
04/01/09,19.00
05/01/09,20.00
06/01/09,18.00
07/01/09,18.00
08/01/09,11.00
09/01/09,20.00
10/01/09,15.00
11/01/09,19.00
12/01/09,30.00
01/15/10,29.00
02/15/10,26.00
03/15/10,20.00
04/15/10,24.00
05/15/10,22.00
06/15/10,23.00
08/15/10,13.00
09/15/10,19.00
10/15/10,19.00
11/15/10,27.00
12/15/10,22.00
01/15/11,14.00
02/15/11,42.00
03/15/11,24.00
04/15/11,19.00
05/15/11,15.00
06/15/11,12.00
07/15/11,13.00
08/15/11,9.00
09/15/11,9.00
10/15/11,14.00
11/15/11,21.00
01/15/12,26.00
02/15/12,39.00
03/15/12,32.00
04/15/12,33.00
05/15/12,33.00
07/15/12,37.00
08/15/12,15.00
09/15/12,13.00
10/15/12,12.00
11/15/12,22.00
,
,
,
,
,
