Year;Month;Day;Date;Depth;Date;Tchla;Prasino3;Dino1;Crypto1;Hapto6;Chloro1;Cyano4;Diatom1
1995;Dec;14;12.14.95;0 - 55 m;14-Dec-95;11,34;1,93;0,85;0,66;2,13;0;0,66;5,1
1996;Jan;13;01.13.96;0 - 55 m;13. Jan 96;41,94;0,96;6,23;1,08;2,55;0,59;0,4;27,86
1996;Feb;14;02.14.96;0 - 55 m;14. Feb 96;25,44;1,08;1,79;1,81;1,79;0;0,25;18,14
1996;0;13;03.13.96;0 - 55 m;13-Mar-96;20,21;0,37;1,8;0,92;1,84;0,09;0,25;14,23
1996;Apr;17;04.17.96;0 - 55 m;17. Apr 96;167,78;0,84;2,72;2,76;50,01;11,79;1,35;98,3
1996;May;10;05.10.96;0 - 55 m;10-May-96;42,38;0,92;0,01;0,22;9,38;1,03;0,53;30,14
1996;Jun;13;06.13.96;0 - 55 m;13. Juni 96;24,38;3,6;0,79;3,13;2,66;0,07;0,09;14,03
1996;Jul;11;07.11.96;0 - 55 m;11. Juli 96;16,67;0,52;0,79;0,19;5,77;0,42;2,07;6,92
1996;Aug;7;08.07.96;0 - 55 m;07. Aug 96;14,36;2,04;0,43;0,14;4,59;0,6;1,17;5,39
1996;Sep;11;09.11.96;0 - 55 m;11. Sep 96;18,4;0,49;0,57;0,33;6,71;0,84;1,51;7,95
1996;Oct;9;10.09.96;0 - 55 m;9-Oct-96;25,9;0,35;1,47;0,46;7,84;0,97;2,56;12,25
1996;Nov;11;11.11.96;0 - 55 m;11. Nov 96;39,45;1,33;1,19;1,21;7,49;1,99;1,58;24,21
1996;Dec;10;12.10.96;0 - 55 m;10-Dec-96;15,71;1,99;0,51;0,79;3,3;0,5;1,54;7,08
1997;Jan;8;01.08.97;0 - 55 m;08. Jan 97;100,15;1;2,67;1,15;5,04;1,42;1,45;86,73
1997;Feb;14;02.14.97;0 - 55 m;14. Feb 97;23,74;2,8;1,56;0,21;0,9;0;0,39;17,34
1997;Feb;23;02.23.97;0 - 55 m;23. Feb 97;37,36;0,26;0,88;0,03;0,85;0,01;0,32;34,09
1997;Mar;13;03.13.97;0 - 55 m;13-Mar-97;48,23;3,93;0,16;0;0;0;0;43,95
1997;Apr;16;04.16.97;0 - 55 m;16. Apr 97;58,29;1,38;2,29;0,01;5,64;0;1,27;47,06
1997;May;10;05.10.97;0 - 55 m;10-May-97;24,44;1,03;1,11;0,28;0,93;0;0,14;19,47
1997;Jun;17;06.17.97;0 - 55 m;17. Juni 97;15,23;5,7;0,64;0,05;2,88;0;0,38;5,17
1997;Jul;8;07.08.97;0 - 55 m;08. Juli 97;11,12;0,8;0,33;0,02;1,14;0,02;0,05;8,28
1997;Jul;16;07.16.97;0 - 55 m;16. Juli 97;25;0,79;1,95;0,05;1,31;0;0,12;19,5
1997;Aug;17;08.17.97;0 - 55 m;17. Aug 97;20,65;3,07;0,67;0,09;6,96;0;1,96;7,78
1997;Sep;17;09.17.97;0 - 55 m;17. Sep 97;10,61;1,83;0,85;0,67;1,93;0,1;1,55;3,53
1997;Oct;14;10.14.97;0 - 55 m;14-Oct-97;12,26;3,66;0,93;0,4;2,49;0;0;4,65
1997;Nov;13;11.13.97;0 - 55 m;13. Nov 97;16,22;3,27;1;0,49;6,59;0;0;4,8
1997;Dec;17;12.17.97;0 - 55 m;17-Dec-97;21,91;2,48;1;0,13;4,77;0;0;12,99
1998;Jan;14;01.14.98;0 - 55 m;14. Jan 98;25,41;0,92;2,47;1,02;4,4;0;1,21;14,78
1998;Feb;11;02.11.98;0 - 55 m;11. Feb 98;16,28;0,83;0,95;0,2;1,61;0;0,21;11,73
1998;Mar;12;03.12.98;0 - 55 m;12-Mar-98;75,52;2,31;2,01;0,29;2,05;0;0;65,89
1998;Apr;21;04.21.98;0 - 55 m;21. Apr 98;20,42;1,72;1,02;0,42;4,41;0;1,1;11,47
1998;0;9;06.09.98;0 - 55 m;09. Juni 98;32,3;1,23;0,03;2,81;13,41;1,03;3,5;9,89
1998;Jul;9;07.09.98;0 - 55 m;09. Juli 98;20,1;1,34;0;0,21;10,82;0;2,21;3,4
1998;0;5;08.05.98;0 - 55 m;05. Aug 98;15,34;1,14;0,02;0,21;4,84;0,5;3,34;5,3
1998;0;1;09.01.98;0 - 55 m;01. Sep 98;12,63;0,49;0,02;1,42;2,8;0,54;2,8;4,54
1998;0;16;12.16.98;0 - 55 m;16-Dec-98;34,13;0,08;0,03;1,19;8,51;1,72;1,53;20
1999;0;12;01.12.99;0 - 55 m;12. Jan 99;79,05;0,03;0,02;5,37;27,43;1,13;4,08;31,52
1999;0;4;03.04.99;0 - 55 m;4-Mar-99;1,06;0;0;0,11;0,63;0;0,02;0
1999;0;7;04.07.99;0 - 55 m;07. Apr 99;11,76;0,18;0,01;0,06;4,97;0,04;1,24;1,51
1999;0;15;07.15.99;0 - 55 m;15. Juli 99;23,77;0,12;0;0,47;8,05;0;1,25;6,83
1999;0;11;08.11.99;0 - 55 m;11. Aug 99;17,3;0;0;0,01;3,69;0;0,73;0,15
1999;0;14;09.14.99;0 - 55 m;14. Sep 99;11,47;0,05;0,01;0,2;2,75;0,15;1,4;3,63
1999;0;5;10.05.99;0 - 55 m;5-Oct-99;5,63;0,58;0;0,28;1,04;0;1,74;0,31
1999;Nov;4;11.04.99;0 - 55 m;04. Nov 99;4,76;0,35;0;0,01;0,89;0;2,3;1,03
1999;Dec;7;12.07.99;0 - 55 m;7-Dec-99;5,49;0,69;0;0,03;1,2;0;2,45;0,67
2000;Jan;11;01.11.00;0 - 55 m;11. Jan 00;27,84;1,55;0,01;2,13;3,32;0;1,69;17,3
2000;Feb;8;02.08.00;0 - 55 m;08. Feb 00;31,14;1,74;0,01;1,67;5,34;0,01;0,85;18,76
2000;Mar;9;03.09.00;0 - 55 m;9-Mar-00;8,79;0,81;0,01;0,23;1,97;0,14;0,91;4,71
2000;Apr;11;04.11.00;0 - 55 m;11. Apr 00;22,29;1,02;0,53;0,92;1,72;0;0,83;14,97
2000;May;11;05.11.00;0 - 55 m;11-May-00;25,47;1,4;0,01;1,72;3,28;0;1,9;14,23
2000;Jun;6;06.06.00;0 - 55 m;06. Juni 00;9,85;1,47;0,02;0,14;2,76;0,06;1,15;2,88
2000;Jul;7;07.07.00;0 - 55 m;07. Juli 00;5,44;0,19;0,01;0,02;0,84;0;0,3;2,36
2000;Aug;9;08.09.00;0 - 55 m;09. Aug 00;8,93;0,81;0,01;0,57;1,79;0,02;2,94;2,05
2000;Sep;12;09.12.00;0 - 55 m;12. Sep 00;15,76;0,77;1,19;0,13;2,45;0;2,87;7,12
2000;Oct;10;10.10.00;0 - 55 m;10-Oct-00;10,07;1,46;0,01;0,27;1,83;0;3,41;2,2
2006;Jul;4;07.04.06;0 - 55 m;04. Juli 06;10,46;0,85;0,85;0,23;1,39;0,02;1,7;4,93
2006;Aug;3;08.03.06;0 - 55 m;03. Aug 06;20,5;1,85;1,07;1,76;4,77;0,18;3,96;5,05
2006;Sep;12;09.12.06;0 - 55 m;12. Sep 06;14,45;1,52;0,84;1,07;3,27;0,11;2,23;4,47
2006;Oct;10;10.10.06;0 - 55 m;10-Oct-06;34,18;0,81;1,62;1,34;5,58;0,73;1,65;15,54
2006;Nov;2;11.02.06;0 - 55 m;02. Nov 06;11,93;1,09;0,74;0,61;2,65;0,09;2,92;3,39
2006;Dec;5;12.05.06;0 - 55 m;5-Dec-06;20,16;1,32;0,74;1,13;4,7;0,55;1,6;9,2
2007;Feb;6;02.06.07;0 - 55 m;06. Feb 07;98,17;0,43;1,61;6,25;4,19;0,33;0,15;75,04
2007;Mar;6;03.06.07;0 - 55 m;6-Mar-07;29,55;2,35;0,37;4,2;7,41;0,66;2,19;9,55
2007;Apr;10;04.10.07;0 - 55 m;10. Apr 07;26,66;3,08;1,21;3,85;6,86;0,35;2,33;6,94
2007;May;8;05.08.07;0 - 55 m;8-May-07;24,73;2,11;0,4;3,81;6,79;0,05;4,33;5,81
2007;Jun;5;06.05.07;0 - 55 m;05. Juni 07;11,49;1,05;0,59;0,95;2,43;0,03;2,9;3,17
2007;Jul;3;07.03.07;0 - 55 m;03. Juli 07;26,8;1,33;3,75;0,82;2,43;0,92;1,02;14,86
2007;Aug;7;08.07.07;0 - 55 m;07. Aug 07;15,02;0,7;0,82;1,3;3,92;0,15;3,85;3,75
2007;Sep;4;09.04.07;0 - 55 m;04. Sep 07;14,14;1,51;0,96;0,54;2,46;0,04;3,25;4,87
2007;Oct;19;10.19.07;0 - 55 m;19-Oct-07;20,47;0,77;0,9;2,56;8,46;0,68;3,54;2,08
2007;Dec;11;12.11.07;0 - 55 m;11-Dec-07;20,03;0,91;1,2;1,67;6,64;0,96;3,36;4,19
2008;Jan;10;01.10.08;0 - 55 m;10. Jan 08;20,39;0,63;0,65;1,7;1,92;0,93;1,51;11,2
2008;Feb;12;02.12.08;0 - 55 m;12. Feb 08;36,83;1,22;2,05;7,41;13,8;1,07;4,16;4,47
2008;Mar;11;03.11.08;0 - 55 m;11-Mar-08;49,21;1,31;1,92;3,9;5,37;1,3;0,42;27,7
2008;Apr;8;04.08.08;0 - 55 m;08. Apr 08;24,03;1,46;1,48;3,24;4,88;0,4;0,98;9,23
2008;May;4;05.04.08;0 - 55 m;4-May-08;16,12;1,57;0,61;1,55;4,02;0,47;1,67;5,23
2008;Jun;3;06.03.08;0 - 55 m;03. Juni 08;13,55;0,87;0,71;1,3;3,84;0,41;4;1,66
2008;Jul;8;07.08.08;0 - 55 m;08. Juli 08;28,63;1,72;0,96;2,2;6,11;0,7;2,23;10,19
2008;Aug;5;08.05.08;0 - 55 m;05. Aug 08;27,58;0,81;1,62;2,75;10,77;0,53;2,81;6,3
2008;Sep;10;09.10.08;0 - 55 m;10. Sep 08;12,64;1,45;0,51;0,64;1,82;0,47;3,3;4,01
2008;Oct;10;10.10.08;0 - 55 m;10-Oct-08;12,34;1,26;0,45;0,68;1,88;0,41;2,98;4,45
2008;Nov;18;11.18.08;0 - 55 m;18. Nov 08;15,52;2,72;0,51;0,92;2,51;0,29;2,69;5,23
2008;Dec;10;12.10.08;0 - 55 m;10-Dec-08;12,52;2,22;0,28;0,62;2,29;0,3;3,13;3,05
2009;Jan;13;01.13.09;0 - 55 m;13. Jan 09;55,3;2,03;0,18;2,64;4,89;1,44;1,11;36,94
2009;Feb;10;02.10.09;0 - 55 m;10. Feb 09;34,38;3,32;1,21;1,63;2,36;0,69;0,53;21,23
2009;Mar;3;03.03.09;0 - 55 m;3-Mar-09;28,4;1,95;1,87;1,72;4,68;0,71;0,79;14,44
2009;Apr;7;04.07.09;0 - 55 m;07. Apr 09;21,61;2,98;2,26;3,09;5,35;0,14;1,09;5,31
2009;May;8;05.08.09;0 - 55 m;8-May-09;29,9;2,41;1,79;4,3;8,85;0,76;1,4;7,84
2009;Jun;2;06.02.09;0 - 55 m;02. Juni 09;27,38;1,75;1,82;3,55;9,84;0,22;1,28;6,09
2009;Jul;14;07.14.09;0 - 55 m;14. Juli 09;13,58;1,39;0,78;0,77;2,77;0,28;1,53;5,41
2009;Aug;11;08.11.09;0 - 55 m;11. Aug 09;32,14;2,02;2,8;4,06;10,75;0,15;2,29;6,46
2009;Sep;15;09.15.09;0 - 55 m;15. Sep 09;22,32;1,24;1,75;1,44;5,03;0,68;3,65;7,03
2009;Oct;7;10.07.09;0 - 55 m;7-Oct-09;23,24;0,75;0,78;1,58;8,16;0,62;1,94;8,2
2009;Nov;10;11.10.09;0 - 55 m;10. Nov 09;9,01;0,87;0,46;0,4;1,41;0,49;3,72;1,32
2009;Dec;8;12.08.09;0 - 55 m;8-Dec-09;16,18;1,42;0,89;0,48;2,63;0,38;1,68;7,31
2010;Jan;7;01.07.10;0 - 55 m;07. Jan 10;24,06;1,7;1,24;2,59;8,29;0,9;2,62;4,45
2010;Feb;11;02.11.10;0 - 55 m;11. Feb 10;105,23;0,22;0,12;4,64;3,7;2,11;0,1;82,76
2010;Mar;9;03.09.10;0 - 55 m;9-Mar-10;20,28;0,72;0,8;0,83;11,91;0,43;2,23;1,68
2010;Apr;7;04.07.10;0 - 55 m;07. Apr 10;18,23;1,3;1,33;0,68;4,3;0,51;2,28;6,88
2010;May;11;05.11.10;0 - 55 m;11-May-10;25,39;1,43;0,9;2,15;6,16;0,49;1,09;8,62
2010;Jun;8;06.08.10;0 - 55 m;08. Juni 10;11,43;1,26;0,67;0,98;2,5;0,59;2,26;2,43
2010;Aug;4;08.04.10;0 - 55 m;04. Aug 10;13,21;1,74;0,59;0,82;2,72;0,48;3,19;3,01
2010;Sep;15;09.15.10;0 - 55 m;15. Sep 10;16,71;1,07;0,99;0,96;3,73;0,53;4,43;4,03
2010;Oct;5;10.05.10;0 - 55 m;5-Oct-10;14,7;0,69;0,59;0,55;2,85;0,5;5,03;4,07
2010;Nov;9;11.09.10;0 - 55 m;09. Nov 10;11,07;0,91;1,16;0,51;2,52;0,44;3,7;1,15
2010;Dec;8;12.08.10;0 - 55 m;8-Dec-10;23,12;1,17;0,7;2,37;7,83;0,63;1,74;5,27
2011;Jan;11;01.11.11;0 - 55 m;11. Jan 11;100,31;1,19;0,28;1,81;18,19;1,5;1,86;75,48
2011;Feb;8;02.08.11;0 - 55 m;08. Feb 11;65,68;0,38;0,8;1,24;6,86;0,1;0,6;55,71
2011;Mar;15;03.15.11;0 - 55 m;15-Mar-11;16,96;1,84;0,85;1,96;8,08;0,24;1,89;2,09
2011;Apr;12;04.12.11;0 - 55 m;12. Apr 11;9,76;0,64;0,54;0,42;5,07;0;0,4;2,68
2011;May;10;05.10.11;0 - 55 m;10-May-11;41,15;3,91;1,15;2,58;11,59;0,14;4,08;17,71
2011;Jun;9;06.09.11;0 - 55 m;09. Juni 11;12,08;1,12;0,53;0,41;4,74;0,01;4,88;0,4
2011;Jul;7;07.07.11;0 - 55 m;07. Juli 11;14,91;1,64;0,47;0,62;9,12;0;2,93;0,12
2011;Aug;9;08.09.11;0 - 55 m;09. Aug 11;14,2;1,49;0,68;0,76;6,43;0,03;4,82;0
2011;Sep;6;09.06.11;0 - 55 m;06. Sep 11;19,33;2,18;0,35;0,68;11,51;0;4,6;0
2011;Oct;4;10.04.11;0 - 55 m;4-Oct-11;14,15;1,78;0,43;0,14;6,59;0,01;4,82;0,37
2011;Nov;18;11.18.11;0 - 55 m;18. Nov 11;11,46;1,14;0,34;0,4;5,16;0,03;4,19;0,19
2012;Jan;10;01.10.12;0 - 55 m;10. Jan 12;83,96;0,52;0,51;4,65;8,6;0,16;1,05;68,48
2012;Feb;7;02.07.12;0 - 55 m;07. Feb 12;24,87;0,29;0,46;1,17;8,26;0,16;0,79;13,73
2012;Mar;16;03.16.12;0 - 55 m;16-Mar-12;239,53;0,66;1,62;5,52;11,59;2,23;0,4;217,51
2012;Apr;10;04.10.12;0 - 55 m;10. Apr 12;25,13;3,16;0,81;2,09;10,86;0,06;2,84;5,3
2012;May;15;05.15.12;0 - 55 m;15-May-12;15,75;1,29;0,45;0,64;7,8;0,04;5,09;0,43
2012;Jul;26;07.26.12;0 - 55 m;26. Juli 12;15,45;1,04;0,5;1,31;6,98;0,08;3,84;1,7
2012;Aug;14;08.14.12;0 - 55 m;14. Aug 12;20,79;1,69;0,87;2,01;9,58;0,04;3,96;2,64
2012;Sep;11;09.11.12;0 - 55 m;11. Sep 12;19,92;1,96;0,7;0,87;9,14;0,17;3,94;3,15
2012;Oct;10;10.10.12;0 - 55 m;10-Oct-12;22,13;2,06;0,6;1,61;13,93;0,04;3,52;0,37
2012;Nov;8;11.08.12;0 - 55 m;08. Nov 12;9,16;0,72;0,31;0,17;4,43;0;3,53;0
2012;Dec;4;12.04.12;0 - 55 m;4-Dec-12;16,67;2,39;0,44;0,57;8,71;0;4,47;0,08
2013;Mar;5;03.05.13;0 - 55 m;5-Mar-13;28,32;2,69;1,34;2,57;12,8;0,2;1,69;7,03
2013;Apr;9;04.09.13;0 - 55 m;09. Apr 13;32,18;1,99;0,51;1,14;12,66;0,08;1,46;14,33
2013;May;9;05.09.13;0 - 55 m;9-May-13;25;2,67;1,01;1,8;12,75;0,12;4,48;2,18
2013;Jun;11;06.11.13;0 - 55 m;11. Juni 13;26,55;2,12;0,76;0,56;16,16;0,02;6,93;0
2013;Jul;11;07.11.13;0 - 55 m;11. Juli 13;21,44;2;0,49;0,97;11,31;0;5,62;1,05
2013;Aug;13;08.13.13;0 - 55 m;13. Aug 13;15,08;1,06;0,71;0,48;8,84;0,22;3,26;0,52
2013;Sep;11;09.11.13;0 - 55 m;11. Sep 13;14,26;0,62;0,31;0;6,28;0;7,05;0
2013;Oct;8;10.08.13;0 - 55 m;8-Oct-13;24,76;1,92;0,69;0;17,21;0;4,87;0,08
2013;Nov;13;11.13.13;0 - 55 m;13. Nov 13;20,38;1,59;0,59;0,33;10,14;0,01;7,45;0,29
2013;Dec;4;12.04.13;0 - 55 m;4-Dec-13;14,13;1,12;0,6;0,27;5,47;0,02;6,58;0,08
2014;Jan;14;01.14.14;0 - 55 m;14. Jan 14;35,3;0,49;0,68;0,93;8,21;0,24;0,65;24,1
2014;Feb;4;02.04.14;0 - 55 m;04. Feb 14;134,99;0,57;3,03;2,29;8,1;0,43;0,59;119,97
2015;Mar;10;03.10.14;0 - 55 m;10-Mar-14;33,3;0,34;0,65;1,62;7,76;0,75;2,73;19,45
2014;Apr;1;04.01.14;0 - 55 m;01. Apr 14;70,62;1,29;1,81;3,48;17,2;0,22;1,3;45,33
2014;May;6;05.06.14;0 - 55 m;6-May-14;286,36;0,08;1,48;3,94;13,68;21,56;2,22;243,4
2014;Jun;13;06.13.14;0 - 55 m;13. Juni 14;45,65;1,75;1,11;1,56;11,78;0,27;2,24;26,95
2014;Sep;3;09.03.14;0 - 55 m;03. Sep 14;15,56;1,9;0,4;0,22;6,02;0,01;4,92;2,1
2014;Oct;7;10.07.14;0 - 55 m;7-Oct-14;13,85;1,77;0,45;0,19;5,4;0;3,95;2,09
2014;Nov;12;11.12.14;0 - 55 m;12. Nov 14;19,31;3,09;0,56;1,09;9,25;0;4,16;1,16
2014;Dec;9;12.09.14;0 - 55 m;9-Dec-14;64,34;2,91;2,13;2,35;15,45;0,39;2,45;38,65
2015;Feb;15;02.15.15;0 - 55 m;15. Feb 15;28,56;1,94;0,85;3,03;15,22;0,21;4,07;3,24
2015;Apr;14;04.14.15;0 - 55 m;14. Apr 15;60,33;1,83;0,93;1,04;10,47;0,18;0,79;45,08
2015;Jul;29;07.29.15;0 - 55 m;29. Juli 15;19,26;1,3;1,19;0,41;11,38;0,33;3,33;1,32
2015;Aug;17;08.17.15;0 - 55 m;17. Aug 15;25,46;2,25;0,89;2,34;9,14;0,02;3,8;7,01
2015;Sep;10;09.10.15;0 - 55 m;10. Sep 15;28;1,75;0,7;0,88;15,02;0,08;9,51;0,08
2015;Nov;16;11.16.15;0 - 55 m;16. Nov 15;25,73;1,69;0,55;1,09;10,47;0,4;3,42;8,11
