cuise,date,MLD
3,01/15/96,36
4,02/15/96,28
5,03/15/96,28
6,04/15/96,32
7,05/15/96,12
8,06/15/96,21
9,07/15/96,14
10,08/15/96,22
11,09/15/96,9
12,10/15/96,18
13,11/15/96,14
14,12/15/96,27
15,01/15/97,62
16,02/15/97,34
17,03/15/97,31
18,04/15/97,27
19,05/15/97,14
20,06/15/97,13
21,07/15/97,9
22,08/15/97,17
23,09/15/97,19
24,10/15/97,11
25,11/15/97,17
26,12/15/97,13
27,01/15/98,22
28,02/15/98,35
29,03/15/98,43
30,04/15/98,26
,05/15/98,
31,06/15/98,17
32,07/15/98,14
33,08/15/98,17
34,09/15/98,12
35,10/15/98,12
36,11/15/98,21
37,12/15/98,26
38,01/15/99,22
39,02/15/99,52
40,03/15/99,14
41,04/15/99,19
42,05/15/99,19
43,06/15/99,16
44,07/15/99,13
45,08/15/99,12
46,09/15/99,12
47,10/15/99,17
48,11/15/99,25
49,12/15/99,57
50,01/15/00,42
51,02/15/00,35
52,03/15/00,23
53,04/15/00,26
54,05/15/00,12
55,06/15/00,25
56,07/15/00,8
57,08/15/00,6
58,09/15/00,11
59,10/15/00,13
60,11/15/00,18
61,12/15/00,27
62,01/15/01,30
63,02/15/01,49
64,03/15/01,26
65,04/15/01,32
66,05/15/01,23
67,06/15/01,31
68,07/15/01,12
69,08/15/01,21
70,09/15/01,19
71,10/15/01,15
72,11/15/01,22
73,12/15/01,21
74,01/15/02,38
75,02/15/02,56
76,03/15/02,23
77,04/15/02,32
78,05/15/02,28
79,06/15/02,16
80,07/15/02,7
81,08/15/02,20
,09/15/02,
82,10/15/02,14
83,11/15/02,21
84,12/15/02,19
85,01/15/03,30
86,02/15/03,24
87,03/15/03,25
88,04/15/03,27
89,05/15/03,33
90,06/15/03,12
91,07/15/03,17
92,08/15/03,10
93,09/15/03,18
,10/15/03,
94,11/15/03,25
95,12/15/03,21
96,01/15/04,62
97,02/15/04,31
98,03/15/04,34
99,04/15/04,20
100,05/15/04,22
101,06/15/04,15
102,07/15/04,16
103,08/15/04,13
104,09/15/04,20
105,10/15/04,15
106,11/15/04,15
107,12/15/04,33
108,01/15/05,28
109,02/15/05,22
110,03/15/05,18
111,04/15/05,37
112,05/15/05,16
113,06/15/05,14
114,07/15/05,23
115,08/15/05,11
,09/15/05,
116,10/15/05,26
,11/15/05,
117,12/15/05,40
118,01/15/06,23
119,02/15/06,29
120,03/15/06,34
121,04/15/06,16
122,05/15/06,17
123,06/15/06,16
124,07/15/06,16
125,08/15/06,9
126,09/15/06,11
127,10/15/06,15
128,11/15/06,19
129,12/15/06,26
,01/15/07,
130,02/15/07,21
131,03/15/07,10
132,04/15/07,18
133,05/15/07,20
134,06/15/07,19
135,07/15/07,12
136,08/15/07,19
137,09/15/07,16
138,10/15/07,11
139,11/15/07,11
140,12/15/07,15
141,01/01/08,16
142,02/01/08,28
143,03/01/08,26
144,04/01/08,24
145,05/01/08,20
146,06/01/08,22
147,07/01/08,11
148,08/01/08,16
149,09/01/08,15
150,10/01/08,13
151,11/01/08,19
152,12/01/08,26
153,01/01/09,33
154,02/01/09,26
155,03/01/09,15
156,04/01/09,19
157,05/01/09,20
158,06/01/09,18
159,07/01/09,18
160,08/01/09,11
161,09/01/09,20
162,10/01/09,15
163,11/01/09,19
164,12/01/09,30
165,01/15/10,29
166,02/15/10,26
167,03/15/10,20
168,04/15/10,24
169,05/15/10,22
170,06/15/10,23
,07/15/10,
171,08/15/10,13
172,09/15/10,19
173,10/15/10,19
174,11/15/10,27
175,12/15/10,22
176,01/15/11,14
177,02/15/11,42
178,03/15/11,24
179,04/15/11,19
180,05/15/11,15
181,06/15/11,12
182,07/15/11,13
183,08/15/11,9
184,09/15/11,9
185,10/15/11,14
186,11/15/11,21
,12/15/11,
187,01/15/12,26
188,02/15/12,39
189,03/15/12,32
190,04/15/12,33
191,05/15/12,33
,06/15/12,
193,07/15/12,37
194,08/15/12,15
195,09/15/12,13
196,10/15/12,12
197,11/15/12,22
