Date,MLD
11/01/95,24.138
12/01/95,18.103
01/01/96,10.057
02/01/96,8.046
03/01/96,10.057
04/01/96,7.04
05/01/96,8.046
06/01/96,4.023
07/01/96,4.023
08/01/96,4.023
09/01/96,9.01
10/01/96,6.008
11/01/96,3.002
12/10/96,26.093
01/01/97,11.11
02/01/97,11.022
03/01/97,6.086
04/01/97,7.935
05/01/97,6.986
06/01/97,13.204
07/01/97,7.039
08/01/97,1.112
09/01/97,3.996
10/01/97,3.007
11/01/97,15.064
12/01/97,5.12
01/01/98,7.12
02/01/98,22.123
03/01/98,4.993
04/01/98,9.037
06/01/98,5.034
07/01/98,14.107
08/01/98,4.002
09/01/98,3.043
10/01/98,4.122
11/01/98,8.111
12/01/98,23.124
01/01/99,1.119
02/01/99,24.123
03/01/99,9.088
04/01/99,19.197
05/01/99,4.055
06/01/99,2.168
07/01/99,6.076
08/01/99,12.035
09/01/99,12.039
10/01/99,17.103
11/01/99,18.064
12/01/99,35.159
01/01/00,9.06
02/01/00,11.034
03/01/00,6.024
04/01/00,24.121
05/01/00,11.13
06/01/00,3.998
07/01/00,2.01
08/01/00,5.058
09/01/00,6.993
10/01/00,11.056
11/01/00,12.069
12/01/00,24.138
01/01/01,29.167
02/01/01,10.057
03/01/01,10.057
04/01/01,25.144
05/01/01,22.13
06/01/01,14.08
07/01/01,10.057
08/01/01,4.023
09/01/01,17.098
10/01/01,7.04
11/01/01,4.023
12/01/01,16.092
01/01/02,5.029
02/01/02,5.029
03/01/02,15.086
04/01/02,12.069
05/01/02,7.04
06/01/02,8.046
07/01/02,4.023
08/01/02,5.029
10/01/02,13.075
11/01/02,12.069
12/01/02,18.103
01/01/03,5.028
02/01/03,6.059
03/01/03,5.99
04/01/03,24.79
05/01/03,10.92
06/01/03,10.89
07/01/03,5.03
08/01/03,1.989
09/01/03,5.966
11/01/03,3.977
12/01/03,19.886
01/01/04,29.83
02/01/04,28.83
03/01/04,2.983
04/01/04,6.96
05/01/04,20.88
06/01/04,13.92
07/01/04,1.99
08/01/04,7.96
09/01/04,21.874
10/01/04,13.92
11/01/04,11.93
12/01/04,29.83
01/01/05,3.98
02/01/05,8.95
03/01/05,10.94
04/01/05,3.977
05/01/05,13.92
06/01/05,5.97
07/01/05,22.87
08/01/05,6.96
10/01/05,23.86
12/01/05,15.91
01/01/06,2.98
02/01/06,27.84
03/01/06,16.9
04/01/06,2.98
05/01/06,3.98
06/01/06,9.943
07/01/06,3.98
08/01/06,4.97
09/01/06,10.937
10/01/06,4.97
11/01/06,18.89
12/01/06,3.98
02/01/07,6.96
03/01/07,2.98
04/01/07,16.9
05/01/07,5.97
06/01/07,19.89
07/01/07,4.97
08/01/07,8.95
09/01/07,11.93
10/01/07,1.99
12/01/07,8.95
01/01/08,3.98
02/01/08,21.87
03/01/08,8.95
04/01/08,4.97
05/01/08,5.97
06/01/08,7.96
07/01/08,3.98
08/01/08,14.91
09/01/08,4.97
10/01/08,3.98
11/01/08,6.96
12/01/08,26.85
01/01/09,28.84
02/01/09,26.85
03/01/09,17.9
04/01/09,19.89
05/01/09,4.97
06/01/09,3.98
07/01/09,4.97
08/01/09,3.98
09/01/09,2.98
10/01/09,3.98
11/01/09,12.93
12/01/09,11.93
01/01/10,4.97
02/01/10,5.97
03/01/10,2.98
04/01/10,3.98
05/01/10,4.972
06/01/10,21.874
08/01/10,10.937
09/01/10,3.98
10/01/10,21.874
11/01/10,2.98
12/01/10,12.93
01/01/11,10.94
02/01/11,5.97
03/01/11,21.87
04/01/11,3.98
05/01/11,12.93
06/01/11,2.98
07/01/11,3.977
08/01/11,0.99
09/01/11,2.98
10/01/11,12.93
11/01/11,7.96
01/01/12,10.937
02/01/12,6.96
03/01/12,2.98
04/01/12,0.99
05/01/12,31.82
07/01/12,4.97
08/01/12,2.98
09/01/12,4.97
10/01/12,2.98
11/01/12,13.92
12/01/12,16.90
03/01/13,4.97
04/01/13,3.98
05/01/13,3.98
06/01/13,3.98
07/01/13,3.977
08/01/13,0
09/01/13,15.91
10/01/13,2.98
11/01/13,17.90
12/01/13,1.99
01/01/14,21.87
02/01/14,4.97
04/01/14,2.98
05/01/14,2.98
06/01/14,2.98
09/01/14,1.989
10/01/14,14.91
11/01/14,16.90
12/01/14,3.98
02/01/15,12.93
03/01/15,32.81
04/01/15,7.96
07/01/15,17.90
08/01/15,0.99
09/01/15,4.97
11/01/15,9.943
12/01/15,2.983
01/01/16,5.97
02/01/16,3.98
05/01/16,31.82
06/01/16,15.91
12/01/16,32.81
01/01/17,8.95
