Date;MLD;21degC;22degC
11.01.95;24,138;130;118
12.01.95;18,103;114;094
01.01.96;10,057;102;062
02.01.96;8,046;094;066
03.01.96;10,057;048;024
04.01.96;7,04;048;026
05.01.96;8,046;030;008
06.01.96;4,023;081;039
07.01.96;4,023;108;093
08.01.96;4,023;086;048
09.01.96;9,01;125;089
10.01.96;6,008;108;098
11.01.96;3,002;102;073
12.10.96;26,093;114;092
01.01.97;11,11;063;056
02.01.97;11,022;046;034
03.01.97;6,086;018;005
04.01.97;7,935;031;021
05.01.97;6,986;056;025
06.01.97;13,204;112;071
07.01.97;7,039;083;041
08.01.97;1,112;048;016
09.01.97;3,996;113;083
10.01.97;3,007;123;111
11.01.97;15,064;068;057
12.01.97;5,12;045;027
01.01.98;7,12;090;047
02.01.98;22,123;090;046
03.01.98;4,993;040;006
04.01.98;9,037;087;054
06.01.98;5,034;115;098
07.01.98;14,107;072;027
08.01.98;4,002;109;076
09.01.98;3,043;117;094
10.01.98;4,122;110;101
11.01.98;8,111;122;113
12.01.98;23,124;109;103
01.01.99;1,119;075;049
02.01.99;24,123;060;029
03.01.99;9,088;054;028
04.01.99;19,197;078;046
05.01.99;4,055;103;078
06.01.99;2,168;080;061
07.01.99;6,076;092;062
08.01.99;12,035;105;074
09.01.99;12,039;120;115
10.01.99;17,103;122;112
11.01.99;18,064;114;107
12.01.99;35,159;126;113
01.01.00;9,06;081;051
02.01.00;11,034;043;035
03.01.00;6,024;046;026
04.01.00;24,121;053;041
05.01.00;11,13;028;012
06.01.00;3,998;092;049
07.01.00;2,01;048;010
08.01.00;5,058;113;086
09.01.00;6,993;111;092
10.01.00;11,056;124;103
11.01.00;12,069;111;100
12.01.00;24,138;081;071
01.01.01;29,167;091;042
02.01.01;10,057;046;000
03.01.01;10,057;025;000
04.01.01;25,144;048;035
05.01.01;22,13;081;045
06.01.01;14,08;067;050
07.01.01;10,057;056;027
08.01.01;4,023;098;091
09.01.01;17,098;122;063
10.01.01;7,04;118;101
11.01.01;4,023;122;115
12.01.01;16,092;115;107
01.01.02;5,029;122;091
02.01.02;5,029;070;055
03.01.02;15,086;034;022
04.01.02;12,069;049;031
05.01.02;7,04;111;084
06.01.02;8,046;110;098
07.01.02;4,023;054;008
08.01.02;5,029;089;049
10.01.02;13,075;122;112
11.01.02;12,069;112;106
12.01.02;18,103;098;044
01.01.03;5,028;056;033
02.01.03;6,059;071;029
03.01.03;5,99;042;008
04.01.03;24,79;098;077
05.01.03;10,92;077;043
06.01.03;10,89;105;052
07.01.03;5,03;086;045
08.01.03;1,989;087;034
09.01.03;5,966;127;122
11.01.03;3,977;134;121
12.01.03;19,886;121;110
01.01.04;29,83;083;070
02.01.04;28,83;112;087
03.01.04;2,983;100;065
04.01.04;6,96;087;052
05.01.04;20,88;108;38
06.01.04;13,92;112;82
07.01.04;1,99;060;041
08.01.04;7,96;108;030
09.01.04;21,874;121;106
10.01.04;13,92;135;121
11.01.04;11,93;126;111
12.01.04;29,83;080;058
01.01.05;3,98;083;54
02.01.05;8,95;111;72
03.01.05;10,94;118;097
04.01.05;3,977;061;036
05.01.05;13,92;119;097
06.01.05;5,97;107;088
07.01.05;22,87;115;079
08.01.05;6,96;062;033
10.01.05;23,86;133;117
12.01.05;15,91;097;078
01.01.06;2,98;085;052
02.01.06;27,84;055;036
03.01.06;16,9;070;036
04.01.06;2,98;047;016
05.01.06;3,98;092;072
06.01.06;9,943;108;075
07.01.06;3,98;108;073
08.01.06;4,97;072;020
09.01.06;10,937;113;085
10.01.06;4,97;103;085
11.01.06;18,89;124;109
12.01.06;3,98;127;119
02.01.07;6,96;042;023
03.01.07;2,98;035;013
04.01.07;16,9;038;020
05.01.07;5,97;069;040
06.01.07;19,89;126;112
07.01.07;4,97;071;046
08.01.07;8,95;112;103
09.01.07;11,93;121;105
10.01.07;1,99;119;105
12.01.07;8,95;117;091
01.01.08;3,98;082;062
02.01.08;21,87;075;048
03.01.08;8,95;047;028
04.01.08;4,97;038;029
05.01.08;5,97;087;039
06.01.08;7,96;115;093
07.01.08;3,98;071;051
08.01.08;14,91;106;079
09.01.08;4,97;124;118
10.01.08;3,98;132;126
11.01.08;6,96;123;114
12.01.08;26,85;121;116
01.01.09;28,84;076;066
02.01.09;26,85;104;045
03.01.09;17,9;064;027
04.01.09;19,89;058;033
05.01.09;4,97;045;025
06.01.09;3,98;040;030
07.01.09;4,97;110;070
08.01.09;3,98;080;054
09.01.09;2,98;117;066
10.01.09;3,98;115;099
11.01.09;12,93;130;125
12.01.09;11,93;109;085
01.01.10;4,97;101;071
02.01.10;5,97;027;019
03.01.10;2,98;104;092
04.01.10;3,98;094;086
05.01.10;4,972;113;093
06.01.10;21,874;111;092
08.01.10;10,937;122;114
09.01.10;3,98;117;114
10.01.10;21,874;128;125
11.01.10;2,98;144;136
12.01.10;12,93;105;089
01.01.11;10,94;112;091
02.01.11;5,97;055;046
03.01.11;21,87;058;038
04.01.11;3,98;032;023
05.01.11;12,93;093;062
06.01.11;2,98;124;120
07.01.11;3,977;108;083
08.01.11;0,99;127;094
09.01.11;2,98;125;097
10.01.11;12,93;122;094
11.01.11;7,96;112;100
01.01.12;10,937;086;057
02.01.12;6,96;052;038
03.01.12;2,98;026;003
04.01.12;0,99;031;016
05.01.12;31,82;117;115
07.01.12;4,97;087;067
08.01.12;2,98;089;078
09.01.12;4,97;115;108
10.01.12;2,98;122;116
11.01.12;13,92;120;109
12.01.12;16,90;114;101
03.01.13;4,97;046;027
04.01.13;3,98;073;047
05.01.13;3,98;071;046
06.01.13;3,98;110;100
07.01.13;3,977;109;089
08.01.13;0;099;050
09.01.13;15,91;125;115
10.01.13;2,98;119;080
11.01.13;17,90;111;104
12.01.13;1,99;109;092
01.01.14;21,87;049;025
02.01.14;4,97;024;005
04.01.14;2,98;041;024
05.01.14;2,98;021;016
06.01.14;2,98;114;089
09.01.14;1,989;117;106
10.01.14;14,91;114;105
11.01.14;16,90;125;107
12.01.14;3,98;120;108
02.01.15;12,93;067;037
03.01.15;32,81;086;041
04.01.15;7,96;046;021
07.01.15;17,90;043;034
08.01.15;0,99;048;028
09.01.15;4,97;110;071
11.01.15;9,943;112;100
12.01.15;2,983;111;095
01.01.16;5,97;051;034
02.01.16;3,98;043;025
05.01.16;31,82;139;128
06.01.16;15,91;;
12.01.16;32,81;;
01.01.17;8,95;104;090
;;065;056
