"","X10m_u_component_of_wind","X10m_v_component_of_wind","X2m_temperature","sea_surface_temperature","evaporation","total_precipitation","Temperature","Chlorophyll","Phaeopigments","PrimaryProductivity","MLD2019","X21degC"
"1",-5.555541,-3.3835087,297.3916,297.89508,-0.0027144004,0.00016375932,NA,NA,NA,NA,NA,NA
"2",-6.579281,-3.2049408,298.4602,299.05237,-0.003747128,9.136318e-05,NA,NA,NA,NA,NA,NA
"3",-5.7723923,-3.310524,298.29492,298.87155,-0.0028612197,4.5978522e-05,NA,NA,NA,NA,NA,NA
"4",-6.766924,-3.395296,298.11658,298.39313,-0.0030520447,0.00018763523,NA,NA,NA,NA,NA,NA
"5",-6.501889,-3.1179972,297.8933,297.79788,-0.0020541926,0.00013693022,NA,NA,NA,NA,NA,NA
"6",-6.0732565,-3.4042788,297.6947,298.13687,-0.0027883023,0.00010288731,NA,NA,NA,NA,NA,NA
"7",-6.494425,-3.668604,297.55676,298.30075,-0.0035665035,0.00022675813,NA,NA,NA,NA,NA,NA
"8",-6.5690002,-3.5565643,296.9253,296.79272,-0.0016454938,5.807914e-05,NA,NA,NA,NA,NA,NA
"9",-6.056632,-3.085065,297.33923,297.2562,-0.0018890868,0.0002858662,NA,NA,NA,NA,NA,NA
"10",-6.857012,-3.6311798,298.12463,298.55875,-0.0033328943,0.0001537454,NA,NA,NA,NA,NA,NA
"11",-6.697817,-3.5336695,297.14355,297.03125,-0.0018966144,0.00011849284,NA,NA,NA,NA,NA,NA
"12",-7.2362156,-3.7257814,297.34583,297.07623,-0.0019369221,9.969428e-05,NA,NA,NA,NA,NA,NA
"13",-7.4602003,-3.6150675,297.77844,297.87885,-0.0029821172,7.447973e-05,NA,NA,NA,NA,NA,NA
"14",-6.259573,-3.2706861,297.51758,297.44595,-0.0019431536,8.59994e-05,NA,NA,NA,NA,NA,NA
"15",-6.8908396,-3.486886,297.9192,298.17932,-0.0029140727,4.606931e-05,NA,NA,NA,NA,NA,NA
"16",-6.834008,-3.701787,297.6754,297.91855,-0.0027038495,8.719973e-05,NA,NA,NA,NA,NA,NA
"17",-6.2860136,-3.4167395,298.1316,298.49933,-0.002989743,0.000108349544,NA,NA,NA,NA,NA,NA
"18",-5.860445,-3.3308039,298.0664,298.53207,-0.0029667914,0.0001433546,22.633137157468,0.5825761693729,0.345171119287581,2.05693107572602,10.057,102
"19",-6.1938715,-3.5514908,297.9192,298.29294,-0.0028260648,0.00017991726,22.0723466408914,1.24000038628481,0.875099333139756,3.66714088931905,11.11,63
"20",-5.9208927,-3.1672802,297.8181,297.3837,-0.0013690782,1.4933648e-05,22.32685,0.432357509,0.42485,1.112554425,7.12,90
"21",-6.465353,-3.4946918,297.79224,297.74255,-0.0023196414,0.00016912386,22.1101197942764,0.455259658769086,0.40421186545505,1.40409534281319,1.119,75
"22",-6.642475,-3.4868393,297.56702,298.18195,-0.0033158697,0.000739909,22.7148348946246,0.324803346210708,0.283490462124956,2.75299506489093,9.06,81
"23",-6.4110584,-3.4203005,297.21472,297.065,-0.0020916164,2.9079187e-05,22.1468906547734,1.19834320151224,0.841365110836767,2.01351960931175,29.167,91
"24",-6.60081,-3.400176,297.953,297.83356,-0.0020678006,0.00085486146,23.1751114155872,0.574848648359787,0.728161727842579,0.953793205200347,5.029,122
"25",-6.3525524,-3.2808313,297.65442,297.33716,-0.001810269,1.2030123e-05,21.448543259496,0.919006096370317,0.595794330125226,1.78569228734061,5.028,56
"26",-6.459134,-3.6066751,298.23743,298.6235,-0.0032049902,0.00030841632,23.0625699311753,0.559102614812975,0.515573949090119,0.761858644640551,29.83,83
"27",-5.5861998,-3.526558,298.52844,299.068,-0.0029569864,0.000961117,22.6111024625444,0.352183549518042,0.39185638717952,0.859150460740152,3.98,83
"28",-6.149831,-3.365221,298.0089,298.14554,-0.0022406504,0.0005605186,22.2802085396167,0.333930751723469,0.414567897353764,0.926300898057362,2.98,85
"29",-6.514186,-3.5203285,298.00183,297.6916,-0.001860155,9.9965706e-05,NA,NA,NA,NA,NA,NA
"30",-6.584508,-3.4437857,297.9828,298.32703,-0.00312097,0.00035441038,23.0107620308834,0.258706487247181,0.355737112768925,0.58046302806145,3.98,82
"31",-6.3869133,-3.3676596,298.23962,298.49426,-0.0026673847,0.00033288426,22.8184931481116,0.719674819464457,0.587691357876936,NA,28.84,76
"32",-6.5715322,-3.453762,298.17493,298.06403,-0.0024963096,0.00013950783,23.0454634929833,0.255960680558529,0.313120448968412,NA,4.97,101
"33",-6.214463,-3.0597935,298.38428,298.66275,-0.002882313,0.0002393976,23.5560791537506,1.08360244421065,0.918179962291777,NA,10.94,112
"34",-6.5377417,-3.4134836,297.68335,297.55417,-0.0021044873,0.00024990906,22.5734296752477,1.07674256810038,0.814598196063947,NA,10.937,86
"35",-6.549715,-3.4652576,297.86523,297.70258,-0.0021401197,0.00011606308,NA,NA,NA,NA,NA,NA
"36",-6.6877165,-3.4955177,297.22888,296.73672,-0.0015483026,0.000103261016,21.064306681321,0.246267875630642,0.284271776816207,1.03916496584916,NA,NA
"37",-6.3287277,-3.3366394,298.0509,298.00082,-0.002111046,0.00012575692,NA,NA,NA,NA,NA,NA
"38",-6.3386993,-3.4473314,297.66248,297.28394,-0.0017093881,1.7137208e-05,21.7296723960927,0.542248866031367,0.583617434553554,1.31529008413677,NA,NA
"39",-5.6376705,-3.300313,297.97302,298.0976,-0.0021955445,0.00021423405,22.4200566108431,0.403718752796128,0.394782529694275,NA,NA,NA
"40",-6.1964493,-3.2238512,298.1969,298.21155,-0.002002973,6.6206514e-05,NA,NA,NA,NA,NA,NA
"41",-6.6897182,-3.3372793,297.34534,296.71005,-0.0016736714,1.5066001e-05,NA,NA,NA,NA,NA,NA
"42",-5.9582615,-3.2691126,298.33142,298.36578,-0.002187177,0.000119571196,NA,NA,NA,NA,NA,NA
"43",-7.5054407,-3.7221937,297.87,298.1784,-0.0039595254,1.9316907e-05,NA,NA,NA,NA,NA,NA
"44",-6.85594,-3.5654392,298.11963,298.54752,-0.0036775544,4.526705e-05,NA,NA,NA,NA,NA,NA
"45",-6.20498,-3.3232346,298.43323,298.87973,-0.0030425787,0.00017669008,NA,NA,NA,NA,NA,NA
"46",-6.29772,-3.5099049,297.92896,298.03412,-0.002506785,0.0004050306,NA,NA,NA,NA,NA,NA
"47",-6.4305,-3.2068567,297.82068,297.6501,-0.0021999555,2.7482252e-05,NA,NA,NA,NA,NA,NA
"48",-6.829777,-3.649557,297.39404,297.25818,-0.0020195746,2.4853056e-05,NA,NA,NA,NA,NA,NA
"49",-7.5442944,-3.6475077,297.44946,297.7185,-0.0035214163,0.00014111733,NA,NA,NA,NA,NA,NA
"50",-6.4755707,-3.6747866,297.05383,297.12476,-0.0021528015,8.2624625e-05,NA,NA,NA,NA,NA,NA
"51",-6.626549,-3.1833668,297.8075,297.71368,-0.0024375208,2.8858121e-06,NA,NA,NA,NA,NA,NA
"52",-6.824394,-3.9205294,297.72217,297.84488,-0.002426754,4.603353e-05,NA,NA,NA,NA,NA,NA
"53",-6.5653067,-3.6311178,296.85938,296.74423,-0.0019389407,0.00027392228,NA,NA,NA,NA,NA,NA
"54",-6.2929564,-3.9686337,296.65076,296.4203,-0.0013251936,0.00021359573,NA,NA,NA,NA,NA,NA
"55",-6.4189596,-3.6423159,297.41382,297.0938,-0.0014926135,7.066813e-05,NA,NA,NA,NA,NA,NA
"56",-6.848737,-3.6276646,297.38123,297.1719,-0.002016314,4.775534e-05,NA,NA,NA,NA,NA,NA
"57",-6.1503687,-3.6949883,297.7273,297.94238,-0.0024388565,1.867587e-05,NA,NA,NA,NA,NA,NA
"58",-7.2774773,-3.8252535,297.31616,297.00412,-0.0020707855,3.9647595e-05,NA,NA,NA,NA,NA,NA
"59",-6.6358385,-3.530531,297.8291,297.8998,-0.0027641095,8.162808e-06,NA,NA,NA,NA,NA,NA
"60",-6.568261,-3.6862736,298.15515,298.30145,-0.0026821978,5.8920472e-05,22.3144203998054,0.349763408153419,0.285539936585731,1.21755281694645,8.046,94
"61",-7.141198,-3.5794468,297.47546,297.12848,-0.0020449795,0.00015465383,21.410351696234,0.39328219724415,0.264881023116317,1.34508282487621,11.022,46
"62",-5.4563007,-3.0087433,298.18274,297.73834,-0.0016312883,6.92918e-05,22.664095720265,0.318514731024017,0.400767894056071,0.420517917710209,22.123,90
"63",-6.1991816,-3.7036533,297.51758,297.35464,-0.0021248236,0.00023869258,21.1094735955206,1.42826876803094,0.938384802579478,3.1399127205642,24.123,60
"64",-6.4369917,-3.5530682,297.22302,297.1832,-0.0022809021,9.016316e-05,21.2929707379337,0.377274174651861,0.353886550059886,NA,11.034,43
"65",-6.8161926,-3.821703,296.72095,296.41852,-0.00205528,6.4529886e-05,20.5461582228454,1.87544680943401,1.03066864528056,2.13129718693094,10.057,46
"66",-6.6323795,-3.670927,297.2433,296.67334,-0.0014878514,2.9688483e-05,21.657251655467,1.10610330865824,1.32806831491219,2.6755066603603,5.029,70
"67",-7.11172,-3.7209482,297.46436,296.89978,-0.0018586696,2.8529372e-05,21.6050524017462,1.99556766338795,0.991856852026002,NA,6.059,71
"68",-6.87202,-3.6997795,297.91296,297.9575,-0.0027399287,0.00012075844,22.881853306555,0.891168660775974,0.797974283421774,1.54507555624705,28.83,112
"69",-5.704009,-3.977498,298.7456,299.29025,-0.0033672415,0.0004716313,23.3480028090124,0.195886767359734,0.327604124076228,0.630701475574996,8.95,111
"70",-6.8149853,-3.8472166,297.5376,297.41315,-0.0021837875,0.0001318726,21.5690080513609,0.927393429409705,0.626116358797621,2.25884234074645,27.84,55
"71",-6.5773926,-3.723052,297.5205,297.01953,-0.0016782063,3.839226e-05,21.0150492196787,1.11280326227543,0.914122058952617,2.4200899154401,6.96,42
"72",-7.080305,-3.7358437,297.65503,297.80792,-0.003143631,0.00013302859,22.2099591279818,0.316565799258619,0.323025719903927,1.21566466132325,21.87,75
"73",-6.713876,-3.6859436,297.70166,297.76138,-0.0024759322,0.0014542127,NA,0.72955,0.64787265,NA,26.85,104
"74",-5.9617558,-3.1419458,297.80273,297.15482,-0.0013719858,1.9073486e-06,20.7908728909099,0.833458923996176,0.700480256771564,NA,5.97,27
"75",-6.428631,-3.8337545,297.62854,297.52728,-0.0020304548,0.00024063254,21.72458754262,0.743336701535277,0.447453080295089,NA,5.97,55
"76",-6.44289,-3.7714376,297.22986,296.8484,-0.0016610017,0.00012603756,21.1257402158091,0.369083388893826,0.330769442727325,NA,6.96,52
"77",-6.806079,-3.9514046,297.52234,297.01703,-0.001760453,5.8139485e-05,NA,NA,NA,NA,NA,NA
"78",-6.7926807,-3.8766766,297.03723,296.23413,-0.0010721972,5.8615115e-05,20.5993243734139,0.631498552325437,0.598228171421329,1.7793962065235,NA,NA
"79",-6.448475,-3.54387,298.0144,297.8455,-0.0022155815,5.136311e-05,22.1101210557322,0.333009628404753,0.363622639966455,1.10139071981655,NA,NA
"80",-6.873228,-3.9223118,297.552,296.79675,-0.0013493863,5.805403e-06,21.7534168760725,0.402709434350111,0.500788064842898,1.62876838223264,NA,NA
"81",-5.838522,-3.5874863,297.7793,297.6524,-0.0018933825,0.00015940878,NA,NA,NA,NA,NA,NA
"82",-7.051548,-3.959896,297.21802,297.01498,-0.0022872984,0.00024082905,NA,NA,NA,NA,NA,NA
"83",-7.153368,-3.7815933,297.25122,296.42346,-0.0015390066,3.4888686e-05,NA,NA,NA,NA,NA,NA
"84",-6.762988,-3.7359161,297.80286,297.0805,-0.0015664278,4.1376756e-05,NA,NA,NA,NA,NA,NA
"85",-6.009777,-3.6413355,297.81995,297.92758,-0.0020178799,0.00022246985,NA,NA,NA,NA,NA,NA
"86",-7.2707253,-3.8908043,297.90063,297.95145,-0.0030282848,2.0155101e-05,NA,NA,NA,NA,NA,NA
"87",-5.9532948,-3.420288,298.64453,299.0116,-0.0030264352,6.53031e-05,NA,NA,NA,NA,NA,NA
"88",-6.706398,-3.9469585,297.53088,297.37314,-0.002043798,6.0044287e-05,NA,NA,NA,NA,NA,NA
"89",-6.197606,-3.262601,298.208,297.93207,-0.0020017042,1.0225106e-05,NA,NA,NA,NA,NA,NA
"90",-6.5706873,-3.8853598,297.24084,296.99374,-0.0017696011,4.3000782e-05,NA,NA,NA,NA,NA,NA
"91",-7.0841694,-3.9299154,297.45264,297.4783,-0.0024585377,7.478746e-05,NA,NA,NA,NA,NA,NA
"92",-7.0294085,-3.8004627,297.74072,297.8719,-0.002840232,7.201532e-05,NA,NA,NA,NA,NA,NA
"93",-5.4366055,-3.214507,298.2307,298.29074,-0.0020918483,1.9072639e-05,NA,NA,NA,NA,NA,NA
"94",-7.230732,-4.013256,298.09802,298.3265,-0.0034099557,5.1581344e-05,NA,NA,NA,NA,NA,NA
"95",-6.2907104,-3.8071995,297.0177,296.90845,-0.0017483672,9.835347e-05,NA,NA,NA,NA,NA,NA
"96",-6.712574,-4.0926743,297.30273,296.88293,-0.001496647,5.242898e-05,NA,NA,NA,NA,NA,NA
"97",-6.216816,-3.5035877,297.47437,297.20926,-0.0015324855,0.000101717495,NA,NA,NA,NA,NA,NA
"98",-6.6546392,-3.7248611,297.3368,296.76578,-0.0013949743,8.079114e-06,NA,NA,NA,NA,NA,NA
"99",-6.6025524,-3.7585726,297.85706,297.83878,-0.002287856,2.348427e-05,NA,NA,NA,NA,NA,NA
"100",-6.7941685,-3.9641027,297.6106,297.33972,-0.0018809501,1.6963859e-05,NA,NA,NA,NA,NA,NA
"101",-5.5423155,-3.5769901,298.31433,298.56012,-0.0023299272,0.00024397588,NA,NA,NA,NA,NA,NA
"102",-6.833128,-3.9198847,297.8158,297.70407,-0.002399338,3.7987367e-05,21.1381175983157,0.636520397463531,0.377806073954399,1.53972447192621,10.057,48
"103",-6.7997484,-3.949894,296.81555,296.27603,-0.0014236823,5.8958874e-05,20.0060737942503,0.746902780370051,0.808756923563541,1.12609623771399,6.086,18
"104",-6.710804,-3.560464,297.81567,296.97592,-0.0015441158,0.0012830393,20.4570803493233,1.21009156432066,0.709942301245622,2.63350862068793,4.993,40
"105",-6.541149,-3.8548717,297.5603,297.30835,-0.0017473819,8.078164e-05,21.5466352826421,0.353595701809675,0.408583022358929,1.0497473187832,9.088,54
"106",-5.8159504,-3.553586,297.1786,297.0686,-0.0019299926,0.0014974652,NA,NA,NA,NA,6.024,46
"107",-6.9468517,-3.8041935,296.77478,296.03204,-0.0013194073,1.9073486e-06,20.2131388079982,1.50131996581858,0.652222420243321,2.92611204224918,10.057,25
"108",-6.1825705,-3.666028,297.43066,296.83698,-0.0011676247,0.00013068851,20.8372024194474,0.52631776485043,0.507136781763781,2.19673290983896,15.086,34
"109",-6.2373886,-3.7126665,297.12402,296.3822,-0.0010980021,1.0207605e-05,20.5776023206715,1.17839043387719,0.748191813561693,1.50512903324087,5.99,42
"110",-6.6724806,-3.908698,297.92957,297.7527,-0.0022437088,6.365044e-05,22.6955008237139,1.02557696321588,0.844397545942649,1.30076017723727,2.983,100
"111",-6.5305405,-3.6614723,298.912,298.83612,-0.0027036928,2.3514382e-05,22.859975706596,0.340093220551038,0.430658408927644,1.19390020061812,10.94,118
"112",-6.5337343,-3.6318083,298.1432,297.95837,-0.002173882,5.0386676e-05,21.9800070356972,0.248711825343744,0.290383211863997,0.561795052223881,16.9,70
"113",-6.192134,-3.4853687,297.34802,296.54712,-0.0011842572,0.0034570163,20.7975636994708,0.3128590666261,0.397311332561539,1.41783663053159,2.98,35
"114",-6.961934,-3.8853827,297.51245,297.26254,-0.0025069825,7.430122e-05,21.0422850528767,0.561581880052416,0.446309072259493,1.54719903887532,8.95,47
"115",-6.220932,-3.861784,297.6963,297.5535,-0.0023308992,0.0002757007,21.6403482279535,0.284101054499992,0.312634591325038,NA,17.9,64
"116",-6.0777836,-3.2292223,299.3192,299.25623,-0.0025460373,6.4100022e-06,23.969498640507,0.231230257135791,0.385708428814643,NA,2.98,104
"117",-5.5979805,-3.6599436,297.87256,297.9828,-0.0022069234,0.00060424325,22.1586228696242,0.269873782153436,0.255557446320685,NA,21.87,58
"118",-6.403675,-3.4924517,297.42468,296.8536,-0.0011123389,0.00031831837,20.0887829934813,1.35605651677538,0.925994232993095,NA,2.98,26
"119",-6.5278206,-3.73454,298.32776,298.12482,-0.0020115194,2.5863148e-05,21.389327760936,0.249089656576511,0.328157307710727,NA,4.97,46
"120",-6.576747,-4.0290976,297.32202,296.62463,-0.0013735904,1.3577419e-05,NA,NA,NA,NA,NA,NA
"121",-6.9599266,-4.0809574,297.75854,297.57962,-0.00224635,8.3034756e-05,22.0637599428518,0.349370495934043,0.62069335892619,0.306584576653494,NA,NA
"122",-6.617154,-4.081149,298.37122,298.1417,-0.0021076493,4.3582622e-05,NA,NA,NA,NA,NA,NA
"123",-6.2121105,-3.6515512,298.20654,298.13593,-0.0020234757,0.00014176738,NA,NA,NA,NA,NA,NA
"124",-6.0736046,-3.8108883,297.3839,296.55133,-0.001020733,0.00014654608,NA,NA,NA,NA,NA,NA
"125",-6.8199797,-3.70605,296.94836,295.68268,-0.0006931699,6.792423e-06,NA,NA,NA,NA,NA,NA
"126",-6.4349337,-3.9219923,297.7467,297.27075,-0.0019383281,6.33272e-05,NA,NA,NA,NA,NA,NA
"127",-6.8406925,-3.6708593,298.8391,299.0398,-0.0027892552,7.08414e-05,NA,NA,NA,NA,NA,NA
"128",-6.2133703,-3.4678154,298.69348,298.74384,-0.002299128,5.6669407e-05,NA,NA,NA,NA,NA,NA
"129",-4.575904,-2.7128468,298.8214,299.2329,-0.0019734995,0.0010399481,NA,NA,NA,NA,NA,NA
"130",-5.4669094,-3.2749968,297.47253,297.0773,-0.0009802275,0.0006931141,NA,NA,NA,NA,NA,NA
"131",-5.553438,-3.0697327,298.75684,298.63217,-0.0016027447,0.0002654139,NA,NA,NA,NA,NA,NA
"132",-6.1261787,-3.3570032,297.64258,297.19363,-0.0015313632,1.405667e-05,NA,NA,NA,NA,NA,NA
"133",-5.9594784,-3.2172623,297.80725,297.72287,-0.002090441,0.0004631007,NA,NA,NA,NA,NA,NA
"134",-6.1968193,-3.0717745,298.5094,298.20444,-0.0020077468,8.761883e-06,NA,NA,NA,NA,NA,NA
"135",-6.3801365,-3.2373953,299.0172,298.77383,-0.00213656,2.0503998e-05,NA,NA,NA,NA,NA,NA
"136",-6.402669,-3.584753,298.48193,298.38788,-0.0022618999,2.9095645e-06,NA,NA,NA,NA,NA,NA
"137",-6.6191263,-3.660675,297.4613,297.07516,-0.0017117308,1.05166755e-05,NA,NA,NA,NA,NA,NA
