"","X10m_u_component_of_wind","X10m_v_component_of_neutral_wind","X10m_v_component_of_wind","X10m_wind_speed","X2m_temperature","coefficient_of_drag_with_waves","instantaneous_eastward_turbulent_surface_stress","instantaneous_northward_turbulent_surface_stress","mean_wave_period","medium_cloud_cover","normalized_stress_into_ocean","ocean_surface_stress_equivalent_10m_neutral_wind_speed","sea_surface_temperature","surface_pressure","u_component_stokes_drift","v_component_stokes_drift","time_month","clear_sky_direct_solar_radiation_at_surface","eastward_turbulent_surface_stress","evaporation","instantaneous_10m_wind_gust","large_scale_precipitation","magnitude_of_turbulent_surface_stress","mean_eastward_turbulent_surface_stress","mean_evaporation_rate","mean_magnitude_of_turbulent_surface_stress","mean_northward_turbulent_surface_stress","mean_total_precipitation_rate","northward_turbulent_surface_stress","surface_sensible_heat_flux","total_precipitation","O2_ml_L","O2_umol_kg","NO3_UDO","PO4_UDO","SiO4_UDO","NH4_USF","NO2_USF","NO3_NO2_USF","PO4_USF","SiO4_USF","pH","Alkalinity_mol_kg","Alkalinity_umol_kg","TCO2","fCO2","pH_corrected","TCO2_corrected","fCO2_corrected","Salinity_bottles","Salinity_CTD","Temperature","Sigma_t","TPP","PIP","POC_ug_kg","PON_ug_kg","POC_ug_L","PN_ug_L","C_N_particulate","DON","DOP","DOC","TOC","PrimaryProductivity","Chlorophyll","Phaeopigments","Total_Prokaryotes","Bact_Biomass_mgC_m3","Bact_Biomass_uMC","NO3_USF","NO3_merged","PO4_merged","SiO4_merged","temp_5","temp_15","temp_25","temp_75","Isopycnal_21","MLD_potemp","SR_COCCOLITHOPHORIDS","SR_CYANOBACTERIA","SR_DIATOMS","SR_DINOFLAGELLATES","SR_OTHERS","species_richness","counts_int_COCCOLITHOPHORIDS","counts_int_DIATOMS","counts_int_DINOFLAGELLATES","counts_int_CYANOBACTERIA","counts_int_OTHERS","counts_int_NANOFLAGELLATES","Mesh200","Mesh500","total_biomass"
"203",-5.3057528,-2.6366882,-2.5561256,6.1139984,299.72668,0.0009123299,-0.054353118,-0.025692165,5.124629,0.09710318,0.9785492,4.536621,300.71152,101075.125,-0.042137682,-0.027571455,"11-1995",19084480,-5506.953,-0.0035581812,8.638282,0.00020805013,6192.3228,-0.06372017,-4.118208e-05,0.071691215,-0.028754234,1.1880994e-05,-2488.6484,-668755,0.0010270176,4.06669929608678,177.277571410047,0.921753508628846,0.0616260345159428,2.12711540523197,NA,NA,NA,NA,NA,NA,0.00240653698017017,2406.53698017017,NA,NA,NA,NA,NA,36.7624570961109,NA,25.3228469174287,24.5451485166609,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.7059802642641,NA,NA,0.179304631163587,0.270035115007541,NA,NA,NA,NA,0.921753508628846,0.0616260345159428,2.12711540523197,27.5055,27.4701428571429,27.3951818181818,25.7025555555556,131,23,5,4,64,18,0,91,0.0463826388888889,0.323438383233533,0.0741906914893617,0.171533,0,201.39917,NA,NA,NA
"204",-5.4460278,-3.1171885,-3.0622683,6.504798,298.87793,0.0009340979,-0.057572365,-0.031501114,5.149414,0.07147688,0.9752018,4.7646484,299.28598,101168.125,-0.04413414,-0.032637093,"12-1995",18168832,-5814.203,-0.0025704682,8.922766,5.6098914e-05,6760.856,-0.06729275,-2.9750328e-05,0.07819398,-0.03521806,1.3204772e-06,-3042.9258,-253528,0.00011491153,3.43855099181188,149.808482459801,3.09488449355281,0.211426903012595,3.86891898436766,NA,NA,NA,NA,NA,8.00608254830682,0.00240863075327812,2408.63075327812,2108.15608216521,433.700600134375,8.01114695815901,2104.95545929999,427.505181787492,NA,36.8560864745011,23.6878041439839,25.1362301406814,NA,NA,48.4458226939527,9.04038513679703,6.32681084184053,47.278054560553,8.82247380351001,NA,NA,NA,NA,0.482691795235559,0.115094883885154,0.163627773759507,0.700284685627766,2.13190871839581,0.177649828467334,NA,3.09488449355281,0.211426903012595,3.86891898436766,25.489,25.48975,25.3633076923077,24.2999736842105,115,21,0,1,59,18,0,78,0,0.691706586826347,0.323510638297872,0.3975,0,327.049295,NA,NA,NA
"205",-5.860445,-3.3858147,-3.3308039,7.016142,298.0664,0.0009792743,-0.06814271,-0.037200868,5.239093,0.07638367,0.96732825,5.2536564,298.53207,101168.81,-0.050139666,-0.03755806,"01-1996",18737568,-6851.992,-0.0029667914,9.613052,6.571367e-05,7976.0273,-0.07929897,-3.433753e-05,0.09228275,-0.041196525,1.6709e-06,-3556.2266,-272642,0.0001433546,3.40526448792255,148.311868740755,7.51162656279949,0.303837953469532,4.86813498392446,NA,NA,NA,NA,NA,7.98368984343977,0.00241554044081343,2415.54044081343,2127.09614056787,444.546887746061,7.9888971640501,2123.99993772671,438.124904588311,36.8845515979704,NA,22.633137157468,25.4656447395545,NA,NA,82.0098410365741,14.4776692090978,5.68367651312263,80.0330124558872,14.1286876042198,NA,NA,81.5256722976272,NA,2.05693107572602,0.5825761693729,0.345171119287581,3.04290520840144,9.92894748972587,0.827411865805819,NA,7.51162656279949,0.303837953469532,4.86813498392446,24.443,24.1552857142857,24.0025,23.1142432432432,103,NA,3,6,53,12,1,75,1.00583972222222,4.57644359281437,0.263433548387097,0.2763635,0.0289835714285714,490.93565,NA,NA,NA
"206",-6.568261,-3.7126608,-3.6862736,7.7867565,298.15515,0.0010275126,-0.08560687,-0.047099292,4.748802,0.07904482,0.95866585,5.7614746,298.30145,101173.69,-0.061073005,-0.042369887,"02-1996",20334576,-8292.891,-0.0026821978,10.395587,4.319311e-05,9619.258,-0.09599906,-3.104184e-05,0.11139178,-0.050238073,6.7477094e-07,-4342.09,-12840,5.8920472e-05,3.30429770989323,143.90053749654,6.87778339770023,0.325410783302027,4.0523121336436,NA,NA,NA,NA,NA,7.96228880875154,0.00241942968428825,2419.42968428825,2135.23809930437,458.42555820757,7.96798622958915,2131.81889118228,451.201703550987,36.8809868854412,NA,22.3144203998054,25.5576797502703,NA,NA,110.503790825195,17.7774318156409,5.99733893823374,107.840190204793,17.348920174352,NA,NA,70.7647692544694,NA,1.21755281694645,0.349763408153419,0.285539936585731,2.59153073062738,8.455257260114,0.704618066562331,NA,6.87778339770023,0.325410783302027,4.0523121336436,24.1765,23.8277142857143,23.6228333333333,22.7734324324324,96,7,6,3,62,12,1,84,0.348095978333333,2.54623189325335,0.104556454731183,0.652561,0.0215533928571429,614.8219775,NA,NA,NA
"207",-6.833128,-3.9165602,-3.9198847,8.154397,297.8158,0.0010566569,-0.09607613,-0.052923143,4.762285,0.0670927,0.95438284,6.057951,297.70407,101191.125,-0.06531137,-0.045367807,"03-1996",22302432,-9349.094,-0.002399338,10.896254,2.58761e-05,10874.324,-0.108240485,-2.7770031e-05,0.12583208,-0.057302356,4.256869e-07,-4947.4844,258676,3.7987367e-05,3.41265570044324,148.581941502598,6.58709768533579,0.336156014597613,5.16117590199774,NA,NA,NA,NA,NA,NA,0.0024057427704856,2405.7427704856,NA,NA,NA,NA,NA,36.8107093803555,36.8064869971071,21.1381175983157,25.8288984958954,NA,NA,166.25662416825,25.3469955150394,6.4144196994654,162.249024539689,24.7360227420073,NA,NA,NA,NA,1.53972447192621,0.636520397463531,0.377806073954399,NA,NA,NA,NA,6.58709768533579,0.336156014597613,5.16117590199774,22.8056,22.4696,22.30072,21.4256933333333,49,8,5,1,56,4,2,68,1.02348162833333,1.4227507295509,0.0155889196808511,0.01915,0.0545110714285714,339.894653537,NA,NA,NA
"208",-6.9070415,-3.953333,-3.9420671,8.225897,298.28906,0.0010531964,-0.098165095,-0.05341804,4.6399355,0.087736815,0.9551815,6.038761,298.30856,101153.5,-0.06624645,-0.045715194,"04-1996",22938896,-9531.777,-0.0026135547,10.993509,2.8987633e-05,11063.137,-0.110304356,-3.0250434e-05,0.12805218,-0.058048487,5.795665e-07,-5014.6484,137187,4.950157e-05,3.56997453981893,155.429600580984,6.77001143654398,0.360421253322633,3.74438804436196,NA,NA,NA,NA,NA,7.92282526703682,0.0024143510410139,2414.3510410139,2160.76073570008,498.229824831146,7.92848041581855,2157.58585585288,490.539083820247,36.8129699854288,36.8028975663396,21.1462829862187,25.8262349504034,NA,NA,162.172930345961,24.2988457321606,8.16202258174358,158.263865448196,23.7131205399982,NA,NA,89.7880947424772,NA,0.92001209107022,2.24528144477596,1.36223925674102,1.69078666193514,5.53150287641782,0.460977228031846,NA,6.77001143654398,0.360421253322633,3.74438804436196,23.02675,22.5862142857143,22.4348333333333,21.4246081081081,49,8,5,2,53,12,3,75,0.101475555555556,0.682431986526946,0.0322988430851064,0.02370425,0.426500535714286,404.415226096,NA,NA,NA
"209",-5.7684603,-3.2379189,-3.2406569,6.852909,298.563,0.00095252343,-0.065895796,-0.0350042,4.5887585,0.14792675,0.97335875,4.9591475,298.45312,101254.69,-0.04888004,-0.033632677,"05-1996",22225472,-6338.715,-0.0016811539,9.08752,0.00015641957,7284.9775,-0.07323468,-1.9458152e-05,0.08436571,-0.037314355,2.8804006e-06,-3224.461,196034,0.00025007606,3.01187056198178,131.126440118546,8.85360379914469,0.410444155982176,4.81713951280931,NA,NA,NA,NA,NA,7.96714746307441,0.00241607075487263,2416.07075487263,2137.04864451028,439.574240919822,7.9735604097227,2133.50115514577,431.688219038786,36.7880797097159,36.7657804693309,20.9042577787577,25.8625633928891,NA,NA,79.0978417190971,10.9056633424496,7.72340046258651,77.1911866120659,10.6427830135515,NA,NA,NA,NA,5.45734713153189,0.874061689710523,0.428877794133174,4.20377639654729,13.7613971220023,1.14677970067554,NA,8.85360379914469,0.410444155982176,4.81713951280931,23.1826666666667,22.379375,21.9039230769231,21.1424736842105,32,7,2,1,45,12,2,62,0.671824375,1.41507021766467,0.0409077723404255,0.021,0.00456785714285714,249.13852,NA,NA,NA
"210",-4.542302,-2.346222,-2.3140802,5.565095,299.00574,0.00087123946,-0.04513544,-0.021601558,4.38478,0.18239737,0.9855424,4.082364,299.1921,101291.94,-0.035463214,-0.022916034,"06-1996",21552896,-4261.0195,-0.0018380666,7.4868145,0.0006447912,4897.618,-0.04932177,-2.1274696e-05,0.056669112,-0.022380572,1.4294073e-05,-1932.0352,-53770,0.0012349621,3.63187637261734,158.169260278746,7.71274505021521,0.283244209879074,3.65518529070165,NA,NA,NA,NA,NA,8.01096185421876,0.00242401635721118,2424.01635721118,2117.96261285783,407.729511994944,8.01745945695839,2113.96405835895,400.364067912824,36.8848084402541,NA,22.2484858919177,25.5734622026372,NA,NA,129.134363325818,20.4915949648152,6.90334706653003,126.021611817586,19.9976509121268,NA,NA,81.2912104939537,NA,1.05646138368218,0.294388850174216,0.243805212816834,5.08941369118451,16.6049258278927,1.38373278337032,NA,7.71274505021521,0.283244209879074,3.65518529070165,25.082,24.7572,24.35976,22.6252266666667,82,20,2,2,36,27,2,69,0.81091025,0.104850373568862,0.10735092012766,0.112865,0.0118678571428571,51.7349045,NA,NA,NA
"211",-3.6957445,-1.6957397,-1.6473093,4.7338877,299.17078,0.0008234093,-0.033497274,-0.013707552,4.6759443,0.17855895,0.99123794,3.5563965,299.71393,101356.19,-0.026854694,-0.016807035,"07-1996",21400928,-2997.3242,-0.002084624,6.4138603,0.00085006515,3550.3457,-0.034759045,-2.4126479e-05,0.041124854,-0.013305601,2.2371634e-05,-1154.3889,-256207,0.0019330345,3.3222553734547,144.735833561546,5.83289831563387,0.330318455414219,2.5193666368434,NA,NA,NA,NA,NA,7.98135081388986,0.00241333793547136,2413.33793547136,2129.19913142808,464.189944968892,7.98769520649888,2125.50524577209,456.202225720936,36.8599471788488,NA,23.35139567433,25.2329229081573,NA,NA,80.1293341009582,11.6248452561559,8.06893793512792,78.1978095427964,11.3446423684185,NA,NA,69.4060831161422,NA,0.815817700160008,0.251017977775911,0.310032992310784,NA,NA,NA,NA,5.83289831563387,0.330318455414219,2.5193666368434,27.4376,26.6354,25.66928,23.8002533333333,109,12,2,1,25,16,3,47,1.35287465277778,0.0192932881736527,0.0672110638297872,0.00319375,0.0201785714285714,53.940357,NA,NA,NA
"212",-3.3389006,-1.4859171,-1.445693,4.4164095,299.49902,0.00080245873,-0.027837217,-0.011320863,4.404911,0.11781126,0.9936043,3.3266125,299.9924,101251.125,-0.023292482,-0.013938706,"08-1996",21948032,-2691.4336,-0.0019718446,6.163784,0.00016267302,3258.4534,-0.031159341,-2.2821609e-05,0.037665017,-0.012014344,1.0306993e-05,-1034.9324,-212359,0.0008917148,3.35538477893542,146.128100972464,5.14491366487929,0.252161638342495,3.61952245078253,NA,NA,NA,NA,NA,7.98405080957471,0.00241294197172363,2412.94197172363,2124.14450376176,438.391460320681,7.99063111842893,2120.25999527272,430.430612960792,36.896036891392,NA,22.316472924596,25.5625749202077,NA,NA,43.6528044059657,6.89118060499041,9.30137364863807,42.6005520442371,6.7250664553197,NA,NA,NA,NA,0.788966007561615,0.212829405257323,0.36447823870944,3.27403348146313,10.6819721640855,0.890153265400621,NA,5.14491366487929,0.252161638342495,3.61952245078253,26.066,25.1014285714286,24.55575,22.8594864864865,87,7,3,1,29,19,1,53,1.13010277777778,0.0759447874251497,0.097445,0.008086,0.01519,86.90074,NA,NA,NA
