time,10m_u_component_of_wind,10m_v_component_of_neutral_wind,10m_v_component_of_wind,10m_wind_speed,2m_temperature,benjamin_feir_index,clear_sky_direct_solar_radiation_at_surface,coefficient_of_drag_with_waves,evaporation,instantaneous_10m_wind_gust,instantaneous_eastward_turbulent_surface_stress,instantaneous_large_scale_surface_precipitation_fraction,instantaneous_northward_turbulent_surface_stress,lake_mix_layer_depth,lake_mix_layer_temperature,large_scale_precipitation,mean_evaporation_rate,mean_runoff_rate,mean_total_precipitation_rate,mean_wave_period,medium_cloud_cover,northward_turbulent_surface_stress,runoff,sea_surface_temperature,sub_surface_runoff,surface_pressure,surface_runoff,surface_sensible_heat_flux,total_precipitation,v_component_stokes_drift
1978-12-31 18:00:00,,,,,,,18786336.0,,-0.0027144004,9.280014,,0.07672119,,,,7.1021954e-05,-3.1415955e-05,0.0,1.8918607e-06,,,-3553.957,0.0,,0.0,,0.0,-297562.0,0.00016375932,
1979-01-01 00:00:00,-5.555541,-3.4421816,-3.3835087,6.8766356,297.3916,0.07579899,,0.00096604484,,,-0.06716114,,-0.038194,49.261322,297.89233,,,,,5.109558,0.0831479,,,297.89508,,101222.0,,,,-0.038124714
1979-01-31 18:00:00,,,,,,,20692176.0,,-0.0039595254,11.599524,,0.035995483,,,,1.1021488e-05,-4.5826702e-05,0.0,2.2776698e-07,,,-5326.5,0.0,,0.0,,0.0,-129417.0,1.9316907e-05,
1979-02-01 00:00:00,-7.5054407,-3.7506056,-3.7221937,8.661912,297.87,0.13082123,,0.0010872188,,,-0.11780131,,-0.05715877,49.261326,298.1776,,,,,5.1382065,0.03305978,,,298.1784,,101276.375,,,,-0.04699301
1979-02-28 18:00:00,,,,,,,22012240.0,,-0.0020178799,9.74829,,0.09402466,,,,6.505531e-05,-2.3355067e-05,0.0,2.5754762e-06,,,-4071.207,0.0,,0.0,,0.0,6285.0,0.00022246985,
1979-03-01 00:00:00,-6.009777,-3.6572094,-3.6413355,7.3847637,297.81995,0.10168266,,0.0009927112,,,-0.077379405,,-0.04471457,49.26074,297.92395,,,,,4.6986113,0.076761484,,,297.92758,,101158.94,,,,-0.04023548
1979-03-31 18:00:00,,,,,,,22550080.0,,-0.0027892552,10.541112,,0.08268738,,,,5.1023584e-05,-3.2281474e-05,0.0,8.240097e-07,,,-4445.742,0.0,,0.0,,0.0,-42365.0,7.08414e-05,
1979-04-01 00:00:00,-6.8406925,-3.69804,-3.6708593,8.000152,298.8391,0.09185791,,0.0010309881,,,-0.09462619,,-0.048265874,49.260933,299.02136,,,,,4.7238817,0.10878414,,,299.0398,,101125.56,,,,-0.042440515
1979-04-30 18:00:00,,,,,,,22430736.0,,-0.002673561,8.497732,,0.080459595,,,,0.00034713934,-3.09436e-05,0.0,6.6919847e-06,,,-2560.7812,0.0,,0.0,,0.0,-103839.0,0.0005781953,
1979-05-01 00:00:00,-5.37183,-2.6187296,-2.5814304,6.36837,299.5951,0.08879852,,0.0009067503,,,-0.06155479,,-0.027291,49.26105,299.9076,,,,,4.382532,0.14890963,,,299.91452,,101088.06,,,,-0.02718215
