time,10m_u_component_of_wind,10m_v_component_of_neutral_wind,10m_v_component_of_wind,10m_wind_speed,2m_temperature,benjamin_feir_index,coefficient_of_drag_with_waves,instantaneous_eastward_turbulent_surface_stress,instantaneous_northward_turbulent_surface_stress,lake_mix_layer_depth,lake_mix_layer_temperature,mean_wave_period,medium_cloud_cover,sea_surface_temperature,surface_pressure,v_component_stokes_drift
1979-01-01,-5.555541,-3.4421816,-3.3835087,6.8766356,297.3916,0.07579899,0.00096604484,-0.06716114,-0.038194,49.261322,297.89233,5.109558,0.0831479,297.89508,101222.0,-0.038124714
1979-02-01,-7.5054407,-3.7506056,-3.7221937,8.661912,297.87,0.13082123,0.0010872188,-0.11780131,-0.05715877,49.261326,298.1776,5.1382065,0.03305978,298.1784,101276.375,-0.04699301
1979-03-01,-6.009777,-3.6572094,-3.6413355,7.3847637,297.81995,0.10168266,0.0009927112,-0.077379405,-0.04471457,49.26074,297.92395,4.6986113,0.076761484,297.92758,101158.94,-0.04023548
1979-04-01,-6.8406925,-3.69804,-3.6708593,8.000152,298.8391,0.09185791,0.0010309881,-0.09462619,-0.048265874,49.260933,299.02136,4.7238817,0.10878414,299.0398,101125.56,-0.042440515
1979-05-01,-5.37183,-2.6187296,-2.5814304,6.36837,299.5951,0.08879852,0.0009067503,-0.06155479,-0.027291,49.26105,299.9076,4.382532,0.14890963,299.91452,101088.06,-0.02718215
1979-06-01,-2.359188,-0.72569275,-0.70292854,3.7189112,299.55896,0.030853271,0.0007623711,-0.018938482,-0.0054854564,49.260933,300.38983,4.253867,0.19013447,300.38376,101256.31,-0.008176684
1979-07-01,-4.2660885,-1.751894,-1.7113676,5.1444387,299.39563,0.03996563,0.0008440027,-0.041433096,-0.015301265,49.260544,299.8404,4.275653,0.15548146,299.84598,101353.25,-0.017131943
1979-08-01,-4.244422,-2.088975,-2.0302954,5.2266006,299.68213,0.051815987,0.0008538137,-0.040058076,-0.017928146,49.260815,300.26697,4.234272,0.11213012,300.28326,101149.375,-0.019737583
1979-09-01,-3.623414,-1.2110491,-1.1673641,4.55987,300.19043,0.055031776,0.00080335024,-0.03217721,-0.009822916,49.26074,301.07068,4.3204193,0.094095364,301.06042,101082.19,-0.012420986
1979-10-01,-3.8226185,-1.5333519,-1.4761829,4.691881,300.2556,0.053797722,0.00081894454,-0.03586489,-0.01257522,49.260857,301.21265,4.443678,0.10047094,301.22513,101020.06,-0.0151228905
1979-11-01,-4.7008085,-2.0456104,-1.9606934,5.4475994,300.2068,0.054411888,0.00086432765,-0.046278834,-0.017658234,49.2607,301.43054,5.0478516,0.092704475,301.4146,100902.56,-0.020804826
1979-12-01,-5.2727613,-2.7989607,-2.6922874,6.2411633,299.10315,0.0627985,0.00091956905,-0.06046009,-0.027237713,49.260464,300.30627,4.729513,0.12255746,300.30386,101125.875,-0.0280375
1980-01-01,-6.579281,-3.2578793,-3.2049408,7.5583353,298.4602,0.081848145,0.0010027182,-0.08705634,-0.040515482,49.26097,299.07544,4.967821,0.08313943,299.05237,101242.31,-0.037051264
1980-02-01,-6.85594,-3.6100473,-3.5654392,8.037169,298.11963,0.11661053,0.00104084,-0.0975163,-0.048751235,49.26066,298.5586,4.751771,0.08299402,298.54752,101217.81,-0.042535402
1980-03-01,-7.2707253,-3.9024096,-3.8908043,8.546472,297.90063,0.12091923,0.0010833284,-0.11247206,-0.05821556,49.261127,297.95056,4.859847,0.08208541,297.95145,101202.75,-0.04764389
1980-04-01,-6.2133703,-3.4857492,-3.4678154,7.4160013,298.69348,0.110396385,0.0009861775,-0.08182621,-0.04345405,49.260544,298.72693,4.5181017,0.07479485,298.74384,101116.625,-0.03838545
1980-05-01,-4.480542,-2.2671938,-2.2358036,5.467387,299.26245,0.06906986,0.00085052615,-0.046085477,-0.020732123,49.26136,299.352,4.265354,0.1737014,299.35852,101147.875,-0.021668136
1980-06-01,-5.146964,-2.349965,-2.3063078,5.935231,299.4734,0.0562315,0.00088561093,-0.053108394,-0.02175733,49.261086,299.80444,4.2171335,0.15202713,299.80173,101297.5,-0.022510178
1980-07-01,-3.867734,-1.6134415,-1.5647669,4.749193,299.53125,0.037988663,0.00082168146,-0.033777654,-0.012901265,49.261127,300.11823,4.101448,0.12603694,300.1363,101284.875,-0.015252706
1980-08-01,-3.1788588,-1.0638065,-1.0141888,4.21865,300.00952,0.040327072,0.0007894819,-0.026085913,-0.0076589026,49.261127,300.96765,4.4028463,0.10860939,300.9762,101223.81,-0.011515472
1980-09-01,-3.670495,-1.4230433,-1.3602362,4.4670124,300.39136,0.04853058,0.00080304965,-0.031171083,-0.010838028,49.26074,301.44604,4.3013754,0.077977136,301.4513,101115.69,-0.014385592
1980-10-01,-4.3880043,-1.6109438,-1.5588274,5.2579393,300.22192,0.072128296,0.00085111754,-0.04620272,-0.015958764,49.261166,301.32153,4.3090057,0.09299728,301.3019,101115.19,-0.017013554
1980-11-01,-5.8995705,-2.87564,-2.8121948,6.793906,299.47388,0.061312675,0.00095535326,-0.06968856,-0.032289207,49.26062,300.2035,4.912035,0.09940636,300.191,101096.56,-0.031299703
1980-12-01,-5.7393913,-2.8909206,-2.8201895,6.628729,299.00476,0.07452297,0.00093726395,-0.065380275,-0.030520678,49.261013,299.72827,4.8776436,0.06643213,299.72235,101081.375,-0.03064248
1981-01-01,-5.7723923,-3.3728523,-3.310524,6.919341,298.29492,0.1037035,0.0009575593,-0.06633389,-0.036516488,49.26117,298.87488,4.4388466,0.055167478,298.87155,101184.81,-0.034967702
1981-02-01,-6.20498,-3.368967,-3.3232346,7.3782473,298.43323,0.084843636,0.0009974241,-0.08508134,-0.043806374,49.260464,298.8673,4.9517746,0.08891385,298.87973,101083.94,-0.038829636
1981-03-01,-5.9532948,-3.472745,-3.420288,7.2340574,298.64453,0.10026455,0.0009800205,-0.07688892,-0.042331576,49.26105,299.02454,5.2795525,0.06052493,299.0116,101146.19,-0.03994143
1981-04-01,-4.575904,-2.7699661,-2.7128468,5.762869,298.8214,0.045351982,0.00088464306,-0.04638964,-0.02567619,49.261322,299.229,4.8603163,0.25193244,299.2329,101050.81,-0.027841374
1981-05-01,-3.8778734,-1.6027241,-1.5678701,4.6952953,299.4901,0.04611683,0.00080916705,-0.034831643,-0.012320094,49.260544,299.77795,4.4823523,0.15616554,299.78027,101089.875,-0.014893305
1981-06-01,-4.848324,-2.2627869,-2.2503624,5.661028,298.89355,0.05047226,0.0008681838,-0.04790169,-0.02055848,49.260933,298.92383,4.2137175,0.1505962,298.9098,101254.0,-0.021015827
1981-07-01,-3.130602,-0.85113907,-0.8466797,4.3731556,299.1073,0.041254044,0.00079314667,-0.024673104,-0.0068016797,49.260777,299.49634,4.1533585,0.1719653,299.51407,101317.31,-0.008813497
1981-08-01,-3.3131323,-1.2409477,-1.2133427,4.43077,299.7683,0.04558277,0.0008071081,-0.028379202,-0.010307606,49.26117,300.41333,4.255534,0.13862544,300.41367,101189.44,-0.01210231
1981-09-01,-2.5787497,-0.50487566,-0.48755705,3.8478384,300.47058,0.043319702,0.0007763929,-0.021689951,-0.003748726,49.26066,301.54932,4.7794857,0.09348874,301.5736,101160.44,-0.0064288303
1981-10-01,-4.2003956,-1.5502796,-1.49049,4.978732,300.49365,0.04819107,0.00082693994,-0.039123833,-0.01256004,49.261127,301.39478,4.6945486,0.095151186,301.39722,101013.44,-0.015831362
1981-11-01,-4.9169683,-2.3856897,-2.3057928,5.8636227,300.19324,0.058921814,0.00089070643,-0.052536905,-0.023063004,49.260582,301.2041,5.030513,0.07961886,301.191,100931.81,-0.024575982
1981-12-01,-5.7399254,-2.5935001,-2.5344877,6.5220222,299.42188,0.06652069,0.0009268741,-0.065025985,-0.026998818,49.26105,300.04236,4.911762,0.10114163,300.02063,101061.81,-0.02758193
1982-01-01,-6.766924,-3.425805,-3.395296,7.796855,298.11658,0.07510376,0.0010250958,-0.08798838,-0.04305768,49.26074,298.40308,5.065832,0.09925181,298.39313,101239.94,-0.040366624
1982-02-01,-6.29772,-3.5327425,-3.5099049,7.5144606,297.92896,0.06511879,0.0010034724,-0.081513405,-0.043035805,49.260582,298.05017,5.0035257,0.16014785,298.03412,101221.0,-0.04038923
1982-03-01,-6.706398,-3.9370728,-3.9469585,8.009081,297.53088,0.088336945,0.0010506383,-0.08855504,-0.05056852,49.26109,297.3766,4.531708,0.08318263,297.37314,101194.06,-0.044296905
1982-04-01,-5.4669094,-3.2196693,-3.2749968,6.6362514,297.47253,0.07929611,0.000929225,-0.05948925,-0.03300178,49.26054,297.06573,4.4494953,0.2013222,297.0773,101181.31,-0.031327758
1982-05-01,-3.9665394,-1.873909,-1.8627148,4.986252,298.7881,0.051566124,0.00082356855,-0.03892255,-0.016324166,49.260582,298.7542,4.447981,0.15003693,298.77417,101133.25,-0.018176168
1982-06-01,-4.9326286,-2.3616562,-2.3547487,5.7346735,298.66968,0.05522251,0.00087091024,-0.04860896,-0.021365106,49.26066,298.64777,4.2557487,0.1584158,298.61508,101296.25,-0.02191998
1982-07-01,-4.6970205,-2.4370308,-2.439396,5.583087,298.4674,0.049412727,0.0008610573,-0.04333192,-0.020714458,49.261047,298.35352,4.150049,0.13260384,298.37918,101280.81,-0.021904122
1982-08-01,-4.3792057,-1.9632492,-1.9153624,5.1270046,299.28857,0.04430771,0.00083178515,-0.03882736,-0.015555985,49.261127,299.64148,4.115094,0.0951898,299.65103,101254.375,-0.01817165
1982-09-01,-3.3581877,-1.4806137,-1.4350252,4.2974195,299.62866,0.045576096,0.00078762416,-0.028968215,-0.011454225,49.260815,300.0606,4.233506,0.0838674,300.0726,101114.125,-0.0146256685
1982-10-01,-4.999856,-2.008237,-1.9443178,5.7525873,299.8938,0.050949097,0.00087569817,-0.055152833,-0.019894354,49.260815,300.82935,5.0877714,0.066239074,300.8352,101044.375,-0.022080913
