time,10m_u_component_of_wind,10m_v_component_of_neutral_wind,10m_v_component_of_wind,10m_wind_speed,2m_temperature,coefficient_of_drag_with_waves,instantaneous_eastward_turbulent_surface_stress,instantaneous_northward_turbulent_surface_stress,mean_wave_period,medium_cloud_cover,normalized_stress_into_ocean,ocean_surface_stress_equivalent_10m_neutral_wind_speed,sea_surface_temperature,surface_pressure,u_component_stokes_drift,v_component_stokes_drift
1979-01-01,-5.555541,-3.4421816,-3.3835087,6.8766356,297.3916,0.00096604484,-0.06716114,-0.038194,5.109558,0.0831479,0.968253,5.1047363,297.89508,101222.0,-0.048022807,-0.038124714
1979-02-01,-7.5054407,-3.7506056,-3.7221937,8.661912,297.87,0.0010872188,-0.11780131,-0.05715877,5.1382065,0.03305978,0.947442,6.36084,298.1784,101276.375,-0.076681495,-0.04699301
1979-03-01,-6.009777,-3.6572094,-3.6413355,7.3847637,297.81995,0.0009927112,-0.077379405,-0.04471457,4.6986113,0.076761484,0.96490395,5.394026,297.92758,101158.94,-0.054408967,-0.04023548
1979-04-01,-6.8406925,-3.69804,-3.6708593,8.000152,298.8391,0.0010309881,-0.09462619,-0.048265874,4.7238817,0.10878414,0.95857936,5.801816,299.0398,101125.56,-0.065060854,-0.042440515
1979-05-01,-5.37183,-2.6187296,-2.5814304,6.36837,299.5951,0.0009067503,-0.06155479,-0.027291,4.382532,0.14890963,0.98203856,4.4739857,299.91452,101088.06,-0.0446108,-0.02718215
1979-06-01,-2.359188,-0.72569275,-0.70292854,3.7189112,299.55896,0.0007623711,-0.018938482,-0.0054854564,4.253867,0.19013447,0.9968835,2.887207,300.38376,101256.31,-0.016889453,-0.008176684
1979-07-01,-4.2660885,-1.751894,-1.7113676,5.1444387,299.39563,0.0008440027,-0.041433096,-0.015301265,4.275653,0.15548146,0.98894703,3.7871094,299.84598,101353.25,-0.032176793,-0.017131943
1979-08-01,-4.244422,-2.088975,-2.0302954,5.2266006,299.68213,0.0008538137,-0.040058076,-0.017928146,4.234272,0.11213012,0.9884414,3.8939152,300.28326,101149.375,-0.031170368,-0.019737583
1979-09-01,-3.623414,-1.2110491,-1.1673641,4.55987,300.19043,0.00080335024,-0.03217721,-0.009822916,4.3204193,0.094095364,0.9935285,3.342041,301.06042,101082.19,-0.025835454,-0.012420986
1979-10-01,-3.8226185,-1.5333519,-1.4761829,4.691881,300.2556,0.00081894454,-0.03586489,-0.01257522,4.443678,0.10047094,0.9916485,3.5132322,301.22513,101020.06,-0.028111935,-0.0151228905
1979-11-01,-4.7008085,-2.0456104,-1.9606934,5.4475994,300.2068,0.00086432765,-0.046278834,-0.017658234,5.0478516,0.092704475,0.986415,4.0126953,301.4146,100902.56,-0.035409153,-0.020804826
1979-12-01,-5.2727613,-2.7989607,-2.6922874,6.2411633,299.10315,0.00091956905,-0.06046009,-0.027237713,4.729513,0.12255746,0.9768066,4.6086426,300.30386,101125.875,-0.042735815,-0.0280375
1980-01-01,-6.579281,-3.2578793,-3.2049408,7.5583353,298.4602,0.0010027182,-0.08705634,-0.040515482,4.967821,0.08313943,0.96284944,5.49539,299.05237,101242.31,-0.0604527,-0.037051264
1980-02-01,-6.85594,-3.6100473,-3.5654392,8.037169,298.11963,0.00104084,-0.0975163,-0.048751235,4.751771,0.08299402,0.95656806,5.8998127,298.54752,101217.81,-0.06638545,-0.042535402
1980-03-01,-7.2707253,-3.9024096,-3.8908043,8.546472,297.90063,0.0010833284,-0.11247206,-0.05821556,4.859847,0.08208541,0.94980854,6.32043,297.95145,101202.75,-0.07371807,-0.04764389
1980-04-01,-6.2133703,-3.4857492,-3.4678154,7.4160013,298.69348,0.0009861775,-0.08182621,-0.04345405,4.5181017,0.07479485,0.9677099,5.3178415,298.74384,101116.625,-0.056699872,-0.03838545
1980-05-01,-4.480542,-2.2671938,-2.2358036,5.467387,299.26245,0.00085052615,-0.046085477,-0.020732123,4.265354,0.1737014,0.98906326,3.8515625,299.35852,101147.875,-0.03509772,-0.021668136
