time,cdww,iews,inss,mcc,mwp,si10,sp,sst,t2m,tauoc,u10,ust,v10,v10n,vst,wind
1979-01-01,0.00096604484,-0.06716114,-0.038194,0.0831479,5.109558,6.8766356,101222.0,297.89508,297.3916,0.968253,-5.555541,-0.048022807,-3.3835087,-3.4421816,-0.038124714,5.1047363
1979-02-01,0.0010872188,-0.11780131,-0.05715877,0.03305978,5.1382065,8.661912,101276.375,298.1784,297.87,0.947442,-7.5054407,-0.076681495,-3.7221937,-3.7506056,-0.04699301,6.36084
1979-03-01,0.0009927112,-0.077379405,-0.04471457,0.076761484,4.6986113,7.3847637,101158.94,297.92758,297.81995,0.96490395,-6.009777,-0.054408967,-3.6413355,-3.6572094,-0.04023548,5.394026
1979-04-01,0.0010309881,-0.09462619,-0.048265874,0.10878414,4.7238817,8.000152,101125.56,299.0398,298.8391,0.95857936,-6.8406925,-0.065060854,-3.6708593,-3.69804,-0.042440515,5.801816
1979-05-01,0.0009067503,-0.06155479,-0.027291,0.14890963,4.382532,6.36837,101088.06,299.91452,299.5951,0.98203856,-5.37183,-0.0446108,-2.5814304,-2.6187296,-0.02718215,4.4739857
1979-06-01,0.0007623711,-0.018938482,-0.0054854564,0.19013447,4.253867,3.7189112,101256.31,300.38376,299.55896,0.9968835,-2.359188,-0.016889453,-0.70292854,-0.72569275,-0.008176684,2.887207
1979-07-01,0.0008440027,-0.041433096,-0.015301265,0.15548146,4.275653,5.1444387,101353.25,299.84598,299.39563,0.98894703,-4.2660885,-0.032176793,-1.7113676,-1.751894,-0.017131943,3.7871094
1979-08-01,0.0008538137,-0.040058076,-0.017928146,0.11213012,4.234272,5.2266006,101149.375,300.28326,299.68213,0.9884414,-4.244422,-0.031170368,-2.0302954,-2.088975,-0.019737583,3.8939152
1979-09-01,0.00080335024,-0.03217721,-0.009822916,0.094095364,4.3204193,4.55987,101082.19,301.06042,300.19043,0.9935285,-3.623414,-0.025835454,-1.1673641,-1.2110491,-0.012420986,3.342041
1979-10-01,0.00081894454,-0.03586489,-0.01257522,0.10047094,4.443678,4.691881,101020.06,301.22513,300.2556,0.9916485,-3.8226185,-0.028111935,-1.4761829,-1.5333519,-0.0151228905,3.5132322
1979-11-01,0.00086432765,-0.046278834,-0.017658234,0.092704475,5.0478516,5.4475994,100902.56,301.4146,300.2068,0.986415,-4.7008085,-0.035409153,-1.9606934,-2.0456104,-0.020804826,4.0126953
1979-12-01,0.00091956905,-0.06046009,-0.027237713,0.12255746,4.729513,6.2411633,101125.875,300.30386,299.10315,0.9768066,-5.2727613,-0.042735815,-2.6922874,-2.7989607,-0.0280375,4.6086426
1980-01-01,0.0010027182,-0.08705634,-0.040515482,0.08313943,4.967821,7.5583353,101242.31,299.05237,298.4602,0.96284944,-6.579281,-0.0604527,-3.2049408,-3.2578793,-0.037051264,5.49539
1980-02-01,0.00104084,-0.0975163,-0.048751235,0.08299402,4.751771,8.037169,101217.81,298.54752,298.11963,0.95656806,-6.85594,-0.06638545,-3.5654392,-3.6100473,-0.042535402,5.8998127
