time,clear_sky_direct_solar_radiation_at_surface,eastward_turbulent_surface_stress,evaporation,instantaneous_10m_wind_gust,large_scale_precipitation,magnitude_of_turbulent_surface_stress,mean_eastward_turbulent_surface_stress,mean_evaporation_rate,mean_magnitude_of_turbulent_surface_stress,mean_northward_turbulent_surface_stress,mean_total_precipitation_rate,northward_turbulent_surface_stress,surface_sensible_heat_flux,total_precipitation
1978-12-31 18:00:00,18786336.0,-6499.172,-0.0027144004,9.280014,7.1021954e-05,7694.699,-0.075223684,-3.1415955e-05,0.089070395,-0.041149974,1.8918607e-06,-3553.957,-297562.0,0.00016375932
1979-01-31 18:00:00,20692176.0,-11139.9375,-0.0039595254,11.599524,1.1021488e-05,12700.02,-0.12905508,-4.5826702e-05,0.14699554,-0.061670065,2.2776698e-07,-5326.5,-129417.0,1.9316907e-05
1979-02-28 18:00:00,22012240.0,-7213.6914,-0.0020178799,9.74829,6.505531e-05,8551.656,-0.08350116,-2.3355067e-05,0.09895319,-0.047082245,2.5754762e-06,-4071.207,6285.0,0.00022246985
1979-03-31 18:00:00,22550080.0,-8788.855,-0.0027892552,10.541112,5.1023584e-05,10089.332,-0.101742506,-3.2281474e-05,0.11676541,-0.05140817,8.240097e-07,-4445.742,-42365.0,7.08414e-05
1979-04-30 18:00:00,22430736.0,-5820.547,-0.002673561,8.497732,0.00034713934,6623.124,-0.06734532,-3.09436e-05,0.07663138,-0.029593468,6.6919847e-06,-2560.7812,-103839.0,0.0005781953
1979-05-31 18:00:00,21331504.0,-1657.6836,-0.0020086425,5.3138657,0.00084825116,2273.3606,-0.019130051,-2.324635e-05,0.026320111,-0.0048820563,4.4564556e-05,-420.26147,-353147.0,0.0038512128
1979-06-30 18:00:00,21246656.0,-3882.039,-0.0022555813,7.036455,0.00037790817,4381.0176,-0.044888675,-2.6106412e-05,0.05072593,-0.016222391,1.0913131e-05,-1405.1931,-218050.0,0.0009418486
1979-07-31 18:00:00,21645648.0,-3840.4336,-0.0023461953,7.244752,0.00020179136,4489.817,-0.044412494,-2.7154863e-05,0.05201743,-0.019816972,1.0760148e-05,-1713.6836,-305773.0,0.00093043153
1979-08-31 18:00:00,21797968.0,-3071.0586,-0.0027678013,6.4233456,0.00014061194,3574.548,-0.03556466,-3.2034935e-05,0.041413855,-0.010832783,9.986076e-06,-935.8108,-447720.0,0.0008635416
1979-09-30 18:00:00,20799936.0,-3439.379,-0.0029167496,6.6458635,0.00011886377,3919.2986,-0.039785862,-3.375906e-05,0.045348838,-0.01393478,1.1546533e-05,-1204.0339,-493665.0,0.0009975743
