"","date","Tchla","Prasino3","Dino1","Crypto1","Hapto6","Chloro1","Cyano4","Diatom1"
"1",1995-12-14,13.54,2.54,0.96,0.66,2.67,0,0.83,5.87
"2",1996-01-13,44.21,1.43,6.33,1.08,3.03,0.59,0.46,29.02
"3",1996-02-14,28.77,1.64,1.84,1.93,2.18,0,0.34,20.23
"4",1996-03-13,21.26,0.49,1.8,0.92,2.05,0.09,0.27,14.93
"5",1996-04-17,171.92,1.11,2.72,2.76,50.81,11.84,1.36,101.3
"6",1996-05-10,44.24,1.11,0.01,0.22,9.76,1.04,0.54,31.41
"7",1996-06-13,27.77,4.43,0.79,3.81,3.76,0.21,0.11,14.64
"8",1996-07-11,23.39,0.89,1.03,0.19,7.14,0.42,2.7,11.02
"9",1996-08-07,22.42,4.19,0.57,0.14,7.13,0.6,1.42,8.36
"10",1996-09-11,32.23,0.82,1.05,0.64,12.59,1.16,2.91,13.06
"11",1996-10-09,31.46,0.52,1.57,0.64,8.69,1.19,3.16,15.69
"12",1996-11-11,43.29,1.94,1.21,1.39,8.71,2.14,2.13,25.31
"13",1996-12-10,19.31,3.99,0.51,1.17,4.01,0.5,1.99,7.14
"14",1997-01-08,102.33,1.57,2.69,1.26,5.52,1.42,1.68,87.49
"15",1997-02-14,25.77,4.29,1.62,0.27,1.15,0,0.42,17.47
"16",1997-02-23,40.53,0.38,0.95,0.03,1.02,0.02,0.4,36.78
"17",1997-03-13,51.59,6.84,0.16,0,0,0,0,44.41
"18",1997-04-16,62.59,3,2.29,0.02,6.31,0,1.27,49.01
"19",1997-05-10,27.28,1.57,1.13,0.29,1.22,0,0.15,21.32
"20",1997-06-17,21.57,9.49,0.7,0.06,4.2,0,0.9,5.77
"21",1997-07-08,12.58,1.73,0.33,0.02,1.38,0.02,0.05,8.57
"22",1997-07-16,28.78,2.02,2.13,0.52,2.42,0,0.12,20.24
"23",1997-08-17,24.93,5.83,0.84,0.1,7.85,0,1.98,8.11
"24",1997-09-17,16.09,3.93,1.15,0.98,3.17,0.1,1.74,4.77
"25",1997-10-14,18.2,5.84,0.97,1,3.74,0,0,6.44
"26",1997-11-13,17.29,4.14,1,0.49,6.71,0,0,4.86
"27",1997-12-17,30.47,4.85,1.07,1.01,7.07,0,0,15.71
"28",1998-01-14,30.63,2.01,2.48,1.61,5.66,0,1.24,16.79
"29",1998-02-11,23.2,2.25,1.36,0.5,2.71,0,0.28,15.1
"30",1998-03-12,76.93,2.83,2.01,0.29,2.16,0,0,66.63
"31",1998-04-21,26.95,2.64,1.27,1.11,6.17,0,1.36,14.05
"32",1998-06-09,48.64,3.62,0.04,4.38,21.14,1.47,4.44,13.03
"33",1998-07-09,30,3.3,0,0.21,15.59,0,2.5,5.23
"34",1998-08-05,33.98,2.13,0.04,0.6,14.78,1.56,4.15,10.71
"35",1998-09-01,16.46,0.5,0.02,1.42,4.24,0.67,2.98,6.6
"36",1998-12-16,39.84,1.97,0.03,1.19,11.18,1.72,1.85,20.23
"37",1999-01-12,81.64,0.04,0.02,5.37,28.38,1.24,4.1,32.95
"38",1999-03-04,1.49,0,0,0.11,1.06,0,0.02,0
"39",1999-04-07,18.2,0.46,0.01,0.06,6.94,0.05,1.24,2.34
"40",1999-06-08,3.68,0.48,0,0.08,1.88,0,0.12,0
"41",1999-07-15,29.81,0.17,0,0.94,10.56,0,1.37,7.78
"42",1999-08-11,28.87,0,0,0.01,4.98,0,0.77,0.31
"43",1999-09-14,23.39,0.6,0.01,0.35,6.37,0.15,1.74,7.16
"44",1999-10-05,13.55,2.58,0,0.91,3.59,0,2.6,0.68
"45",1999-11-04,7.84,0.95,0,0.01,1.6,0,2.56,2.4
"46",1999-12-07,8.67,0.69,0.01,0.07,1.78,0.04,3.19,2.44
"47",2000-01-11,29.77,1.77,0.01,2.13,4.02,0.01,1.76,17.96
"48",2000-02-08,33.12,1.92,0.01,1.67,6.13,0.03,1.03,19.36
"49",2000-03-09,10.05,0.81,0.01,0.24,2.58,0.22,0.92,5.27
"50",2000-04-11,23.86,1.33,0.53,0.92,2.05,0,1,15.67
"51",2000-05-11,30.1,1.76,0.01,1.73,4.66,0,1.94,16.41
"52",2000-06-06,14.84,2.17,0.03,0.2,4.35,0.12,1.29,4.63
"53",2000-07-07,7.11,0.19,0.01,0.02,1.38,0.02,0.59,3.07
"54",2000-08-09,15.63,1.51,0.01,0.59,3.5,0.12,3.63,4.52
"55",2000-09-12,28.55,1.53,1.2,0.21,4.55,0,3.68,15.47
"56",2000-10-10,15.19,2.49,0.01,0.49,3.28,0,3.92,3.12
"57",2006-07-04,13.94,2.1,0.86,0.27,2.32,0.02,1.84,5.77
"58",2006-08-03,23.96,2.36,1.18,1.99,5.7,0.19,4.05,6.21
"59",2006-09-12,25.05,2.97,1.35,1.77,5.84,0.11,2.54,8.3
"60",2006-10-10,48.05,1.22,1.64,1.8,7.04,1.26,1.85,22.78
"61",2006-11-02,21.5,2.71,1.03,1.47,5.63,0.09,3.35,6.17
"62",2006-12-05,30.24,4.32,1.09,1.74,7.45,0.55,2.1,11.44
"63",2007-02-06,102.46,0.54,1.62,6.35,4.69,0.41,0.16,78.08
"64",2007-03-06,31.32,2.64,0.38,4.23,7.81,0.69,2.24,10.35
"65",2007-04-10,32.21,3.76,1.22,4.84,8.07,0.37,2.51,8.9
