"","Depth","Tchla","Prasino3","Dino1","Crypto1","Hapto6","Chloro1","Cyano4","Diatom1","date","depth_num"
"1","0 - 55 m",11.34,1.93,0.85,0.66,2.13,0,0.66,5.1,1995-12-14,0
"2","0 - 55 m",41.94,0.96,6.23,1.08,2.55,0.59,0.4,27.86,1996-01-13,0
"3","0 - 55 m",25.44,1.08,1.79,1.81,1.79,0,0.25,18.14,1996-02-14,0
"4","0 - 55 m",20.21,0.37,1.8,0.92,1.84,0.09,0.25,14.23,1996-03-13,0
"5","0 - 55 m",167.78,0.84,2.72,2.76,50.01,11.79,1.35,98.3,1996-04-17,0
"6","0 - 55 m",42.38,0.92,0.01,0.22,9.38,1.03,0.53,30.14,1996-05-10,0
"7","0 - 55 m",24.38,3.6,0.79,3.13,2.66,0.07,0.09,14.03,1996-06-13,0
"8","0 - 55 m",16.67,0.52,0.79,0.19,5.77,0.42,2.07,6.92,1996-07-11,0
"9","0 - 55 m",14.36,2.04,0.43,0.14,4.59,0.6,1.17,5.39,1996-08-07,0
"10","0 - 55 m",18.4,0.49,0.57,0.33,6.71,0.84,1.51,7.95,1996-09-11,0
"11","0 - 55 m",25.9,0.35,1.47,0.46,7.84,0.97,2.56,12.25,1996-10-09,0
"12","0 - 55 m",39.45,1.33,1.19,1.21,7.49,1.99,1.58,24.21,1996-11-11,0
"13","0 - 55 m",15.71,1.99,0.51,0.79,3.3,0.5,1.54,7.08,1996-12-10,0
"14","0 - 55 m",100.15,1,2.67,1.15,5.04,1.42,1.45,86.73,1997-01-08,0
"15","0 - 55 m",23.74,2.8,1.56,0.21,0.9,0,0.39,17.34,1997-02-14,0
"16","0 - 55 m",37.36,0.26,0.88,0.03,0.85,0.01,0.32,34.09,1997-02-23,0
"17","0 - 55 m",48.23,3.93,0.16,0,0,0,0,43.95,1997-03-13,0
"18","0 - 55 m",58.29,1.38,2.29,0.01,5.64,0,1.27,47.06,1997-04-16,0
"19","0 - 55 m",24.44,1.03,1.11,0.28,0.93,0,0.14,19.47,1997-05-10,0
"20","0 - 55 m",15.23,5.7,0.64,0.05,2.88,0,0.38,5.17,1997-06-17,0
"21","0 - 55 m",11.12,0.8,0.33,0.02,1.14,0.02,0.05,8.28,1997-07-08,0
"22","0 - 55 m",25,0.79,1.95,0.05,1.31,0,0.12,19.5,1997-07-16,0
"23","0 - 55 m",20.65,3.07,0.67,0.09,6.96,0,1.96,7.78,1997-08-17,0
"24","0 - 55 m",10.61,1.83,0.85,0.67,1.93,0.1,1.55,3.53,1997-09-17,0
"25","0 - 55 m",12.26,3.66,0.93,0.4,2.49,0,0,4.65,1997-10-14,0
"26","0 - 55 m",16.22,3.27,1,0.49,6.59,0,0,4.8,1997-11-13,0
"27","0 - 55 m",21.91,2.48,1,0.13,4.77,0,0,12.99,1997-12-17,0
"28","0 - 55 m",25.41,0.92,2.47,1.02,4.4,0,1.21,14.78,1998-01-14,0
"29","0 - 55 m",16.28,0.83,0.95,0.2,1.61,0,0.21,11.73,1998-02-11,0
"30","0 - 55 m",75.52,2.31,2.01,0.29,2.05,0,0,65.89,1998-03-12,0
"31","0 - 55 m",20.42,1.72,1.02,0.42,4.41,0,1.1,11.47,1998-04-21,0
"32","0 - 55 m",32.3,1.23,0.03,2.81,13.41,1.03,3.5,9.89,1998-06-09,0
"33","0 - 55 m",20.1,1.34,0,0.21,10.82,0,2.21,3.4,1998-07-09,0
"34","0 - 55 m",15.34,1.14,0.02,0.21,4.84,0.5,3.34,5.3,1998-08-05,0
"35","0 - 55 m",12.63,0.49,0.02,1.42,2.8,0.54,2.8,4.54,1998-09-01,0
"36","0 - 55 m",34.13,0.08,0.03,1.19,8.51,1.72,1.53,20,1998-12-16,0
"37","0 - 55 m",79.05,0.03,0.02,5.37,27.43,1.13,4.08,31.52,1999-01-12,0
"38","0 - 55 m",1.06,0,0,0.11,0.63,0,0.02,0,1999-03-04,0
"39","0 - 55 m",11.76,0.18,0.01,0.06,4.97,0.04,1.24,1.51,1999-04-07,0
"40","0 - 55 m",23.77,0.12,0,0.47,8.05,0,1.25,6.83,1999-07-15,0
"41","0 - 55 m",17.3,0,0,0.01,3.69,0,0.73,0.15,1999-08-11,0
"42","0 - 55 m",11.47,0.05,0.01,0.2,2.75,0.15,1.4,3.63,1999-09-14,0
"43","0 - 55 m",5.63,0.58,0,0.28,1.04,0,1.74,0.31,1999-10-05,0
"44","0 - 55 m",4.76,0.35,0,0.01,0.89,0,2.3,1.03,1999-11-04,0
"45","0 - 55 m",5.49,0.69,0,0.03,1.2,0,2.45,0.67,1999-12-07,0
"46","0 - 55 m",27.84,1.55,0.01,2.13,3.32,0,1.69,17.3,2000-01-11,0
"47","0 - 55 m",31.14,1.74,0.01,1.67,5.34,0.01,0.85,18.76,2000-02-08,0
"48","0 - 55 m",8.79,0.81,0.01,0.23,1.97,0.14,0.91,4.71,2000-03-09,0
"49","0 - 55 m",22.29,1.02,0.53,0.92,1.72,0,0.83,14.97,2000-04-11,0
"50","0 - 55 m",25.47,1.4,0.01,1.72,3.28,0,1.9,14.23,2000-05-11,0
"51","0 - 55 m",9.85,1.47,0.02,0.14,2.76,0.06,1.15,2.88,2000-06-06,0
"52","0 - 55 m",5.44,0.19,0.01,0.02,0.84,0,0.3,2.36,2000-07-07,0
"53","0 - 55 m",8.93,0.81,0.01,0.57,1.79,0.02,2.94,2.05,2000-08-09,0
"54","0 - 55 m",15.76,0.77,1.19,0.13,2.45,0,2.87,7.12,2000-09-12,0
"55","0 - 55 m",10.07,1.46,0.01,0.27,1.83,0,3.41,2.2,2000-10-10,0
