"","time_month","time.x","X10m_u_component_of_wind","X10m_v_component_of_neutral_wind","X10m_v_component_of_wind","X10m_wind_speed","X2m_temperature","benjamin_feir_index","coefficient_of_drag_with_waves","instantaneous_eastward_turbulent_surface_stress","instantaneous_northward_turbulent_surface_stress","lake_mix_layer_depth","lake_mix_layer_temperature","mean_wave_period","medium_cloud_cover","sea_surface_temperature","surface_pressure","v_component_stokes_drift","time.y","clear_sky_direct_solar_radiation_at_surface","evaporation","instantaneous_10m_wind_gust","instantaneous_large_scale_surface_precipitation_fraction","large_scale_precipitation","mean_evaporation_rate","mean_runoff_rate","mean_total_precipitation_rate","northward_turbulent_surface_stress","runoff","sub_surface_runoff","surface_runoff","surface_sensible_heat_flux","total_precipitation","O2_ml_L","O2_umol_kg","NO3_UDO","PO4_UDO","SiO4_UDO","NH4_USF","NO2_USF","NO3_NO2_USF","PO4_USF","SiO4_USF","pH","Alkalinity_mol_kg","Alkalinity_umol_kg","TCO2","fCO2","pH_corrected","TCO2_corrected","fCO2_corrected","Salinity_bottles","Salinity_CTD","Temperature","Sigma_t","TPP","PIP","POC_ug_kg","PON_ug_kg","POC_ug_L","PN_ug_L","C_N_particulate","DON","DOP","DOC","TOC","PrimaryProductivity","Chlorophyll","Phaeopigments","Total_Prokaryotes","Bact_Biomass_mgC_m3","Bact_Biomass_uMC"
"1","01-1979",1979-01-03 07:33:20,-5.555541,-3.4421816,-3.3835087,6.8766356,297.3916,0.07579899,0.00096604484,-0.06716114,-0.038194,49.261322,297.89233,5.109558,0.0831479,297.89508,101222,-0.038124714,1979-01-03 01:33:20,18786336,-0.0027144004,9.280014,0.07672119,7.1021954e-05,-3.1415955e-05,0,1.8918607e-06,-3553.957,0,0,0,-297562,0.00016375932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","01-1980",1980-01-03 07:33:20,-6.579281,-3.2578793,-3.2049408,7.5583353,298.4602,0.081848145,0.0010027182,-0.08705634,-0.040515482,49.26097,299.07544,4.967821,0.08313943,299.05237,101242.31,-0.037051264,1980-01-03 01:33:20,18602928,-0.003747128,10.122169,0.09553528,6.23299e-05,-4.3368098e-05,0,1.0581441e-06,-3767.1836,0,0,0,-423256,9.136318e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","01-1981",1981-01-03 07:33:20,-5.7723923,-3.3728523,-3.310524,6.919341,298.29492,0.1037035,0.0009575593,-0.06633389,-0.036516488,49.26117,298.87488,4.4388466,0.055167478,298.87155,101184.81,-0.034967702,1981-01-03 01:33:20,18830192,-0.0028612197,9.312221,0.054992676,1.965111e-05,-3.3113494e-05,0,5.370968e-07,-3376.4883,0,0,0,-359338,4.5978522e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","01-1982",1982-01-03 07:33:20,-6.766924,-3.425805,-3.395296,7.796855,298.11658,0.07510376,0.0010250958,-0.08798838,-0.04305768,49.26074,298.40308,5.065832,0.09925181,298.39313,101239.94,-0.040366624,1982-01-03 01:33:20,18663344,-0.0030520447,10.197055,0.07940674,0.000114909315,-3.532604e-05,0,2.169093e-06,-3849.2695,0,0,0,-127245,0.00018763523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","01-1983",1983-01-03 07:33:20,-6.501889,-3.1154957,-3.1179972,7.42962,297.8933,0.068740845,0.0009786764,-0.08046901,-0.035655677,49.260777,297.8011,4.6889324,0.13155812,297.79788,101129.25,-0.03319896,1983-01-03 01:33:20,17152018,-0.0020541926,9.72292,0.10795593,0.00010049637,-2.3776593e-05,0,1.5818878e-06,-3200.5,0,0,0,190710,0.00013693022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","01-1984",1984-01-03 07:33:20,-6.0732565,-3.4529514,-3.4042788,7.2149763,297.6947,0.07352638,0.0009860098,-0.071680605,-0.038615286,49.261208,298.14465,4.5964975,0.06899369,298.13687,101206.5,-0.03719349,1984-01-03 01:33:20,18132304,-0.0027883023,9.627275,0.095321655,4.9374896e-05,-3.227043e-05,0,1.1923397e-06,-3546.8086,0,0,0,-276229,0.00010288731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","01-1985",1985-01-03 07:33:20,-6.494425,-3.736106,-3.668604,7.721977,297.55676,0.096432686,0.0010346512,-0.08379358,-0.045955062,49.261208,298.30005,4.589636,0.11086601,298.30075,101289.875,-0.041964874,1985-01-03 01:33:20,18687600,-0.0035665035,10.386238,0.0927124,0.00010997118,-4.1278647e-05,0,2.63346e-06,-4250.992,0,0,0,-585835,0.00022675813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","01-1986",1986-01-03 07:33:20,-6.5690002,-3.5420027,-3.5565643,7.678837,296.9253,0.08237362,0.0010159307,-0.0830732,-0.043424845,49.260468,296.8012,4.4941597,0.11844069,296.79272,101277.06,-0.03776805,1986-01-03 01:33:20,18480176,-0.0016454938,10.106682,0.076797485,4.5878412e-05,-1.9046463e-05,0,6.736325e-07,-4065.246,0,0,0,240900,5.807914e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","01-1987",1987-01-03 07:33:20,-6.056632,-3.0896482,-3.085065,7.233246,297.33923,0.082704544,0.0009802887,-0.078836024,-0.037260234,49.260582,297.2539,4.84503,0.090097114,297.2562,101262.375,-0.033949602,1987-01-03 01:33:20,18694912,-0.0018890868,9.378192,0.068573,0.000110626075,-2.186354e-05,0,3.3002261e-06,-3323.5508,0,0,0,209004,0.0002858662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","01-1988",1988-01-03 07:33:20,-6.857012,-3.6749125,-3.6311798,8.019802,298.12463,0.07765961,0.0010494608,-0.093432546,-0.048048496,49.261013,298.56885,5.0113897,0.09102559,298.55875,101280.5,-0.043477107,1988-01-03 01:33:20,18698368,-0.0033328943,10.837841,0.07746887,6.4848326e-05,-3.857733e-05,0,1.7754396e-06,-4536.211,0,0,0,-304055,0.0001537454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","01-1989",1989-01-03 07:33:20,-6.697817,-3.5280142,-3.5336695,7.7689657,297.14355,0.07406044,0.0010290134,-0.084681034,-0.043664277,49.26117,297.0479,4.801239,0.13908082,297.03125,101270.81,-0.039823357,1989-01-03 01:33:20,18598624,-0.0018966144,10.237245,0.10787964,8.18532e-05,-2.1952408e-05,0,1.3663691e-06,-4008.4922,0,0,0,217227,0.00011849284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","01-1990",1990-01-03 07:33:20,-7.2362156,-3.7042027,-3.7257814,8.323812,297.34583,0.085544586,0.0010636146,-0.1004284,-0.05086863,49.261364,297.1012,4.595083,0.14043194,297.07623,101204.19,-0.042747237,1990-01-03 01:33:20,18521952,-0.0019369221,10.9303665,0.106414795,6.665924e-05,-2.2417764e-05,0,1.1497392e-06,-4655.8203,0,0,0,395737,9.969428e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
