"","tot_abundance","spec_richness","date","diversity","time_month"
"1",0.4305,2,1995-11-08 07:36:00,0.347218956549282,"11-1995"
"2",0,0,1995-12-13 08:11:00,0,"12-1995"
"3",2.3,1,1996-01-12 08:35:00,0,"01-1996"
"4",1.23925,1,1996-02-13 08:16:00,0,"02-1996"
"5",5.98875,2,1996-03-13 08:44:00,0.117994704398648,"03-1996"
"6",33.6062,2,1996-04-16 09:12:00,0.597606536700667,"04-1996"
"7",0.25875,2,1996-05-09 08:15:00,0.625992428448626,"05-1996"
"8",1.1125,2,1996-06-12 08:51:00,0.196857730007906,"06-1996"
"9",0.9305,3,1996-07-10 08:40:00,0.236333669061488,"07-1996"
"10",1.519,1,1996-08-06 08:35:00,0,"08-1996"
"11",0,0,1996-09-10 08:37:00,0,"09-1996"
"12",1.240833,2,1996-10-09 08:38:00,0.616063906714477,"10-1996"
"13",4.36649,3,1996-11-10 08:22:00,0.750947425605246,"11-1996"
"14",0.625,1,1996-12-11 09:20:00,0,"12-1996"
"15",6.94,1,1997-01-07 09:30:00,0,"01-1997"
"16",0.0425,1,1997-02-13 09:24:00,0,"02-1997"
"17",0.21625,1,1997-03-13 09:39:00,0,"03-1997"
"18",1,2,1997-04-15 09:22:00,0.693147180559945,"04-1997"
"19",1.75,1,1997-05-10 09:36:00,0,"05-1997"
"20",1.75,1,1997-06-17 09:17:00,0,"06-1997"
"21",0.345,1,1997-07-08 09:24:00,0,"07-1997"
"22",0.083,1,1997-09-17 09:28:00,0,"09-1997"
"23",0,0,1997-10-14 09:46:00,0,"10-1997"
"24",0.668,1,1997-11-13 09:41:00,0,"11-1997"
"25",1.9155,1,1997-12-17 09:28:00,0,"12-1997"
"26",0.342,1,1998-01-14 09:25:00,0,"01-1998"
"27",1.446667,2,1998-02-11 10:23:00,0.666036368344977,"02-1998"
"28",0.9645,1,1998-03-12 09:37:00,0,"03-1998"
"29",0.208,1,1998-06-09 09:34:00,0,"06-1998"
"30",0.0735,1,1998-07-09 09:15:00,0,"07-1998"
"31",1,1,1998-08-05 09:50:00,0,"08-1998"
"32",0,0,1998-09-01 09:55:00,0,"09-1998"
"33",2.958,1,1998-10-14 09:31:00,0,"10-1998"
"34",0,0,1998-12-16 09:35:00,0,"12-1998"
"35",0,0,1999-01-12 09:30:00,0,"01-1999"
"36",2.0115,2,1999-02-10 09:37:00,0.191763093208172,"02-1999"
"37",30.3795,2,1999-03-04 09:35:00,0.0147824342910895,"03-1999"
"38",9.3825,2,1999-04-07 09:37:00,0.0979768874085633,"04-1999"
"39",83.2075,3,1999-05-06 09:15:00,0.0347813408794452,"05-1999"
"40",131.508,1,1999-06-08 09:34:00,0,"06-1999"
"41",4.6935,2,1999-07-15 09:36:00,0.0998000803291491,"07-1999"
"42",2.0555,2,1999-08-11 09:25:00,0.248722303454537,"08-1999"
"43",0.958,1,1999-09-14 10:05:00,0,"09-1999"
"44",0.1475,2,1999-10-05 10:25:00,0.684382676830297,"10-1999"
"45",0,0,1999-11-04 09:18:00,0,"11-1999"
"46",0,0,1999-12-07 09:45:00,0,"12-1999"
"47",6.132,2,2000-01-11 09:35:00,0.562335144618808,"01-2000"
"48",35.312,2,2000-02-08 09:30:00,0.135493444188152,"02-2000"
