"","date","diversity","time_month"
"1",1995-11-08 07:36:00,3.392493462155,"11-1995"
"2",1995-12-13 08:11:00,3.14118171388346,"12-1995"
"3",1996-01-12 08:35:00,2.70781841959961,"01-1996"
"4",1996-02-13 08:16:00,2.92474714619956,"02-1996"
"5",1996-03-13 08:44:00,1.8907763873188,"03-1996"
"6",1996-04-16 09:12:00,2.97433235993253,"04-1996"
"7",1996-05-09 08:15:00,2.3503172057531,"05-1996"
"8",1996-06-12 08:51:00,2.29877762469795,"06-1996"
"9",1996-07-10 08:40:00,0.701300713126102,"07-1996"
"10",1996-08-06 08:35:00,1.85589362300825,"08-1996"
"11",1996-09-10 08:37:00,0.487402843558293,"09-1996"
"12",1996-10-09 08:38:00,3.1266475348767,"10-1996"
"13",1996-11-10 08:22:00,2.57006943698019,"11-1996"
"14",1996-12-11 09:20:00,2.41593065533998,"12-1996"
"15",1997-01-07 09:30:00,2.86238346990526,"01-1997"
"16",1997-02-13 09:24:00,2.68508991974544,"02-1997"
"17",1997-03-13 09:39:00,2.87644973752621,"03-1997"
"18",1997-04-15 09:22:00,2.96542741038808,"04-1997"
"19",1997-05-10 09:36:00,1.94274963137777,"05-1997"
"20",1997-06-17 09:17:00,1.90366642015148,"06-1997"
"21",1997-07-08 09:24:00,1.87605723408864,"07-1997"
"22",1997-09-17 09:28:00,1.90251941208022,"09-1997"
"23",1997-10-14 09:46:00,2.05764879008445,"10-1997"
"24",1997-11-13 09:41:00,1.38529738052211,"11-1997"
"25",1997-12-17 09:28:00,1.84364909299944,"12-1997"
"26",1998-01-14 09:25:00,2.56268065379876,"01-1998"
"27",1998-02-11 10:23:00,1.5942785104569,"02-1998"
"28",1998-03-12 09:37:00,1.89766448221484,"03-1998"
"29",1998-06-09 09:34:00,2.49261593519724,"06-1998"
"30",1998-07-09 09:15:00,2.29701276954541,"07-1998"
"31",1998-08-05 09:50:00,2.25022627550493,"08-1998"
"32",1998-09-01 09:55:00,0.404023345675536,"09-1998"
"33",1998-10-14 09:31:00,1.93171628399981,"10-1998"
