,GRIB_paramId,GRIB_shortName,GRIB_units,GRIB_name,GRIB_cfVarName,GRIB_dataType,GRIB_missingValue,GRIB_numberOfPoints,GRIB_totalNumber,GRIB_typeOfLevel,GRIB_NV,GRIB_stepUnits,GRIB_stepType,GRIB_gridType,GRIB_gridDefinitionDescription,GRIB_Nx,GRIB_iDirectionIncrementInDegrees,GRIB_iScansNegatively,GRIB_longitudeOfFirstGridPointInDegrees,GRIB_longitudeOfLastGridPointInDegrees,GRIB_Ny,GRIB_jDirectionIncrementInDegrees,GRIB_jPointsAreConsecutive,GRIB_jScansPositively,GRIB_latitudeOfFirstGridPointInDegrees,GRIB_latitudeOfLastGridPointInDegrees,long_name,units,custom_name,GRIB_cfName,standard_name
0,165,10u,m s**-1,10 metre U wind component,u10,an,9999,84,0.0,surface,0,1,avgua,regular_ll,Latitude/Longitude Grid,12,0.25,0,-66.55,-63.8,7,0.25,0,0,11.32,9.82,10 metre U wind component,m s**-1,10m_u_component_of_wind,,
1,228132,v10n,m s**-1,Neutral wind at 10 m v-component,v10n,an,9999,84,0.0,surface,0,1,avgua,regular_ll,Latitude/Longitude Grid,12,0.25,0,-66.55,-63.8,7,0.25,0,0,11.32,9.82,Neutral wind at 10 m v-component,m s**-1,10m_v_component_of_neutral_wind,,
2,166,10v,m s**-1,10 metre V wind component,v10,an,9999,84,0.0,surface,0,1,avgua,regular_ll,Latitude/Longitude Grid,12,0.25,0,-66.55,-63.8,7,0.25,0,0,11.32,9.82,10 metre V wind component,m s**-1,10m_v_component_of_wind,,
3,207,10si,m s**-1,10 metre wind speed,si10,an,9999,84,0.0,surface,0,1,avgua,regular_ll,Latitude/Longitude Grid,12,0.25,0,-66.55,-63.8,7,0.25,0,0,11.32,9.82,10 metre wind speed,m s**-1,10m_wind_speed,,
4,228029,i10fg,m s**-1,Instantaneous 10 metre wind gust,i10fg,fc,9999,84,0.0,surface,0,1,avgid,regular_ll,Latitude/Longitude Grid,12,0.25,0,-66.55,-63.8,7,0.25,0,0,11.32,9.82,Instantaneous 10 metre wind gust,m s**-1,instantaneous_10m_wind_gust,,
5,140232,mwp,s,Mean wave period,mwp,an,9999,24,0.0,meanSea,0,1,avgua,regular_ll,Latitude/Longitude Grid,6,0.5,0,-66.55,-64.05,4,0.5,0,0,11.32,9.82,Mean wave period,s,mean_wave_period,,
6,140233,cdww,dimensionless,Coefficient of drag with waves,cdww,an,9999,24,0.0,heightAboveGround,0,1,avgua,regular_ll,Latitude/Longitude Grid,6,0.5,0,-66.55,-64.05,4,0.5,0,0,11.32,9.82,Coefficient of drag with waves,dimensionless,coefficient_of_drag_with_waves,,
7,229,iews,N m**-2,Instantaneous eastward turbulent surface stress,iews,an,9999,84,0.0,surface,0,1,avgua,regular_ll,Latitude/Longitude Grid,12,0.25,0,-66.55,-63.8,7,0.25,0,0,11.32,9.82,Instantaneous eastward turbulent surface stress,N m**-2,instantaneous_eastward_turbulent_surface_stress,,
8,230,inss,N m**-2,Instantaneous northward turbulent surface stress,inss,an,9999,84,0.0,surface,0,1,avgua,regular_ll,Latitude/Longitude Grid,12,0.25,0,-66.55,-63.8,7,0.25,0,0,11.32,9.82,Instantaneous northward turbulent surface stress,N m**-2,instantaneous_northward_turbulent_surface_stress,,
9,180,ewss,N m**-2 s,Eastward turbulent surface stress,ewss,fc,9999,84,0.0,surface,0,1,avgad,regular_ll,Latitude/Longitude Grid,12,0.25,0,-66.55,-63.8,7,0.25,0,0,11.32,9.82,Eastward turbulent surface stress,N m**-2 s,eastward_turbulent_surface_stress,surface_downward_eastward_stress,surface_downward_eastward_stress
