"","date","species_richness"
"1",1995-11-08 07:36:00,91
"2",1995-12-13 08:11:00,78
"3",1996-01-12 08:35:00,75
"4",1996-02-13 08:16:00,84
"5",1996-03-13 08:44:00,68
"6",1996-04-16 09:12:00,75
"7",1996-05-09 08:15:00,62
"8",1996-06-12 08:51:00,69
"9",1996-07-10 08:40:00,47
"10",1996-08-06 08:35:00,53
"11",1996-09-10 08:37:00,17
"12",1996-10-09 08:38:00,58
"13",1996-11-10 08:22:00,65
"14",1996-12-11 09:20:00,48
"15",1997-01-07 09:30:00,67
"16",1997-02-13 09:24:00,74
"17",1997-03-13 09:39:00,62
"18",1997-04-15 09:22:00,67
"19",1997-05-10 09:36:00,62
"20",1997-06-17 09:17:00,60
"21",1997-07-08 09:24:00,59
"22",1997-09-17 09:28:00,28
"23",1997-10-14 09:46:00,44
"24",1997-11-13 09:41:00,40
"25",1997-12-17 09:28:00,46
"26",1998-01-14 09:25:00,37
"27",1998-02-11 10:23:00,56
"28",1998-03-12 09:37:00,63
"29",1998-06-09 09:34:00,41
"30",1998-07-09 09:15:00,40
"31",1998-08-05 09:50:00,38
"32",1998-09-01 09:55:00,16
"33",1998-10-14 09:31:00,24
"34",1998-12-16 09:35:00,39
"35",1999-01-12 09:30:00,36
"36",1999-02-10 09:37:00,61
"37",1999-03-04 09:35:00,28
"38",1999-04-07 09:37:00,48
"39",1999-05-06 09:15:00,61
"40",1999-06-08 09:34:00,33
"41",1999-07-15 09:36:00,43
"42",1999-08-11 09:25:00,39
"43",1999-09-14 10:05:00,37
"44",1999-10-05 10:25:00,27
"45",1999-11-04 09:18:00,11
"46",1999-12-07 09:45:00,16
"47",2000-01-11 09:35:00,28
"48",2000-02-08 09:30:00,19
"49",2000-03-09 09:32:00,13
"50",2000-04-11 09:54:00,36
"51",2000-05-11 10:05:00,23
"52",2000-06-06 10:21:00,12
"53",2000-07-07 10:03:00,35
"54",2000-10-10 09:55:00,44
"55",2000-11-03 09:23:00,41
"56",2000-12-05 10:30:00,29
"57",2001-01-11 10:16:00,32
"58",2001-02-16 10:35:00,37
"59",2001-03-14 10:28:00,31
"60",2001-04-04 09:45:00,25
"61",2001-05-05 09:49:00,16
"62",2001-06-12 10:41:00,6
"63",2001-07-10 10:20:00,8
"64",2001-08-07 09:45:00,7
"65",2001-09-12 09:54:00,11
"66",2001-10-09 09:58:00,39
"67",2001-11-06 09:52:00,20
"68",2001-12-11 08:57:00,11
"69",2002-01-10 11:00:00,27
"70",2002-02-14 10:30:00,41
"71",2002-03-12 11:15:00,39
"72",2002-04-02 10:17:00,36
"73",2002-05-07 10:42:00,28
"74",2002-06-12 10:16:00,24
"75",2002-07-09 10:00:00,44
"76",2002-08-06 09:02:00,38
"77",2002-10-03 08:36:00,29
"78",2002-11-07 08:36:00,19
"79",2002-12-05 07:29:00,26
"80",2003-01-14 08:48:00,44
"81",2003-02-11 08:49:00,26
"82",2003-03-11 08:32:00,53
"83",2003-04-08 08:27:00,21
"84",2003-06-10 08:51:00,17
"85",2003-07-08 08:16:00,15
"86",2003-08-04 08:28:00,27
"87",2003-09-09 08:52:00,47
"88",2003-11-11 08:37:00,29
"89",2004-02-08 08:29:00,30
"90",2004-03-08 08:12:00,39
"91",2004-06-08 08:21:00,38
"92",2004-07-07 08:26:00,50
"93",2004-08-10 08:37:00,42
"94",2004-09-07 08:27:00,20
"95",2004-10-05 08:30:00,31
"96",2004-11-09 08:31:00,22
"97",2004-12-07 08:39:00,29
"98",2005-01-11 09:14:00,47
"99",2005-02-10 09:40:00,28
"100",2005-03-08 09:15:00,36
"101",2005-04-05 08:53:00,40
"102",2005-05-10 08:45:00,4
"103",2005-06-14 09:06:00,16
"104",2005-07-12 09:04:00,12
"105",2005-08-10 08:48:00,16
"106",2005-10-05 09:00:00,28
"107",2005-12-15 09:13:00,51
"108",2006-01-12 09:05:00,43
"109",2006-02-07 09:30:00,43
"110",2006-03-16 12:20:00,27
"111",2006-04-04 09:39:00,46
"112",2006-05-10 09:44:00,16
"113",2006-06-06 09:42:00,18
"114",2006-07-04 08:58:00,40
"115",2006-08-03 09:23:00,26
"116",2006-09-12 08:47:00,36
"117",2006-10-10 09:13:00,47
"118",2006-11-02 09:30:00,25
"119",2006-12-05 09:16:00,42
"120",2007-02-06 09:24:00,71
"121",2007-03-06 09:12:00,45
"122",2007-04-10 09:15:00,29
"123",2007-05-08 09:06:00,26
"124",2007-06-05 08:30:00,36
"125",2007-07-03 08:30:00,45
"126",2007-08-07 08:48:00,39
"127",2007-09-04 09:09:00,35
"128",2007-10-09 08:36:00,25
"129",2007-12-11 08:53:00,37
"130",2010-05-11 08:51:00,53
"131",2010-06-08 09:25:00,38
"132",2010-08-04 09:26:00,43
"133",2010-09-15 09:10:00,47
"134",2010-10-04 09:06:00,48
"135",2010-11-09 09:10:00,50
"136",2010-12-08 09:23:00,56
"137",2011-01-11 09:00:00,64
"138",2011-02-08 09:00:00,62
"139",2011-03-15 08:58:00,35
"140",2011-04-12 09:04:00,60
"141",2011-05-10 08:50:00,73
"142",2011-06-09 09:06:00,45
"143",2011-07-07 08:57:00,39
"144",2011-08-09 09:06:00,32
"145",2011-09-06 09:02:00,38
"146",2011-10-04 08:52:00,32
"147",2011-11-18 08:42:00,59
"148",2012-01-10 08:58:00,63
"149",2012-02-07 09:09:00,48
"150",2012-03-16 09:00:00,66
"151",2012-04-10 09:11:00,65
"152",2012-05-15 09:00:00,42
"153",2012-07-26 09:02:00,30
"154",2012-08-14 09:01:00,33
"155",2012-09-10 09:02:00,45
"156",2012-10-10 08:53:00,51
"157",2012-11-08 09:19:00,40
"158",2012-12-04 08:50:00,32
"159",2013-03-05 08:40:00,59
"160",2013-04-09 08:44:00,76
"161",2013-05-09 08:55:00,46
"162",2013-06-11 09:26:00,40
"163",2013-07-11 09:07:00,51
"164",2013-08-13 08:53:00,13
"165",2013-09-11 09:00:00,24
"166",2013-10-08 08:55:00,21
"167",2013-11-13 08:51:00,35
"168",2013-12-04 08:39:00,18
"169",2014-01-14 08:53:00,78
"170",2014-02-04 08:54:00,77
"171",2014-04-01 08:59:00,52
"172",2014-05-06 08:54:00,31
"173",2014-06-13 09:07:00,30
"174",2014-09-03 08:57:00,36
"175",2014-10-07 08:51:00,23
"176",2014-11-12 08:50:00,20
"177",2014-12-04 08:50:00,38
"178",2015-02-15 08:49:00,26
"179",2015-03-10 09:10:00,49
"180",2015-04-24 09:00:00,37
"181",2015-07-29 08:57:00,18
"182",2015-08-18 09:01:00,15
"183",2015-09-10 08:50:00,22
"184",2015-11-16 08:47:00,17
"185",2015-12-09 08:50:00,21
"186",2016-01-12 08:52:00,59
"187",2016-02-04 09:11:00,51
"188",2016-05-11 08:22:00,18
"189",2016-09-20 09:02:00,40
"190",2016-12-21 08:26:00,80
"191",2017-01-12 08:17:00,61
