"","Date","Mesh200","Mesh500","total_biomass"
"1","2001-10-09",26.8331,15.9475,42.7806
"2","2001-11-06",7.42849,2.33661,9.7651
"3","2001-12-11",5.59624,0.714084,6.310324
"4","2002-01-10",10.24,4.93,15.17
"5","2002-02-14",12.92,NA,NA
"6","2002-03-12",10.55,5.47,16.02
"7","2002-04-02",8.71,8.31,17.02
"8","2002-05-07",4.5,1.31,5.81
"9","2002-06-12",10.63,4.54,15.17
"10","2002-07-09",1.4,0.88,2.28
"11","2002-08-06",1.79,1.28,3.07
"12","2002-10-03",12.35,1.5,13.85
"13","2002-11-07",4.76,3.33,8.09
"14","2002-12-05",5.52,1.9,7.42
"15","2003-01-14",11.99,4.74,16.73
"16","2003-02-11",11.8,8.74,20.54
"17","2003-03-11",21.85,11.38,33.23
"18","2003-04-08",11.97,8.42,20.39
"19","2003-05-13",11.26,6.03,17.29
"20","2003-06-10",13.57,8.8,22.37
"21","2003-07-08",7.5,5.25,12.75
"22","2003-09-09",8.57,4.82,13.39
"23","2003-11-11",4.33,3.07,7.4
"24","2003-12-09",9.08,3.91,12.99
"25","2004-01-13",10.66,2.83,13.49
"26","2004-02-08",5.6,3.31,8.91
"27","2004-03-08",6.17,4.76,10.93
"28","2004-04-06",18.31,10.59,28.9
"29","2004-05-13",11.47,5.11,16.58
"30","2004-06-08",14.01,10.72,24.73
"31","2004-07-07",18.15,7.91,26.06
"32","2004-08-10",15.8,8.86,24.66
"33","2004-09-07",11.44,3.24,14.68
"34","2004-10-05",5.4,2.81,8.21
"35","2004-11-09",3.41,2.99,6.4
"36","2004-12-07",5.8,1.95,7.75
"37","2005-01-11",5.99,2.96,8.95
"38","2005-02-10",9.76,7.09,16.85
"39","2005-03-08",13.71,5.97,19.68
"40","2005-04-05",10.88,7.48,18.36
"41","2005-05-10",9.89,6.4,16.29
"42","2005-06-14",6.15,6.04,12.19
"43","2005-07-12",8.19,3.07,11.26
"44","2005-08-10",5.62,2.03,7.65
"45","2005-12-15",10.68,4.46,15.14
"46","2006-01-12",17.54,7.5,25.04
"47","2006-02-07",19.3,10.45,29.75
"48","2006-03-16",12.22,12.62,24.84
"49","2006-04-04",17.66,7.23,24.89
"50","2006-05-10",14,7.97,21.97
"51","2006-06-06",10,2.53,12.53
"52","2006-07-04",4,1.3,5.3
"53","2006-08-03",15.7,8.4,24.1
"54","2006-09-12",12.67,10.5,23.17
"55","2006-10-10",8.04,9.96,18
"56","2006-11-02",6.32,3.25,9.57
"57","2006-12-05",7.33,3.39,10.72
"58","2007-02-06",18.17,9,27.17
"59","2007-03-06",8.34,9.65,17.99
"60","2007-05-08",14.55,9.11,23.66
"61","2007-06-05",9.56,5.81,15.37
"62","2007-07-03",16.78,9.94,26.72
"63","2007-08-07",16.24,10.19,26.43
"64","2007-10-09",4.89,1.66,6.55
"65","2007-12-11",7.18,3.66,10.84
"66","2008-01-10",19.21,11.06,30.27
"67","2008-02-12",19.36,10.99,30.35
"68","2008-03-11",22.3,10.23,32.53
"69","2008-04-08",32.63,16.81,49.44
"70","2008-05-06",14.66,7.84,22.5
