date,year,month,day,lon,lat,value
2002-08-31,2002.0,8.0,19.0,-64.68349863688152,10.6875,0.2570602568211379
2002-09-30,2002.0,9.0,16.0,-64.68349863688152,10.6875,0.2218231386608548
2002-10-31,2002.0,10.0,16.0,-64.68349863688152,10.6875,0.30833771570965096
2002-11-30,2002.0,11.0,16.0,-64.68349863688152,10.6875,0.5541624629939044
2002-12-31,2002.0,12.0,16.0,-64.68349863688152,10.6875,1.3394900635436726
2003-01-31,2003.0,1.0,16.0,-64.68349863688152,10.6875,2.2225478724197103
2003-02-28,2003.0,2.0,15.0,-64.68349863688152,10.6875,1.6032030529446073
2003-03-31,2003.0,3.0,16.0,-64.68349863688152,10.6875,2.358505933373063
2003-04-30,2003.0,4.0,16.0,-64.68349863688152,10.6875,0.2917009110803958
2003-05-31,2003.0,5.0,16.0,-64.68349863688152,10.6875,1.1529614466207996
2003-06-30,2003.0,6.0,16.0,-64.68349863688152,10.6875,0.34442829955042453
2003-07-31,2003.0,7.0,16.0,-64.68349863688152,10.6875,0.4690512831564303
2003-08-31,2003.0,8.0,16.0,-64.68349863688152,10.6875,0.3456528462745525
2003-09-30,2003.0,9.0,16.0,-64.68349863688152,10.6875,0.19525143415839583
2003-10-31,2003.0,10.0,16.0,-64.68349863688152,10.6875,0.1606684247652689
2003-11-30,2003.0,11.0,16.0,-64.68349863688152,10.6875,0.14805195055626058
2003-12-31,2003.0,12.0,16.0,-64.68349863688152,10.6875,0.4196322394741906
2004-01-31,2004.0,1.0,16.0,-64.68349863688152,10.6875,0.6938967241181268
2004-02-29,2004.0,2.0,15.0,-64.68349863688152,10.6875,1.9016004827287463
2004-03-31,2004.0,3.0,16.0,-64.68349863688152,10.6875,2.7844312239576268
2004-04-30,2004.0,4.0,16.0,-64.68349863688152,10.6875,0.35037120481332146
2004-05-31,2004.0,5.0,16.0,-64.68349863688152,10.6875,0.46809745453022134
2004-06-30,2004.0,6.0,16.0,-64.68349863688152,10.6875,0.5254022205317461
2004-07-31,2004.0,7.0,16.0,-64.68349863688152,10.6875,0.5023318271946025
2004-08-31,2004.0,8.0,16.0,-64.68349863688152,10.6875,0.2693998508983188
2004-09-30,2004.0,9.0,16.0,-64.68349863688152,10.6875,0.17819802485130448
2004-10-31,2004.0,10.0,16.0,-64.68349863688152,10.6875,0.19927261096459845
2004-11-30,2004.0,11.0,16.0,-64.68349863688152,10.6875,0.30789172263057146
2004-12-31,2004.0,12.0,16.0,-64.68349863688152,10.6875,0.5447918357672514
2005-01-31,2005.0,1.0,16.0,-64.68349863688152,10.6875,0.6093801617622375
2005-02-28,2005.0,2.0,15.0,-64.68349863688152,10.6875,0.31558119312480637
2005-03-31,2005.0,3.0,16.0,-64.68349863688152,10.6875,1.195059663278085
2005-04-30,2005.0,4.0,16.0,-64.68349863688152,10.6875,1.4477794969523392
2005-05-31,2005.0,5.0,16.0,-64.68349863688152,10.6875,0.17882252059600973
2005-06-30,2005.0,6.0,16.0,-64.68349863688152,10.6875,0.22018119472044484
2005-07-31,2005.0,7.0,16.0,-64.68349863688152,10.6875,0.2585233757893245
2005-08-31,2005.0,8.0,16.0,-64.68349863688152,10.6875,0.39690509261908347
2005-09-30,2005.0,9.0,16.0,-64.68349863688152,10.6875,0.25354667372173734
2005-10-31,2005.0,10.0,16.0,-64.68349863688152,10.6875,0.1685764248724337
2005-11-30,2005.0,11.0,16.0,-64.68349863688152,10.6875,0.22795770532555049
2005-12-31,2005.0,12.0,16.0,-64.68349863688152,10.6875,0.49038677833698413
2006-01-31,2006.0,1.0,16.0,-64.68349863688152,10.6875,0.7541527498651436
2006-02-28,2006.0,2.0,15.0,-64.68349863688152,10.6875,0.7753863526715171
2006-03-31,2006.0,3.0,16.0,-64.68349863688152,10.6875,1.3158955110443964
2006-04-30,2006.0,4.0,16.0,-64.68349863688152,10.6875,0.37481197085645457
2006-05-31,2006.0,5.0,16.0,-64.68349863688152,10.6875,0.2796389797219524
2006-06-30,2006.0,6.0,16.0,-64.68349863688152,10.6875,0.23812825370717938
2006-07-31,2006.0,7.0,16.0,-64.68349863688152,10.6875,0.662392122215695
2006-08-31,2006.0,8.0,16.0,-64.68349863688152,10.6875,0.4460219919681549
2006-09-30,2006.0,9.0,16.0,-64.68349863688152,10.6875,0.2139866397336677
2006-10-31,2006.0,10.0,16.0,-64.68349863688152,10.6875,0.25470690064960055
2006-11-30,2006.0,11.0,16.0,-64.68349863688152,10.6875,0.24616835183567465
2006-12-31,2006.0,12.0,16.0,-64.68349863688152,10.6875,0.481608451406161
2007-01-31,2007.0,1.0,16.0,-64.68349863688152,10.6875,1.635131381396894
2007-02-28,2007.0,2.0,15.0,-64.68349863688152,10.6875,1.9048004788381079
2007-03-31,2007.0,3.0,16.0,-64.68349863688152,10.6875,2.869991215511605
2007-04-30,2007.0,4.0,16.0,-64.68349863688152,10.6875,0.6636162702684046
2007-05-31,2007.0,5.0,16.0,-64.68349863688152,10.6875,0.43822955853409234
2007-06-30,2007.0,6.0,16.0,-64.68349863688152,10.6875,0.26252988554813245
2007-07-31,2007.0,7.0,16.0,-64.68349863688152,10.6875,0.6744228855327323
2007-08-31,2007.0,8.0,16.0,-64.68349863688152,10.6875,0.16636518780831938
2007-09-30,2007.0,9.0,16.0,-64.68349863688152,10.6875,0.2126303602147985
2007-10-31,2007.0,10.0,16.0,-64.68349863688152,10.6875,0.16222600175274743
