date,year,month,day,lon,lat,value
1997-10-31,1997.0,10.0,16.0,-64.68349838256837,10.6875,0.23111695609986782
1997-11-30,1997.0,11.0,15.0,-64.68349838256837,10.6875,0.638015802204609
1997-12-31,1997.0,12.0,16.0,-64.68349838256837,10.6875,0.9182221852242943
1998-01-31,1998.0,1.0,16.0,-64.68349838256837,10.6875,1.2453725084662446
1998-02-28,1998.0,2.0,14.0,-64.68349838256837,10.6875,0.5960208386182785
1998-03-31,1998.0,3.0,16.0,-64.68349838256837,10.6875,1.96493488252163
1998-04-30,1998.0,4.0,15.0,-64.68349838256837,10.6875,0.6770067714154724
1998-05-31,1998.0,5.0,16.0,-64.68349838256837,10.6875,0.4160226505249738
1998-06-30,1998.0,6.0,15.0,-64.68349838256837,10.6875,0.48837573565542697
1998-07-31,1998.0,7.0,16.0,-64.68349838256837,10.6875,0.5080771602690219
1998-08-31,1998.0,8.0,16.0,-64.68349838256837,10.6875,0.2834128275513649
1998-09-30,1998.0,9.0,15.0,-64.68349838256837,10.6875,0.20845862589776512
1998-10-31,1998.0,10.0,16.0,-64.68349838256837,10.6875,0.24116305448114872
1998-11-30,1998.0,11.0,15.0,-64.68349838256837,10.6875,0.32454069592058665
1998-12-31,1998.0,12.0,16.0,-64.68349838256837,10.6875,0.38504690192639823
1999-01-31,1999.0,1.0,16.0,-64.68349838256837,10.6875,1.1041355162858963
1999-02-28,1999.0,2.0,14.0,-64.68349838256837,10.6875,2.0455343574285503
1999-03-31,1999.0,3.0,16.0,-64.68349838256837,10.6875,1.396335070580244
1999-04-30,1999.0,4.0,15.0,-64.68349838256837,10.6875,1.0890017382800576
1999-05-31,1999.0,5.0,16.0,-64.68349838256837,10.6875,0.7354382298886775
1999-06-30,1999.0,6.0,15.0,-64.68349838256837,10.6875,0.7930905759334561
1999-07-31,1999.0,7.0,16.0,-64.68349838256837,10.6875,0.48785700201988214
1999-08-31,1999.0,8.0,16.0,-64.68349838256837,10.6875,0.2978056035935878
1999-09-30,1999.0,9.0,15.0,-64.68349838256837,10.6875,0.20020474009215833
1999-10-31,1999.0,10.0,16.0,-64.68349838256837,10.6875,0.20992881916463374
1999-11-30,1999.0,11.0,15.0,-64.68349838256837,10.6875,0.19942699968814845
1999-12-31,1999.0,12.0,16.0,-64.68349838256837,10.6875,0.3084051080048084
2000-01-31,2000.0,1.0,16.0,-64.68349838256837,10.6875,1.4165063716471198
2000-02-29,2000.0,2.0,15.0,-64.68349838256837,10.6875,1.489095202088356
2000-03-31,2000.0,3.0,16.0,-64.68349838256837,10.6875,1.707360289990902
2000-04-30,2000.0,4.0,15.0,-64.68349838256837,10.6875,1.9748113960027698
2000-05-31,2000.0,5.0,16.0,-64.68349838256837,10.6875,1.0776782490313053
2000-06-30,2000.0,6.0,15.0,-64.68349838256837,10.6875,2.1364848256111144
2000-07-31,2000.0,7.0,16.0,-64.68349838256837,10.6875,1.2074701420962817
2000-08-31,2000.0,8.0,16.0,-64.68349838256837,10.6875,0.26526526138186457
2000-09-30,2000.0,9.0,15.0,-64.68349838256837,10.6875,0.2565693031996489
2000-10-31,2000.0,10.0,16.0,-64.68349838256837,10.6875,0.24099669717252253
2000-11-30,2000.0,11.0,15.0,-64.68349838256837,10.6875,0.2840714924037455
2000-12-31,2000.0,12.0,16.0,-64.68349838256837,10.6875,0.9921328969299787
2001-01-31,2001.0,1.0,16.0,-64.68349838256837,10.6875,1.7420598775148382
2001-02-28,2001.0,2.0,14.0,-64.68349838256837,10.6875,2.168327882885933
2001-03-31,2001.0,3.0,16.0,-64.68349838256837,10.6875,2.1019548743963234
2001-04-30,2001.0,4.0,15.0,-64.68349838256837,10.6875,1.2652305871248246
2001-05-31,2001.0,5.0,16.0,-64.68349838256837,10.6875,0.6882134564220908
2001-06-30,2001.0,6.0,15.0,-64.68349838256837,10.6875,1.0965148985385897
2001-07-31,2001.0,7.0,16.0,-64.68349838256837,10.6875,0.6605888538062574
2001-08-31,2001.0,8.0,16.0,-64.68349838256837,10.6875,0.2467015419155359
2001-09-30,2001.0,9.0,15.0,-64.68349838256837,10.6875,0.34913319423794736
2001-10-31,2001.0,10.0,16.0,-64.68349838256837,10.6875,0.23105324618518358
2001-11-30,2001.0,11.0,15.0,-64.68349838256837,10.6875,0.22246820926666255
2001-12-31,2001.0,12.0,16.0,-64.68349838256837,10.6875,0.5499536994844676
2002-01-31,2002.0,1.0,16.0,-64.68349838256837,10.6875,1.2802851766347876
2002-02-28,2002.0,2.0,14.0,-64.68349838256837,10.6875,1.861871802806854
2002-03-31,2002.0,3.0,16.0,-64.68349838256837,10.6875,2.382034388184547
2002-04-30,2002.0,4.0,15.0,-64.68349838256837,10.6875,0.24073833753080934
2002-05-31,2002.0,5.0,16.0,-64.68349838256837,10.6875,1.4060078084468837
