Parameter	Description	Units
Cruise_number	number of cruise	integer (nnn)
Cruise_ID_1	cruise ID for OCB	alphanumeric
Cruise_ID_2	cruise ID for the CARIACO project	alphanumeric
Leg	number of cruise in the same month	integer (n)
Day	day of sampling in dd format	unitless
Month	month of sampling in mm format	unitless
Year	year of sampling in yyyy format	unitless
Hydro_cast_no	hydrographic CTD cast number	integer (n)
ISO_DateTime_start_hc_local	start date and time of hydrocast in Venezuelan Standard Time (VET) in ISO 8601 format	unitless
ISO_DateTime_end_hc_local	end date and time of hydrocast in Venezuelan Standard Time (VET) in ISO 8601 format	unitless
Depth_target	depth target (nominal)	meters (m)
Depth_real	depth of sample	meters (m)
O2_ml_L	dissolved oxygen (average in ml/L)	milliliters/liter (ml/L)
q_O2_ml_L	quality flag for O2_(ml/L)	dimensionless
O2_umol_kg	dissolved oxygen (average in μmol/kg)	micromoles/kilogram (μmol/kg)
q_O2_umol_kg	quality flag for O2_(μmol/kg)	dimensionless
NO3_UDO	nitrate UDO (average)	micromolar (μM)
q_NO3_UDO	quality flag for nitrate UDO	dimensionless
PO4_UDO	phosphate UDO (average)	micromolar (μM)
q_PO4_UDO	quality flag for phosphate UDO	dimensionless
SiO4_UDO	silica UDO	micromolar (μM)
q_SiO4_UDO	quality flag for silica UDO	dimensionless
NH4_USF	ammonia USF	micromolar (μM)
q_NH4_USF	quality flag for ammonia USF	dimensionless
NO2_USF	nitrite USF	micromolar (μM)
q_NO2_USF	quality flag for nitrite USF	dimensionless
NO3_NO2_USF	nitrate plus nitrite USF	micromolar (μM)
q_NO3_NO3_USF	quality flag for nitrate plus nitrite USF	dimensionless
PO4_USF	phosphate USF	micromolar (μM)
q_PO4_USF	quality flag for phosphate USF	dimensionless
SiO4_USF	silica USF	micromolar (μM)
q_SiO4_USF	quality flag for silica USF	dimensionless
pH	pH average total hydrogen (at 25 deg. C) no corrected for dye impurities	ion scale (pH)
q_pH	quality flag for pH	dimensionless
Alkalinity_mol_kg	total alkalinity	moles/kilogram (mol/kg)
q_Alkalinity_mol_kg	quality flag for total alkalinity (mol/kg)	dimensionless
