CPR_ID		Taxon	Log10_meancellmass	Log10_SDcellmass	n	CellSize sources						
101		Paralia sulcata	−3.82	−4.04	8	16, 18, 31, 38, 40, 45, 51    						
102		Skeletonema costatum      	−4.39	−4.32	54	1, 3, 8, 16, 18, 25, 31, 33, 38, 40, 45, 46, 51–54  						
103		Thalassiosira spp. 	−2.96	−2.87	162	9, 11, 16, 24, 25, 28, 29, 31, 32, 35, 38, 40, 44–46, 51, 53, 54						
104		Dactyliosolen antarcticus 	−2.23	−2.13	2	9, 50    						
105		Dactyliosolen mediterraneus	−3.10	−3.06	5	1, 31, 44, 52, 54   						
106		Rhizosolenia imbricata shrubsolei 	−2.81	−3.09	8	25, 38, 44, 51–53  						
107		Rhizosolenia styliformis  	−1.91	−2.05	10	1, 31, 35, 38, 45, 46, 51, 53, 54						
108		Rhizosolenia hebetata semispina   	−2.65	−2.59	13	1, 31, 38, 40, 45, 46, 54     						
109		Rhizosolenia alata indica 	−2.32	−2.50	3	44, 52, 54 						
110		Rhizosolenia alata alata  	−2.66	−2.51	21	1, 3, 9, 24, 25, 31, 35, 38, 45–47, 51, 53, 54     						
111		Rhizosolenia alata inermis 	−2.65	−2.84	2	9, 24    						
112		Chaetoceros (Hyalochaete) spp.    	−3.79	−3.72	171	3, 8, 9, 11, 16, 18, 24, 25, 28, 29, 31, 33, 38, 44–46, 51–54 						
113		Chaetoceros (Phaeoceros) spp.     	−3.50	−3.72	48	3, 11, 24, 28, 29, 31, 35, 38, 44–47, 49, 51–54   						
114		Biddulphia sinensis	−1.69	−2.15	5	18, 38, 44, 51, 53  						
115		Asterionella glacialis    	−4.08	−4.33	8	18, 28, 31, 38, 51  						
116		Thalassiothrix longissima 	−3.51	−3.52	9	1, 11, 31, 38, 40, 41, 46, 47, 53						
117		Thalassionema nitzschioides	−4.17	−4.41	22	1, 3, 16, 18, 38, 40, 41, 44–46, 51, 52, 54						
118		Nitzschia seriata 	−4.09	−4.24	9	1, 31, 40, 44, 46, 47, 51–53  						
119		Nitzschia delicatissima   	−4.70	−4.92	11	29, 38, 40, 44, 51–53						
121		Ceratium fusus    	−2.27	−2.36	19	1, 10, 11, 14, 16, 22, 23, 30, 31, 38, 40, 46, 49, 51–53     						
122		Ceratium furca    	−2.24	−2.53	17	1, 2, 7, 11, 14, 16, 30, 31, 37, 38, 49, 51, 53, 54 						
123		Ceratium lineatum 	−2.39	−2.29	14	2, 18, 25, 29, 31, 36, 38, 40, 46, 51, 54 						
124		Ceratium tripos   	−1.94	−2.10	18	1, 2, 11, 21, 29, 31, 37, 38, 48, 51–54 						
125		Ceratium macroceros	−2.28	−2.75	11	1, 2, 11, 29, 31, 37, 38, 49, 52–54    						
126		Ceratium horridum 	−1.86	−1.80	11	14, 16, 36–38, 48, 51, 53    						
127		Ceratium longipes 	−2.18	−2.51	7	2, 25, 31, 38, 46, 53						
128		Ceratium arcticum 	−2.09	 	60	38						
129		Protoceratium reticulatum 	−2.65	−3.04	8	16, 31, 38, 40, 46  						
131		Ceratium kofoidii 	−2.46	−2.52	3	21, 36, 37 						
132		Pyrophacus spp.   	−2.02	−1.98	10	1, 18, 31, 38, 52, 53 						
151		Actinoptychus spp. 	−2.98	−3.57	6	18, 38, 45, 51, 53, 54						
152		Asteromphalus spp. 	−3.13	−3.17	3	1, 31, 35 						
153		Bacillaria paxillifer     	−3.68	−4.37	2	45, 54   						
154		Bacteriastrum spp. 	−3.53	−3.81	21	1, 3, 25, 31, 38, 44, 50–52, 54 						
155		Bellerochea malleus	−2.48	−2.57	4	24, 50, 51, 53     						
156		Biddulphia alternans 	−2.86	−2.83	3	18, 51, 53 						
157		Biddulphia aurita 	−2.92	−2.86	9	31, 38, 40, 41, 45, 46, 51, 53 						
158		Biddulphia granulata      	−2.32	 	1	51						
160		Biddulphia regia  	−1.94	−2.8	2	51, 53   						
161		Biddulphia rhombus 	−2.05	−2.08	3	18, 51, 53 						
162		Cerataulina pelagica      	−2.94	−3.57	6	8, 18, 31, 45, 51, 52 						
163		Climacodium frauenfeldianum	−3.43	−4.41	4	1, 44, 49, 54      						
164		Corethron criophilum 	−2.76	−2.78	11	3, 16, 20, 24, 35, 40, 44, 46, 47, 54    						
165		Coscinodiscus concinnus   	−1.08	−1.07	9	38, 40, 44, 51, 53  						
166		Coscinodiscus spp. 	−0.76	−1.45	16	20, 38, 43–45, 51, 53						
167		Detonula confervacea      	−3.99	−4.18	7	31, 38, 40, 51, 53  						
168		Ditylum brightwellii      	−2.60	−2.56	19	8, 18, 30, 31, 33, 38, 40, 44, 45, 51, 53, 54      						
169		Eucampia zodiacus 	−3.27	−3.45	14	18, 31, 38, 44, 47, 49, 51, 53, 54      						
170		Fragilaria spp.   	−4.07	−3.98	25	16, 18, 31, 38, 40, 46, 51    						
171		Guinardia flaccida 	−2.38	−2.68	16	1, 38, 44, 45, 51–54 						
