time,u100,v100,u10n,u10,v10n,v10,si10,d2m,t2m,p140209,anor,isor,bfi,bld,blh,chnk,cdir,cbh,cdww,cape,cin,cp,crr,csf,csfr,uvb,dctb,lgws,ewss,e,fal,flsr,fsr,p140208,zust,gwd,hcc,cvh,istl1,istl2,istl3,istl4,i10fg,iews,ilspf,ie,inss,ishf,kx,lblt,cl,dl,licd,lict,lmld,lmlt,lshf,ltlt,lsm,lsp,lspf,lsrr,lsf,lssfr,lai_hv,lai_lv,lcc,cvl,magss,hmax,mbld,mcpr,mcsr,mdts,mdww,megwss,metss,mer,mgwd,mlspf,mlspr,mlssr,mmtss,mngwss,mntss,mpts,mpww,mper,mror,msl,mser,msr,msmr,msqs,mssror,msdrswrf,msdrswrfcs,msdwlwrf,msdwlwrfcs,msdwswrf,msdwswrfcs,msdwuvrf,mslhf,msnlwrf,msnlwrfcs,msnswrf,msnswrfcs,msror,msshf,mtdwswrf,mtnlwrf,mtnlwrfcs,mtnswrf,mtnswrfcs,mtpr,dndza,mvimd,mwd,p140122,p140125,p140128,mwp,mp1,p1ps,p1ww,p2ps,p2ww,p140123,p140126,p140129,mp2,mcc,dndzn,wmb,alnid,alnip,phioc,phiaw,tauoc,mgws,nsss,dwi,wind,z,pp1d,tmax,pev,ptype,ro,siconc,sst,swh,shts,shww,p140121,p140124,p140127,src,skt,slor,asn,rsn,sd,es,sf,smlt,stl1,stl2,stl3,stl4,slt,sdfor,sdor,ssro,slhf,ssr,ssrc,str,strc,sp,sro,sshf,ssrdc,ssrd,strdc,strd,tsn,tisr,tsr,tsrc,ttr,ttrc,tcc,tciw,tclw,tco3,tcrw,tcsw,tcslw,tcw,tcwv,tp,fdir,totalx,tplb,tplt,tvh,tvl,ust,aluvd,aluvp,vst,p80.162,p79.162,p85.162,p82.162,p81.162,p84.162,p87.162,p83.162,p86.162,p90.162,p88.162,p73.162,p69.162,p67.162,p65.162,p77.162,p75.162,p71.162,p64.162,p59.162,p53.162,p92.162,p91.162,p89.162,p74.162,p70.162,p68.162,p66.162,p78.162,p76.162,p72.162,p61.162,p62.162,p54.162,p60.162,p63.162,vimd,swvl1,swvl2,swvl3,swvl4,wdw,dwps,dwww,wsk,wsp,wss,deg0l
1978-12-31 18:00:00,,,,,,,,,,,,,,136360.31,,,18786336.0,1872.2686,,,,9.181716e-05,4.3213367e-07,0.0,0.0,2454769.0,81.01344,1.875,-6499.172,-0.0027144004,,,,,0.2569704,-6.58463,,,,,,,9.280014,,0.07672119,,,,6.763511,,,,,,,,,,,7.1021954e-05,6708.713,7.599592e-07,0.0,0.0,,,,,7694.699,,1.5776587,1.0655385e-06,0.0,,,-6.9737434e-06,-0.075223684,-3.1415955e-05,6.326207e-06,0.07764627,8.223032e-07,0.0,0.089070395,6.812811e-05,-0.041149974,,,2.0372681e-10,0.0,,4.5474735e-12,0.0,0.0,,0.0,198.38426,217.4336,375.886,370.11206,245.47906,258.52365,28.411835,-78.5625,-69.23021,-74.501724,232.76163,241.32607,0.0,-3.4446259,367.08032,-297.82227,-301.05615,316.63403,325.0791,1.8918607e-06,-0.49296808,4.375027e-05,,,,,,,,,,,,,,,,-0.48497504,,,,,,,8.066406,-3553.957,,,,,,1.3411045e-07,0.8199463,0.0,,,,,,,,,,,,,,,-7.916242e-09,0.0,0.0,,,,,,,,0.0,-6787908.0,20110712.0,20850416.0,-5981477.0,-6436847.0,,0.0,-297562.0,22336544.0,21208736.0,31977456.0,32476608.0,,31716160.0,27357152.0,28087024.0,-25731920.0,-26011328.0,,,,,,,5.830101e-05,,,0.00016375932,17140116.0,34.46958,107.67175,144.80139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7801023,,,,,,,,,,,5070.449
1979-01-01 00:00:00,-6.8127985,-3.9270458,-5.638752,-5.555541,-3.4421816,-3.3835087,6.8766356,294.6316,297.3916,1.1603622,0.78539824,0.0,0.07579899,,518.41724,0.013487253,,,0.00096604484,77.28046,,,,,,,,,,,0.05999332,-10.525849,0.000107253465,0.59939575,,,0.13757074,0.0,271.45953,271.4602,271.45972,271.45996,,-0.06716114,,-2.9208866e-05,-0.038194,-2.7890625,,297.8927,0.0,401.0296,-9.341596e-21,271.4594,49.261322,297.89233,0.65000147,297.89258,0.027737975,,,,,,0.0,0.0,0.05896363,0.0,,1.4708614,,,,24.78975,52.876297,,,,,,,,,,,6.2852707,3.0317345,,,101246.64,,,,0.004438131,,,,,,,,,,,,,,,,,,,,,,,,36.318848,76.95654,166.14781,183.54227,5.109558,4.0119686,5.1382856,2.6825447,4.541857,2.3135376,6.1964626,9.546418,10.100999,3.4895535,0.0831479,,147.0,0.059996802,0.060006365,-1.8993378,2.3902884,0.968253,,,54.6644,5.1047363,20.268448,6.721697,4.3634377,,,,0.0,297.89508,0.769777,0.55149907,0.47080976,0.42827845,0.14305276,0.03247792,0.0,297.77173,9.999996e-05,0.8799987,99.999985,0.0,,,,297.89502,297.89172,297.8921,297.89172,0.0,0.0,0.0,,,,,,,101222.0,,,,,,,297.89453,,,,,,0.24858654,0.00024810794,0.015099708,0.0049860664,0.00037999786,4.9442053e-05,,30.534912,30.518585,,,,,,0.0,7.0,-0.048022807,0.060008936,0.059993327,-0.038124714,9.876828e-10,-8.400084e-07,-659.76733,5.8447576,0.00032802275,3.668436e-06,3.0092384e-10,644.423,-2.6240234,0.003651523,-0.06770265,4187016700.0,4371959000.0,11825669.0,25332.164,-0.052150603,8181149700.0,-155.76201,658.43866,892818.06,10321.777,-1.4593879e-06,0.0022905644,-0.020780921,-114918140.0,-2978360000.0,1318669.4,-10030.719,0.0014133449,-3231943400.0,-55.910538,2686057200.0,2762392300.0,2665849.0,2685844200.0,2763284000.0,,7.878756e-06,1.2334377e-05,-4.0264113e-06,0.0,0.48762667,0.33226848,0.3782776,0.010619998,3.0092163,0.025112838,
1979-01-31 18:00:00,,,,,,,,,,,,,,202030.94,,,20692176.0,3073.6,,,,8.920585e-06,0.0,0.0,0.0,2729415.0,78.75862,-0.171875,-11139.9375,-0.0039595254,,,,,0.33799893,-7.0988216,,,,,,,11.599524,,0.035995483,,,,2.2158566,,,,,,,,,,,1.1021488e-05,2785.267,1.1920929e-07,0.0,0.0,,,,,12700.02,,2.3383017,1.0016602e-07,0.0,,,-0.00013577938,-0.12905508,-4.5826702e-05,-0.00019763864,0.032238863,1.2445503e-07,0.0,0.14699554,5.9485435e-05,-0.061670065,,,-6.8394e-10,0.0,,9.094947e-11,0.0,0.0,,0.0,228.40427,239.48709,367.78247,365.1067,276.42804,284.0796,31.590897,-114.60176,-78.793976,-81.75731,262.9452,266.02625,0.0,-1.5039825,397.51697,-299.0171,-300.82227,351.08057,353.89746,2.2776698e-07,-0.4579866,5.441077e-05,,,,,,,,,,,,,,,,-0.44834495,,,,,,,-9.269531,-5326.5,,,,,,-2.6077032e-08,0.71728516,0.0,,,,,,,,,,,,,,,1.4202669e-08,0.0,0.0,,,,,,,,0.0,-9901747.0,22718656.0,22984432.0,-6807497.0,-7063991.0,,0.0,-129417.0,24544624.0,23883168.0,31545504.0,31776480.0,,34345456.0,30333136.0,30576592.0,-25835200.0,-25991024.0,,,,,,,0.000100404024,,,1.9316907e-05,19734352.0,31.668653,109.89975,156.89806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7000284,,,,,,,,,,,5072.926
1979-02-01 00:00:00,-9.421876,-4.432173,-7.575927,-7.5054407,-3.7506056,-3.7221937,8.661912,294.58594,297.87,1.1584148,0.78539824,0.0,0.13082123,,587.9861,0.017827734,,,0.0010872188,43.537254,,,,,,,,,,,0.059996806,-10.792567,0.00020363457,0.5835266,,,0.15468776,0.0,271.45898,271.46045,271.45947,271.45996,,-0.11780131,,-4.327859e-05,-0.05715877,-0.6105194,,298.1781,0.0,401.0296,-1.5803408e-20,271.45947,49.261326,298.1776,0.65000147,298.17786,0.027737975,,,,,,0.0,0.0,0.021490227,0.0,,1.9072847,,,,28.24826,60.11331,,,,,,,,,,,6.956855,3.535101,,,101300.766,,,,0.0064377137,,,,,,,,,,,,,,,,,,,,,,,,47.53006,84.74626,211.46603,223.38947,5.1382065,4.085042,5.58955,3.1579103,4.870221,2.8683472,7.0874567,9.244059,9.391284,3.582262,0.03305978,,147.0,0.05998637,0.059987113,-2.2588043,3.2020645,0.947442,,,61.657013,6.36084,20.268448,6.362232,4.408579,,,,0.0,298.1784,0.989813,0.586837,0.7415737,0.48908043,0.15729111,0.019673027,-2.373714e-23,298.03308,9.999996e-05,0.88000065,99.999985,0.0,,,,298.1781,298.1786,298.17725,298.17676,0.0,0.0,0.0,,,,,,,101276.375,,,,,,,298.17896,,,,,,0.19529706,0.00012665056,0.0054880055,0.005088007,7.567786e-05,0.0,,27.28273,27.277115,,,,,,0.0,7.0,-0.076681495,0.0600012,0.05999747,-0.04699301,-1.095194e-08,-4.272806e-07,-748.3191,2.0014734,1.1397293e-05,3.315136e-05,2.525015e-10,642.385,-18.98999,0.0012970408,-0.025757968,439545800.0,-5858173000.0,-306512.06,-16507.848,-0.060096473,-5942649000.0,-209.25488,745.4275,569245.3,10327.293,-1.9312602e-06,0.000587055,0.005600214,244445000.0,-227616770.0,263810.7,-148.03076,0.00013668677,-46422784.0,-25.263367,2687487500.0,2755711700.0,2668071.0,2687288000.0,2756285700.0,,-3.0640522e-06,1.2992953e-05,-4.464089e-06,0.0,0.4837215,0.31502956,0.31987488,0.016500294,3.3065348,0.032776214,
1979-02-28 18:00:00,,,,,,,,,,,,,,131401.0,,,22012240.0,3181.2483,,,306.1385,0.00015761828,8.791685e-07,0.0,0.0,2823144.0,45.011627,7.7773438,-7213.6914,-0.0020178799,,,,,0.2728284,-5.251996,,,,,,,9.74829,,0.09402466,,,,20.654356,,,,,,,,,,,6.505531e-05,7518.347,8.6426735e-07,0.0,0.0,,,,,8551.656,,1.5210075,1.8193723e-06,0.0,,,-9.423494e-05,-0.08350116,-2.3355067e-05,-6.1657774e-05,0.08702518,7.4442437e-07,0.0,0.09895319,-0.000105559826,-0.047082245,,,1.2369128e-09,0.0,,-4.820322e-11,0.0,0.0,,0.0,211.7874,254.77512,387.30518,381.65747,275.3827,301.3496,32.675674,-58.404236,-58.476532,-65.334076,262.49307,282.9802,0.0,0.07601929,425.62988,-265.28394,-289.41846,361.53052,381.59863,2.5754762e-06,-0.692016,7.343231e-06,,,,,,,,,,,,,,,,-0.6889201,,,,,,,-2.9296875,-4071.207,,,,,,-1.1920929e-07,0.8602295,0.0,,,,,,,,,,,,,,,1.3038516e-08,0.0,0.0,,,,,,,,0.0,-5046358.0,22679456.0,24449792.0,-5052346.0,-5644867.0,,0.0,6285.0,26036752.0,23792976.0,32975104.0,33462800.0,,36774316.0,31236192.0,32970096.0,-22920640.0,-25005776.0,,,,,,,0.0026903409,,,0.00022246985,18298142.0,37.27562,59.401093,80.6848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6356211,,,,,,,,,,,5020.1406
1979-03-01 00:00:00,-7.7541523,-4.3361044,-6.0339613,-6.009777,-3.6572094,-3.6413355,7.3847637,295.71936,297.81995,1.1561565,0.78539824,0.0,0.10168266,,476.76245,0.014325839,,,0.0009927112,223.12486,,,,,,,,,,,0.059996277,-10.602737,0.00012674868,0.44711304,,,0.55694264,0.0,271.4602,271.45996,271.45996,271.45996,,-0.077379405,,-2.2171705e-05,-0.04471457,0.7075043,,297.92407,0.0,401.0296,-3.092482e-20,271.45956,49.26074,297.92395,0.65000135,297.92407,0.027737975,,,,,,0.0,0.0,0.041300066,0.0,,1.4617138,,,,30.640945,53.86786,,,,,,,,,,,5.805423,3.1861267,,,101183.51,,,,0.004770536,,,,,,,,,,,,,,,,,,,,,,,,42.352646,46.10022,117.275375,226.04915,4.6986113,3.8112411,4.857745,2.8165588,4.328868,2.4355469,6.552142,8.969001,8.123454,3.3490696,0.076761484,,147.0,0.060005777,0.06000268,-1.9884796,2.609788,0.96490395,,,55.387924,5.394026,20.268448,5.992979,4.149827,,,,0.0,297.92758,0.76463985,0.48982185,0.5306981,0.40149605,0.11802304,0.030167364,0.0,297.86377,9.999996e-05,0.87999487,99.999985,0.0,,,,297.9265,297.9231,297.92346,297.9237,0.0,0.0,0.0,,,,,,,101158.94,,,,,,,297.92725,,,,,,0.59971976,0.008916471,0.015430864,0.0053066257,0.0006045776,0.008511487,,37.34189,37.309082,,,,,,0.0,7.0,-0.054408967,0.059996497,0.060017522,-0.04023548,-6.2712115e-07,-8.4645126e-07,-381.67017,4.3398952,0.00031404104,-3.6734855e-07,4.9061444e-10,375.03442,-2.9490662,0.11255789,-0.0014767647,3504009500.0,4058174700.0,5354588.0,22855.25,-0.06476241,7131496400.0,-173.8017,374.39233,652952.6,10315.355,4.0459327e-07,0.08114886,0.028114378,931509000.0,1233649900.0,1369962.0,6113.767,0.0011012796,2110328000.0,-22.804962,2687984000.0,2781278700.0,2666141.0,2687781000.0,2781955600.0,,7.624504e-06,5.7355783e-06,2.9210923e-06,0.0,0.49808753,0.36435103,0.37796807,0.0131447315,3.4866304,0.02877931,
1979-03-31 18:00:00,,,,,,,,,,,,,,150376.0,,,22550080.0,2409.0632,,,354.8417,1.9376239e-05,4.4703484e-08,0.0,0.0,2900526.0,44.098923,7.8984375,-8788.855,-0.0027892552,,,,,0.2999357,-5.2941732,,,,,,,10.541112,,0.08268738,,,,28.13634,,,,,,,,,,,5.1023584e-05,6224.5557,5.364418e-07,0.0,0.0,,,,,10089.332,,1.7399378,2.278926e-07,0.0,,,7.3194504e-05,-0.101742506,-3.2281474e-05,-6.435925e-05,0.07203655,5.947201e-07,0.0,0.11676541,2.9146671e-05,-0.05140817,,,-4.2200554e-10,0.0,,1.2732926e-10,0.0,0.0,,0.0,213.96988,260.99365,398.70947,392.95532,278.53458,308.2483,33.570526,-80.73508,-53.608826,-60.634445,265.66888,289.30365,0.0,-0.48789978,437.79593,-268.94702,-287.23242,370.59668,393.31885,8.240097e-07,-0.62697226,3.487368e-05,,,,,,,,,,,,,,,,-0.62255096,,,,,,,9.589844,-4445.742,,,,,,-2.3841858e-07,0.9111328,0.0,,,,,,,,,,,,,,,6.7520887e-09,0.0,0.0,,,,,,,,0.0,-6975328.0,22953544.0,24996064.0,-4631870.0,-5238766.0,,0.0,-42365.0,26632304.0,24065456.0,33951216.0,34448430.0,,37825456.0,32019808.0,33982496.0,-23237184.0,-24816688.0,,,,,,,0.0033928866,,,7.08414e-05,18487152.0,41.144157,58.99521,81.271965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.012393,,,,,,,,,,,4945.2656
1979-04-01 00:00:00,-8.75907,-4.358035,-6.892066,-6.8406925,-3.69804,-3.6708593,8.000152,296.3086,298.8391,1.151248,0.78539824,0.0,0.09185791,,510.0647,0.015625697,,,0.0010309881,400.23032,,,,,,,,,,,0.05999243,-10.706734,0.00015286608,0.4819641,,,0.5899587,0.0,271.4602,271.46027,271.4602,271.45996,,-0.09462619,,-3.070668e-05,-0.048265874,0.2538452,,299.02124,0.0,401.0296,-3.5127168e-20,271.4601,49.260933,299.02136,0.6500018,299.0216,0.027737975,,,,,,0.0,0.0,0.043390956,0.0,,1.6698532,,,,34.22197,57.543716,,,,,,,,,,,5.9432793,3.3034706,,,101150.234,,,,0.0054698586,,,,,,,,,,,,,,,,,,,,,,,,47.287155,37.045624,93.983185,217.49986,4.7238817,3.9100943,5.1111317,2.954647,4.603545,2.6743164,6.1963415,8.687305,10.57182,3.4561825,0.10878414,,147.0,0.05999104,0.06000084,-2.1131134,2.8780003,0.95857936,,,59.1985,5.801816,20.268448,5.6006565,4.226429,,,,0.0,299.0398,0.8734791,0.55512905,0.62245345,0.4724381,0.09703529,0.013558239,0.0,298.93286,9.999996e-05,0.8800021,99.999985,0.0,,,,299.04004,299.01904,299.01917,299.01917,0.0,0.0,0.0,,,,,,,101125.56,,,,,,,299.04028,,,,,,0.6433023,0.0039980644,0.019392557,0.0055323467,0.00044647732,0.0023181885,,44.212204,44.18634,,,,,,0.0,7.0,-0.065060854,0.06000275,0.059996992,-0.042440515,1.5803607e-09,-1.1979164e-06,-428.66162,0.9732237,0.00021817489,2.8032868e-05,2.1401483e-10,401.49292,46.257797,0.043793324,-0.07247996,2043240400.0,-836210940.0,1071238.8,3638.4001,-0.073998034,554524160.0,-261.54883,425.14136,525080.44,10311.984,-8.0042264e-07,0.010273728,0.035314202,-681940500.0,-1382554100.0,-782708.56,-6017.41,0.00012679811,-2070626000.0,-2.1921434,2692899600.0,2803405800.0,2669419.0,2692697900.0,2803932200.0,,-2.210495e-06,-8.473261e-06,-1.1405647e-05,-3.676359e-26,0.481053,0.34574533,0.32338798,0.012626946,3.1564226,0.029805746,
1979-04-30 18:00:00,,,,,,,,,,,,,,96616.16,,,22430736.0,3129.4458,,,365.62585,0.00023075096,1.2516975e-06,0.0,0.0,2780847.0,64.42786,1.921875,-5820.547,-0.002673561,,,,,0.23292297,-4.4115705,,,,,,,8.497732,,0.080459595,,,,28.358912,,,,,,,,,,,0.00034713934,6803.699,4.0233135e-06,0.0,0.0,,,,,6623.124,,1.1179029,2.6722628e-06,0.0,,,-0.00011181831,-0.06734532,-3.09436e-05,-7.5872274e-05,0.07875675,4.0198756e-06,0.0,0.07663138,-2.8740615e-05,-0.029593468,,,1.4115358e-09,0.0,,7.912604e-11,0.0,0.0,,0.0,199.03073,259.61395,402.39453,396.08887,267.06836,305.97314,32.185516,-77.38286,-55.460907,-62.63086,254.57062,286.8726,0.0,-1.2019501,434.57556,-252.02246,-282.71057,358.22778,390.09985,6.6919847e-06,-0.3216557,2.8160124e-05,,,,,,,,,,,,,,,,-0.308118,,,,,,,4.3789062,-2560.7812,,,,,,1.4528632e-07,0.8253174,0.0,,,,,,,,,,,,,,,7.21775e-09,0.0,0.0,,,,,,,,0.0,-6686145.0,21994460.0,24786000.0,-4791747.0,-5411374.0,,0.0,-103839.0,26436656.0,23074560.0,34222160.0,34766816.0,,37547130.0,30950784.0,33704736.0,-21774576.0,-24426000.0,,,,,,,0.009946939,,,0.0005781953,17196316.0,42.168736,93.67833,136.00327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4327278,,,,,,,,,,,4995.8203
1979-05-01 00:00:00,-6.7969418,-2.9643698,-5.439475,-5.37183,-2.6187296,-2.5814304,6.36837,296.79358,299.5951,1.1479349,0.78539824,0.0,0.08879852,,386.2561,0.013065275,,,0.0009067503,958.4475,,,,,,,,,,,0.059997987,-10.412817,9.893192e-05,0.5145569,,,0.67310786,0.0,271.45996,271.45972,271.45996,271.45996,,-0.06155479,,-2.9099858e-05,-0.027291,-0.3486328,,299.90808,0.0,401.0296,-6.253992e-20,271.46094,49.26105,299.9076,0.6500007,299.90808,0.027737975,,,,,,0.0,0.0,0.034475654,0.0,,1.2069342,,,,43.163376,56.901154,,,,,,,,,,,5.08169,2.907734,,,101112.125,,,,0.0036806455,,,,,,,,,,,,,,,,,,,,,,,,50.20546,43.286774,43.23552,218.58562,4.382532,3.6136398,4.303358,2.5265532,3.888404,2.0310059,5.0852976,9.9409895,5.6923723,3.2037373,0.14890963,,147.0,0.05999566,0.060004752,-1.733963,2.0025501,0.98203856,,,60.244812,4.4739857,20.268448,5.3994484,3.9461641,,,,0.0,299.91452,0.63450927,0.44131595,0.37921405,0.3727011,0.07556558,0.021487694,0.0,299.85083,9.999996e-05,0.8800055,99.999985,0.0,,,,299.91504,299.9071,299.90698,299.90637,0.0,0.0,0.0,,,,,,,101088.06,,,,,,,299.91504,,,,,,0.70506483,0.017705727,0.027031206,0.005625263,0.006836622,0.0326713,,46.105057,46.020493,,,,,,0.0,7.0,-0.0446108,0.060001075,0.05999709,-0.02718215,1.7451202e-07,-1.4274765e-06,-98.28223,0.60873723,7.977267e-05,-4.3817272e-07,7.545258e-10,82.01172,-17.67015,0.15287066,-0.054192185,1520343600.0,-13660928.0,2211735.5,6496.229,-0.09324336,1029953000.0,-191.88135,100.979004,573281.2,10308.098,4.314402e-06,0.101572946,0.096540615,-15636912.0,1811840800.0,-648404.9,5793.168,-0.00035937922,1894465000.0,39.274323,2695134000.0,2810207700.0,2671195.0,2694919200.0,2810801400.0,,3.2415255e-06,9.723938e-06,4.859354e-06,-8.004986e-26,0.48223943,0.33834845,0.43024623,0.011408865,3.4593115,0.026342392,
