"","taxon","taxon_group","group"
"1","0","0","DINOFLAGELLATES"
"2","Acanthoica_cuatrospina","Acanthoica_cuatrospina","COCCOLITHOPHORIDS"
"3","Acanthoica_sp.","Acanthoica_sp.","COCCOLITHOPHORIDS"
"4","Achnanthes_cf._taeniata","Achnanthes_cf._taeniata","DIATOMS"
"5","Achnanthes_sp.","Achnanthes_sp.","DIATOMS"
"6","Alexandrium_cohorticola","Alexandrium_cohorticola","DINOFLAGELLATES"
"7","Alexandrium_monilatu","Alexandrium_monilatu","DINOFLAGELLATES"
"8","Alexandrium_sousae","Alexandrium_sousae","DINOFLAGELLATES"
"9","Alexandrium_sp.","Alexandrium_sp.","DINOFLAGELLATES"
"10","Alexandrium_tamarense","Alexandrium_tamarense","DINOFLAGELLATES"
"11","Alexandrium_tamarensis","Alexandrium_tamarensis","DINOFLAGELLATES"
"12","Amphiddinium_shroederi","Amphiddinium_shroederi","DINOFLAGELLATES"
"13","Amphiddinium_shroederii","Amphiddinium_shroederii","DINOFLAGELLATES"
"14","Amphidinium_klebsii","Amphidinium_klebsii","DINOFLAGELLATES"
"15","Amphidinium_shroederi","Amphidinium_shroederi","DINOFLAGELLATES"
"16","Amphidinium_sp.","Amphidinium_sp.","DINOFLAGELLATES"
"17","Amphidinium_turbo","Amphidinium_turbo","DINOFLAGELLATES"
"18","Amphisolenia_bidentata","Amphisolenia_bidentata","DINOFLAGELLATES"
"19","Amphisolenia_paleotheroide","Amphisolenia_paleotheroide","DINOFLAGELLATES"
"20","Amphora_laevis","Amphora_laevis","DIATOMS"
"21","Amphora_lineata","Amphora_lineata","DIATOMS"
"22","Amphora_sp","Amphora_sp","DIATOMS"
"23","Amphora_sp.","Amphora_sp.","DIATOMS"
"24","Anabaena","Anabaena","CYANOBACTERIA"
"25","Anabaena_sp.","Anabaena_sp.","CYANOBACTERIA"
"26","Anacystis_sp.","Anacystis_sp.","CYANOBACTERIA"
"27","Anoplosolenia_brasiliensi","Anoplosolenia_brasiliensi","COCCOLITHOPHORIDS"
"28","Anoplosolenia_brasiliensiS","Anoplosolenia_brasiliensiS","COCCOLITHOPHORIDS"
"29","Anoplosolenia_brasiliensis","Anoplosolenia_brasiliensis","COCCOLITHOPHORIDS"
"30","Anthosphaera_robusta","Anthosphaera_robusta","COCCOLITHOPHORIDS"
"31","Arthrospira_birgeii","Arthrospira_birgeii","CYANOBACTERIA"
"32","Asrerionellopsis_kariana","Asrerionellopsis_kariana","DIATOMS"
"33","Asterionellopsis_glacialis","Asterionellopsis_glacialis","DIATOMS"
"34","Asterionellopsis_japonica","Asterionellopsis_japonica","DIATOMS"
"35","Asterionellopsis_kariana","Asterionellopsis_kariana","DIATOMS"
"36","Asterionellopsis_sp.","Asterionellopsis_sp.","DIATOMS"
"37","Asterionellopsis_sp._(formosa)","Asterionellopsis_sp._(formosa)","DIATOMS"
"38","Asterodinium_sp.","Asterodinium_sp.","DINOFLAGELLATES"
"39","Asterodinium_spinosu","Asterodinium_spinosu","DINOFLAGELLATES"
"40","Asterolampra_sp.","Asterolampra_sp.","DIATOMS"
"41","Asteromphallus_flabelatus","Asteromphallus_flabelatus","DIATOMS"
"42","Asteromphallus_flabellatus","Asteromphallus_flabellatus","DIATOMS"
